Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,9.550000,9.550000,9.070000,9.190000,8.435442,509000
2019-08-06,9.100000,9.250000,8.960000,9.240000,8.481338,184000
2019-08-07,9.240000,9.290000,9.140000,9.290000,8.527232,38102
2019-08-08,9.350000,9.500000,9.330000,9.410000,8.637380,93000
2019-08-09,9.420000,9.500000,9.400000,9.500000,8.719990,139000
2019-08-12,9.380000,9.380000,9.260000,9.260000,8.499696,93500
2019-08-13,9.200000,9.200000,9.050000,9.050000,8.306938,101476
2019-08-14,9.040000,9.130000,8.980000,8.980000,8.242684,234300
2019-08-15,8.880000,9.040000,8.880000,9.000000,8.261043,259500
2019-08-16,9.100000,9.540000,9.100000,9.500000,8.719990,355000
2019-08-19,9.550000,9.840000,9.550000,9.770000,8.967821,128000
2019-08-20,9.770000,9.850000,9.750000,9.850000,9.041253,134000
2019-08-21,9.850000,9.980000,9.800000,9.880000,9.068789,142000
2019-08-22,9.850000,9.850000,9.570000,9.680000,8.885211,192000
2019-08-23,9.600000,9.800000,9.600000,9.800000,8.995358,176003
2019-08-26,9.460000,9.550000,9.350000,9.480000,8.701632,187003
2019-08-27,9.550000,9.550000,9.420000,9.420000,8.646558,105938
2019-08-28,9.500000,9.500000,9.360000,9.490000,8.710811,133000
2019-08-29,9.360000,9.480000,9.350000,9.360000,8.591484,64000
2019-08-30,9.450000,9.450000,9.210000,9.300000,8.536411,134000
2019-09-02,9.210000,9.210000,9.100000,9.150000,8.398726,98000
2019-09-03,9.150000,9.150000,9.100000,9.140000,8.389549,61000
2019-09-04,9.170000,9.380000,9.170000,9.380000,8.609842,117000
2019-09-05,9.400000,9.400000,9.260000,9.350000,8.582306,156000
2019-09-06,9.350000,9.370000,9.260000,9.320000,8.554769,99008
2019-09-09,9.340000,9.340000,9.250000,9.340000,8.573127,17000
2019-09-10,9.300000,9.350000,9.250000,9.250000,8.490516,117502
2019-09-11,9.330000,9.400000,9.300000,9.390000,8.619022,225200
2019-09-12,9.350000,9.380000,9.330000,9.350000,8.582306,62000
2019-09-13,9.330000,9.370000,9.310000,9.360000,8.591484,131000
2019-09-16,9.380000,9.380000,9.290000,9.320000,8.554769,67000
2019-09-17,9.320000,9.330000,9.290000,9.300000,8.536411,113000
2019-09-18,9.280000,9.300000,9.280000,9.280000,8.518053,66000
2019-09-19,9.260000,9.260000,9.190000,9.230000,8.472157,145000
2019-09-20,9.200000,9.250000,9.200000,9.200000,8.444622,110000
