Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.150000,1.160000,1.080000,1.090000,1.066124,5770000
2019-08-06,1.100000,1.100000,1.040000,1.050000,1.027000,4004000
2019-08-07,1.060000,1.080000,1.050000,1.080000,1.056343,3898000
2019-08-08,1.070000,1.070000,1.050000,1.060000,1.036781,3216000
2019-08-09,1.050000,1.060000,1.020000,1.040000,1.017219,5079913
2019-08-12,1.040000,1.060000,1.040000,1.060000,1.036781,4006000
2019-08-13,1.050000,1.060000,1.030000,1.050000,1.027000,4974000
2019-08-14,1.040000,1.070000,1.040000,1.050000,1.027000,4768000
2019-08-15,1.040000,1.070000,1.030000,1.050000,1.027000,8378000
2019-08-16,1.050000,1.060000,1.040000,1.050000,1.027000,4718000
2019-08-19,1.050000,1.120000,1.040000,1.120000,1.095467,5434000
2019-08-20,1.090000,1.140000,1.090000,1.130000,1.105248,5020003
2019-08-21,1.130000,1.130000,1.100000,1.100000,1.075905,4200000
2019-08-22,1.100000,1.110000,1.070000,1.100000,1.075905,5370000
2019-08-23,1.090000,1.110000,1.070000,1.090000,1.066124,4020000
2019-08-26,1.090000,1.090000,1.060000,1.070000,1.046562,4606000
2019-08-27,1.070000,1.120000,1.060000,1.060000,1.036781,4816182
2019-08-28,1.070000,1.070000,1.020000,1.040000,1.017219,5158000
2019-08-29,1.040000,1.060000,1.020000,1.050000,1.027000,4326000
2019-08-30,1.040000,1.080000,1.040000,1.050000,1.027000,4898000
2019-09-02,1.050000,1.060000,1.040000,1.050000,1.027000,3866009
2019-09-03,1.050000,1.050000,1.030000,1.030000,1.007438,4120000
2019-09-04,1.030000,1.080000,1.030000,1.070000,1.046562,4874000
2019-09-05,1.070000,1.080000,1.050000,1.060000,1.036781,3829772
2019-09-06,1.060000,1.080000,1.060000,1.070000,1.046562,3800000
2019-09-09,1.070000,1.080000,1.060000,1.080000,1.056343,3850009
2019-09-10,1.070000,1.080000,1.050000,1.050000,1.027000,3780000
2019-09-11,1.050000,1.060000,1.040000,1.050000,1.027000,4008594
2019-09-12,1.050000,1.060000,1.040000,1.050000,1.027000,3784000
2019-09-13,1.050000,1.060000,1.030000,1.040000,1.017219,3880000
2019-09-16,1.040000,1.050000,1.040000,1.050000,1.027000,3966012
2019-09-17,1.050000,1.050000,1.020000,1.040000,1.017219,3976000
2019-09-18,1.040000,1.060000,1.030000,1.040000,1.017219,3970000
2019-09-19,1.040000,1.060000,1.040000,1.040000,1.017219,3970000
2019-09-20,1.040000,1.180000,1.040000,1.090000,1.066124,7572000
2019-09-23,1.090000,1.100000,1.070000,1.090000,1.066124,8470000
2019-09-24,1.100000,1.130000,1.100000,1.110000,1.085686,4406003
2019-09-25,1.110000,1.120000,1.090000,1.090000,1.066124,3728000
2019-09-26,1.100000,1.130000,1.100000,1.110000,1.085686,3580000
2019-09-27,1.110000,1.130000,1.110000,1.110000,1.085686,4158000
2019-09-30,1.110000,1.120000,1.080000,1.090000,1.066124,2948000
2019-10-02,1.100000,1.100000,1.080000,1.090000,1.066124,3542000
2019-10-03,1.090000,1.090000,1.070000,1.080000,1.056343,3710000
2019-10-04,1.090000,1.100000,1.070000,1.090000,1.066124,3772000
2019-10-08,1.100000,1.120000,1.070000,1.090000,1.066124,7226000
2019-10-09,1.100000,1.100000,1.060000,1.060000,1.036781,3174000
2019-10-10,1.060000,1.100000,1.050000,1.100000,1.075905,5288000
2019-10-11,1.100000,1.110000,1.080000,1.090000,1.066124,3540240
2019-10-14,1.090000,1.110000,1.080000,1.090000,1.066124,3884000
2019-10-15,1.090000,1.100000,1.080000,1.090000,1.066124,3092000
2019-10-16,1.090000,1.110000,1.090000,1.110000,1.085686,4704000
2019-10-17,1.100000,1.110000,1.070000,1.080000,1.056343,3986000
2019-10-18,1.070000,1.190000,1.050000,1.130000,1.105248,10826000
2019-10-21,1.130000,1.150000,1.090000,1.100000,1.075905,4212000
2019-10-22,1.090000,1.090000,1.080000,1.080000,1.056343,3976000
2019-10-23,1.090000,1.090000,1.050000,1.060000,1.036781,4222000
2019-10-24,1.070000,1.070000,1.040000,1.060000,1.036781,3744000
2019-10-25,1.060000,1.060000,1.040000,1.040000,1.017219,4150000
2019-10-28,1.050000,1.070000,1.040000,1.060000,1.036781,4154000
2019-10-29,1.060000,1.080000,1.060000,1.060000,1.036781,3414000
2019-10-30,1.070000,1.070000,1.050000,1.060000,1.036781,3082000
2019-10-31,1.060000,1.100000,1.060000,1.100000,1.075905,4974000
2019-11-01,1.090000,1.090000,1.060000,1.080000,1.056343,3350000
2019-11-04,1.080000,1.080000,1.070000,1.080000,1.056343,3820000
2019-11-05,1.080000,1.080000,1.050000,1.060000,1.036781,3630000
