Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.570000,0.570000,0.560000,0.560000,0.560000,48000
2019-08-06,0.570000,0.570000,0.570000,0.570000,0.570000,0
2019-08-07,0.570000,0.570000,0.560000,0.560000,0.560000,36000
2019-08-08,0.540000,0.640000,0.540000,0.620000,0.620000,38000
2019-08-09,0.610000,0.610000,0.610000,0.610000,0.610000,0
2019-08-12,0.610000,0.610000,0.610000,0.610000,0.610000,0
2019-08-13,0.540000,0.540000,0.530000,0.530000,0.530000,28000
2019-08-14,0.530000,0.530000,0.500000,0.510000,0.510000,134000
2019-08-15,0.470000,0.590000,0.450000,0.520000,0.520000,140000
2019-08-16,0.520000,0.550000,0.485000,0.485000,0.485000,310000
2019-08-19,0.430000,0.430000,0.365000,0.370000,0.370000,2340000
2019-08-20,0.375000,0.405000,0.340000,0.345000,0.345000,1918000
2019-08-21,0.340000,0.350000,0.340000,0.350000,0.350000,392000
2019-08-22,0.335000,0.345000,0.305000,0.335000,0.335000,1044000
2019-08-23,0.350000,0.395000,0.325000,0.395000,0.395000,1046000
2019-08-26,0.370000,0.390000,0.355000,0.360000,0.360000,224000
2019-08-27,0.355000,0.360000,0.340000,0.340000,0.340000,394000
2019-08-28,0.345000,0.375000,0.345000,0.345000,0.345000,356000
2019-08-29,0.335000,0.380000,0.335000,0.380000,0.380000,498000
2019-08-30,0.350000,0.380000,0.350000,0.375000,0.375000,20000
2019-09-02,0.375000,0.375000,0.350000,0.365000,0.365000,118000
2019-09-03,0.360000,0.360000,0.360000,0.360000,0.360000,0
2019-09-04,0.335000,0.400000,0.335000,0.375000,0.375000,36000
2019-09-05,0.380000,0.380000,0.380000,0.380000,0.380000,0
2019-09-06,0.345000,0.375000,0.345000,0.375000,0.375000,30000
2019-09-09,0.385000,0.440000,0.385000,0.415000,0.415000,104000
2019-09-10,0.415000,0.500000,0.410000,0.470000,0.470000,928000
2019-09-11,0.480000,0.480000,0.470000,0.480000,0.480000,494000
2019-09-12,0.450000,0.490000,0.435000,0.480000,0.480000,258000
2019-09-13,0.500000,0.500000,0.500000,0.490000,0.490000,82000
2019-09-16,0.490000,0.490000,0.440000,0.480000,0.480000,46000
2019-09-17,0.445000,0.485000,0.445000,0.450000,0.450000,24000
2019-09-18,0.455000,0.455000,0.455000,0.455000,0.455000,0
2019-09-19,0.425000,0.435000,0.400000,0.440000,0.440000,128000
2019-09-20,0.455000,0.460000,0.455000,0.460000,0.460000,50000
2019-09-23,0.480000,0.480000,0.480000,0.480000,0.480000,0
2019-09-24,0.480000,0.480000,0.480000,0.480000,0.480000,20000
2019-09-25,0.480000,0.480000,0.480000,0.480000,0.480000,0
2019-09-26,0.480000,0.480000,0.480000,0.480000,0.480000,0
2019-09-27,0.480000,0.495000,0.480000,0.490000,0.490000,532000
2019-09-30,0.440000,0.570000,0.440000,0.560000,0.560000,500000
2019-10-02,0.560000,0.680000,0.560000,0.630000,0.630000,1014000
2019-10-03,0.610000,0.640000,0.530000,0.550000,0.550000,328000
2019-10-04,0.550000,0.590000,0.530000,0.580000,0.580000,202000
2019-10-08,0.580000,0.580000,0.580000,0.580000,0.580000,22000
2019-10-09,0.560000,0.560000,0.560000,0.560000,0.560000,0
2019-10-10,0.580000,0.580000,0.570000,0.570000,0.570000,4000
2019-10-11,0.580000,0.600000,0.580000,0.590000,0.590000,122000
2019-10-14,0.530000,0.620000,0.520000,0.560000,0.560000,160000
2019-10-15,0.560000,0.560000,0.560000,0.560000,0.560000,0
2019-10-16,0.520000,0.550000,0.500000,0.550000,0.550000,64000
2019-10-17,0.530000,0.530000,0.530000,0.530000,0.530000,0
2019-10-18,0.500000,0.500000,0.495000,0.495000,0.495000,218000
2019-10-21,0.500000,0.500000,0.500000,0.500000,0.500000,102000
2019-10-22,0.500000,0.500000,0.500000,0.500000,0.500000,0
2019-10-23,0.470000,0.470000,0.420000,0.470000,0.470000,620000
2019-10-24,0.450000,0.475000,0.450000,0.475000,0.475000,14000
2019-10-25,0.480000,0.495000,0.480000,0.495000,0.495000,18000
2019-10-28,0.495000,0.495000,0.495000,0.495000,0.495000,0
2019-10-29,0.495000,0.495000,0.495000,0.495000,0.495000,0
2019-10-30,0.490000,0.490000,0.490000,0.490000,0.490000,0
2019-10-31,0.410000,0.480000,0.410000,0.480000,0.480000,14000
2019-11-01,0.480000,0.480000,0.480000,0.480000,0.480000,0
2019-11-04,0.480000,0.480000,0.480000,0.480000,0.480000,0
2019-11-05,0.480000,0.480000,0.480000,0.480000,0.480000,0
2019-11-06,0.470000,0.470000,0.470000,0.470000,0.470000,0
2019-11-07,0.460000,0.470000,0.460000,0.470000,0.470000,24000
2019-11-08,0.450000,0.465000,0.450000,0.465000,0.465000,10000
2019-11-11,0.465000,0.465000,0.465000,0.465000,0.465000,0
2019-11-12,0.465000,0.465000,0.465000,0.465000,0.465000,0
2019-11-13,0.460000,0.460000,0.460000,0.460000,0.460000,0
2019-11-14,0.460000,0.460000,0.460000,0.460000,0.460000,0
2019-11-15,0.410000,0.420000,0.410000,0.420000,0.420000,6000
2019-11-18,0.410000,0.425000,0.410000,0.425000,0.425000,44000
2019-11-19,0.425000,0.425000,0.425000,0.425000,0.425000,30000
2019-11-20,0.470000,0.550000,0.470000,0.520000,0.520000,260000
2019-11-21,0.520000,0.560000,0.425000,0.530000,0.530000,166000
2019-11-22,0.530000,0.540000,0.460000,0.485000,0.485000,58000
2019-11-25,0.465000,0.580000,0.465000,0.580000,0.580000,518000
2019-11-26,0.620000,0.650000,0.620000,0.630000,0.630000,2235000
2019-11-27,0.630000,0.680000,0.540000,0.660000,0.660000,1257000
2019-11-28,0.660000,0.680000,0.630000,0.630000,0.630000,457000
2019-11-29,0.600000,0.630000,0.600000,0.630000,0.630000,202000
2019-12-02,0.530000,0.720000,0.530000,0.710000,0.710000,592000
2019-12-03,0.740000,0.750000,0.720000,0.720000,0.720000,54000
2019-12-04,0.660000,0.710000,0.600000,0.690000,0.690000,304000
2019-12-05,0.690000,0.690000,0.690000,0.690000,0.690000,30000
2019-12-06,0.690000,0.700000,0.590000,0.610000,0.610000,758000
2019-12-09,0.700000,0.700000,0.520000,0.530000,0.530000,420000
2019-12-10,0.550000,0.620000,0.550000,0.570000,0.570000,200000
