Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.120000,2.120000,1.960000,2.000000,1.894737,7720239
2019-08-06,1.960000,1.990000,1.880000,1.980000,1.875790,7049879
2019-08-07,1.980000,2.010000,1.900000,1.910000,1.809474,4733881
2019-08-08,1.910000,1.940000,1.890000,1.920000,1.818947,3314000
2019-08-09,1.920000,1.930000,1.890000,1.900000,1.800000,2798057
2019-08-12,1.890000,1.890000,1.830000,1.850000,1.752632,4367692
2019-08-13,1.850000,1.850000,1.730000,1.760000,1.667368,15465482
2019-08-14,1.780000,1.860000,1.770000,1.810000,1.714737,8962000
2019-08-15,1.780000,1.810000,1.750000,1.780000,1.686316,8074000
2019-08-16,1.790000,1.840000,1.780000,1.810000,1.714737,20192615
2019-08-19,1.820000,1.900000,1.810000,1.840000,1.743158,11709846
2019-08-20,1.850000,1.850000,1.750000,1.760000,1.667368,17137000
2019-08-21,1.760000,1.770000,1.730000,1.750000,1.657895,10754819
2019-08-22,1.780000,1.790000,1.730000,1.750000,1.657895,5363041
2019-08-23,1.760000,1.760000,1.730000,1.750000,1.657895,6050000
2019-08-26,1.700000,1.740000,1.680000,1.700000,1.610526,6013360
2019-08-27,1.710000,1.720000,1.690000,1.690000,1.601053,3010000
2019-08-28,1.700000,1.720000,1.680000,1.700000,1.610526,6928000
2019-08-29,1.710000,1.710000,1.690000,1.700000,1.610526,2614000
2019-08-30,1.720000,1.720000,1.670000,1.670000,1.582105,6183891
2019-09-02,1.680000,1.700000,1.670000,1.700000,1.610526,3438000
2019-09-03,1.700000,1.720000,1.680000,1.710000,1.620000,15620229
2019-09-04,1.650000,1.950000,1.620000,1.900000,1.900000,60608998
2019-09-05,1.900000,1.930000,1.730000,1.750000,1.750000,32128249
2019-09-06,1.780000,1.830000,1.750000,1.810000,1.810000,14807222
2019-09-09,1.800000,1.810000,1.730000,1.740000,1.740000,9894000
2019-09-10,1.760000,1.760000,1.720000,1.750000,1.750000,6563834
2019-09-11,1.760000,1.830000,1.760000,1.800000,1.800000,18894000
2019-09-12,1.810000,1.820000,1.760000,1.790000,1.790000,7738000
2019-09-13,1.790000,1.800000,1.740000,1.760000,1.760000,9697415
2019-09-16,1.750000,1.770000,1.740000,1.770000,1.770000,6386000
2019-09-17,1.770000,1.770000,1.710000,1.720000,1.720000,6179052
2019-09-18,1.740000,1.740000,1.710000,1.710000,1.710000,1532000
2019-09-19,1.700000,1.740000,1.670000,1.730000,1.730000,12534430
2019-09-20,1.720000,1.740000,1.690000,1.700000,1.700000,6937075
2019-09-23,1.700000,1.710000,1.680000,1.690000,1.690000,3179083
2019-09-24,1.690000,1.750000,1.690000,1.720000,1.720000,4233187
2019-09-25,1.700000,1.730000,1.680000,1.710000,1.710000,3940000
2019-09-26,1.720000,1.720000,1.680000,1.700000,1.700000,3078000
2019-09-27,1.700000,1.700000,1.660000,1.690000,1.690000,4369002
2019-09-30,1.680000,1.740000,1.650000,1.740000,1.740000,5358000
2019-10-02,1.690000,1.720000,1.690000,1.700000,1.700000,3174000
2019-10-03,1.690000,1.790000,1.690000,1.770000,1.770000,9462500
2019-10-04,1.740000,1.770000,1.690000,1.750000,1.750000,8348384
2019-10-08,1.720000,1.740000,1.680000,1.680000,1.680000,6771076
