Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.500000,1.500000,1.400000,1.420000,1.351807,19498557
2019-08-06,1.380000,1.430000,1.350000,1.420000,1.351807,15156000
2019-08-07,1.430000,1.560000,1.430000,1.530000,1.456525,14744000
2019-08-08,1.520000,1.540000,1.460000,1.470000,1.399406,9782524
2019-08-09,1.480000,1.480000,1.410000,1.440000,1.370847,7626762
2019-08-12,1.420000,1.430000,1.390000,1.410000,1.342288,7277000
2019-08-13,1.390000,1.410000,1.370000,1.400000,1.332768,7352000
2019-08-14,1.430000,1.430000,1.350000,1.360000,1.294689,9962000
2019-08-15,1.350000,1.390000,1.320000,1.390000,1.323248,8048097
2019-08-16,1.380000,1.420000,1.370000,1.400000,1.332768,9936000
2019-08-19,1.390000,1.430000,1.390000,1.420000,1.351807,6360000
2019-08-20,1.430000,1.480000,1.430000,1.470000,1.399406,5678000
2019-08-21,1.460000,1.480000,1.450000,1.480000,1.408926,4997097
2019-08-22,1.470000,1.470000,1.440000,1.450000,1.380367,3778000
2019-08-23,1.470000,1.470000,1.430000,1.440000,1.370847,3790000
2019-08-26,1.390000,1.400000,1.350000,1.380000,1.313728,12502000
2019-08-27,1.380000,1.380000,1.340000,1.360000,1.322774,3364388
2019-08-28,1.350000,1.360000,1.320000,1.340000,1.303321,3804000
2019-08-29,1.350000,1.350000,1.320000,1.330000,1.293595,2738058
2019-08-30,1.330000,1.340000,1.310000,1.310000,1.274142,3514372
2019-09-02,1.310000,1.330000,1.300000,1.310000,1.274142,2112000
2019-09-03,1.320000,1.320000,1.280000,1.290000,1.254690,3624000
2019-09-04,1.290000,1.360000,1.290000,1.350000,1.313048,6041920
2019-09-05,1.350000,1.360000,1.330000,1.330000,1.293595,2229000
2019-09-06,1.330000,1.390000,1.330000,1.380000,1.342226,5460942
2019-09-09,1.380000,1.380000,1.360000,1.360000,1.322774,1900000
2019-09-10,1.370000,1.410000,1.360000,1.400000,1.361679,4584000
2019-09-11,1.400000,1.410000,1.370000,1.400000,1.361679,3647694
2019-09-12,1.400000,1.450000,1.390000,1.440000,1.400584,6728000
2019-09-13,1.440000,1.450000,1.430000,1.440000,1.400584,2990530
2019-09-16,1.430000,1.430000,1.380000,1.410000,1.371405,5520097
2019-09-17,1.410000,1.410000,1.380000,1.390000,1.351953,2153447
2019-09-18,1.380000,1.390000,1.380000,1.380000,1.342226,1454194
2019-09-19,1.390000,1.390000,1.350000,1.380000,1.342226,2238000
2019-09-20,1.380000,1.390000,1.340000,1.360000,1.322774,5720746
2019-09-23,1.370000,1.370000,1.360000,1.370000,1.332500,1568358
2019-09-24,1.360000,1.370000,1.350000,1.350000,1.313048,3246298
2019-09-25,1.350000,1.360000,1.310000,1.330000,1.293595,4810000
2019-09-26,1.330000,1.360000,1.330000,1.350000,1.313048,1632000
2019-09-27,1.350000,1.360000,1.340000,1.350000,1.313048,1636000
2019-09-30,1.350000,1.350000,1.310000,1.320000,1.283869,6090000
2019-10-02,1.320000,1.350000,1.320000,1.330000,1.293595,1750000
2019-10-03,1.310000,1.370000,1.310000,1.350000,1.313048,2648599
2019-10-04,1.350000,1.370000,1.320000,1.330000,1.293595,2376097
2019-10-08,1.340000,1.370000,1.330000,1.360000,1.322774,4328000
2019-10-09,1.330000,1.350000,1.320000,1.340000,1.303321,1764000
2019-10-10,1.350000,1.360000,1.330000,1.330000,1.293595,2202000
2019-10-11,1.340000,1.370000,1.340000,1.360000,1.322774,2590290
2019-10-14,1.370000,1.380000,1.360000,1.380000,1.342226,1808000
2019-10-15,1.390000,1.450000,1.390000,1.440000,1.400584,13120150
2019-10-16,1.450000,1.510000,1.450000,1.490000,1.449215,8456195
2019-10-17,1.500000,1.510000,1.450000,1.470000,1.429763,3964000
2019-10-18,1.480000,1.480000,1.420000,1.420000,1.381131,3826000
2019-10-21,1.420000,1.430000,1.400000,1.400000,1.361679,2564000
2019-10-22,1.420000,1.440000,1.410000,1.440000,1.400584,2026400
2019-10-23,1.430000,1.440000,1.410000,1.420000,1.381131,1482200
2019-10-24,1.420000,1.430000,1.410000,1.430000,1.390858,952000
2019-10-25,1.430000,1.430000,1.410000,1.420000,1.381131,1440000
2019-10-28,1.410000,1.430000,1.410000,1.420000,1.381131,1398000
2019-10-29,1.420000,1.430000,1.410000,1.430000,1.390858,762000
2019-10-30,1.430000,1.440000,1.420000,1.440000,1.400584,1157040
2019-10-31,1.440000,1.450000,1.420000,1.420000,1.381131,1328600
2019-11-01,1.430000,1.440000,1.410000,1.430000,1.390858,1152000
2019-11-04,1.440000,1.500000,1.440000,1.490000,1.449215,7853200
2019-11-05,1.500000,1.630000,1.490000,1.600000,1.556204,14374000
2019-11-06,1.620000,1.630000,1.560000,1.600000,1.556204,6914001
2019-11-07,1.620000,1.700000,1.580000,1.690000,1.643741,13197497
2019-11-08,1.710000,1.710000,1.640000,1.650000,1.604836,13340050
2019-11-11,1.650000,1.660000,1.540000,1.580000,1.536752,7046952
