Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.000000,2.300000,2.000000,2.320000,2.320000,828000
2019-08-06,2.440000,2.440000,2.230000,2.330000,2.330000,420000
2019-08-07,2.460000,2.530000,2.400000,2.460000,2.460000,500000
2019-08-08,2.480000,2.480000,2.420000,2.420000,2.420000,20000
2019-08-09,2.310000,2.420000,2.300000,2.420000,2.420000,352000
2019-08-12,2.420000,2.420000,2.400000,2.400000,2.400000,20000
2019-08-13,2.360000,2.360000,2.200000,2.300000,2.300000,148000
2019-08-14,2.300000,2.300000,2.180000,2.200000,2.200000,48000
2019-08-15,2.150000,2.150000,2.000000,2.100000,2.100000,136000
2019-08-16,2.050000,2.280000,2.050000,2.250000,2.250000,244000
2019-08-19,2.240000,2.300000,2.200000,2.230000,2.230000,1124000
2019-08-20,2.220000,2.340000,2.220000,2.230000,2.230000,104000
2019-08-21,2.400000,2.400000,2.250000,2.350000,2.350000,40000
2019-08-22,2.350000,2.350000,2.350000,2.350000,2.350000,52000
2019-08-23,2.480000,2.480000,2.350000,2.370000,2.370000,32000
2019-08-26,2.370000,2.370000,2.280000,2.290000,2.290000,72000
2019-08-27,2.280000,2.280000,2.200000,2.230000,2.230000,40000
2019-08-28,2.230000,2.350000,2.230000,2.350000,2.350000,56000
2019-08-29,2.340000,2.350000,2.210000,2.320000,2.320000,180000
2019-08-30,2.310000,2.330000,2.310000,2.330000,2.330000,8000
2019-09-02,2.220000,2.250000,2.220000,2.230000,2.230000,1272000
2019-09-03,2.200000,2.200000,2.200000,2.200000,2.200000,0
2019-09-04,2.080000,2.160000,2.080000,2.160000,2.160000,128000
2019-09-05,2.100000,2.100000,1.800000,1.950000,1.950000,188000
2019-09-06,1.920000,2.020000,1.920000,2.000000,2.000000,76000
2019-09-09,2.000000,2.000000,2.000000,2.000000,2.000000,0
2019-09-10,2.000000,2.000000,1.980000,1.980000,1.980000,28000
2019-09-11,1.980000,1.980000,1.800000,1.900000,1.900000,48000
2019-09-12,1.870000,1.980000,1.860000,1.980000,1.980000,132000
2019-09-13,1.920000,1.920000,1.920000,1.920000,1.920000,4000
2019-09-16,1.900000,1.980000,1.820000,1.980000,1.980000,1944000
2019-09-17,1.900000,1.900000,1.800000,1.800000,1.800000,312000
2019-09-18,1.780000,1.780000,1.680000,1.710000,1.710000,140000
2019-09-19,1.710000,1.710000,1.610000,1.640000,1.640000,136000
2019-09-20,1.690000,1.750000,1.650000,1.700000,1.700000,216000
2019-09-23,1.750000,1.800000,1.740000,1.800000,1.800000,128000
2019-09-24,1.800000,1.800000,1.800000,1.800000,1.800000,0
2019-09-25,1.810000,1.810000,1.810000,1.810000,1.810000,8000
2019-09-26,1.880000,1.930000,1.880000,1.930000,1.930000,36000
2019-09-27,1.860000,2.000000,1.860000,1.970000,1.970000,32000
2019-09-30,2.000000,2.000000,1.930000,1.940000,1.940000,1024000
2019-10-02,1.940000,1.940000,1.900000,1.900000,1.900000,716000
