Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.118000,0.120000,0.118000,0.120000,0.120000,149000
2019-08-06,0.113000,0.122000,0.113000,0.122000,0.122000,408100
2019-08-07,0.117000,0.117000,0.117000,0.117000,0.117000,0
2019-08-08,0.118000,0.129000,0.118000,0.127000,0.127000,66000
2019-08-09,0.127000,0.130000,0.116000,0.117000,0.117000,205703
2019-08-12,0.117000,0.119000,0.117000,0.120000,0.120000,38650
2019-08-13,0.114000,0.127000,0.114000,0.127000,0.127000,64618
2019-08-14,0.117000,0.117000,0.116000,0.118000,0.118000,249500
2019-08-15,0.131000,0.131000,0.119000,0.119000,0.119000,410000
2019-08-16,0.118000,0.118000,0.118000,0.118000,0.118000,213500
2019-08-19,0.113000,0.122000,0.113000,0.115000,0.115000,142000
2019-08-20,0.116000,0.127000,0.116000,0.125000,0.125000,275192
2019-08-21,0.119000,0.119000,0.117000,0.117000,0.117000,471253
2019-08-22,0.117000,0.121000,0.116000,0.116000,0.116000,76500
2019-08-23,0.116000,0.123000,0.116000,0.120000,0.120000,16010
2019-08-26,0.115000,0.120000,0.108000,0.120000,0.120000,1872625
2019-08-27,0.109000,0.113000,0.109000,0.113000,0.113000,199000
2019-08-28,0.102000,0.102000,0.092000,0.095000,0.095000,993250
2019-08-29,0.103000,0.105000,0.095000,0.097000,0.097000,2196000
2019-08-30,0.091000,0.110000,0.091000,0.110000,0.110000,1287750
2019-09-02,0.095000,0.110000,0.095000,0.103000,0.103000,246500
2019-09-03,0.095000,0.100000,0.095000,0.096000,0.096000,1869597
2019-09-04,0.093000,0.115000,0.093000,0.103000,0.103000,1110500
2019-09-05,0.102000,0.112000,0.102000,0.102000,0.102000,197525
2019-09-06,0.102000,0.108000,0.100000,0.106000,0.106000,230875
2019-09-09,0.097000,0.110000,0.097000,0.107000,0.107000,30811
2019-09-10,0.097000,0.106000,0.097000,0.106000,0.106000,14803
2019-09-11,0.100000,0.105000,0.097000,0.100000,0.100000,416463
2019-09-12,0.098000,0.100000,0.095000,0.100000,0.100000,369750
2019-09-13,0.100000,0.100000,0.099000,0.099000,0.099000,327000
2019-09-16,0.100000,0.113000,0.099000,0.100000,0.100000,498250
2019-09-17,0.101000,0.103000,0.101000,0.103000,0.103000,177500
2019-09-18,0.101000,0.101000,0.100000,0.101000,0.101000,480520
2019-09-19,0.099000,0.104000,0.099000,0.104000,0.104000,43000
2019-09-20,0.113000,0.113000,0.109000,0.106000,0.106000,15350
2019-09-23,0.099000,0.105000,0.098000,0.104000,0.104000,418750
2019-09-24,0.098000,0.104000,0.100000,0.104000,0.104000,46079
2019-09-25,0.097000,0.100000,0.097000,0.097000,0.097000,524000
2019-09-26,0.098000,0.104000,0.097000,0.102000,0.102000,633000
2019-09-27,0.098000,0.103000,0.098000,0.102000,0.102000,85275
2019-09-30,0.097000,0.102000,0.097000,0.101000,0.101000,166175
2019-10-02,0.098000,0.100000,0.098000,0.100000,0.100000,297000
2019-10-03,0.097000,0.103000,0.097000,0.103000,0.103000,622250
2019-10-04,0.098000,0.100000,0.095000,0.100000,0.100000,311625
2019-10-08,0.095000,0.097000,0.095000,0.097000,0.097000,930938
2019-10-09,0.097000,0.098000,0.097000,0.097000,0.097000,75650
2019-10-10,0.093000,0.097000,0.083000,0.095000,0.095000,2974106
2019-10-11,0.095000,0.095000,0.085000,0.093000,0.093000,1082000
2019-10-14,0.093000,0.098000,0.091000,0.098000,0.098000,122575
2019-10-15,0.086000,0.098000,0.085000,0.093000,0.093000,840250
2019-10-16,0.088000,0.094000,0.088000,0.094000,0.094000,491125
2019-10-17,0.087000,0.095000,0.087000,0.094000,0.094000,55175
2019-10-18,0.095000,0.102000,0.092000,0.099000,0.099000,1156053
2019-10-21,0.095000,0.104000,0.093000,0.100000,0.100000,321553
2019-10-22,0.100000,0.104000,0.093000,0.102000,0.102000,780016
2019-10-23,0.100000,0.102000,0.095000,0.099000,0.099000,594501
2019-10-24,0.093000,0.097000,0.093000,0.095000,0.095000,153250
2019-10-25,0.093000,0.129000,0.093000,0.112000,0.112000,8582500
2019-10-28,0.109000,0.120000,0.109000,0.116000,0.116000,1366017
2019-10-29,0.116000,0.116000,0.113000,0.113000,0.113000,451500
2019-10-30,0.114000,0.117000,0.110000,0.113000,0.113000,393500
2019-10-31,0.110000,0.117000,0.110000,0.115000,0.115000,721000
2019-11-01,0.115000,0.116000,0.110000,0.110000,0.110000,234050
2019-11-04,0.120000,0.120000,0.109000,0.115000,0.115000,223250
2019-11-05,0.101000,0.115000,0.101000,0.109000,0.109000,2594255
2019-11-06,0.109000,0.110000,0.105000,0.110000,0.110000,626292
2019-11-07,0.106000,0.116000,0.106000,0.107000,0.107000,599053
2019-11-08,0.103000,0.107000,0.101000,0.102000,0.102000,1260625
2019-11-11,0.103000,0.107000,0.103000,0.105000,0.105000,391850
2019-11-12,0.105000,0.105000,0.105000,0.105000,0.105000,32553
2019-11-13,0.100000,0.103000,0.100000,0.100000,0.100000,945532
2019-11-14,0.098000,0.098000,0.098000,0.098000,0.098000,0
2019-11-15,0.098000,0.102000,0.096000,0.102000,0.102000,375625
2019-11-18,0.102000,0.111000,0.101000,0.101000,0.101000,716833
2019-11-19,0.100000,0.104000,0.100000,0.102000,0.102000,150750
2019-11-20,0.097000,0.103000,0.097000,0.103000,0.103000,988900
2019-11-21,0.096000,0.106000,0.096000,0.105000,0.105000,155625
2019-11-22,0.096000,0.102000,0.096000,0.102000,0.102000,230250
2019-11-25,0.097000,0.103000,0.097000,0.102000,0.102000,181878
2019-11-26,0.098000,0.102000,0.098000,0.101000,0.101000,515250
2019-11-27,0.099000,0.110000,0.099000,0.108000,0.108000,135625
2019-11-28,0.100000,0.105000,0.100000,0.103000,0.103000,179025
2019-11-29,0.100000,0.100000,0.086000,0.093000,0.093000,6234037
2019-12-02,0.090000,0.100000,0.087000,0.093000,0.093000,921500
2019-12-03,0.093000,0.096000,0.087000,0.087000,0.087000,2884750
2019-12-04,0.082000,0.085000,0.078000,0.081000,0.081000,4365031
