Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,6.560000,7.250000,6.560000,6.730000,6.730000,2227200
2019-08-06,6.510000,6.740000,6.160000,6.690000,6.690000,1610000
2019-08-07,6.700000,6.710000,6.450000,6.500000,6.500000,526600
2019-08-08,6.600000,7.420000,6.600000,7.300000,7.300000,3713800
2019-08-09,7.300000,7.310000,6.980000,7.060000,7.060000,1984000
2019-08-12,7.000000,7.230000,6.980000,7.000000,7.000000,1086000
2019-08-13,6.900000,7.030000,6.800000,6.850000,6.850000,1878000
2019-08-14,6.980000,7.250000,6.780000,7.150000,7.150000,2896026
2019-08-15,7.000000,7.330000,6.880000,6.960000,6.960000,4707000
2019-08-16,6.960000,7.050000,6.750000,6.780000,6.780000,1814000
2019-08-19,6.890000,6.930000,6.710000,6.870000,6.870000,1153200
2019-08-20,6.890000,7.110000,6.790000,6.870000,6.870000,1256000
2019-08-21,6.890000,6.890000,6.740000,6.810000,6.810000,742000
2019-08-22,6.820000,6.870000,6.730000,6.820000,6.820000,410000
2019-08-23,6.800000,6.870000,6.640000,6.720000,6.720000,608000
2019-08-26,6.510000,6.570000,6.390000,6.520000,6.520000,1128000
2019-08-27,6.600000,6.600000,6.490000,6.530000,6.530000,651752
2019-08-28,6.520000,6.810000,6.500000,6.580000,6.580000,1041200
2019-08-29,6.560000,6.610000,6.450000,6.520000,6.520000,339547
2019-08-30,6.580000,7.020000,6.560000,6.960000,6.960000,3358000
2019-09-02,7.050000,7.420000,6.930000,7.270000,7.270000,3642800
2019-09-03,7.270000,7.440000,7.040000,7.280000,7.280000,1712400
2019-09-04,7.390000,7.400000,7.210000,7.320000,7.320000,874800
2019-09-05,7.320000,7.550000,7.300000,7.390000,7.390000,2374000
2019-09-06,7.420000,7.530000,7.300000,7.340000,7.340000,1736600
2019-09-09,7.290000,7.350000,7.040000,7.160000,7.160000,1478400
2019-09-10,7.100000,7.400000,7.000000,7.080000,7.080000,1812000
2019-09-11,7.090000,7.140000,6.850000,7.020000,7.020000,1276000
2019-09-12,7.060000,7.060000,6.870000,6.960000,6.960000,624000
2019-09-13,6.970000,7.000000,6.870000,6.990000,6.990000,630000
2019-09-16,7.000000,7.050000,6.770000,6.800000,6.800000,1164000
2019-09-17,6.820000,7.100000,6.800000,6.870000,6.870000,1704000
2019-09-18,6.910000,6.870000,6.700000,6.780000,6.780000,1283200
2019-09-19,6.780000,6.780000,6.710000,6.730000,6.730000,881000
2019-09-20,6.710000,6.780000,6.610000,6.700000,6.700000,1004000
2019-09-23,6.650000,6.710000,6.520000,6.600000,6.600000,1212000
2019-09-24,6.520000,6.570000,6.480000,6.490000,6.490000,733200
2019-09-25,6.500000,6.600000,6.410000,6.460000,6.460000,1120000
2019-09-26,6.470000,6.500000,6.200000,6.240000,6.240000,1560600
2019-09-27,6.180000,6.350000,6.130000,6.270000,6.270000,735276
2019-09-30,6.280000,6.350000,6.080000,6.130000,6.130000,684000
2019-10-02,6.110000,6.130000,6.000000,6.050000,6.050000,514000
2019-10-03,6.000000,6.010000,5.940000,5.990000,5.990000,606000
2019-10-04,6.020000,6.050000,5.800000,5.890000,5.890000,1013600
2019-10-08,5.890000,6.030000,5.820000,5.860000,5.860000,926600
2019-10-09,5.760000,5.820000,5.750000,5.770000,5.770000,748000
2019-10-10,5.760000,5.920000,5.760000,5.860000,5.860000,924000
2019-10-11,5.900000,5.930000,5.750000,5.800000,5.800000,2264200
2019-10-14,5.860000,6.070000,5.840000,6.030000,6.030000,1964000
2019-10-15,6.030000,6.040000,5.890000,5.920000,5.920000,842000
2019-10-16,5.950000,6.010000,5.880000,5.940000,5.940000,582600
2019-10-17,5.930000,5.970000,5.860000,5.910000,5.910000,609800
2019-10-18,5.980000,5.980000,5.800000,5.840000,5.840000,726000
2019-10-21,5.810000,5.920000,5.790000,5.870000,5.870000,432000
2019-10-22,5.870000,5.900000,5.770000,5.890000,5.890000,446100
2019-10-23,5.910000,5.940000,5.860000,5.870000,5.870000,238000
2019-10-24,5.890000,6.240000,5.870000,6.240000,6.240000,2511608
2019-10-25,6.280000,6.390000,6.140000,6.140000,6.140000,1368000
2019-10-28,6.280000,6.280000,6.110000,6.130000,6.130000,558000
2019-10-29,6.130000,6.190000,5.990000,6.000000,6.000000,521936
2019-10-30,6.080000,6.090000,6.010000,6.050000,6.050000,462000
2019-10-31,6.040000,6.040000,5.840000,5.930000,5.930000,1076000
2019-11-01,5.900000,5.930000,5.870000,5.910000,5.910000,726000
2019-11-04,5.980000,6.000000,5.920000,5.930000,5.930000,910400
2019-11-05,6.000000,6.310000,6.000000,6.190000,6.190000,1990000
2019-11-06,6.290000,6.450000,6.200000,6.220000,6.220000,1958000
2019-11-07,6.250000,6.250000,6.090000,6.130000,6.130000,589640
2019-11-08,6.150000,6.150000,6.050000,6.060000,6.060000,461000
2019-11-11,6.080000,6.080000,5.870000,5.880000,5.880000,600000
2019-11-12,5.930000,5.990000,5.890000,5.950000,5.950000,416000
2019-11-13,5.900000,5.900000,5.800000,5.800000,5.800000,518000
2019-11-14,5.810000,5.870000,5.720000,5.760000,5.760000,494000
2019-11-15,5.800000,5.810000,5.660000,5.670000,5.670000,406000
2019-11-18,5.700000,5.750000,5.600000,5.660000,5.660000,454000
2019-11-19,5.690000,5.930000,5.660000,5.870000,5.870000,654000
2019-11-20,5.900000,5.900000,5.760000,5.800000,5.800000,384000
2019-11-21,5.730000,5.970000,5.730000,5.920000,5.920000,996000
2019-11-22,5.850000,5.990000,5.750000,5.820000,5.820000,610000
2019-11-25,5.790000,5.930000,5.790000,5.880000,5.880000,392000
2019-11-26,5.900000,6.090000,5.870000,5.960000,5.960000,1213200
2019-11-27,5.960000,6.020000,5.840000,5.860000,5.860000,470000
2019-11-28,5.840000,5.850000,5.780000,5.810000,5.810000,224400
2019-11-29,5.770000,5.790000,5.720000,5.760000,5.760000,346000
2019-12-02,5.670000,5.780000,5.670000,5.700000,5.700000,290000
2019-12-03,5.710000,5.780000,5.640000,5.710000,5.710000,360040
2019-12-04,5.710000,5.720000,5.610000,5.620000,5.620000,489000
2019-12-05,5.680000,5.680000,5.550000,5.600000,5.600000,710000
2019-12-06,5.640000,5.730000,5.620000,5.690000,5.690000,366000
2019-12-09,5.690000,5.780000,5.600000,5.730000,5.730000,750000
2019-12-10,5.610000,5.720000,5.590000,5.640000,5.640000,619800
2019-12-11,5.640000,5.730000,5.620000,5.710000,5.710000,484000
2019-12-12,5.680000,5.860000,5.680000,5.770000,5.770000,818000
2019-12-13,5.820000,5.900000,5.800000,5.830000,5.830000,840000
2019-12-16,5.910000,5.950000,5.810000,5.940000,5.940000,1320000
2019-12-17,5.900000,6.030000,5.890000,6.000000,6.000000,876000
2019-12-18,6.080000,6.170000,6.010000,6.030000,6.030000,1414000
2019-12-19,6.000000,6.000000,5.850000,5.880000,5.880000,481608
2019-12-20,5.880000,5.880000,5.790000,5.850000,5.850000,460600
2019-12-23,5.860000,5.870000,5.710000,5.790000,5.790000,672000
2019-12-24,5.840000,5.840000,5.790000,5.800000,5.800000,104000
2019-12-27,5.800000,5.900000,5.800000,5.820000,5.820000,603582
2019-12-30,5.840000,5.870000,5.800000,5.840000,5.840000,301200
2019-12-31,5.840000,5.840000,5.770000,5.820000,5.820000,346000
2020-01-02,5.860000,5.990000,5.850000,5.970000,5.970000,882000
2020-01-03,6.000000,6.060000,5.900000,5.960000,5.960000,1298200
2020-01-06,6.060000,6.140000,5.970000,6.000000,6.000000,1200000
2020-01-07,5.970000,6.070000,5.900000,5.950000,5.950000,630000
2020-01-08,5.980000,6.330000,5.960000,6.280000,6.280000,5097000
2020-01-09,6.280000,6.280000,6.040000,6.080000,6.080000,1714000
2020-01-10,6.130000,6.140000,5.990000,6.100000,6.100000,522000
2020-01-13,6.050000,6.090000,5.970000,6.030000,6.030000,843000
2020-01-14,6.040000,6.060000,5.940000,5.980000,5.980000,632000
2020-01-15,5.950000,6.010000,5.910000,5.920000,5.920000,576000
2020-01-16,5.960000,6.000000,5.870000,5.900000,5.900000,850000
2020-01-17,5.880000,5.890000,5.830000,5.860000,5.860000,819200
2020-01-20,5.930000,5.970000,5.900000,5.950000,5.950000,599000
2020-01-21,5.910000,5.910000,5.760000,5.760000,5.760000,918000
2020-01-22,5.830000,5.850000,5.690000,5.830000,5.830000,574000
2020-01-23,5.790000,5.880000,5.700000,5.710000,5.710000,680000
2020-01-24,5.700000,5.790000,5.700000,5.760000,5.760000,64000
2020-01-29,5.560000,5.580000,5.400000,5.430000,5.430000,770000
2020-01-30,5.330000,5.330000,5.090000,5.150000,5.150000,1022000
2020-01-31,5.150000,5.200000,5.050000,5.090000,5.090000,456800
2020-02-03,5.090000,5.090000,4.900000,4.970000,4.970000,1875992
2020-02-04,5.030000,5.170000,5.030000,5.090000,5.090000,873600
2020-02-05,5.140000,5.190000,5.090000,5.100000,5.100000,568000
2020-02-06,5.190000,5.280000,5.140000,5.260000,5.260000,1002600
2020-02-07,5.240000,5.260000,5.140000,5.250000,5.250000,818000
2020-02-10,5.200000,5.320000,5.120000,5.260000,5.260000,464000
2020-02-11,5.320000,5.340000,5.240000,5.280000,5.280000,360000
2020-02-12,5.290000,5.290000,5.230000,5.260000,5.260000,416853
2020-02-13,5.260000,5.330000,5.200000,5.230000,5.230000,355200
2020-02-14,5.230000,5.280000,5.160000,5.230000,5.230000,366000
2020-02-17,5.270000,5.450000,5.270000,5.410000,5.410000,838600
2020-02-18,5.420000,5.540000,5.390000,5.420000,5.420000,920000
2020-02-19,5.410000,5.430000,5.300000,5.350000,5.350000,678000
2020-02-20,5.390000,5.430000,5.350000,5.400000,5.400000,426000
2020-02-21,5.370000,5.400000,5.300000,5.320000,5.320000,628000
2020-02-24,5.230000,5.250000,5.110000,5.130000,5.130000,756000
2020-02-25,5.130000,5.130000,5.000000,5.080000,5.080000,1118800
2020-02-26,5.010000,5.380000,5.000000,5.140000,5.140000,2418000
2020-02-27,5.140000,5.150000,5.090000,5.150000,5.150000,302000
2020-02-28,5.040000,5.070000,5.000000,5.000000,5.000000,1131200
2020-03-02,5.000000,5.140000,4.980000,5.080000,5.080000,365200
2020-03-03,5.100000,5.190000,5.030000,5.060000,5.060000,430000
2020-03-04,5.030000,5.100000,5.030000,5.100000,5.100000,310000
2020-03-05,5.100000,5.140000,5.050000,5.130000,5.130000,274000
2020-03-06,5.060000,5.070000,5.020000,5.040000,5.040000,454000
2020-03-09,5.040000,5.040000,5.040000,5.040000,5.040000,0
2020-03-10,4.840000,4.840000,4.840000,4.840000,4.840000,0
2020-03-11,4.990000,5.170000,4.890000,4.950000,4.950000,506000
2020-03-12,4.850000,4.860000,4.700000,4.750000,4.750000,1032000
2020-03-13,4.520000,4.750000,4.400000,4.690000,4.690000,1727000
2020-03-16,4.790000,4.790000,4.310000,4.390000,4.390000,850200
2020-03-17,4.380000,4.380000,4.190000,4.310000,4.310000,1181000
2020-03-18,4.380000,4.530000,4.160000,4.180000,4.180000,1110200
2020-03-19,4.160000,4.170000,3.900000,3.930000,3.930000,1091200
2020-03-20,3.930000,4.130000,3.930000,4.050000,4.050000,1327800
2020-03-23,4.000000,4.000000,3.900000,3.940000,3.940000,556800
2020-03-24,3.980000,4.090000,3.960000,4.010000,4.010000,748060
2020-03-25,4.110000,4.190000,4.080000,4.150000,4.150000,624000
2020-03-26,4.170000,4.180000,4.080000,4.110000,4.110000,552000
2020-03-27,4.170000,4.220000,4.110000,4.150000,4.150000,1170000
2020-03-30,4.150000,4.670000,4.000000,4.510000,4.510000,3316000
2020-03-31,4.750000,4.820000,4.440000,4.630000,4.630000,2272000
2020-04-01,4.610000,4.730000,4.360000,4.450000,4.450000,1036600
2020-04-02,4.400000,4.700000,4.360000,4.650000,4.650000,995000
2020-04-03,4.650000,4.710000,4.560000,4.600000,4.600000,362000
2020-04-06,4.650000,4.750000,4.600000,4.730000,4.730000,219000
2020-04-07,4.720000,4.920000,4.700000,4.900000,4.900000,1550000
