Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.490000,0.500000,0.460000,0.475000,0.475000,4552000
2019-08-06,0.460000,0.480000,0.450000,0.475000,0.475000,1993000
2019-08-07,0.475000,0.495000,0.475000,0.495000,0.495000,688000
2019-08-08,0.500000,0.510000,0.485000,0.500000,0.500000,1248000
2019-08-09,0.500000,0.510000,0.485000,0.490000,0.490000,1384000
2019-08-12,0.485000,0.500000,0.485000,0.500000,0.500000,968000
2019-08-13,0.450000,0.500000,0.445000,0.460000,0.460000,9232000
2019-08-14,0.475000,0.475000,0.435000,0.470000,0.470000,8568000
2019-08-15,0.450000,0.465000,0.450000,0.455000,0.455000,1648000
2019-08-16,0.465000,0.490000,0.460000,0.470000,0.470000,1768000
2019-08-19,0.490000,0.495000,0.470000,0.475000,0.475000,1336000
2019-08-20,0.475000,0.485000,0.470000,0.475000,0.475000,718000
2019-08-21,0.475000,0.475000,0.465000,0.475000,0.475000,1512000
2019-08-22,0.475000,0.480000,0.470000,0.470000,0.470000,480000
2019-08-23,0.465000,0.470000,0.450000,0.460000,0.460000,2560000
2019-08-26,0.445000,0.455000,0.440000,0.455000,0.455000,1848000
2019-08-27,0.460000,0.460000,0.455000,0.455000,0.455000,448000
2019-08-28,0.460000,0.465000,0.445000,0.445000,0.445000,1072000
2019-08-29,0.440000,0.520000,0.440000,0.480000,0.480000,3044442
2019-08-30,0.485000,0.485000,0.450000,0.455000,0.455000,2320000
2019-09-02,0.440000,0.460000,0.440000,0.460000,0.460000,320000
2019-09-03,0.455000,0.460000,0.455000,0.455000,0.455000,864000
2019-09-04,0.455000,0.490000,0.450000,0.480000,0.480000,1064000
2019-09-05,0.480000,0.490000,0.470000,0.475000,0.475000,1088000
2019-09-06,0.490000,0.490000,0.460000,0.485000,0.485000,272000
2019-09-09,0.480000,0.480000,0.470000,0.475000,0.475000,216000
2019-09-10,0.480000,0.480000,0.460000,0.470000,0.470000,1799000
2019-09-11,0.475000,0.490000,0.475000,0.485000,0.485000,504000
2019-09-12,0.480000,0.490000,0.475000,0.480000,0.480000,832000
2019-09-13,0.490000,0.495000,0.490000,0.495000,0.495000,600000
2019-09-16,0.485000,0.495000,0.480000,0.485000,0.485000,205000
2019-09-17,0.490000,0.490000,0.475000,0.475000,0.475000,392000
2019-09-18,0.480000,0.540000,0.475000,0.540000,0.540000,6488000
2019-09-19,0.540000,0.650000,0.540000,0.650000,0.650000,24592000
2019-09-20,0.640000,0.690000,0.610000,0.630000,0.630000,11981000
2019-09-23,0.620000,0.630000,0.580000,0.590000,0.590000,4040000
2019-09-24,0.600000,0.650000,0.590000,0.600000,0.600000,4237000
2019-09-25,0.600000,0.600000,0.550000,0.560000,0.560000,3629000
2019-09-26,0.550000,0.550000,0.520000,0.530000,0.530000,2057000
2019-09-27,0.530000,0.570000,0.530000,0.550000,0.550000,600000
2019-09-30,0.550000,0.560000,0.530000,0.540000,0.540000,776000
2019-10-02,0.530000,0.560000,0.530000,0.540000,0.540000,838000
2019-10-03,0.520000,0.540000,0.520000,0.530000,0.530000,482000
2019-10-04,0.540000,0.550000,0.510000,0.520000,0.520000,624000
2019-10-08,0.520000,0.540000,0.520000,0.520000,0.520000,464000
2019-10-09,0.530000,0.530000,0.520000,0.520000,0.520000,624000
2019-10-10,0.530000,0.570000,0.530000,0.560000,0.560000,1822000
2019-10-11,0.580000,0.590000,0.550000,0.560000,0.560000,1656000
2019-10-14,0.550000,0.560000,0.540000,0.550000,0.550000,680000
2019-10-15,0.560000,0.580000,0.550000,0.560000,0.560000,992000
2019-10-16,0.540000,0.570000,0.540000,0.540000,0.540000,480000
2019-10-17,0.550000,0.550000,0.530000,0.530000,0.530000,736000
2019-10-18,0.540000,0.550000,0.530000,0.530000,0.530000,344000
2019-10-21,0.530000,0.530000,0.530000,0.530000,0.530000,199200
2019-10-22,0.530000,0.550000,0.520000,0.540000,0.540000,872000
2019-10-23,0.520000,0.540000,0.520000,0.520000,0.520000,352000
2019-10-24,0.530000,0.550000,0.530000,0.540000,0.540000,408000
2019-10-25,0.550000,0.600000,0.550000,0.560000,0.560000,5352000
2019-10-28,0.540000,0.580000,0.540000,0.570000,0.570000,1048000
2019-10-29,0.560000,0.570000,0.560000,0.560000,0.560000,432000
2019-10-30,0.550000,0.560000,0.540000,0.540000,0.540000,738000
2019-10-31,0.550000,0.570000,0.550000,0.560000,0.560000,488000
2019-11-01,0.550000,0.560000,0.550000,0.560000,0.560000,264000
2019-11-04,0.570000,0.580000,0.570000,0.570000,0.570000,1928000
2019-11-05,0.570000,0.570000,0.570000,0.570000,0.570000,208000
2019-11-06,0.560000,0.600000,0.560000,0.570000,0.570000,1808000
2019-11-07,0.570000,0.580000,0.560000,0.570000,0.570000,464000
2019-11-08,0.570000,0.570000,0.540000,0.550000,0.550000,2856000
2019-11-11,0.540000,0.540000,0.520000,0.520000,0.520000,1400000
2019-11-12,0.530000,0.550000,0.530000,0.530000,0.530000,600000
2019-11-13,0.530000,0.550000,0.520000,0.530000,0.530000,680000
2019-11-14,0.550000,0.550000,0.520000,0.530000,0.530000,344000
2019-11-15,0.520000,0.530000,0.510000,0.520000,0.520000,568000
2019-11-18,0.520000,0.540000,0.520000,0.530000,0.530000,880000
2019-11-19,0.540000,0.550000,0.540000,0.540000,0.540000,1058000
2019-11-20,0.530000,0.540000,0.530000,0.540000,0.540000,416000
2019-11-21,0.520000,0.540000,0.510000,0.520000,0.520000,1376000
2019-11-22,0.510000,0.540000,0.495000,0.530000,0.530000,1912000
2019-11-25,0.530000,0.530000,0.510000,0.520000,0.520000,152000
2019-11-26,0.510000,0.520000,0.490000,0.490000,0.490000,2560000
2019-11-27,0.495000,0.500000,0.495000,0.495000,0.495000,1600000
2019-11-28,0.490000,0.500000,0.490000,0.495000,0.495000,208000
2019-11-29,0.495000,0.495000,0.480000,0.490000,0.490000,2073200
2019-12-02,0.490000,0.490000,0.470000,0.475000,0.475000,2582000
