Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.130000,5.130000,5.040000,5.040000,5.040000,87000
2019-08-06,4.910000,4.930000,4.820000,4.900000,4.900000,342000
2019-08-07,4.940000,4.940000,4.820000,4.820000,4.820000,367000
2019-08-08,4.950000,4.950000,4.830000,4.870000,4.870000,178000
2019-08-09,4.870000,4.900000,4.700000,4.700000,4.700000,157000
2019-08-12,4.730000,4.820000,4.730000,4.810000,4.810000,62000
2019-08-13,4.810000,4.810000,4.630000,4.710000,4.710000,398000
2019-08-14,4.720000,4.760000,4.550000,4.680000,4.680000,402000
2019-08-15,4.700000,4.710000,4.650000,4.660000,4.660000,130000
2019-08-16,4.800000,4.880000,4.700000,4.790000,4.790000,308000
2019-08-19,4.800000,4.940000,4.790000,4.870000,4.870000,674000
2019-08-20,4.800000,4.860000,4.730000,4.800000,4.800000,157000
2019-08-21,4.800000,4.850000,4.800000,4.850000,4.850000,65000
2019-08-22,4.850000,4.850000,4.780000,4.780000,4.780000,181000
2019-08-23,4.770000,4.790000,4.750000,4.780000,4.780000,57000
2019-08-26,4.750000,4.750000,4.560000,4.630000,4.630000,38000
2019-08-27,4.710000,4.750000,4.670000,4.680000,4.680000,81000
2019-08-28,4.700000,4.750000,4.640000,4.670000,4.670000,62000
2019-08-29,4.700000,4.700000,4.550000,4.600000,4.600000,200029
2019-08-30,4.630000,4.670000,4.560000,4.610000,4.610000,593000
2019-09-02,4.600000,4.600000,4.500000,4.590000,4.590000,262000
2019-09-03,4.600000,4.790000,4.510000,4.790000,4.790000,185000
2019-09-04,4.790000,4.790000,4.790000,4.790000,4.790000,4000
2019-09-05,4.790000,4.880000,4.700000,4.880000,4.880000,140000
2019-09-06,4.880000,5.200000,4.800000,5.060000,5.060000,450000
2019-09-09,5.040000,5.050000,4.920000,5.050000,5.050000,28000
2019-09-10,5.000000,5.050000,4.900000,5.000000,5.000000,101000
2019-09-11,4.850000,5.080000,4.800000,5.070000,5.070000,320341
2019-09-12,5.050000,5.060000,5.050000,5.060000,5.060000,19000
2019-09-13,5.000000,5.200000,5.000000,5.190000,5.190000,165000
2019-09-16,5.220000,5.270000,5.150000,5.160000,5.160000,211000
2019-09-17,5.360000,5.400000,5.150000,5.240000,5.240000,152000
2019-09-18,5.280000,5.400000,5.250000,5.310000,5.310000,149238
2019-09-19,5.230000,5.330000,5.200000,5.280000,5.280000,89000
2019-09-20,5.230000,5.600000,5.220000,5.450000,5.450000,487000
2019-09-23,5.400000,5.400000,5.060000,5.110000,5.110000,288000
2019-09-24,5.140000,5.210000,5.140000,5.170000,5.170000,41700
2019-09-25,5.190000,5.190000,5.050000,5.060000,5.060000,77000
2019-09-26,5.200000,5.300000,5.140000,5.180000,5.180000,137000
2019-09-27,5.200000,5.200000,5.120000,5.120000,5.120000,31000
2019-09-30,5.100000,5.100000,4.870000,4.880000,4.880000,193000
2019-10-02,4.900000,5.120000,4.860000,4.880000,4.880000,237000
2019-10-03,4.890000,5.120000,4.880000,5.020000,5.020000,82000
2019-10-04,4.910000,5.160000,4.910000,4.940000,4.940000,13000
2019-10-08,5.020000,5.140000,4.810000,5.140000,5.140000,314000
2019-10-09,5.140000,5.150000,4.950000,4.950000,4.950000,83000
2019-10-10,4.950000,5.200000,4.900000,5.160000,5.160000,160000
2019-10-11,5.190000,5.270000,5.100000,5.100000,5.100000,296000
2019-10-14,5.300000,5.390000,5.200000,5.240000,5.240000,209000
2019-10-15,5.180000,5.300000,5.180000,5.250000,5.250000,118000
2019-10-16,5.250000,5.360000,5.250000,5.250000,5.250000,110000
2019-10-17,5.260000,5.400000,5.250000,5.370000,5.370000,188000
2019-10-18,5.300000,5.300000,5.200000,5.290000,5.290000,40000
2019-10-21,5.230000,5.280000,5.220000,5.240000,5.240000,128000
2019-10-22,5.280000,5.330000,5.270000,5.270000,5.270000,75000
2019-10-23,5.290000,5.290000,5.210000,5.210000,5.210000,19000
2019-10-24,5.250000,5.280000,5.120000,5.130000,5.130000,95000
2019-10-25,5.150000,5.150000,5.150000,5.150000,5.150000,49000
2019-10-28,5.140000,5.200000,5.140000,5.200000,5.200000,25000
2019-10-29,5.200000,5.200000,5.200000,5.200000,5.200000,0
2019-10-30,5.270000,5.280000,5.190000,5.190000,5.190000,75000
2019-10-31,5.200000,5.210000,5.160000,5.170000,5.170000,83000
2019-11-01,5.150000,5.340000,5.130000,5.240000,5.240000,155000
2019-11-04,5.240000,5.400000,5.220000,5.400000,5.400000,220000
2019-11-05,5.400000,5.400000,5.230000,5.230000,5.230000,62000
2019-11-06,5.210000,5.210000,5.160000,5.170000,5.170000,27000
2019-11-07,5.150000,5.200000,5.150000,5.180000,5.180000,51000
2019-11-08,5.280000,5.280000,5.130000,5.150000,5.150000,104000
2019-11-11,5.110000,5.160000,5.040000,5.050000,5.050000,88000
2019-11-12,5.070000,5.060000,5.050000,5.060000,5.060000,41000
2019-11-13,5.100000,5.100000,4.980000,4.970000,4.970000,144000
2019-11-14,5.080000,5.130000,4.990000,4.990000,4.990000,65000
2019-11-15,4.990000,5.120000,4.990000,5.080000,5.080000,98000
2019-11-18,5.030000,5.200000,5.030000,5.070000,5.070000,190000
2019-11-19,5.120000,5.230000,5.170000,5.190000,5.190000,352000
2019-11-20,5.200000,5.300000,5.200000,5.240000,5.240000,475000
2019-11-21,5.180000,5.200000,5.180000,5.200000,5.200000,5000
2019-11-22,5.200000,5.200000,5.200000,5.200000,5.200000,0
2019-11-25,5.090000,5.200000,5.080000,5.180000,5.180000,105000
2019-11-26,5.200000,5.300000,5.200000,5.260000,5.260000,283000
2019-11-27,5.260000,5.260000,5.150000,5.150000,5.150000,85000
2019-11-28,5.200000,5.250000,5.000000,5.010000,5.010000,113000
2019-11-29,5.030000,5.060000,4.930000,4.970000,4.970000,179002
2019-12-02,4.970000,5.020000,4.900000,4.930000,4.930000,161000
2019-12-03,4.890000,4.930000,4.820000,4.840000,4.840000,160500
2019-12-04,4.810000,4.900000,4.810000,4.830000,4.830000,321000
2019-12-05,4.950000,4.950000,4.890000,4.900000,4.900000,43000
2019-12-06,4.910000,5.060000,4.860000,4.980000,4.980000,172000
2019-12-09,4.850000,5.010000,4.850000,4.900000,4.900000,236000
2019-12-10,4.900000,4.940000,4.850000,4.920000,4.920000,94000
2019-12-11,5.000000,5.000000,5.000000,5.000000,5.000000,6000
2019-12-12,4.980000,5.090000,4.930000,4.930000,4.930000,33000
2019-12-13,5.000000,5.090000,4.930000,4.960000,4.960000,128000
2019-12-16,4.930000,5.020000,4.870000,4.950000,4.950000,178000
2019-12-17,4.950000,4.990000,4.800000,4.890000,4.890000,397000
2019-12-18,4.920000,5.130000,4.920000,5.000000,5.000000,1449000
2019-12-19,5.030000,5.050000,4.940000,5.030000,5.030000,547000
2019-12-20,5.030000,5.050000,5.000000,5.020000,5.020000,545000
2019-12-23,5.020000,5.100000,5.020000,5.080000,5.080000,946000
2019-12-24,5.090000,5.150000,5.060000,5.060000,5.060000,815000
2019-12-27,5.060000,5.340000,5.060000,5.270000,5.270000,610000
2019-12-30,5.300000,5.550000,5.300000,5.530000,5.530000,1291000
2019-12-31,5.550000,5.550000,5.530000,5.530000,5.530000,7000
2020-01-02,5.520000,5.540000,5.440000,5.450000,5.450000,222000
2020-01-03,5.500000,5.660000,5.450000,5.600000,5.600000,385000
2020-01-06,5.600000,5.680000,5.570000,5.680000,5.680000,245000
2020-01-07,5.650000,5.800000,5.650000,5.760000,5.760000,149000
2020-01-08,5.790000,6.050000,5.760000,5.990000,5.990000,1601000
