Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,6.350000,6.350000,5.900000,6.210000,6.210000,995000
2019-08-06,6.130000,6.180000,5.740000,6.140000,6.140000,1690000
2019-08-07,6.110000,6.420000,6.080000,6.360000,6.360000,1521000
2019-08-08,6.370000,6.570000,6.260000,6.360000,6.360000,2129000
2019-08-09,6.490000,7.070000,6.380000,7.060000,7.060000,2056000
2019-08-12,7.060000,7.330000,7.040000,7.210000,7.210000,2120000
2019-08-13,7.210000,7.410000,7.180000,7.330000,7.330000,1395000
2019-08-14,7.390000,7.480000,6.880000,7.040000,7.040000,2374373
2019-08-15,6.980000,7.440000,6.810000,7.310000,7.310000,1133500
2019-08-16,7.360000,7.560000,7.290000,7.510000,7.510000,2104000
2019-08-19,7.520000,7.640000,7.460000,7.490000,7.490000,1223000
2019-08-20,7.490000,8.300000,7.490000,8.280000,8.280000,2470000
2019-08-21,8.250000,8.280000,8.050000,8.120000,8.120000,988000
2019-08-22,8.090000,8.270000,7.970000,8.250000,8.250000,1085000
2019-08-23,8.220000,8.410000,8.180000,8.280000,8.280000,1289000
2019-08-26,8.150000,8.150000,7.640000,7.990000,7.990000,1611000
2019-08-27,8.090000,8.400000,8.020000,8.210000,8.210000,2157526
2019-08-28,8.210000,8.290000,7.970000,8.120000,8.120000,2223294
2019-08-29,8.100000,8.230000,7.870000,8.210000,8.210000,3035575
2019-08-30,8.250000,8.400000,8.140000,8.240000,8.240000,2194000
2019-09-02,8.180000,8.270000,7.920000,8.010000,8.010000,3682000
2019-09-03,7.980000,8.040000,7.500000,7.570000,7.570000,2081000
2019-09-04,7.560000,7.560000,7.130000,7.400000,7.400000,3708000
2019-09-05,7.370000,7.480000,7.200000,7.300000,7.300000,2980000
2019-09-06,7.350000,7.500000,7.290000,7.410000,7.410000,3364000
2019-09-09,7.460000,7.460000,7.060000,7.220000,7.220000,3097000
2019-09-10,7.200000,7.280000,6.940000,7.140000,7.140000,4397000
2019-09-11,7.180000,7.190000,7.000000,7.020000,7.020000,3507303
2019-09-12,7.020000,7.020000,6.800000,6.920000,6.920000,3669000
2019-09-13,6.950000,7.010000,6.890000,6.970000,6.970000,3509000
2019-09-16,7.030000,7.170000,6.690000,6.820000,6.820000,3491000
2019-09-17,6.800000,6.820000,6.560000,6.710000,6.710000,4234000
2019-09-18,6.690000,6.980000,6.690000,6.830000,6.830000,3290000
2019-09-19,6.800000,6.880000,6.690000,6.760000,6.760000,3430000
2019-09-20,6.740000,7.000000,6.640000,6.990000,6.990000,5190000
2019-09-23,7.000000,7.070000,6.020000,6.210000,6.210000,4388000
2019-09-24,6.150000,6.150000,5.820000,6.100000,6.100000,4921000
2019-09-25,6.120000,6.140000,5.840000,5.850000,5.850000,4612000
2019-09-26,5.920000,5.960000,5.730000,5.950000,5.950000,3256000
2019-09-27,5.960000,5.960000,5.510000,5.620000,5.620000,4834000
2019-09-30,5.650000,6.060000,5.600000,6.060000,6.060000,4442000
2019-10-02,6.000000,6.000000,5.550000,5.550000,5.550000,3686000
2019-10-03,5.500000,5.600000,5.330000,5.600000,5.600000,4625000
2019-10-04,5.700000,5.700000,5.240000,5.360000,5.360000,6068055
2019-10-08,5.410000,5.820000,5.380000,5.800000,5.800000,5608000
2019-10-09,5.850000,5.850000,5.300000,5.420000,5.420000,6016000
2019-10-10,5.400000,5.600000,5.400000,5.400000,5.400000,4545000
2019-10-11,5.460000,5.650000,5.460000,5.590000,5.590000,3827000
2019-10-14,5.650000,5.740000,5.550000,5.620000,5.620000,3529000
2019-10-15,5.570000,6.010000,5.570000,6.000000,6.000000,3316000
2019-10-16,5.960000,5.960000,5.110000,5.220000,5.220000,7053628
2019-10-17,5.260000,5.390000,4.950000,5.010000,5.010000,4523000
2019-10-18,5.050000,5.100000,4.980000,5.050000,5.050000,6247000
2019-10-21,5.170000,5.170000,4.480000,4.650000,4.650000,6306000
2019-10-22,4.710000,4.800000,4.490000,4.670000,4.670000,6441000
2019-10-23,4.710000,4.850000,4.700000,4.790000,4.790000,4805000
2019-10-24,4.850000,5.000000,4.740000,4.920000,4.920000,6318000
2019-10-25,4.870000,4.870000,4.470000,4.720000,4.720000,5407000
2019-10-28,4.720000,4.890000,4.650000,4.770000,4.770000,3802000
2019-10-29,4.700000,4.870000,4.700000,4.760000,4.760000,5709000
2019-10-30,4.740000,5.100000,4.710000,4.950000,4.950000,2887000
2019-10-31,4.940000,5.150000,4.850000,4.850000,4.850000,2955000
2019-11-01,4.850000,5.020000,4.830000,4.900000,4.900000,5308000
2019-11-04,4.900000,5.090000,4.810000,5.030000,5.030000,6007000
2019-11-05,5.030000,5.180000,4.570000,4.660000,4.660000,9642000
2019-11-06,4.720000,4.790000,4.550000,4.580000,4.580000,6381000
2019-11-07,4.550000,4.770000,4.550000,4.730000,4.730000,6024000
2019-11-08,4.700000,4.920000,4.660000,4.680000,4.680000,6006000
2019-11-11,4.620000,4.720000,4.140000,4.240000,4.240000,8923000
2019-11-12,4.320000,4.420000,4.230000,4.410000,4.410000,5808000
2019-11-13,4.410000,4.410000,4.300000,4.390000,4.390000,5705000
2019-11-14,4.410000,4.410000,4.320000,4.350000,4.350000,6116000
2019-11-15,4.370000,4.610000,4.360000,4.420000,4.420000,6366000
2019-11-18,4.420000,4.540000,4.360000,4.460000,4.460000,5853000
2019-11-19,4.460000,4.690000,4.370000,4.640000,4.640000,6527000
2019-11-20,4.860000,4.860000,4.470000,4.580000,4.580000,7109000
2019-11-21,0.455000,0.455000,0.455000,0.455000,0.455000,0
2019-11-22,0.990000,3.200000,0.980000,2.630000,2.630000,335021303
2019-11-25,2.850000,4.400000,2.800000,4.000000,4.000000,119295803
2019-11-26,4.100000,4.720000,3.950000,4.040000,4.040000,32923500
2019-11-27,4.050000,4.190000,3.040000,3.600000,3.600000,20613000
2019-11-28,3.570000,3.690000,3.390000,3.440000,3.440000,10638000
2019-11-29,3.460000,3.930000,3.410000,3.480000,3.480000,8268000
2019-12-02,3.420000,3.590000,3.400000,3.410000,3.410000,2643000
2019-12-03,3.350000,3.530000,3.310000,3.430000,3.430000,3489000
2019-12-04,3.400000,3.440000,3.350000,3.410000,3.410000,3321000
2019-12-05,3.450000,3.500000,3.410000,3.440000,3.440000,3165000
2019-12-06,3.480000,3.610000,3.440000,3.520000,3.520000,4597000
2019-12-09,3.600000,3.600000,3.450000,3.550000,3.550000,2953000
2019-12-10,3.550000,3.730000,3.480000,3.640000,3.640000,6270000
2019-12-11,3.640000,3.720000,3.620000,3.670000,3.670000,3647000
2019-12-12,3.670000,3.770000,3.650000,3.740000,3.740000,3950000
2019-12-13,3.740000,3.860000,3.640000,3.720000,3.720000,5164000
2019-12-16,3.650000,3.740000,3.640000,3.690000,3.690000,3051000
2019-12-17,3.720000,3.730000,3.650000,3.700000,3.700000,2934000
2019-12-18,3.740000,3.780000,3.660000,3.710000,3.710000,2999000
2019-12-19,3.710000,3.740000,3.630000,3.660000,3.660000,2842000
2019-12-20,3.660000,3.720000,3.660000,3.680000,3.680000,3243000
2019-12-23,3.710000,3.760000,3.670000,3.700000,3.700000,2762000
2019-12-24,3.750000,3.750000,3.650000,3.690000,3.690000,1459000
2019-12-27,3.820000,3.820000,3.630000,3.680000,3.680000,2935278
2019-12-30,3.690000,3.750000,3.650000,3.690000,3.690000,2797380
2019-12-31,3.660000,3.750000,3.620000,3.650000,3.650000,1683000
2020-01-02,3.690000,3.730000,3.640000,3.660000,3.660000,2818000
2020-01-03,3.640000,3.700000,3.620000,3.630000,3.630000,2891000
2020-01-06,3.630000,3.650000,3.500000,3.540000,3.540000,2907000
2020-01-07,3.570000,3.600000,3.470000,3.500000,3.500000,2918000
2020-01-08,3.490000,3.530000,3.430000,3.490000,3.490000,2935000
2020-01-09,3.490000,3.560000,3.450000,3.470000,3.470000,3063000
2020-01-10,3.450000,3.560000,3.430000,3.480000,3.480000,3162000
2020-01-13,3.480000,3.640000,3.470000,3.500000,3.500000,3060000
2020-01-14,3.560000,3.600000,3.470000,3.510000,3.510000,3443000
2020-01-15,3.520000,3.590000,3.490000,3.540000,3.540000,2972000
2020-01-16,3.520000,3.620000,3.490000,3.540000,3.540000,2846000
2020-01-17,3.520000,3.620000,3.490000,3.560000,3.560000,3040000
2020-01-20,3.560000,3.610000,3.480000,3.540000,3.540000,5134000
2020-01-21,3.590000,3.590000,3.500000,3.540000,3.540000,9507000
2020-01-22,3.520000,3.650000,3.500000,3.580000,3.580000,3705000
2020-01-23,3.530000,3.580000,3.470000,3.550000,3.550000,2893000
2020-01-24,3.550000,3.600000,3.510000,3.580000,3.580000,1893000
2020-01-29,3.580000,3.580000,3.420000,3.450000,3.450000,3124000
2020-01-30,3.420000,3.470000,3.340000,3.400000,3.400000,3615000
2020-01-31,3.380000,3.480000,3.380000,3.400000,3.400000,3234000
2020-02-03,3.400000,3.450000,3.300000,3.360000,3.360000,3055304
2020-02-04,3.440000,3.440000,3.020000,3.020000,3.020000,3238000
2020-02-05,3.050000,3.080000,2.370000,2.720000,2.720000,7424000
2020-02-06,2.890000,2.890000,2.360000,2.460000,2.460000,8827000
2020-02-07,2.400000,2.500000,2.330000,2.390000,2.390000,4318000
2020-02-10,2.390000,2.390000,1.210000,1.340000,1.340000,60962200
2020-02-11,1.390000,1.870000,1.130000,1.350000,1.350000,103631000
2020-02-12,1.410000,1.480000,1.290000,1.310000,1.310000,23378592
2020-02-13,1.310000,1.310000,1.230000,1.260000,1.260000,11319628
2020-02-14,1.250000,1.280000,1.230000,1.230000,1.230000,8362000
2020-02-17,1.250000,1.800000,1.250000,1.760000,1.760000,95777000
2020-02-18,1.850000,1.920000,1.640000,1.680000,1.680000,59183400
2020-02-19,1.680000,1.680000,1.460000,1.490000,1.490000,24045000
2020-02-20,1.490000,1.650000,1.490000,1.560000,1.560000,30065000
2020-02-21,1.530000,1.560000,1.490000,1.510000,1.510000,6873000
2020-02-24,1.510000,1.510000,1.400000,1.430000,1.430000,7479000
2020-02-25,1.370000,1.690000,1.370000,1.510000,1.510000,28784000
2020-02-26,1.500000,1.670000,1.460000,1.530000,1.530000,13737000
2020-02-27,1.590000,1.590000,1.460000,1.490000,1.490000,7401000
2020-02-28,1.480000,1.500000,1.380000,1.460000,1.460000,8560000
2020-03-02,1.450000,1.630000,1.450000,1.500000,1.500000,17895000
