Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.175000,0.193000,0.175000,0.193000,0.193000,28800
2019-08-06,0.190000,0.190000,0.190000,0.190000,0.190000,0
2019-08-07,0.190000,0.190000,0.190000,0.190000,0.190000,0
2019-08-08,0.190000,0.191000,0.190000,0.191000,0.191000,240800
2019-08-09,0.183000,0.183000,0.183000,0.183000,0.183000,0
2019-08-12,0.180000,0.181000,0.180000,0.181000,0.181000,83000
2019-08-13,0.181000,0.181000,0.181000,0.181000,0.181000,0
2019-08-14,0.178000,0.178000,0.178000,0.178000,0.178000,0
2019-08-15,0.170000,0.171000,0.169000,0.170000,0.170000,760000
2019-08-16,0.170000,0.170000,0.170000,0.170000,0.170000,0
2019-08-19,0.169000,0.170000,0.151000,0.170000,0.170000,180000
2019-08-20,0.170000,0.180000,0.146000,0.174000,0.174000,1950555
2019-08-21,0.158000,0.158000,0.145000,0.147000,0.147000,679300
2019-08-22,0.155000,0.165000,0.140000,0.155000,0.155000,3650000
2019-08-23,0.151000,0.151000,0.145000,0.145000,0.145000,105000
2019-08-26,0.149000,0.150000,0.135000,0.135000,0.135000,142600
2019-08-27,0.129000,0.129000,0.119000,0.119000,0.119000,1180000
2019-08-28,0.119000,0.128000,0.111000,0.128000,0.128000,732400
2019-08-29,0.113000,0.122000,0.110000,0.110000,0.110000,2301350
2019-08-30,0.110000,0.114000,0.095000,0.114000,0.114000,1930000
2019-09-02,0.102000,0.102000,0.092000,0.100000,0.100000,1240000
2019-09-03,0.096000,0.100000,0.096000,0.100000,0.100000,140230
2019-09-04,0.099000,0.100000,0.089000,0.100000,0.100000,1610000
2019-09-05,0.090000,0.100000,0.090000,0.100000,0.100000,116600
2019-09-06,0.090000,0.100000,0.090000,0.100000,0.100000,970250
2019-09-09,0.092000,0.095000,0.090000,0.095000,0.095000,1260000
2019-09-10,0.087000,0.094000,0.087000,0.094000,0.094000,240000
2019-09-11,0.094000,0.094000,0.091000,0.094000,0.094000,485000
2019-09-12,0.099000,0.099000,0.091000,0.096000,0.096000,203600
2019-09-13,0.105000,0.105000,0.105000,0.105000,0.105000,10000
2019-09-16,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-17,0.105000,0.105000,0.105000,0.105000,0.105000,20000
2019-09-18,0.104000,0.104000,0.104000,0.104000,0.104000,0
2019-09-19,0.104000,0.104000,0.104000,0.104000,0.104000,0
2019-09-20,0.097000,0.099000,0.097000,0.097000,0.097000,170000
2019-09-23,0.097000,0.097000,0.097000,0.097000,0.097000,184800
2019-09-24,0.088000,0.096000,0.088000,0.096000,0.096000,70000
2019-09-25,0.094000,0.098000,0.094000,0.098000,0.098000,110000
2019-09-26,0.098000,0.098000,0.098000,0.098000,0.098000,0
2019-09-27,0.090000,0.090000,0.090000,0.091000,0.091000,391400
2019-09-30,0.100000,0.100000,0.098000,0.098000,0.098000,260000
2019-10-02,0.096000,0.096000,0.096000,0.096000,0.096000,0
2019-10-03,0.100000,0.100000,0.091000,0.091000,0.091000,110000
2019-10-04,0.091000,0.095000,0.091000,0.095000,0.095000,70000
2019-10-08,0.090000,0.113000,0.090000,0.093000,0.093000,1480600
2019-10-09,0.090000,0.090000,0.090000,0.090000,0.090000,230000
2019-10-10,0.100000,0.100000,0.092000,0.092000,0.092000,990400
2019-10-11,0.092000,0.092000,0.092000,0.092000,0.092000,0
2019-10-14,0.091000,0.091000,0.091000,0.091000,0.091000,210000
2019-10-15,0.098000,0.098000,0.091000,0.091000,0.091000,170000
2019-10-16,0.091000,0.091000,0.091000,0.091000,0.091000,33600
2019-10-17,0.097000,0.097000,0.090000,0.090000,0.090000,120000
2019-10-18,0.089000,0.089000,0.085000,0.085000,0.085000,236800
2019-10-21,0.094000,0.094000,0.093000,0.092000,0.092000,20000
2019-10-22,0.092000,0.092000,0.092000,0.092000,0.092000,0
2019-10-23,0.096000,0.097000,0.096000,0.097000,0.097000,101800
2019-10-24,0.090000,0.095000,0.090000,0.095000,0.095000,20000
2019-10-25,0.095000,0.095000,0.095000,0.095000,0.095000,0
2019-10-28,0.093000,0.093000,0.093000,0.093000,0.093000,0
2019-10-29,0.088000,0.093000,0.088000,0.093000,0.093000,61266
2019-10-30,0.093000,0.093000,0.093000,0.093000,0.093000,0
2019-10-31,0.093000,0.093000,0.093000,0.093000,0.093000,0
2019-11-01,0.087000,0.094000,0.087000,0.094000,0.094000,41050
2019-11-04,0.094000,0.094000,0.094000,0.094000,0.094000,0
2019-11-05,0.089000,0.089000,0.089000,0.089000,0.089000,0
2019-11-06,0.089000,0.089000,0.089000,0.089000,0.089000,0
2019-11-07,0.088000,0.088000,0.087000,0.088000,0.088000,300600
2019-11-08,0.093000,0.120000,0.086000,0.115000,0.115000,25890000
2019-11-11,0.103000,0.112000,0.102000,0.107000,0.107000,2190000
2019-11-12,0.105000,0.106000,0.105000,0.106000,0.106000,501755
2019-11-13,0.095000,0.102000,0.095000,0.102000,0.102000,140000
2019-11-14,0.096000,0.108000,0.096000,0.102000,0.102000,1420000
2019-11-15,0.109000,0.167000,0.109000,0.120000,0.120000,35592000
