Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.570000,2.600000,2.460000,2.520000,2.408866,3723685
2019-08-06,2.480000,2.480000,2.410000,2.430000,2.322835,2704000
2019-08-07,2.450000,2.520000,2.440000,2.480000,2.370631,2620000
2019-08-08,2.460000,2.520000,2.460000,2.480000,2.370631,1868000
2019-08-09,2.480000,2.520000,2.460000,2.490000,2.380189,1774454
2019-08-12,2.490000,2.490000,2.440000,2.470000,2.361071,788000
2019-08-13,2.450000,2.470000,2.420000,2.440000,2.332395,2636851
2019-08-14,2.470000,2.520000,2.430000,2.440000,2.332395,2108000
2019-08-15,2.440000,2.470000,2.380000,2.460000,2.351512,1586405
2019-08-16,2.470000,2.540000,2.450000,2.520000,2.408866,1930000
2019-08-19,2.520000,2.570000,2.520000,2.550000,2.437543,2072000
2019-08-20,2.560000,2.570000,2.490000,2.520000,2.408866,2920000
2019-08-21,2.510000,2.530000,2.400000,2.430000,2.322835,5320000
2019-08-22,2.440000,2.440000,2.380000,2.420000,2.313277,2920000
2019-08-23,2.490000,2.520000,2.400000,2.450000,2.341954,10235685
2019-08-26,2.400000,2.420000,2.390000,2.420000,2.313277,3888000
2019-08-27,2.430000,2.480000,2.430000,2.450000,2.341954,4306266
2019-08-28,2.430000,2.470000,2.430000,2.450000,2.341954,1714000
2019-08-29,2.460000,2.460000,2.380000,2.430000,2.322835,3224000
2019-08-30,2.440000,2.440000,2.380000,2.400000,2.294158,1992000
2019-09-02,2.400000,2.420000,2.360000,2.400000,2.294158,1836000
2019-09-03,2.400000,2.420000,2.390000,2.400000,2.294158,858000
2019-09-04,2.410000,2.440000,2.390000,2.440000,2.332395,2831000
2019-09-05,2.440000,2.460000,2.420000,2.440000,2.332395,1310000
2019-09-06,2.450000,2.480000,2.420000,2.440000,2.332395,3470769
2019-09-09,2.450000,2.480000,2.430000,2.480000,2.370631,2366000
2019-09-10,2.460000,2.510000,2.450000,2.500000,2.389748,4632000
2019-09-11,2.500000,2.550000,2.500000,2.530000,2.418425,930378
2019-09-12,2.530000,2.580000,2.510000,2.560000,2.447102,2333997
2019-09-13,2.560000,2.590000,2.550000,2.580000,2.466220,1248000
2019-09-16,2.560000,2.570000,2.530000,2.570000,2.456661,1198566
2019-09-17,2.560000,2.580000,2.460000,2.480000,2.370631,5276750
2019-09-18,2.490000,2.500000,2.470000,2.490000,2.380189,1662000
2019-09-19,2.490000,2.500000,2.460000,2.490000,2.380189,1116000
2019-09-20,2.490000,2.510000,2.470000,2.490000,2.380189,2902000
2019-09-23,2.470000,2.490000,2.450000,2.480000,2.370631,710000
2019-09-24,2.480000,2.480000,2.430000,2.460000,2.351512,534000
2019-09-25,2.450000,2.470000,2.410000,2.420000,2.313277,1364000
2019-09-26,2.450000,2.450000,2.400000,2.420000,2.313277,983779
2019-09-27,2.410000,2.420000,2.380000,2.410000,2.303718,1059261
2019-09-30,2.400000,2.480000,2.380000,2.480000,2.370631,1522000
2019-10-02,2.460000,2.460000,2.420000,2.440000,2.332395,348000
2019-10-03,2.440000,2.440000,2.400000,2.430000,2.322835,348000
2019-10-04,2.430000,2.460000,2.370000,2.410000,2.303718,1498000
2019-10-08,2.410000,2.470000,2.410000,2.460000,2.351512,1584000
2019-10-09,2.430000,2.430000,2.380000,2.400000,2.294158,2866000
2019-10-10,2.420000,2.470000,2.420000,2.450000,2.341954,2088000
2019-10-11,2.450000,2.480000,2.430000,2.460000,2.351512,1918778
2019-10-14,2.470000,2.490000,2.430000,2.450000,2.341954,2448750
2019-10-15,2.430000,2.440000,2.410000,2.430000,2.322835,1604000
2019-10-16,2.440000,2.450000,2.410000,2.450000,2.341954,1810000
2019-10-17,2.460000,2.460000,2.410000,2.450000,2.341954,2000000
2019-10-18,2.450000,2.460000,2.390000,2.420000,2.313277,4110000
2019-10-21,2.420000,2.420000,2.380000,2.390000,2.284600,3780000
2019-10-22,2.410000,2.480000,2.410000,2.480000,2.370631,2121725
2019-10-23,2.480000,2.490000,2.450000,2.480000,2.370631,820000
2019-10-24,2.490000,2.510000,2.480000,2.500000,2.389748,1044638
2019-10-25,2.500000,2.570000,2.500000,2.570000,2.456661,5130000
2019-10-28,2.550000,2.580000,2.530000,2.550000,2.437543,1560000
2019-10-29,2.560000,2.590000,2.550000,2.570000,2.456661,838696
2019-10-30,2.570000,2.600000,2.470000,2.520000,2.408866,1684000
2019-10-31,2.500000,2.520000,2.490000,2.510000,2.399307,2082000
2019-11-01,2.480000,2.490000,2.440000,2.490000,2.380189,1314000
2019-11-04,2.490000,2.520000,2.480000,2.490000,2.380189,908000
2019-11-05,2.500000,2.510000,2.430000,2.490000,2.380189,3370000
2019-11-06,2.490000,2.560000,2.480000,2.540000,2.427984,3050000
2019-11-07,2.510000,2.550000,2.500000,2.550000,2.437543,1518198
2019-11-08,2.550000,2.550000,2.480000,2.520000,2.408866,1478000
2019-11-11,2.510000,2.510000,2.460000,2.480000,2.370631,966578
2019-11-12,2.490000,2.490000,2.460000,2.480000,2.370631,462000
2019-11-13,2.480000,2.480000,2.450000,2.470000,2.361071,1855469
2019-11-14,2.460000,2.480000,2.440000,2.470000,2.361071,688000
2019-11-15,2.450000,2.480000,2.430000,2.460000,2.351512,1852000
2019-11-18,2.470000,2.490000,2.420000,2.440000,2.332395,1622000
2019-11-19,2.450000,2.470000,2.420000,2.430000,2.322835,1550000
2019-11-20,2.430000,2.430000,2.380000,2.420000,2.313277,2030000
2019-11-21,2.400000,2.430000,2.390000,2.420000,2.313277,581655
2019-11-22,2.390000,2.440000,2.390000,2.440000,2.332395,460000
2019-11-25,2.450000,2.480000,2.420000,2.480000,2.370631,664000
2019-11-26,2.460000,2.480000,2.430000,2.460000,2.351512,770000
2019-11-27,2.450000,2.470000,2.440000,2.460000,2.351512,1334000
2019-11-28,2.460000,2.460000,2.430000,2.460000,2.351512,886000
2019-11-29,2.460000,2.460000,2.410000,2.440000,2.332395,930000
2019-12-02,2.440000,2.460000,2.420000,2.450000,2.341954,812000
2019-12-03,2.450000,2.460000,2.440000,2.450000,2.341954,398290
2019-12-04,2.440000,2.460000,2.430000,2.450000,2.341954,318000
2019-12-05,2.450000,2.490000,2.450000,2.480000,2.370631,912000
2019-12-06,2.480000,2.480000,2.440000,2.460000,2.351512,708000
2019-12-09,2.440000,2.460000,2.430000,2.440000,2.332395,990000
2019-12-10,2.450000,2.450000,2.410000,2.440000,2.332395,2108000
2019-12-11,2.450000,2.450000,2.420000,2.450000,2.341954,1338113
2019-12-12,2.460000,2.460000,2.420000,2.440000,2.332395,2034000
2019-12-13,2.470000,2.490000,2.460000,2.480000,2.370631,3362000
2019-12-16,2.480000,2.520000,2.460000,2.520000,2.408866,2858000
2019-12-17,2.490000,2.510000,2.470000,2.490000,2.380189,2616000
2019-12-18,2.490000,2.510000,2.460000,2.480000,2.370631,1650000
2019-12-19,2.460000,2.500000,2.460000,2.500000,2.389748,954638
2019-12-20,2.500000,2.520000,2.490000,2.520000,2.408866,903678
2019-12-23,2.520000,2.520000,2.500000,2.520000,2.408866,1500000
2019-12-24,2.520000,2.530000,2.500000,2.510000,2.399307,286000
2019-12-27,2.530000,2.530000,2.470000,2.500000,2.389748,2809420
2019-12-30,2.500000,2.510000,2.480000,2.500000,2.389748,1609000
