Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.620000,2.630000,2.590000,2.610000,2.610000,8478000
2019-08-06,2.590000,2.610000,2.570000,2.600000,2.600000,10504000
2019-08-07,2.570000,2.630000,2.570000,2.570000,2.570000,11014000
2019-08-08,2.590000,2.620000,2.570000,2.620000,2.620000,12168000
2019-08-09,2.610000,2.660000,2.600000,2.660000,2.660000,13810209
2019-08-12,2.650000,2.780000,2.650000,2.750000,2.750000,13866000
2019-08-13,2.720000,2.760000,2.690000,2.720000,2.720000,16278000
2019-08-14,2.730000,2.770000,2.690000,2.700000,2.700000,15152011
2019-08-15,2.700000,2.710000,2.610000,2.640000,2.640000,14957699
2019-08-16,2.620000,2.630000,2.560000,2.570000,2.570000,15994000
2019-08-19,2.600000,2.670000,2.430000,2.430000,2.430000,16953770
2019-08-20,2.310000,2.630000,2.310000,2.590000,2.590000,15744000
2019-08-21,2.600000,2.850000,2.580000,2.800000,2.800000,15786006
2019-08-22,2.800000,2.840000,2.750000,2.790000,2.790000,15966000
2019-08-23,2.780000,2.900000,2.780000,2.840000,2.840000,15828000
2019-08-26,2.740000,2.860000,2.690000,2.810000,2.810000,15998087
2019-08-27,2.880000,2.970000,2.830000,2.950000,2.950000,17484000
2019-08-28,2.960000,2.980000,2.880000,2.950000,2.950000,16986000
2019-08-29,2.940000,2.960000,2.850000,2.890000,2.890000,18926000
2019-08-30,2.880000,2.930000,2.870000,2.920000,2.920000,20370000
2019-09-02,2.920000,2.960000,2.860000,2.920000,2.920000,21026000
2019-09-03,2.940000,2.970000,2.910000,2.920000,2.920000,20298036
2019-09-04,2.930000,3.000000,2.910000,3.000000,3.000000,23148000
2019-09-05,2.980000,3.050000,2.700000,2.760000,2.760000,20902000
2019-09-06,2.770000,2.780000,2.640000,2.660000,2.660000,5306000
2019-09-09,2.650000,2.760000,2.460000,2.660000,2.660000,10302030
2019-09-10,2.590000,2.590000,2.440000,2.500000,2.500000,21208000
2019-09-11,2.490000,2.510000,2.400000,2.500000,2.500000,22994225
2019-09-12,2.510000,2.730000,2.500000,2.680000,2.680000,21730000
2019-09-13,2.620000,2.840000,2.620000,2.790000,2.790000,23014000
2019-09-16,2.730000,2.850000,2.730000,2.810000,2.810000,19266000
2019-09-17,2.790000,2.840000,2.780000,2.820000,2.820000,20062000
2019-09-18,2.820000,2.870000,2.770000,2.820000,2.820000,19872000
2019-09-19,2.820000,2.840000,2.720000,2.780000,2.780000,20020000
2019-09-20,2.800000,2.900000,2.750000,2.870000,2.870000,21058051
2019-09-23,2.830000,2.880000,2.800000,2.810000,2.810000,20158000
2019-09-24,2.860000,3.200000,2.830000,3.140000,3.140000,20580000
2019-09-25,3.230000,3.250000,3.010000,3.060000,3.060000,20680000
2019-09-26,3.060000,3.110000,2.950000,3.070000,3.070000,20664015
2019-09-27,3.070000,3.140000,3.050000,3.060000,3.060000,20292000
2019-09-30,3.030000,3.090000,2.980000,3.050000,3.050000,20140000
2019-10-02,3.040000,3.180000,3.040000,3.170000,3.170000,20204000
2019-10-03,3.150000,3.230000,3.150000,3.190000,3.190000,21120000
2019-10-04,3.200000,3.280000,3.150000,3.190000,3.190000,20348000
2019-10-08,3.200000,3.270000,3.110000,3.220000,3.220000,20364000
2019-10-09,3.220000,3.220000,3.050000,3.080000,3.080000,20006000
2019-10-10,3.050000,3.120000,3.040000,3.070000,3.070000,20030000
2019-10-11,3.080000,3.110000,3.040000,3.080000,3.080000,20190101
2019-10-14,3.080000,3.120000,2.870000,2.900000,2.900000,21304000
2019-10-15,2.850000,3.070000,2.850000,3.070000,3.070000,20052000
2019-10-16,3.070000,3.080000,2.770000,2.800000,2.800000,20442000
2019-10-17,2.750000,2.800000,2.710000,2.790000,2.790000,20190000
2019-10-18,2.760000,2.780000,2.650000,2.650000,2.650000,20630002
2019-10-21,2.610000,2.720000,2.610000,2.680000,2.680000,20504031
2019-10-22,2.680000,2.680000,2.570000,2.570000,2.570000,20040000
2019-10-23,2.590000,2.600000,2.500000,2.500000,2.500000,20170037
2019-10-24,2.480000,2.530000,2.430000,2.520000,2.520000,20166060
2019-10-25,2.500000,2.590000,2.460000,2.590000,2.590000,20096000
2019-10-28,2.590000,2.610000,2.480000,2.520000,2.520000,20022001
2019-10-29,2.540000,2.540000,2.460000,2.470000,2.470000,20120200
2019-10-30,2.490000,2.500000,2.440000,2.470000,2.470000,20306000
2019-10-31,2.490000,2.510000,2.450000,2.490000,2.490000,20778000
2019-11-01,2.460000,2.510000,2.450000,2.480000,2.480000,20174000
2019-11-04,2.460000,2.620000,2.450000,2.530000,2.530000,20302000
2019-11-05,2.600000,2.600000,2.450000,2.530000,2.530000,21210018
2019-11-06,2.510000,2.560000,2.490000,2.530000,2.530000,20224000
2019-11-07,2.530000,2.620000,2.530000,2.580000,2.580000,19956000
2019-11-08,2.580000,2.600000,2.510000,2.530000,2.530000,20212000
2019-11-11,2.500000,2.500000,2.400000,2.400000,2.400000,20842000
2019-11-12,2.440000,2.470000,2.370000,2.460000,2.460000,20098000
