Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.630000,2.650000,2.480000,2.540000,2.350077,10236000
2019-08-06,2.460000,2.540000,2.440000,2.510000,2.322320,7307000
2019-08-07,2.500000,2.580000,2.500000,2.530000,2.340825,3506000
2019-08-08,2.570000,2.570000,2.500000,2.510000,2.322320,2192000
2019-08-09,2.520000,2.560000,2.470000,2.470000,2.285311,3419412
2019-08-12,2.460000,2.500000,2.460000,2.480000,2.294564,2116000
2019-08-13,2.480000,2.510000,2.460000,2.460000,2.276059,3847900
2019-08-14,2.480000,2.510000,2.440000,2.440000,2.257555,2552168
2019-08-15,2.430000,2.470000,2.360000,2.450000,2.266807,2029529
2019-08-16,2.450000,2.540000,2.440000,2.510000,2.322320,1885000
2019-08-19,2.550000,2.690000,2.550000,2.560000,2.368582,4503000
2019-08-20,2.560000,2.620000,2.560000,2.560000,2.368582,2977000
2019-08-21,2.560000,2.580000,2.550000,2.550000,2.359329,2654563
2019-08-22,2.560000,2.580000,2.530000,2.530000,2.340825,3239000
2019-08-23,2.530000,2.600000,2.530000,2.580000,2.387086,4897167
2019-08-26,2.540000,2.560000,2.460000,2.470000,2.285311,4203000
2019-08-27,2.490000,2.520000,2.470000,2.520000,2.331573,6030734
2019-08-28,2.520000,2.570000,2.480000,2.480000,2.294564,5842812
2019-08-29,2.500000,2.510000,2.450000,2.470000,2.285311,6797000
2019-08-30,2.490000,2.550000,2.490000,2.530000,2.340825,8035000
2019-09-02,2.540000,2.580000,2.510000,2.540000,2.350077,3799331
2019-09-03,2.540000,2.540000,2.410000,2.430000,2.248302,5900389
2019-09-04,2.430000,2.560000,2.380000,2.540000,2.350077,9371221
2019-09-05,2.560000,2.570000,2.490000,2.510000,2.322320,7732000
2019-09-06,2.530000,2.610000,2.520000,2.550000,2.359329,9369000
2019-09-09,2.570000,2.610000,2.540000,2.570000,2.377834,3740200
2019-09-10,2.600000,2.620000,2.530000,2.550000,2.359329,5068827
2019-09-11,2.570000,2.600000,2.550000,2.570000,2.377834,7136983
2019-09-12,2.600000,2.650000,2.560000,2.600000,2.405591,17057080
2019-09-13,2.610000,2.620000,2.570000,2.600000,2.405591,5757200
2019-09-16,2.610000,2.620000,2.570000,2.600000,2.405591,6714000
2019-09-17,2.580000,2.580000,2.520000,2.550000,2.359329,7976528
2019-09-18,2.550000,2.590000,2.520000,2.530000,2.340825,5744500
2019-09-19,2.540000,2.560000,2.490000,2.500000,2.313068,4507000
2019-09-20,2.500000,2.540000,2.490000,2.490000,2.303816,11986008
2019-09-23,2.500000,2.530000,2.480000,2.510000,2.322320,6050030
2019-09-24,2.510000,2.520000,2.430000,2.450000,2.266807,6204000
2019-09-25,2.450000,2.450000,2.400000,2.440000,2.257555,4123835
2019-09-26,2.450000,2.460000,2.420000,2.440000,2.257555,3371000
2019-09-27,2.440000,2.440000,2.370000,2.390000,2.211293,4276457
2019-09-30,2.380000,2.490000,2.350000,2.460000,2.276059,17702000
