Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.210000,3.210000,3.130000,3.140000,2.801443,880000
2019-08-06,3.100000,3.170000,3.100000,3.160000,2.819287,286000
2019-08-07,3.150000,3.170000,3.140000,3.140000,2.801443,186000
2019-08-08,3.160000,3.190000,3.140000,3.150000,2.810365,104000
2019-08-09,3.180000,3.180000,3.120000,3.130000,2.792521,376000
2019-08-12,3.130000,3.130000,3.080000,3.110000,2.774678,214000
2019-08-13,3.100000,3.100000,3.040000,3.050000,2.721147,415984
2019-08-14,3.070000,3.110000,3.050000,3.060000,2.730068,286000
2019-08-15,3.060000,3.080000,3.040000,3.080000,2.747912,268000
2019-08-16,3.080000,3.080000,3.070000,3.070000,2.738990,180000
2019-08-19,3.070000,3.120000,3.070000,3.080000,2.747912,292000
2019-08-20,3.100000,3.100000,3.100000,3.100000,2.765756,26000
2019-08-21,3.090000,3.120000,3.090000,3.120000,2.783599,114000
2019-08-22,3.100000,3.110000,3.080000,3.090000,2.756834,106000
2019-08-23,3.100000,3.110000,3.090000,3.110000,2.774678,216000
2019-08-26,3.080000,3.080000,3.030000,3.050000,2.721147,350000
2019-08-27,3.060000,3.060000,3.040000,3.050000,2.721147,54000
2019-08-28,3.060000,3.060000,3.020000,3.030000,2.703303,158000
2019-08-29,3.010000,3.080000,3.000000,3.060000,2.730068,290000
2019-08-30,3.020000,3.050000,3.010000,3.030000,2.703303,226000
2019-09-02,3.030000,3.060000,3.000000,3.000000,2.676538,730000
2019-09-03,3.000000,3.030000,2.980000,2.980000,2.658694,386000
2019-09-04,3.010000,3.050000,3.000000,3.030000,2.703303,496000
2019-09-05,3.030000,3.040000,2.980000,3.000000,2.676538,456000
2019-09-06,3.000000,3.010000,2.990000,3.010000,2.685460,512000
2019-09-09,2.990000,3.030000,2.990000,3.000000,2.676538,206000
2019-09-10,3.010000,3.060000,3.010000,3.060000,2.730068,378000
2019-09-11,3.040000,3.150000,3.040000,3.070000,2.738990,224000
2019-09-12,3.050000,3.070000,3.050000,3.070000,2.738990,144000
2019-09-13,3.090000,3.090000,3.070000,3.070000,2.738990,156000
2019-09-16,3.080000,3.080000,3.060000,3.060000,2.730068,64000
2019-09-17,3.060000,3.060000,3.050000,3.060000,2.730068,242000
2019-09-18,3.060000,3.060000,3.060000,3.060000,2.730068,14000
2019-09-19,3.060000,3.060000,3.040000,3.040000,2.712225,76000
2019-09-20,3.040000,3.040000,3.020000,3.020000,2.694381,214000
2019-09-23,3.020000,3.040000,3.000000,3.020000,2.694381,114000
2019-09-24,3.020000,3.030000,3.020000,3.020000,2.694381,140000
2019-09-25,3.010000,3.010000,2.980000,2.990000,2.667616,532000
2019-09-26,2.990000,3.020000,2.990000,2.990000,2.667616,376000
2019-09-27,2.990000,3.010000,2.990000,3.000000,2.676538,44000
2019-09-30,3.010000,3.010000,2.990000,2.990000,2.667616,124000
2019-10-02,3.020000,3.000000,2.980000,2.980000,2.658694,244000
2019-10-03,2.970000,3.000000,2.970000,2.980000,2.658694,100000
2019-10-04,3.000000,3.000000,2.970000,2.970000,2.649772,302000
2019-10-08,2.970000,2.980000,2.960000,2.970000,2.649772,340000
2019-10-09,2.950000,2.980000,2.920000,2.930000,2.614085,602000
2019-10-10,2.950000,2.960000,2.950000,2.960000,2.640851,52000
2019-10-11,2.950000,2.980000,2.950000,2.960000,2.640851,126000
2019-10-14,2.970000,2.990000,2.970000,2.990000,2.667616,256000
2019-10-15,2.970000,2.990000,2.970000,2.980000,2.658694,80000
2019-10-16,2.990000,3.010000,2.990000,3.000000,2.676538,242000
2019-10-17,2.980000,3.000000,2.980000,3.000000,2.676538,62000
2019-10-18,3.000000,3.000000,2.990000,3.000000,2.676538,72000
2019-10-21,2.990000,2.990000,2.970000,2.990000,2.667616,410000
2019-10-22,2.990000,2.990000,2.980000,2.990000,2.667616,160000
2019-10-23,2.990000,2.990000,2.970000,2.970000,2.649772,572000
2019-10-24,2.990000,3.010000,2.990000,3.000000,2.676538,164000
2019-10-25,3.000000,3.020000,3.000000,3.020000,2.694381,86000
2019-10-28,3.030000,3.060000,3.030000,3.040000,2.712225,232000
2019-10-29,3.020000,3.030000,3.010000,3.010000,2.685460,136000
2019-10-30,3.000000,3.040000,3.000000,3.020000,2.694381,106000
2019-10-31,3.040000,3.040000,3.030000,3.040000,2.712225,54000
2019-11-01,3.040000,3.040000,3.030000,3.030000,2.703303,98000
2019-11-04,3.030000,3.070000,3.030000,3.050000,2.721147,254000
2019-11-05,3.060000,3.070000,3.050000,3.070000,2.738990,262000
2019-11-06,3.070000,3.080000,3.060000,3.080000,2.747912,182000
2019-11-07,3.080000,3.090000,3.080000,3.080000,2.747912,192000
2019-11-08,3.100000,3.160000,3.100000,3.160000,2.819287,248000
2019-11-11,3.130000,3.130000,3.070000,3.100000,2.765756,394000
2019-11-12,3.080000,3.120000,3.080000,3.100000,2.765756,102000
2019-11-13,3.060000,3.080000,3.050000,3.050000,2.721147,436000
2019-11-14,3.060000,3.090000,3.060000,3.060000,2.730068,204000
2019-11-15,3.050000,3.080000,3.050000,3.070000,2.738990,146000
