Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.230000,2.230000,2.160000,2.180000,2.051660,13041171
2019-08-06,2.120000,2.140000,2.040000,2.110000,1.985781,20294857
2019-08-07,2.140000,2.140000,2.090000,2.110000,1.985781,7772918
2019-08-08,2.150000,2.150000,2.110000,2.130000,2.004603,9188000
2019-08-09,2.140000,2.170000,2.110000,2.130000,2.004603,9342000
2019-08-12,2.090000,2.140000,2.090000,2.120000,1.995192,11484000
2019-08-13,2.120000,2.120000,2.040000,2.060000,1.938724,17635000
2019-08-14,2.080000,2.120000,2.040000,2.060000,1.938724,12510379
2019-08-15,2.030000,2.090000,2.000000,2.060000,1.938724,39943000
2019-08-16,2.070000,2.100000,2.030000,2.090000,1.966958,26356775
2019-08-19,2.120000,2.190000,2.110000,2.180000,2.051660,31428400
2019-08-20,2.180000,2.190000,2.150000,2.160000,2.032837,9989208
2019-08-21,2.160000,2.160000,2.140000,2.150000,2.023426,15343551
2019-08-22,2.150000,2.170000,2.090000,2.140000,2.014015,24718000
2019-08-23,2.140000,2.180000,2.130000,2.170000,2.042248,16178000
2019-08-26,2.110000,2.220000,2.080000,2.220000,2.089305,23479517
2019-08-27,2.210000,2.250000,2.190000,2.200000,2.070482,13342883
2019-08-28,2.210000,2.250000,2.190000,2.200000,2.070482,16730837
2019-08-29,2.200000,2.220000,2.170000,2.210000,2.079894,13582000
2019-08-30,2.240000,2.360000,2.230000,2.320000,2.183418,30444590
2019-09-02,2.320000,2.340000,2.280000,2.300000,2.164595,12243229
2019-09-03,2.310000,2.330000,2.250000,2.270000,2.136361,14125097
2019-09-04,2.280000,2.360000,2.270000,2.350000,2.211652,18870042
2019-09-05,2.280000,2.390000,2.260000,2.310000,2.260582,20163060
2019-09-06,2.360000,2.380000,2.320000,2.370000,2.319298,11972351
2019-09-09,2.370000,2.390000,2.340000,2.360000,2.309512,7486024
2019-09-10,2.370000,2.390000,2.310000,2.320000,2.270368,32312000
2019-09-11,2.360000,2.450000,2.350000,2.400000,2.348657,10911000
2019-09-12,2.440000,2.440000,2.400000,2.420000,2.368229,3843000
2019-09-13,2.400000,2.480000,2.380000,2.470000,2.417159,7165000
2019-09-16,2.420000,2.460000,2.360000,2.360000,2.309512,7688000
2019-09-17,2.360000,2.380000,2.300000,2.320000,2.270368,11733902
2019-09-18,2.360000,2.360000,2.290000,2.320000,2.270368,15491000
2019-09-19,2.320000,2.330000,2.260000,2.290000,2.241010,7521000
2019-09-20,2.310000,2.320000,2.280000,2.310000,2.260582,7449000
2019-09-23,2.320000,2.320000,2.220000,2.260000,2.211652,9692702
