Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.350000,3.420000,3.340000,3.380000,3.215603,49037757
2019-08-06,3.340000,3.410000,3.340000,3.360000,3.196576,43498015
2019-08-07,3.350000,3.390000,3.330000,3.360000,3.196576,31508050
2019-08-08,3.360000,3.420000,3.350000,3.370000,3.206089,58570355
2019-08-09,3.340000,3.440000,3.330000,3.430000,3.263171,41493601
2019-08-12,3.430000,3.460000,3.390000,3.400000,3.234631,25439794
2019-08-13,3.350000,3.410000,3.330000,3.380000,3.215603,34084482
2019-08-14,3.410000,3.440000,3.370000,3.400000,3.234631,52224226
2019-08-15,3.420000,3.650000,3.400000,3.600000,3.424903,117289146
2019-08-16,3.570000,3.660000,3.540000,3.600000,3.424903,69997677
2019-08-19,3.560000,3.600000,3.540000,3.540000,3.367821,44780385
2019-08-20,3.480000,3.620000,3.480000,3.550000,3.377335,53109591
2019-08-21,3.550000,3.610000,3.480000,3.570000,3.396362,52874093
2019-08-22,3.560000,3.620000,3.510000,3.520000,3.348794,62073153
2019-08-23,3.540000,3.610000,3.520000,3.570000,3.396362,43573622
2019-08-26,3.500000,3.560000,3.470000,3.540000,3.367821,46770663
2019-08-27,3.540000,3.550000,3.480000,3.520000,3.348794,61677936
2019-08-28,3.540000,3.590000,3.490000,3.500000,3.329767,57273922
2019-08-29,3.460000,3.510000,3.450000,3.500000,3.329767,32405372
2019-08-30,3.550000,3.550000,3.480000,3.510000,3.339280,30352892
2019-09-02,3.530000,3.550000,3.480000,3.530000,3.358307,22782000
2019-09-03,3.490000,3.520000,3.470000,3.520000,3.348794,22787403
2019-09-04,3.530000,3.590000,3.490000,3.520000,3.348794,47275003
2019-09-05,3.520000,3.550000,3.490000,3.510000,3.339280,52881963
2019-09-06,3.510000,3.620000,3.510000,3.560000,3.386848,49108985
2019-09-09,3.570000,3.620000,3.570000,3.590000,3.415389,20010190
2019-09-10,3.700000,3.810000,3.690000,3.760000,3.577121,83623458
2019-09-11,3.780000,3.780000,3.650000,3.720000,3.539066,58995254
2019-09-12,3.720000,3.750000,3.690000,3.720000,3.539066,28830808
2019-09-13,3.720000,3.720000,3.680000,3.700000,3.520039,32728392
2019-09-16,3.690000,3.690000,3.630000,3.680000,3.501012,44183996
2019-09-17,3.630000,3.670000,3.600000,3.620000,3.443930,35949989
2019-09-18,3.620000,3.670000,3.620000,3.630000,3.453444,24166733
2019-09-19,3.640000,3.660000,3.590000,3.600000,3.424903,22944537
2019-09-20,3.630000,3.650000,3.560000,3.560000,3.386848,87940403
2019-09-23,3.580000,3.610000,3.540000,3.570000,3.396362,40923784
2019-09-24,3.560000,3.580000,3.520000,3.540000,3.367821,56439840
2019-09-25,3.570000,3.570000,3.510000,3.540000,3.367821,37858446
2019-09-26,3.580000,3.580000,3.520000,3.540000,3.367821,54359384
2019-09-27,3.550000,3.560000,3.520000,3.540000,3.367821,21833165
2019-09-30,3.530000,3.610000,3.530000,3.570000,3.396362,42654000
2019-10-02,3.580000,3.630000,3.560000,3.620000,3.443930,38943639
2019-10-03,3.620000,3.660000,3.610000,3.610000,3.434416,42392632
