Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.010000,4.010000,3.980000,3.990000,3.637861,230000
2019-08-06,3.960000,3.980000,3.930000,3.980000,3.628744,74000
2019-08-07,3.990000,4.000000,3.910000,3.940000,3.592274,62000
2019-08-08,3.930000,4.000000,3.920000,3.950000,3.601392,140000
2019-08-09,3.940000,3.990000,3.930000,3.950000,3.601392,88000
2019-08-12,3.950000,3.950000,3.900000,3.900000,3.555804,150000
2019-08-13,3.900000,3.950000,3.880000,3.920000,3.574039,280000
2019-08-14,3.960000,3.960000,3.880000,3.940000,3.592274,204000
2019-08-15,3.900000,3.930000,3.890000,3.900000,3.555804,42000
2019-08-16,3.940000,3.940000,3.940000,3.940000,3.592274,62000
2019-08-19,3.940000,4.000000,3.920000,3.930000,3.583157,152000
2019-08-20,3.980000,4.000000,3.970000,4.000000,3.646979,22000
2019-08-21,4.000000,4.000000,4.000000,4.000000,3.646979,72000
2019-08-22,4.000000,4.000000,4.000000,4.000000,3.646979,0
2019-08-23,3.990000,4.020000,3.980000,3.990000,3.637861,134000
2019-08-26,3.740000,3.860000,3.740000,3.740000,3.571024,60000
2019-08-27,3.840000,3.840000,3.840000,3.840000,3.666506,6000
2019-08-28,3.840000,3.840000,3.840000,3.840000,3.666506,0
2019-08-29,3.840000,3.840000,3.840000,3.840000,3.666506,0
2019-08-30,3.800000,3.800000,3.710000,3.720000,3.551928,36000
2019-09-02,3.700000,3.750000,3.690000,3.750000,3.580572,70000
2019-09-03,3.670000,3.800000,3.670000,3.790000,3.618765,54000
2019-09-04,3.790000,3.790000,3.790000,3.790000,3.618765,0
2019-09-05,3.790000,3.790000,3.790000,3.790000,3.618765,0
2019-09-06,3.770000,3.770000,3.770000,3.770000,3.599669,0
2019-09-09,3.670000,3.720000,3.670000,3.720000,3.551928,46000
2019-09-10,3.690000,3.700000,3.690000,3.700000,3.532831,26000
2019-09-11,3.720000,3.720000,3.720000,3.720000,3.551928,0
2019-09-12,3.720000,3.720000,3.720000,3.720000,3.551928,6000
2019-09-13,3.780000,3.790000,3.780000,3.790000,3.618765,80000
2019-09-16,3.780000,3.780000,3.760000,3.760000,3.590120,88000
2019-09-17,3.760000,3.760000,3.760000,3.760000,3.590120,0
2019-09-18,3.800000,3.810000,3.800000,3.800000,3.628313,26000
2019-09-19,3.800000,3.820000,3.780000,3.780000,3.609217,116000
2019-09-20,3.800000,3.980000,3.800000,3.800000,3.628313,150000
2019-09-23,3.800000,3.810000,3.790000,3.790000,3.618765,70000
2019-09-24,3.790000,3.820000,3.760000,3.800000,3.628313,50000
2019-09-25,3.810000,3.810000,3.800000,3.800000,3.628313,38000
2019-09-26,3.800000,3.820000,3.760000,3.760000,3.590120,244000
2019-09-27,3.730000,3.730000,3.730000,3.730000,3.561476,0
2019-09-30,3.700000,3.800000,3.700000,3.800000,3.628313,12000
2019-10-02,3.790000,3.790000,3.790000,3.790000,3.618765,0
