Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,91.000000,92.400002,90.000000,90.650002,87.167961,10000177
2019-08-06,89.000000,92.000000,88.300003,92.000000,88.466103,12758821
2019-08-07,91.099998,91.900002,90.599998,91.550003,88.033401,7748542
2019-08-08,92.000000,92.900002,91.449997,92.349998,88.802666,6252782
2019-08-09,93.050003,93.050003,90.900002,91.000000,87.504524,5062378
2019-08-12,90.750000,91.650002,89.099998,89.099998,85.677498,4987809
2019-08-13,87.349998,88.250000,86.050003,86.550003,83.225456,12233699
2019-08-14,87.300003,87.349998,86.199997,86.849998,83.513931,12918850
2019-08-15,86.500000,91.000000,86.150002,90.449997,86.975647,13526988
2019-08-16,91.250000,92.599998,89.500000,92.599998,89.043060,9893568
2019-08-19,93.500000,94.099998,92.650002,94.099998,90.485435,9028889
2019-08-20,94.400002,94.400002,93.250000,93.800003,90.196968,4951648
2019-08-21,95.000000,95.000000,93.599998,94.300003,90.677765,4563080
2019-08-22,94.949997,94.949997,92.199997,92.800003,89.235374,4309746
2019-08-23,93.000000,93.099998,91.150002,92.050003,88.514191,5366980
2019-08-26,88.099998,90.199997,88.000000,89.800003,86.350616,7342803
2019-08-27,90.000000,91.449997,89.449997,89.550003,86.110222,6839957
2019-08-28,90.000000,91.000000,89.300003,89.900002,86.446770,3613349
2019-08-29,89.500000,89.800003,88.750000,89.449997,86.014053,5116430
2019-08-30,90.000000,90.000000,87.599998,88.000000,84.619751,7901241
2019-09-02,87.500000,87.699997,86.099998,86.150002,82.840820,10234783
2019-09-03,86.150002,87.250000,85.650002,86.449997,83.129288,7576130
2019-09-04,87.000000,92.400002,86.449997,91.550003,88.033401,16852729
2019-09-05,91.500000,91.500000,88.550003,89.400002,85.965981,10607677
2019-09-06,90.000000,90.400002,88.650002,89.349998,85.917892,5770845
2019-09-09,89.000000,89.800003,88.099998,88.699997,85.292862,3409590
2019-09-10,89.349998,89.349998,88.050003,88.699997,85.292862,3088532
2019-09-11,89.300003,91.150002,88.099998,90.000000,86.542931,7848485
2019-09-12,90.300003,90.949997,88.800003,89.099998,85.677498,4284624
2019-09-13,89.699997,89.800003,89.099998,89.699997,86.254456,2982432
2019-09-16,88.699997,89.099998,88.349998,88.900002,85.485191,3047478
2019-09-17,88.949997,89.250000,88.099998,89.150002,85.725586,4340118
2019-09-18,89.550003,89.550003,88.300003,88.300003,84.908234,3755135
2019-09-19,88.800003,88.900002,87.750000,88.000000,84.619751,3039232
2019-09-20,87.699997,89.000000,87.500000,87.750000,84.379356,8136629
2019-09-23,87.500000,88.599998,86.800003,87.150002,83.802406,3072085
2019-09-24,87.599998,87.750000,86.150002,86.250000,82.936981,7389509
2019-09-25,86.599998,86.599998,85.000000,85.300003,82.023468,7132166
2019-09-26,86.500000,86.949997,85.199997,85.699997,82.408104,7984161
2019-09-27,86.650002,86.699997,85.150002,85.599998,82.311943,10375251
2019-09-30,86.000000,86.750000,85.050003,86.449997,83.129288,6639786
2019-10-02,85.050003,86.900002,84.599998,86.900002,83.562012,7402889
2019-10-03,86.500000,87.750000,86.000000,86.900002,83.562012,6623891
2019-10-04,86.949997,88.400002,86.400002,87.449997,84.090881,11357094
2019-10-08,86.800003,87.699997,85.099998,85.349998,82.071541,11011045
2019-10-09,84.650002,85.250000,83.000000,83.000000,79.811813,12490269
2019-10-10,82.000000,82.349998,80.500000,80.500000,77.407845,15729690
2019-10-11,80.949997,83.050003,80.849998,82.900002,79.715660,12057036
2019-10-14,83.000000,84.050003,82.250000,82.699997,79.523331,7196895
2019-10-15,82.949997,82.949997,81.500000,82.000000,78.850227,7772505
