Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.760000,3.880000,3.700000,3.700000,3.281302,164000
2019-08-06,3.710000,3.860000,3.710000,3.830000,3.396591,250000
2019-08-07,3.850000,3.850000,3.810000,3.810000,3.378855,42000
2019-08-08,3.800000,3.850000,3.800000,3.840000,3.405460,46000
2019-08-09,3.830000,3.830000,3.830000,3.830000,3.396591,16000
2019-08-12,3.850000,3.890000,3.840000,3.840000,3.405460,52000
2019-08-13,3.860000,3.860000,3.650000,3.740000,3.316776,184000
2019-08-14,3.740000,3.850000,3.640000,3.810000,3.378855,354000
2019-08-15,3.810000,3.810000,3.720000,3.790000,3.361118,226000
2019-08-16,3.860000,3.950000,3.860000,3.930000,3.485275,256000
2019-08-19,4.000000,4.000000,3.890000,3.930000,3.485275,122000
2019-08-20,3.920000,3.950000,3.920000,3.920000,3.476407,126000
2019-08-21,3.920000,3.920000,3.830000,3.830000,3.396591,126000
2019-08-22,3.850000,3.850000,3.830000,3.840000,3.405460,206000
2019-08-23,3.840000,3.840000,3.800000,3.800000,3.369986,52000
2019-08-26,3.810000,3.820000,3.690000,3.740000,3.316776,828000
2019-08-27,3.750000,3.780000,3.740000,3.740000,3.316776,1088000
2019-08-28,3.740000,3.820000,3.740000,3.820000,3.387723,102000
2019-08-29,3.820000,3.820000,3.680000,3.790000,3.414752,78000
2019-08-30,3.720000,3.760000,3.660000,3.750000,3.378713,254000
2019-09-02,3.750000,3.760000,3.630000,3.670000,3.306634,364000
2019-09-03,3.600000,3.640000,3.570000,3.600000,3.243564,198000
2019-09-04,3.610000,3.640000,3.600000,3.630000,3.270594,356000
2019-09-05,3.630000,3.630000,3.630000,3.630000,3.270594,228000
2019-09-06,3.640000,3.640000,3.620000,3.630000,3.270594,312000
2019-09-09,3.630000,3.650000,3.610000,3.630000,3.270594,294000
2019-09-10,3.630000,3.630000,3.600000,3.610000,3.252574,914000
2019-09-11,3.620000,3.650000,3.610000,3.630000,3.270594,236000
2019-09-12,3.650000,3.690000,3.630000,3.630000,3.270594,230000
2019-09-13,3.610000,3.680000,3.600000,3.660000,3.297624,40000
2019-09-16,3.690000,3.690000,3.620000,3.660000,3.297624,236000
2019-09-17,3.660000,3.690000,3.570000,3.620000,3.261584,268000
2019-09-18,3.640000,3.660000,3.640000,3.660000,3.297624,168000
2019-09-19,3.660000,3.660000,3.620000,3.620000,3.261584,188000
2019-09-20,3.650000,3.690000,3.640000,3.660000,3.297624,268000
2019-09-23,3.660000,3.660000,3.650000,3.650000,3.288614,382000
2019-09-24,3.660000,3.660000,3.600000,3.650000,3.288614,324000
2019-09-25,3.650000,3.650000,3.590000,3.650000,3.288614,314000
2019-09-26,3.660000,3.690000,3.650000,3.680000,3.315644,470000
2019-09-27,3.680000,3.680000,3.650000,3.670000,3.306634,236000
2019-09-30,3.670000,3.680000,3.630000,3.680000,3.315644,214000
2019-10-02,3.680000,3.680000,3.570000,3.630000,3.270594,250000
2019-10-03,3.630000,3.670000,3.630000,3.630000,3.270594,234000
2019-10-04,3.650000,3.660000,3.620000,3.630000,3.270594,616000
2019-10-08,3.630000,3.670000,3.630000,3.630000,3.270594,444000
2019-10-09,3.630000,3.670000,3.630000,3.630000,3.270594,476000
2019-10-10,3.630000,3.650000,3.630000,3.630000,3.270594,108000
2019-10-11,3.650000,3.700000,3.630000,3.700000,3.333663,382000
2019-10-14,3.710000,3.750000,3.710000,3.730000,3.360693,118000
2019-10-15,3.730000,3.770000,3.730000,3.760000,3.387723,36000
2019-10-16,3.760000,3.780000,3.760000,3.780000,3.405743,18000
2019-10-17,3.780000,3.840000,3.780000,3.840000,3.459802,116000
2019-10-18,3.850000,3.930000,3.850000,3.910000,3.522871,186000
2019-10-21,3.930000,3.990000,3.900000,3.900000,3.513862,476000
2019-10-22,3.920000,3.960000,3.780000,3.780000,3.405743,540000
2019-10-23,3.810000,3.850000,3.640000,3.750000,3.378713,616000
2019-10-24,3.730000,3.790000,3.700000,3.700000,3.333663,412000
2019-10-25,3.720000,3.750000,3.700000,3.700000,3.333663,2434000
2019-10-28,3.760000,3.760000,3.710000,3.710000,3.342673,1454000
2019-10-29,3.720000,3.760000,3.710000,3.710000,3.342673,1174000
2019-10-30,3.720000,3.720000,3.700000,3.710000,3.342673,2076000
2019-10-31,3.730000,3.770000,3.730000,3.770000,3.396733,1546000
2019-11-01,3.770000,3.830000,3.770000,3.820000,3.441782,78000
2019-11-04,3.820000,3.850000,3.790000,3.800000,3.423763,164000
2019-11-05,3.840000,3.850000,3.830000,3.830000,3.450792,68000
2019-11-06,3.850000,3.850000,3.810000,3.810000,3.432772,134000
2019-11-07,3.800000,3.800000,3.800000,3.800000,3.423763,128000
2019-11-08,3.800000,3.840000,3.790000,3.790000,3.414752,148000
2019-11-11,3.760000,3.810000,3.720000,3.750000,3.378713,114000
2019-11-12,3.760000,3.760000,3.690000,3.750000,3.378713,18000
2019-11-13,3.730000,3.730000,3.730000,3.730000,3.360693,0
2019-11-14,3.640000,3.750000,3.640000,3.720000,3.351683,112000
2019-11-15,3.750000,3.750000,3.670000,3.670000,3.306634,108000
2019-11-18,3.670000,3.670000,3.670000,3.670000,3.306634,0
2019-11-19,3.700000,3.720000,3.700000,3.720000,3.351683,46000
2019-11-20,3.720000,3.720000,3.720000,3.720000,3.351683,0
2019-11-21,3.710000,3.710000,3.710000,3.690000,3.324654,2000
2019-11-22,3.660000,3.710000,3.650000,3.700000,3.333663,78000
2019-11-25,3.650000,3.720000,3.650000,3.670000,3.306634,62000
2019-11-26,3.650000,3.650000,3.650000,3.650000,3.288614,28000
2019-11-27,3.650000,3.730000,3.630000,3.630000,3.270594,202000
2019-11-28,3.630000,3.650000,3.620000,3.620000,3.261584,226000
2019-11-29,3.600000,3.660000,3.600000,3.660000,3.297624,16000
2019-12-02,3.720000,3.730000,3.590000,3.590000,3.234555,148000
2019-12-03,3.590000,3.600000,3.580000,3.580000,3.225545,36000
2019-12-04,3.590000,3.600000,3.590000,3.600000,3.243564,4000
2019-12-05,3.580000,3.650000,3.580000,3.580000,3.225545,150000
2019-12-06,3.550000,3.600000,3.550000,3.590000,3.234555,158138
2019-12-09,3.590000,3.600000,3.520000,3.550000,3.198515,162000
2019-12-10,3.550000,3.550000,3.510000,3.520000,3.171485,110000
2019-12-11,3.520000,3.550000,3.470000,3.480000,3.135446,276000
2019-12-12,3.480000,3.550000,3.460000,3.480000,3.135446,244000
2019-12-13,3.480000,3.500000,3.440000,3.440000,3.099406,618000
2019-12-16,3.450000,3.470000,3.440000,3.440000,3.099406,338000
2019-12-17,3.450000,3.520000,3.440000,3.510000,3.162475,158000
