Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.410000,4.410000,4.050000,4.060000,3.864041,989846
2019-08-06,4.050000,4.040000,3.910000,4.020000,3.825971,1032000
2019-08-07,4.070000,4.070000,3.820000,3.900000,3.711763,1186000
2019-08-08,3.910000,4.030000,3.910000,4.000000,3.806937,1046000
2019-08-09,4.090000,4.090000,3.970000,4.000000,3.806937,1011665
2019-08-12,4.020000,4.040000,3.980000,3.990000,3.797419,1026000
2019-08-13,3.860000,4.010000,3.860000,3.990000,3.797419,1120000
2019-08-14,4.060000,4.060000,3.920000,3.920000,3.730798,1016000
2019-08-15,3.940000,3.940000,3.780000,3.900000,3.711763,1052000
2019-08-16,3.830000,3.960000,3.830000,3.940000,3.749832,1045172
2019-08-19,4.130000,4.130000,4.000000,4.020000,3.825971,1018000
2019-08-20,4.040000,4.150000,4.040000,4.100000,3.902110,1104000
2019-08-21,4.110000,4.210000,4.030000,4.070000,3.873558,1056000
2019-08-22,4.150000,4.190000,4.020000,4.190000,3.987766,1048000
2019-08-23,4.100000,4.170000,4.100000,4.110000,3.911627,980000
2019-08-26,4.020000,4.020000,3.890000,3.900000,3.711763,1088000
2019-08-27,4.020000,4.020000,3.810000,3.870000,3.683211,1706000
2019-08-28,3.910000,3.900000,3.780000,3.800000,3.616590,1136000
2019-08-29,3.780000,4.010000,3.780000,3.940000,3.749832,1126000
2019-08-30,3.960000,4.040000,3.950000,3.990000,3.797419,1390000
2019-09-02,3.920000,4.040000,3.920000,3.980000,3.787902,924000
2019-09-03,4.030000,4.030000,3.920000,3.960000,3.768867,1180000
2019-09-04,3.910000,4.190000,3.910000,4.150000,3.949697,1946000
2019-09-05,4.150000,4.150000,4.030000,4.050000,3.854523,628000
2019-09-06,4.110000,4.300000,4.050000,4.300000,4.092457,1208800
2019-09-09,4.380000,4.380000,4.090000,4.200000,3.997283,2286400
2019-09-10,4.300000,4.300000,4.060000,4.110000,3.911627,1258000
2019-09-11,4.130000,4.130000,4.010000,4.070000,3.873558,1286000
2019-09-12,4.020000,4.020000,3.910000,3.920000,3.730798,802000
2019-09-13,4.020000,4.100000,3.870000,3.930000,3.740315,1816000
2019-09-16,4.050000,4.080000,3.950000,4.020000,3.825971,1712000
2019-09-17,4.070000,4.100000,3.920000,4.000000,3.806937,1556000
2019-09-18,3.930000,3.950000,3.870000,3.900000,3.711763,1546000
2019-09-19,3.970000,3.970000,3.860000,3.900000,3.711763,1550000
2019-09-20,3.900000,3.950000,3.880000,3.910000,3.721281,1680000
2019-09-23,3.800000,4.000000,3.790000,3.970000,3.778384,1558000
2019-09-24,3.910000,4.040000,3.900000,4.020000,3.825971,1706000
2019-09-25,3.950000,3.990000,3.930000,3.970000,3.778384,1158000
2019-09-26,3.980000,4.030000,3.980000,4.030000,3.835489,1526000
2019-09-27,3.940000,4.110000,3.940000,4.090000,3.892593,1324000
2019-09-30,4.040000,4.160000,4.020000,4.050000,3.854523,2344000
2019-10-02,3.950000,4.010000,3.960000,4.000000,3.806937,1374000
2019-10-03,3.970000,4.110000,3.930000,4.100000,3.902110,1560000
2019-10-04,4.080000,4.190000,4.080000,4.130000,3.930662,1480000
2019-10-08,4.170000,4.230000,4.080000,4.130000,3.930662,1265100
2019-10-09,4.180000,4.180000,4.100000,4.140000,3.940179,1530000
2019-10-10,4.120000,4.200000,4.120000,4.200000,3.997283,1518000
2019-10-11,4.180000,4.200000,4.010000,4.050000,3.854523,1472000
2019-10-14,4.070000,4.140000,4.010000,4.060000,3.864041,2074000
2019-10-15,4.010000,4.040000,3.950000,4.000000,3.806937,1558000
2019-10-16,4.100000,4.100000,3.910000,3.930000,3.740315,1260000
2019-10-17,3.970000,4.150000,3.920000,4.150000,3.949697,1392000
2019-10-18,4.070000,4.120000,4.040000,4.040000,3.845006,1298000
2019-10-21,4.040000,4.120000,4.010000,4.030000,3.835489,1396000
2019-10-22,4.010000,4.010000,3.950000,3.960000,3.768867,1248000
2019-10-23,3.900000,3.990000,3.890000,3.990000,3.797419,1362000
2019-10-24,3.990000,4.040000,3.970000,4.040000,3.845006,1734000
2019-10-25,4.040000,4.070000,4.040000,4.070000,3.873558,1842000
2019-10-28,4.030000,4.090000,4.000000,4.050000,3.854523,1336000
2019-10-29,4.040000,4.050000,3.960000,4.000000,3.806937,1510000
2019-10-30,3.940000,3.980000,3.940000,3.980000,3.787902,1468000
2019-10-31,4.050000,4.050000,4.000000,4.000000,3.806937,1504000
2019-11-01,4.000000,4.020000,3.960000,3.980000,3.787902,1364000
2019-11-04,4.020000,4.070000,4.020000,4.050000,3.854523,1500000
2019-11-05,4.030000,4.070000,4.000000,4.040000,3.845006,1254000
2019-11-06,4.040000,4.040000,3.900000,3.940000,3.749832,1641600
2019-11-07,3.940000,3.940000,3.890000,3.920000,3.730798,1814000
2019-11-08,4.080000,4.080000,3.850000,3.900000,3.711763,2100000
2019-11-11,4.000000,4.000000,3.860000,3.920000,3.730798,1202000
2019-11-12,3.880000,3.890000,3.860000,3.870000,3.683211,1082000
2019-11-13,4.020000,4.020000,3.820000,3.880000,3.692729,1620000
2019-11-14,3.900000,3.960000,3.890000,3.920000,3.730798,1480100
2019-11-15,3.930000,3.980000,3.900000,3.940000,3.749832,1460000
2019-11-18,3.910000,3.990000,3.910000,3.930000,3.740315,836000
2019-11-19,3.910000,3.980000,3.910000,3.910000,3.721281,1831100
2019-11-20,3.900000,3.970000,3.900000,3.900000,3.711763,1068196
2019-11-21,3.900000,3.940000,3.900000,3.900000,3.711763,1084000
2019-11-22,3.930000,3.960000,3.930000,3.930000,3.740315,1458934
2019-11-25,3.920000,3.970000,3.900000,3.900000,3.711763,1498000
2019-11-26,3.920000,4.080000,3.920000,4.080000,3.883075,1431600
2019-11-27,4.040000,4.060000,4.020000,4.020000,3.825971,3614000
2019-11-28,4.050000,4.100000,4.030000,4.070000,3.873558,1404000
2019-11-29,3.950000,4.030000,3.950000,4.010000,3.816454,1447128
2019-12-02,3.930000,4.000000,3.850000,3.900000,3.711763,1560000
2019-12-03,3.840000,3.880000,3.810000,3.870000,3.683211,1606870
2019-12-04,3.820000,3.900000,3.820000,3.900000,3.711763,1130000
2019-12-05,3.940000,3.970000,3.860000,3.910000,3.721281,1917200
2019-12-06,3.950000,4.050000,3.870000,4.050000,3.854523,2948000
2019-12-09,4.010000,4.010000,3.900000,3.990000,3.797419,1414000
2019-12-10,4.010000,4.020000,3.920000,3.990000,3.797419,1410000
2019-12-11,3.920000,3.950000,3.890000,3.910000,3.721281,2634000
2019-12-12,4.040000,4.040000,3.860000,3.900000,3.711763,1744000
2019-12-13,3.900000,3.980000,3.870000,3.980000,3.787902,1541200
2019-12-16,3.940000,3.950000,3.910000,3.950000,3.759350,1955200
2019-12-17,3.970000,3.970000,3.900000,3.950000,3.759350,1094000
2019-12-18,3.920000,3.950000,3.910000,3.940000,3.749832,1524255
2019-12-19,3.920000,3.990000,3.910000,3.950000,3.759350,7024000
2019-12-20,3.920000,3.950000,3.880000,3.920000,3.730798,1794800
2019-12-23,3.870000,3.890000,3.860000,3.870000,3.683211,1726754
2019-12-24,3.860000,3.910000,3.850000,3.910000,3.721281,974000
2019-12-27,3.880000,3.910000,3.880000,3.900000,3.711763,1077678
2019-12-30,3.910000,3.920000,3.870000,3.920000,3.730798,1075323
2019-12-31,3.910000,4.020000,3.900000,4.000000,3.806937,1014000
2020-01-02,4.000000,4.030000,3.980000,3.980000,3.787902,1574000
2020-01-03,4.020000,4.040000,3.990000,4.010000,3.816454,1468000
2020-01-06,4.000000,4.000000,3.910000,3.920000,3.730798,1542000
2020-01-07,3.900000,3.950000,3.860000,3.930000,3.740315,1590000
2020-01-08,3.880000,3.920000,3.880000,3.900000,3.711763,2050000
2020-01-09,3.900000,3.990000,3.800000,3.870000,3.683211,2626400
2020-01-10,3.850000,3.900000,3.830000,3.900000,3.711763,1578000
