Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.000000,4.000000,3.900000,3.920000,3.875837,94101222
2019-08-06,3.870000,3.890000,3.830000,3.870000,3.826400,119697540
2019-08-07,3.890000,3.890000,3.810000,3.870000,3.826400,117407814
2019-08-08,3.840000,3.900000,3.840000,3.890000,3.846175,89427095
2019-08-09,3.900000,3.910000,3.860000,3.880000,3.836287,49884970
2019-08-12,3.850000,3.910000,3.830000,3.850000,3.806625,54553112
2019-08-13,3.820000,3.830000,3.760000,3.780000,3.737414,96892805
2019-08-14,3.820000,3.950000,3.810000,3.820000,3.776963,144639459
2019-08-15,3.780000,3.830000,3.760000,3.810000,3.767076,83631126
2019-08-16,3.820000,3.830000,3.750000,3.800000,3.757189,76477032
2019-08-19,3.850000,3.880000,3.830000,3.850000,3.806625,58162778
2019-08-20,3.830000,3.940000,3.820000,3.900000,3.856062,71349122
2019-08-21,3.870000,3.910000,3.850000,3.890000,3.846175,78249524
2019-08-22,3.900000,3.900000,3.820000,3.850000,3.806625,50490783
2019-08-23,3.880000,3.880000,3.810000,3.830000,3.786850,72630671
2019-08-26,3.740000,3.760000,3.690000,3.750000,3.707752,103518821
2019-08-27,3.770000,3.770000,3.710000,3.730000,3.687977,67803850
2019-08-28,3.750000,3.770000,3.700000,3.730000,3.687977,47713322
2019-08-29,3.720000,3.760000,3.700000,3.750000,3.707752,69297688
2019-08-30,3.840000,3.970000,3.840000,3.890000,3.846175,195138753
2019-09-02,3.890000,3.910000,3.840000,3.890000,3.846175,62787554
2019-09-03,3.840000,3.910000,3.820000,3.870000,3.826400,48592859
2019-09-04,3.910000,3.940000,3.850000,3.910000,3.865949,114234696
2019-09-05,3.910000,4.030000,3.910000,3.980000,3.935161,89002129
2019-09-06,4.000000,4.040000,3.970000,3.990000,3.945048,67777273
2019-09-09,4.050000,4.170000,4.030000,4.120000,4.073584,222861728
2019-09-10,4.140000,4.250000,4.140000,4.210000,4.162570,234938684
2019-09-11,4.250000,4.270000,4.180000,4.250000,4.202119,133784014
2019-09-12,4.220000,4.220000,4.140000,4.190000,4.142795,110256651
2019-09-13,4.160000,4.240000,4.160000,4.230000,4.182344,57112078
2019-09-16,4.450000,4.460000,4.300000,4.320000,4.280066,317555794
2019-09-17,4.330000,4.360000,4.300000,4.310000,4.270158,153730626
