Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,7.910000,7.940000,7.680000,7.680000,7.199669,6306688
2019-08-06,7.500000,7.570000,7.300000,7.510000,7.040301,11036018
2019-08-07,7.570000,7.660000,7.530000,7.580000,7.105923,6319910
2019-08-08,7.550000,7.760000,7.520000,7.750000,7.265291,10009500
2019-08-09,7.750000,7.850000,7.690000,7.740000,7.255916,7669871
2019-08-12,7.740000,7.750000,7.640000,7.660000,7.180920,5240000
2019-08-13,7.560000,7.570000,7.350000,7.410000,6.946556,8576675
2019-08-14,7.500000,7.620000,7.490000,7.490000,7.021552,3759536
2019-08-15,7.390000,7.440000,7.260000,7.430000,6.965304,9955195
2019-08-16,7.370000,7.560000,7.360000,7.510000,7.040301,10931710
2019-08-19,7.510000,8.160000,7.510000,8.070000,7.565277,19539216
2019-08-20,7.820000,7.990000,7.710000,7.970000,7.710391,8454000
2019-08-21,7.910000,8.000000,7.780000,7.880000,7.623322,12776752
2019-08-22,7.850000,8.140000,7.840000,7.910000,7.652345,7244000
2019-08-23,7.990000,8.010000,7.870000,7.920000,7.662020,4624551
2019-08-26,7.600000,7.890000,7.600000,7.850000,7.594300,4690628
2019-08-27,7.900000,7.970000,7.750000,7.870000,7.613648,5696000
2019-08-28,7.790000,7.900000,7.780000,7.850000,7.594300,2856626
2019-08-29,7.890000,7.910000,7.700000,7.820000,7.565277,4010908
2019-08-30,7.850000,8.010000,7.710000,7.800000,7.545928,9495398
2019-09-02,7.760000,7.990000,7.690000,7.980000,7.720065,6510000
2019-09-03,7.990000,8.050000,7.930000,7.970000,7.710391,4886382
2019-09-04,7.930000,8.030000,7.870000,8.000000,7.739414,5821910
2019-09-05,8.000000,8.100000,8.000000,8.050000,7.787785,9043098
2019-09-06,8.060000,8.290000,8.040000,8.180000,7.913551,7947069
2019-09-09,8.080000,8.250000,8.080000,8.190000,7.923224,4278242
2019-09-10,8.280000,8.500000,8.250000,8.420000,8.145733,15532372
2019-09-11,8.490000,8.550000,8.320000,8.440000,8.165081,7189500
2019-09-12,8.480000,8.500000,8.380000,8.490000,8.213452,6779064
2019-09-13,8.550000,8.830000,8.540000,8.810000,8.523029,11879000
2019-09-16,8.960000,9.000000,8.710000,8.880000,8.590750,14966130
2019-09-17,8.790000,8.860000,8.680000,8.750000,8.464984,8484846
2019-09-18,8.800000,8.840000,8.760000,8.820000,8.532703,5971036
2019-09-19,8.820000,8.820000,8.640000,8.690000,8.406938,5441000
2019-09-20,8.700000,8.860000,8.670000,8.840000,8.552052,10916431
2019-09-23,8.800000,8.840000,8.650000,8.750000,8.464984,6953122
2019-09-24,8.750000,8.780000,8.690000,8.770000,8.484333,10574384
2019-09-25,8.770000,8.770000,8.560000,8.640000,8.358567,7809600
2019-09-26,8.600000,8.650000,8.520000,8.630000,8.348892,6598366
2019-09-27,8.590000,8.590000,8.380000,8.500000,8.223127,8421130
2019-09-30,8.540000,8.800000,8.440000,8.630000,8.348892,8255600
2019-10-02,8.610000,8.720000,8.560000,8.630000,8.348892,6574726
2019-10-03,8.630000,8.680000,8.530000,8.660000,8.377915,2719465
2019-10-04,8.680000,8.680000,8.480000,8.570000,8.290847,4097044
2019-10-08,8.610000,8.700000,8.480000,8.550000,8.271499,5562365
2019-10-09,8.590000,8.630000,8.460000,8.560000,8.281173,3338763
2019-10-10,8.590000,8.760000,8.550000,8.650000,8.368240,6099538
2019-10-11,8.640000,8.770000,8.560000,8.740000,8.455309,4459000
2019-10-14,8.780000,9.050000,8.760000,8.900000,8.610098,12895909
2019-10-15,8.960000,9.020000,8.930000,8.950000,8.658469,5726565
2019-10-16,8.950000,8.980000,8.820000,8.920000,8.629446,4671000
2019-10-17,8.930000,9.010000,8.890000,8.940000,8.648794,6109000
2019-10-18,8.940000,9.030000,8.890000,8.980000,8.687491,10134887
2019-10-21,9.000000,9.040000,8.950000,9.000000,8.706841,5489835
2019-10-22,9.140000,9.140000,8.950000,9.000000,8.706841,7933030
2019-10-23,9.130000,9.130000,8.930000,9.000000,8.706841,5618418
2019-10-24,9.040000,9.080000,8.990000,9.040000,8.745538,5463025
2019-10-25,8.980000,9.060000,8.920000,9.000000,8.706841,3989900
2019-10-28,9.070000,9.080000,8.950000,9.000000,8.706841,4813702
2019-10-29,9.000000,9.070000,8.880000,8.950000,8.658469,3095820
2019-10-30,9.000000,9.030000,8.850000,8.920000,8.629446,3343696
2019-10-31,8.950000,8.950000,8.720000,8.830000,8.542377,4906500
2019-11-01,8.830000,8.950000,8.790000,8.950000,8.658469,3768000
2019-11-04,9.030000,9.080000,8.930000,9.050000,8.755212,7615689
2019-11-05,9.100000,9.200000,9.060000,9.200000,8.900326,12384035
2019-11-06,9.200000,9.240000,9.130000,9.160000,8.861629,8995000
2019-11-07,9.180000,9.200000,9.050000,9.140000,8.842280,5559679
2019-11-08,9.180000,9.290000,9.140000,9.180000,8.880978,13972574
2019-11-11,9.200000,9.200000,9.030000,9.080000,8.784234,4310272
2019-11-12,9.050000,9.090000,8.980000,9.080000,8.784234,3410678
2019-11-13,8.990000,9.200000,8.960000,9.150000,8.851954,7546505
2019-11-14,9.150000,9.210000,9.080000,9.170000,8.871303,3650258
2019-11-15,9.180000,9.220000,9.130000,9.190000,8.890651,2291897
2019-11-18,9.180000,9.250000,9.120000,9.250000,8.948697,5247243
2019-11-19,9.260000,9.490000,9.220000,9.440000,9.132508,11222897
2019-11-20,9.430000,9.580000,9.360000,9.500000,9.190554,5658344
2019-11-21,9.460000,9.490000,9.250000,9.360000,9.055114,7470322
2019-11-22,9.340000,9.550000,9.290000,9.430000,9.122834,5457188
2019-11-25,9.430000,9.520000,9.200000,9.270000,8.968046,8295117
2019-11-26,9.340000,9.380000,9.240000,9.300000,8.997068,9620000
2019-11-27,9.360000,9.430000,9.310000,9.370000,9.064788,5602084
2019-11-28,9.360000,9.400000,9.230000,9.300000,8.997068,4945000
2019-11-29,9.220000,9.220000,9.150000,9.200000,8.900326,3430872
2019-12-02,9.170000,9.250000,9.150000,9.200000,8.900326,5977100
2019-12-03,9.140000,9.190000,9.090000,9.170000,8.871303,9375584
2019-12-04,9.170000,9.280000,9.160000,9.180000,8.880978,7168682
2019-12-05,9.180000,9.280000,9.160000,9.220000,8.919675,6709776
2019-12-06,9.280000,9.290000,9.180000,9.200000,8.900326,4291028
2019-12-09,9.250000,9.400000,9.220000,9.250000,8.948697,4451820
2019-12-10,9.260000,9.260000,9.090000,9.110000,8.813257,9088000
2019-12-11,9.160000,9.240000,9.100000,9.220000,8.919675,7646207
2019-12-12,9.210000,9.310000,9.170000,9.260000,8.958371,4527000
2019-12-13,9.310000,9.500000,9.310000,9.490000,9.180880,8244425
2019-12-16,9.410000,9.670000,9.410000,9.620000,9.306644,9309227
2019-12-17,9.650000,9.650000,9.450000,9.580000,9.267948,8743364
2019-12-18,9.630000,9.630000,9.470000,9.510000,9.200229,4706711
2019-12-19,9.530000,9.650000,9.500000,9.580000,9.267948,8682596
2019-12-20,9.520000,9.740000,9.520000,9.690000,9.374365,9099848
2019-12-23,9.700000,9.850000,9.670000,9.770000,9.451759,7134227
2019-12-24,9.760000,9.810000,9.680000,9.750000,9.432410,2496446
2019-12-27,9.750000,9.940000,9.750000,9.940000,9.616221,7474068
2019-12-30,9.940000,10.480000,9.920000,10.320000,9.983844,17247111
2019-12-31,10.280000,10.380000,10.160000,10.320000,9.983844,5554500
2020-01-02,10.260000,10.480000,10.260000,10.340000,10.003192,5504170
2020-01-03,10.440000,10.500000,10.280000,10.420000,10.080586,3430440
2020-01-06,10.300000,10.340000,10.200000,10.300000,9.964496,5307000
2020-01-07,10.360000,10.380000,10.140000,10.200000,9.867752,7428290
2020-01-08,10.140000,10.300000,10.040000,10.280000,9.945147,5746390
2020-01-09,10.300000,10.600000,10.240000,10.600000,10.254724,13220800
2020-01-10,10.660000,10.880000,10.600000,10.660000,10.312769,7930000
2020-01-13,10.680000,10.840000,10.660000,10.680000,10.332118,3221400
2020-01-14,10.700000,10.780000,10.600000,10.720000,10.370814,7545749
2020-01-15,10.700000,10.760000,10.460000,10.560000,10.216026,10854900
2020-01-16,10.720000,10.760000,10.560000,10.760000,10.409512,7015225
2020-01-17,10.820000,10.880000,10.700000,10.820000,10.467557,7001200
2020-01-20,10.860000,10.920000,10.780000,10.840000,10.486906,6938000
2020-01-21,10.860000,10.940000,10.460000,10.660000,10.312769,12326184
2020-01-22,10.720000,11.160000,10.680000,11.120000,10.757785,8821500
2020-01-23,10.980000,11.040000,10.500000,10.580000,10.235374,9966300
2020-01-24,10.460000,10.940000,10.460000,10.900000,10.544950,5150144
2020-01-29,10.620000,10.700000,10.280000,10.360000,10.022540,8840953
2020-01-30,10.400000,10.600000,10.100000,10.200000,9.867752,11317488
2020-01-31,10.280000,10.280000,9.800000,9.800000,9.480782,16264300
2020-02-03,9.710000,9.910000,9.250000,9.750000,9.432410,15392227
2020-02-04,9.830000,10.140000,9.790000,10.020000,9.693616,6931720
2020-02-05,10.220000,10.400000,10.140000,10.240000,9.906449,8551440
2020-02-06,10.200000,10.480000,10.180000,10.480000,10.138632,7382248
2020-02-07,10.460000,10.460000,10.020000,10.300000,9.964496,14812154
2020-02-10,10.260000,10.320000,10.100000,10.260000,9.925798,5568000
2020-02-11,10.260000,10.440000,10.160000,10.240000,9.906449,5018000
2020-02-12,10.240000,10.960000,10.180000,10.680000,10.332118,17053404
2020-02-13,10.800000,11.080000,10.680000,10.700000,10.351465,13861145
2020-02-14,10.780000,10.860000,10.640000,10.800000,10.448209,7367913
2020-02-17,10.600000,10.860000,10.600000,10.740000,10.390162,4593258
2020-02-18,10.880000,10.960000,10.480000,10.600000,10.254724,11209775
2020-02-19,10.500000,10.640000,10.380000,10.480000,10.138632,9085117
2020-02-20,10.480000,10.560000,10.240000,10.400000,10.061237,9054392
2020-02-21,10.340000,10.380000,10.140000,10.340000,10.003192,5562048
2020-02-24,10.100000,10.200000,9.880000,9.920000,9.596873,12774000
2020-02-25,9.770000,9.970000,9.540000,9.930000,9.606547,13536205
2020-02-26,9.900000,10.020000,9.580000,9.840000,9.519479,15590144
2020-02-27,9.850000,9.970000,9.700000,9.910000,9.587198,8944168
2020-02-28,9.840000,9.850000,9.580000,9.640000,9.325994,10505204
2020-03-02,9.530000,9.650000,9.410000,9.600000,9.287297,15051187
2020-03-03,9.700000,10.040000,9.690000,9.800000,9.480782,12950665
2020-03-04,9.700000,9.770000,9.530000,9.580000,9.267948,9905216
2020-03-05,9.650000,9.840000,9.640000,9.740000,9.422736,7829548
2020-03-06,9.620000,9.660000,9.410000,9.530000,9.219576,7777962
2020-03-09,9.530000,9.530000,9.530000,9.530000,9.219576,0
2020-03-10,9.050000,9.050000,9.050000,9.050000,8.755212,0
2020-03-11,9.070000,9.300000,9.040000,9.150000,8.851954,11044168
2020-03-12,9.040000,9.070000,8.800000,8.930000,8.639121,13813148
2020-03-13,8.450000,8.810000,8.220000,8.670000,8.387589,20816334
2020-03-16,8.570000,8.940000,8.190000,8.270000,8.000619,17178996
2020-03-17,8.180000,8.380000,7.840000,8.290000,8.019967,14097450
2020-03-18,7.800000,8.260000,7.800000,8.180000,7.913551,17674346
2020-03-19,8.040000,8.200000,7.740000,8.150000,7.884527,24398802
2020-03-20,8.120000,8.630000,8.120000,8.480000,8.203778,31950685
2020-03-23,8.110000,8.280000,8.000000,8.200000,7.932899,13502766
2020-03-24,8.290000,8.650000,8.250000,8.550000,8.271499,12344297
2020-03-25,8.600000,9.120000,8.600000,9.000000,8.706841,11686554
2020-03-26,8.880000,9.140000,8.880000,9.070000,8.774560,12399042
2020-03-27,9.100000,9.220000,8.830000,8.900000,8.610098,7939067
2020-03-30,8.750000,8.760000,8.510000,8.690000,8.406938,6806983
2020-03-31,8.740000,8.970000,8.630000,8.900000,8.610098,5840333
2020-04-01,8.840000,8.900000,8.600000,8.670000,8.387589,4097973
2020-04-02,8.500000,8.650000,8.390000,8.640000,8.358567,4818150
2020-04-03,8.660000,8.810000,8.500000,8.720000,8.435961,7067747
2020-04-06,8.730000,8.730000,8.470000,8.570000,8.290847,4566369
2020-04-07,8.690000,8.960000,8.680000,8.920000,8.629446,9410687
2020-04-08,8.910000,8.980000,8.790000,8.940000,8.648794,2876667
