Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.890000,4.890000,4.670000,4.690000,4.545730,5784500
2019-08-06,4.630000,4.650000,4.480000,4.560000,4.419729,16943983
2019-08-07,4.590000,4.650000,4.500000,4.550000,4.410037,10848943
2019-08-08,4.590000,4.590000,4.510000,4.520000,4.380960,6082012
2019-08-09,4.560000,4.560000,4.450000,4.460000,4.322805,12473579
2019-08-12,4.450000,4.570000,4.300000,4.520000,4.380960,7228500
2019-08-13,4.460000,4.480000,4.350000,4.370000,4.235573,10682043
2019-08-14,4.400000,4.400000,4.320000,4.340000,4.206497,9152162
2019-08-15,4.250000,4.350000,4.230000,4.330000,4.196804,6522976
2019-08-16,4.280000,4.430000,4.260000,4.380000,4.245266,7283911
2019-08-19,4.450000,4.550000,4.430000,4.450000,4.313113,6424069
2019-08-20,4.450000,4.530000,4.420000,4.460000,4.322805,4863670
2019-08-21,4.450000,4.600000,4.370000,4.420000,4.284036,20893270
2019-08-22,4.460000,4.460000,4.240000,4.240000,4.109572,15257084
2019-08-23,4.240000,4.240000,4.090000,4.110000,3.983572,18965485
2019-08-26,4.050000,4.130000,4.020000,4.100000,3.973879,20938908
2019-08-27,4.160000,4.180000,4.100000,4.140000,4.012649,21941565
2019-08-28,4.160000,4.280000,4.130000,4.150000,4.022341,10428686
2019-08-29,4.180000,4.200000,4.130000,4.140000,4.012649,6798021
2019-08-30,4.130000,4.490000,4.120000,4.310000,4.177419,36127627
2019-09-02,4.430000,4.610000,4.350000,4.550000,4.410037,24435600
2019-09-03,4.580000,4.620000,4.420000,4.460000,4.322805,13796564
2019-09-04,4.500000,4.500000,4.320000,4.400000,4.264651,17399154
2019-09-05,4.400000,4.550000,4.370000,4.530000,4.390652,15669994
2019-09-06,4.550000,4.670000,4.490000,4.560000,4.419729,21172269
2019-09-09,4.520000,4.550000,4.450000,4.470000,4.332497,8539519
2019-09-10,4.470000,4.620000,4.470000,4.560000,4.419729,8263000
2019-09-11,4.560000,4.660000,4.540000,4.630000,4.487576,5864503
2019-09-12,4.700000,4.740000,4.600000,4.640000,4.497268,4018057
2019-09-13,4.630000,4.640000,4.560000,4.610000,4.468191,4757992
2019-09-16,4.630000,4.680000,4.600000,4.640000,4.497268,6631419
2019-09-17,4.640000,4.720000,4.560000,4.640000,4.497268,7675069
2019-09-18,4.720000,4.730000,4.620000,4.670000,4.526345,5365472
2019-09-19,4.650000,4.680000,4.620000,4.670000,4.526345,6678898
2019-09-20,4.750000,4.750000,4.600000,4.620000,4.477883,18676350
2019-09-23,4.660000,4.660000,4.530000,4.570000,4.429421,5875117
2019-09-24,4.580000,4.590000,4.470000,4.510000,4.371267,20221182
2019-09-25,4.510000,4.510000,4.290000,4.400000,4.264651,11502830
2019-09-26,4.400000,4.400000,4.290000,4.320000,4.187112,18370585
2019-09-27,4.310000,4.400000,4.280000,4.340000,4.206497,14889562
2019-09-30,4.410000,4.430000,4.290000,4.400000,4.264651,8898000
2019-10-02,4.410000,4.460000,4.330000,4.400000,4.264651,4662751
2019-10-03,4.400000,4.420000,4.340000,4.390000,4.254958,4848322
2019-10-04,4.460000,4.560000,4.430000,4.520000,4.380960,25963000
2019-10-08,4.500000,4.560000,4.350000,4.360000,4.225882,10809400
2019-10-09,4.350000,4.390000,4.250000,4.270000,4.138650,12309416
2019-10-10,4.250000,4.280000,4.190000,4.190000,4.061110,18635000
2019-10-11,4.190000,4.250000,4.170000,4.190000,4.061110,8826785
2019-10-14,4.230000,4.240000,4.050000,4.070000,3.944802,28257000
2019-10-15,4.080000,4.080000,4.000000,4.000000,3.876955,29085519
2019-10-16,4.040000,4.050000,4.010000,4.010000,3.886648,29628274
2019-10-17,4.030000,4.220000,4.020000,4.150000,4.022341,26585389
2019-10-18,4.150000,4.200000,4.100000,4.150000,4.022341,51087613
2019-10-21,4.140000,4.190000,4.130000,4.170000,4.041726,19054077
2019-10-22,4.200000,4.350000,4.180000,4.300000,4.167727,14696785
2019-10-23,4.310000,4.330000,4.210000,4.300000,4.167727,10852390
2019-10-24,4.250000,4.340000,4.240000,4.330000,4.196804,10355170
2019-10-25,4.370000,4.370000,4.230000,4.280000,4.148342,11382132
2019-10-28,4.280000,4.430000,4.220000,4.260000,4.128958,10313000
2019-10-29,4.290000,4.320000,4.210000,4.220000,4.090188,10455640
2019-10-30,4.230000,4.230000,4.050000,4.110000,3.983572,12406606
2019-10-31,4.150000,4.260000,4.100000,4.240000,4.109572,13369659
2019-11-01,4.200000,4.390000,4.190000,4.360000,4.225882,19553810
2019-11-04,4.400000,4.580000,4.390000,4.450000,4.313113,12474412
2019-11-05,4.450000,4.480000,4.320000,4.440000,4.303421,10335654
2019-11-06,4.390000,4.470000,4.390000,4.430000,4.293728,3470871
2019-11-07,4.450000,4.600000,4.430000,4.560000,4.419729,11372990
2019-11-08,4.600000,4.600000,4.450000,4.500000,4.361575,10346212
2019-11-11,4.500000,4.510000,4.330000,4.350000,4.216189,7196352
2019-11-12,4.320000,4.360000,4.250000,4.320000,4.187112,7440740
2019-11-13,4.280000,4.360000,4.250000,4.310000,4.177419,5714548
2019-11-14,4.270000,4.340000,4.240000,4.300000,4.167727,4731400
2019-11-15,4.300000,4.350000,4.160000,4.190000,4.061110,7395430
2019-11-18,4.170000,4.230000,4.120000,4.200000,4.070803,4883861
2019-11-19,4.210000,4.230000,4.160000,4.200000,4.070803,2586691
2019-11-20,4.210000,4.210000,4.110000,4.200000,4.070803,6850620
2019-11-21,4.130000,4.200000,4.080000,4.150000,4.022341,8201433
2019-11-22,4.150000,4.220000,4.120000,4.160000,4.032033,5874620
2019-11-25,4.150000,4.240000,4.100000,4.130000,4.002956,13654130
2019-11-26,4.160000,4.230000,4.140000,4.180000,4.051418,21134342
2019-11-27,4.190000,4.290000,4.190000,4.220000,4.090188,7317191
