Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.850000,5.870000,5.770000,5.780000,5.457591,432617840
2019-08-06,5.630000,5.730000,5.630000,5.710000,5.391495,635815601
2019-08-07,5.710000,5.720000,5.660000,5.710000,5.391495,343895928
2019-08-08,5.670000,5.750000,5.670000,5.710000,5.391495,398280893
2019-08-09,5.750000,5.770000,5.700000,5.700000,5.382052,297610378
2019-08-12,5.700000,5.770000,5.700000,5.730000,5.410379,321295982
2019-08-13,5.690000,5.710000,5.630000,5.640000,5.325399,379475943
2019-08-14,5.700000,5.710000,5.640000,5.640000,5.325399,344386357
2019-08-15,5.550000,5.750000,5.550000,5.710000,5.391495,483688075
2019-08-16,5.700000,5.770000,5.690000,5.730000,5.410379,332232354
2019-08-19,5.730000,5.820000,5.730000,5.770000,5.448148,432427842
2019-08-20,5.730000,5.750000,5.710000,5.730000,5.410379,315353740
2019-08-21,5.710000,5.810000,5.710000,5.770000,5.448148,321457019
2019-08-22,5.730000,5.800000,5.730000,5.780000,5.457591,392736552
2019-08-23,5.760000,5.810000,5.750000,5.790000,5.467032,302151677
2019-08-26,5.650000,5.770000,5.620000,5.750000,5.429264,537994977
2019-08-27,5.790000,5.820000,5.730000,5.780000,5.457591,491896056
2019-08-28,5.780000,5.830000,5.780000,5.800000,5.476475,263561280
2019-08-29,5.770000,5.780000,5.720000,5.770000,5.448148,371953908
2019-08-30,5.800000,5.860000,5.790000,5.820000,5.495359,314164154
2019-09-02,5.750000,5.830000,5.750000,5.810000,5.485917,277623083
2019-09-03,5.750000,5.810000,5.730000,5.740000,5.419821,314687996
2019-09-04,5.790000,5.940000,5.770000,5.890000,5.561454,590687220
2019-09-05,5.910000,6.020000,5.910000,5.990000,5.655876,441159302
2019-09-06,6.050000,6.060000,6.000000,6.030000,5.693645,435614991
2019-09-09,6.030000,6.080000,6.020000,6.030000,5.693645,332248517
2019-09-10,6.070000,6.090000,6.030000,6.030000,5.693645,286671131
2019-09-11,6.070000,6.200000,6.060000,6.200000,5.854162,333980356
2019-09-12,6.280000,6.280000,6.160000,6.170000,5.825836,242595725
2019-09-13,6.170000,6.240000,6.170000,6.240000,5.891931,181030805
2019-09-16,6.160000,6.180000,6.090000,6.120000,5.778625,553936257
2019-09-17,6.090000,6.100000,6.000000,6.020000,5.684203,505668090
2019-09-18,6.030000,6.060000,5.980000,6.000000,5.665318,394211824
2019-09-19,6.020000,6.020000,5.950000,5.960000,5.627550,359809688
2019-09-20,5.960000,6.000000,5.960000,5.970000,5.636992,484289890
2019-09-23,5.950000,6.000000,5.940000,5.960000,5.627550,337917798
2019-09-24,5.960000,5.980000,5.940000,5.940000,5.608665,637162491
2019-09-25,5.940000,5.960000,5.880000,5.900000,5.570897,550032137
2019-09-26,5.920000,5.980000,5.890000,5.960000,5.627550,595256330
2019-09-27,5.930000,5.940000,5.880000,5.920000,5.589781,128083577
2019-09-30,5.900000,6.000000,5.880000,5.980000,5.646434,251694225
2019-10-02,5.950000,6.000000,5.900000,5.980000,5.646434,204517585
2019-10-03,5.920000,6.040000,5.900000,5.990000,5.655876,173114900
2019-10-04,5.980000,6.020000,5.880000,5.920000,5.589781,177887866
2019-10-08,5.880000,6.010000,5.860000,5.950000,5.618107,425590770
2019-10-09,5.910000,6.010000,5.880000,5.960000,5.627550,471515224
2019-10-10,5.970000,6.040000,5.920000,6.000000,5.665318,310772450
2019-10-11,6.050000,6.160000,6.050000,6.130000,5.788067,364855852
2019-10-14,6.110000,6.250000,6.110000,6.220000,5.873047,649977688
2019-10-15,6.250000,6.270000,6.210000,6.260000,5.910816,524816882
2019-10-16,6.260000,6.300000,6.240000,6.280000,5.929700,441498796
2019-10-17,6.300000,6.320000,6.270000,6.310000,5.958027,380657198
2019-10-18,6.320000,6.350000,6.220000,6.260000,5.910816,468664599
2019-10-21,6.220000,6.290000,6.210000,6.270000,5.920258,252809373
2019-10-22,6.300000,6.320000,6.280000,6.300000,5.948585,285108139
2019-10-23,6.280000,6.320000,6.260000,6.290000,5.939142,314371791
2019-10-24,6.300000,6.380000,6.280000,6.350000,5.995795,330381665
2019-10-25,6.380000,6.380000,6.290000,6.290000,5.939142,245408924
2019-10-28,6.320000,6.380000,6.300000,6.310000,5.958027,292901543
2019-10-29,6.340000,6.370000,6.290000,6.310000,5.958027,283427016
2019-10-30,6.310000,6.310000,6.190000,6.230000,5.882489,326818808
2019-10-31,6.240000,6.320000,6.220000,6.310000,5.958027,355281281
2019-11-01,6.270000,6.370000,6.270000,6.360000,6.005238,284320906
2019-11-04,6.360000,6.480000,6.360000,6.480000,6.118544,347007015
2019-11-05,6.450000,6.500000,6.440000,6.500000,6.137428,342048572
2019-11-06,6.480000,6.500000,6.440000,6.450000,6.090217,258029244
2019-11-07,6.490000,6.560000,6.430000,6.560000,6.194082,301639541
2019-11-08,6.540000,6.550000,6.460000,6.470000,6.109102,342395416
2019-11-11,6.430000,6.430000,6.240000,6.270000,5.920258,374142932
2019-11-12,6.280000,6.340000,6.270000,6.310000,5.958027,269707873
2019-11-13,6.220000,6.270000,6.190000,6.210000,5.863605,424970152
2019-11-14,6.170000,6.240000,6.160000,6.180000,5.835278,391245831
2019-11-15,6.250000,6.270000,6.200000,6.210000,5.863605,352552711
2019-11-18,6.250000,6.310000,6.210000,6.310000,5.958027,377764329
2019-11-19,6.330000,6.420000,6.290000,6.420000,6.061891,288730983
2019-11-20,6.350000,6.410000,6.310000,6.400000,6.043006,309949121
2019-11-21,6.340000,6.340000,6.250000,6.270000,5.920258,331650926
2019-11-22,6.300000,6.350000,6.300000,6.330000,5.976911,153409545
2019-11-25,6.360000,6.440000,6.350000,6.400000,6.043006,229281711
2019-11-26,6.410000,6.450000,6.400000,6.400000,6.043006,460639088
2019-11-27,6.400000,6.430000,6.360000,6.420000,6.061891,174360691
2019-11-28,6.360000,6.420000,6.360000,6.400000,6.043006,167710370
2019-11-29,6.370000,6.370000,6.220000,6.230000,5.882489,418300429
2019-12-02,6.200000,6.260000,6.200000,6.230000,5.882489,316756197
2019-12-03,6.200000,6.240000,6.140000,6.200000,5.854162,568427527
2019-12-04,6.180000,6.190000,6.120000,6.170000,5.825836,339244748
2019-12-05,6.190000,6.220000,6.170000,6.200000,5.854162,304727645
2019-12-06,6.210000,6.300000,6.210000,6.290000,5.939142,264593179
2019-12-09,6.270000,6.320000,6.240000,6.300000,5.948585,235185400
2019-12-10,6.270000,6.330000,6.250000,6.310000,5.958027,160479103
2019-12-11,6.270000,6.380000,6.240000,6.370000,6.014680,234523816
2019-12-12,6.420000,6.450000,6.390000,6.400000,6.043006,273936246
2019-12-13,6.500000,6.510000,6.440000,6.510000,6.146871,431149103
2019-12-16,6.450000,6.510000,6.430000,6.460000,6.099660,299393580
2019-12-17,6.470000,6.590000,6.460000,6.590000,6.222408,411904388
2019-12-18,6.600000,6.630000,6.590000,6.630000,6.260177,386392699
2019-12-19,6.640000,6.650000,6.610000,6.640000,6.269619,269510765
2019-12-20,6.620000,6.680000,6.610000,6.620000,6.250735,259943524
2019-12-23,6.660000,6.680000,6.630000,6.680000,6.307388,266693862
2019-12-24,6.650000,6.680000,6.600000,6.630000,6.260177,101621482
2019-12-27,6.670000,6.760000,6.660000,6.760000,6.382926,304298961
2019-12-30,6.710000,6.770000,6.700000,6.750000,6.373484,286893053
2019-12-31,6.730000,6.760000,6.710000,6.730000,6.354599,147238879
2020-01-02,6.730000,6.830000,6.730000,6.800000,6.420695,239292513
2020-01-03,6.830000,6.850000,6.720000,6.720000,6.345157,277420033
2020-01-06,6.700000,6.710000,6.580000,6.650000,6.279061,260518248
2020-01-07,6.640000,6.700000,6.600000,6.610000,6.241293,204806676
2020-01-08,6.540000,6.590000,6.480000,6.560000,6.194082,267421237
2020-01-09,6.650000,6.710000,6.600000,6.670000,6.297946,215859440
2020-01-10,6.730000,6.750000,6.680000,6.720000,6.345157,223748680
2020-01-13,6.740000,6.830000,6.740000,6.800000,6.420695,481124394
2020-01-14,6.840000,6.840000,6.730000,6.750000,6.373484,251178559
2020-01-15,6.740000,6.780000,6.700000,6.730000,6.354599,156885440
2020-01-16,6.690000,6.750000,6.670000,6.690000,6.316830,270617598
2020-01-17,6.700000,6.770000,6.670000,6.770000,6.392368,218738775
2020-01-20,6.730000,6.770000,6.650000,6.650000,6.279061,236940433
2020-01-21,6.590000,6.640000,6.430000,6.440000,6.080775,423025861
2020-01-22,6.450000,6.550000,6.420000,6.510000,6.146871,200650403
2020-01-23,6.440000,6.460000,6.380000,6.430000,6.071333,210787793
2020-01-24,6.440000,6.450000,6.380000,6.430000,6.071333,69900162
2020-01-29,6.190000,6.240000,6.160000,6.190000,5.844720,290599534
2020-01-30,6.140000,6.160000,5.980000,6.000000,5.665318,341264626
2020-01-31,6.040000,6.080000,5.950000,5.950000,5.618107,296736460
2020-02-03,5.900000,6.080000,5.900000,6.010000,5.674761,432238892
2020-02-04,5.960000,6.140000,5.960000,6.080000,5.740856,558324771
2020-02-05,6.030000,6.180000,6.010000,6.150000,5.806952,490712737
2020-02-06,6.200000,6.350000,6.190000,6.310000,5.958027,335099314
2020-02-07,6.310000,6.370000,6.250000,6.320000,5.967469,311101756
2020-02-10,6.230000,6.360000,6.200000,6.280000,5.929700,401675657
2020-02-11,6.360000,6.490000,6.310000,6.430000,6.071333,423473343
2020-02-12,6.480000,6.550000,6.410000,6.500000,6.137428,387813044
2020-02-13,6.480000,6.480000,6.420000,6.440000,6.080775,345744450
2020-02-14,6.450000,6.530000,6.450000,6.510000,6.146871,327153275
2020-02-17,6.460000,6.580000,6.460000,6.540000,6.175197,363136907
2020-02-18,6.500000,6.560000,6.470000,6.470000,6.109102,332570849
2020-02-19,6.480000,6.590000,6.460000,6.550000,6.184639,328128635
2020-02-20,6.520000,6.590000,6.460000,6.550000,6.184639,358043950
2020-02-21,6.500000,6.550000,6.430000,6.460000,6.099660,346636865
2020-02-24,6.380000,6.410000,6.330000,6.340000,5.986353,381575057
2020-02-25,6.320000,6.400000,6.300000,6.360000,6.005238,413014189
2020-02-26,6.170000,6.350000,6.170000,6.320000,5.967469,446689641
2020-02-27,6.260000,6.500000,6.260000,6.440000,6.080775,466210473
2020-02-28,6.320000,6.380000,6.260000,6.300000,5.948585,602262893
2020-03-02,6.300000,6.460000,6.300000,6.440000,6.080775,420255076
2020-03-03,6.410000,6.500000,6.410000,6.450000,6.090217,462022610
2020-03-04,6.430000,6.500000,6.360000,6.410000,6.052449,401145520
2020-03-05,6.380000,6.560000,6.360000,6.530000,6.165755,475481356
2020-03-06,6.400000,6.420000,6.330000,6.350000,5.995795,473871973
2020-03-09,6.360000,6.360000,6.360000,6.360000,6.005238,0
2020-03-10,6.210000,6.210000,6.210000,6.210000,5.863605,0
2020-03-11,6.360000,6.470000,6.340000,6.450000,6.090217,578382106
2020-03-12,6.270000,6.360000,6.210000,6.330000,5.976911,666062512
2020-03-13,5.900000,6.410000,5.840000,6.340000,5.986353,1042913308
2020-03-16,6.160000,6.330000,6.070000,6.190000,5.844720,838110880
2020-03-17,6.100000,6.300000,6.040000,6.200000,5.854162,756408701
2020-03-18,6.180000,6.360000,6.000000,6.000000,5.665318,793909521
2020-03-19,5.960000,6.100000,5.820000,5.960000,5.627550,1259700851
2020-03-20,6.070000,6.200000,5.990000,6.110000,5.769183,1071668289
2020-03-23,5.900000,6.030000,5.870000,5.950000,5.618107,747499914
2020-03-24,6.230000,6.300000,6.120000,6.270000,5.920258,662244406
2020-03-25,6.300000,6.400000,6.260000,6.330000,5.976911,746927830
2020-03-26,6.210000,6.330000,6.190000,6.260000,5.910816,487622444
2020-03-27,6.330000,6.370000,6.250000,6.290000,5.939142,299493296
2020-03-30,6.200000,6.330000,6.180000,6.240000,5.891931,494057095
2020-03-31,6.320000,6.360000,6.220000,6.340000,5.986353,318720687
2020-04-01,6.230000,6.340000,6.180000,6.210000,5.863605,353657470
2020-04-02,6.150000,6.230000,6.150000,6.220000,5.873047,242035123
2020-04-03,6.160000,6.190000,6.110000,6.130000,5.788067,249022565
