Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.760000,1.840000,1.760000,1.770000,1.770000,427000
2019-08-06,1.770000,1.770000,1.770000,1.770000,1.770000,0
2019-08-07,1.730000,1.800000,1.720000,1.780000,1.780000,744000
2019-08-08,1.720000,1.830000,1.720000,1.790000,1.790000,1545000
2019-08-09,1.800000,1.830000,1.720000,1.710000,1.710000,210000
2019-08-12,1.750000,1.750000,1.690000,1.710000,1.710000,400000
2019-08-13,1.710000,1.830000,1.560000,1.590000,1.590000,1441000
2019-08-14,1.610000,1.640000,1.550000,1.570000,1.570000,537000
2019-08-15,1.580000,1.650000,1.500000,1.560000,1.560000,263800
2019-08-16,1.540000,1.610000,1.520000,1.600000,1.600000,219000
2019-08-19,1.600000,1.640000,1.600000,1.600000,1.600000,80518
2019-08-20,1.610000,1.690000,1.610000,1.690000,1.690000,38000
2019-08-21,1.690000,1.690000,1.600000,1.620000,1.620000,182000
2019-08-22,1.590000,1.630000,1.580000,1.620000,1.620000,92000
2019-08-23,1.550000,1.620000,1.550000,1.610000,1.610000,8000
2019-08-26,1.600000,1.670000,1.540000,1.640000,1.640000,59000
2019-08-27,1.640000,1.640000,1.640000,1.640000,1.640000,0
2019-08-28,1.560000,1.690000,1.560000,1.620000,1.620000,76000
2019-08-29,1.650000,1.670000,1.620000,1.620000,1.620000,37000
2019-08-30,1.690000,1.750000,1.650000,1.700000,1.700000,1850000
2019-09-02,1.700000,1.760000,1.650000,1.720000,1.720000,82000
2019-09-03,1.710000,1.770000,1.690000,1.720000,1.720000,157000
2019-09-04,1.700000,1.720000,1.650000,1.710000,1.710000,198000
2019-09-05,1.700000,1.790000,1.700000,1.770000,1.770000,882000
2019-09-06,1.710000,1.740000,1.710000,1.710000,1.710000,36000
2019-09-09,1.700000,1.780000,1.700000,1.780000,1.780000,15000
2019-09-10,1.650000,1.720000,1.610000,1.700000,1.700000,2465000
2019-09-11,1.700000,1.760000,1.650000,1.690000,1.690000,529000
2019-09-12,1.690000,1.730000,1.690000,1.690000,1.690000,238000
2019-09-13,1.690000,1.690000,1.690000,1.690000,1.690000,0
2019-09-16,1.730000,1.740000,1.680000,1.680000,1.680000,50000
2019-09-17,1.700000,1.700000,1.700000,1.700000,1.700000,0
2019-09-18,1.710000,1.750000,1.710000,1.710000,1.710000,186000
2019-09-19,1.710000,1.710000,1.650000,1.660000,1.660000,72800
2019-09-20,1.700000,1.700000,1.650000,1.670000,1.670000,192000
2019-09-23,1.690000,1.700000,1.660000,1.660000,1.660000,95000
2019-09-24,1.670000,1.670000,1.670000,1.670000,1.670000,0
2019-09-25,1.630000,1.650000,1.580000,1.590000,1.590000,109000
2019-09-26,1.650000,1.690000,1.650000,1.650000,1.650000,505000
2019-09-27,1.590000,1.660000,1.590000,1.640000,1.640000,109000
2019-09-30,1.630000,1.630000,1.630000,1.630000,1.630000,0
2019-10-02,1.650000,1.720000,1.620000,1.620000,1.620000,125000
2019-10-03,1.620000,1.620000,1.620000,1.620000,1.620000,0
2019-10-04,1.580000,1.670000,1.520000,1.530000,1.530000,92000
2019-10-08,1.530000,1.670000,1.520000,1.620000,1.620000,584000
2019-10-09,1.620000,1.690000,1.620000,1.620000,1.620000,310000
2019-10-10,1.620000,1.680000,1.620000,1.660000,1.660000,353000
2019-10-11,1.620000,1.680000,1.620000,1.680000,1.680000,482600
2019-10-14,1.640000,1.710000,1.640000,1.680000,1.680000,658000
2019-10-15,1.680000,1.680000,1.640000,1.650000,1.650000,45000
2019-10-16,1.650000,1.650000,1.650000,1.650000,1.650000,0
2019-10-17,1.620000,1.670000,1.600000,1.600000,1.600000,17000
2019-10-18,1.650000,1.660000,1.650000,1.650000,1.650000,28000
2019-10-21,1.640000,1.650000,1.620000,1.620000,1.620000,140000
2019-10-22,1.650000,1.650000,1.550000,1.570000,1.570000,326000
2019-10-23,1.580000,1.610000,1.550000,1.600000,1.600000,49000
2019-10-24,1.490000,1.550000,1.490000,1.510000,1.510000,127000
2019-10-25,1.510000,1.510000,1.510000,1.510000,1.510000,0
2019-10-28,1.570000,1.570000,1.450000,1.540000,1.540000,92000
2019-10-29,1.520000,1.530000,1.460000,1.470000,1.470000,698000
2019-10-30,1.400000,1.400000,1.310000,1.350000,1.350000,10699000
2019-10-31,1.380000,1.400000,1.350000,1.400000,1.400000,2256000
2019-11-01,1.380000,1.400000,1.300000,1.350000,1.350000,1429000
2019-11-04,1.390000,1.390000,1.340000,1.350000,1.350000,265000
2019-11-05,1.370000,1.370000,1.300000,1.330000,1.330000,1497000
2019-11-06,1.390000,1.480000,1.340000,1.380000,1.380000,859400
2019-11-07,1.340000,1.390000,1.310000,1.390000,1.390000,190000
