Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.790000,1.800000,1.730000,1.730000,1.618663,3294000
2019-08-06,1.720000,1.740000,1.680000,1.720000,1.609307,4878000
2019-08-07,1.720000,1.740000,1.700000,1.710000,1.599951,6840000
2019-08-08,1.740000,1.740000,1.710000,1.710000,1.599951,1906848
2019-08-09,1.730000,1.740000,1.680000,1.680000,1.571881,3225250
2019-08-12,1.680000,1.730000,1.680000,1.730000,1.618663,1300000
2019-08-13,1.710000,1.710000,1.660000,1.660000,1.553168,3428818
2019-08-14,1.670000,1.700000,1.670000,1.670000,1.562525,2299204
2019-08-15,1.660000,1.680000,1.640000,1.660000,1.553168,4490780
2019-08-16,1.670000,1.700000,1.670000,1.680000,1.571881,3018000
2019-08-19,1.700000,1.720000,1.700000,1.710000,1.599951,3981871
2019-08-20,1.700000,1.730000,1.700000,1.710000,1.599951,2536000
2019-08-21,1.710000,1.760000,1.710000,1.720000,1.609307,2361342
2019-08-22,1.720000,1.730000,1.710000,1.710000,1.599951,1052000
2019-08-23,1.700000,1.730000,1.700000,1.720000,1.609307,1782000
2019-08-26,1.700000,1.710000,1.660000,1.680000,1.571881,3576000
2019-08-27,1.680000,1.710000,1.660000,1.660000,1.553168,8825849
2019-08-28,1.670000,1.720000,1.660000,1.680000,1.571881,1796000
2019-08-29,1.670000,1.690000,1.660000,1.690000,1.581238,2672000
2019-08-30,1.690000,1.720000,1.670000,1.720000,1.609307,4909495
2019-09-02,1.690000,1.720000,1.670000,1.700000,1.590594,6750000
2019-09-03,1.690000,1.700000,1.650000,1.650000,1.543812,2434000
2019-09-04,1.660000,1.680000,1.650000,1.670000,1.562525,3866000
2019-09-05,1.680000,1.700000,1.660000,1.680000,1.571881,4242000
2019-09-06,1.680000,1.700000,1.680000,1.680000,1.571881,1765235
2019-09-09,1.690000,1.690000,1.670000,1.680000,1.571881,1090000
2019-09-10,1.690000,1.700000,1.680000,1.690000,1.581238,1712000
2019-09-11,1.690000,1.710000,1.680000,1.700000,1.590594,2630862
2019-09-12,1.710000,1.710000,1.690000,1.700000,1.590594,1090947
2019-09-13,1.690000,1.710000,1.690000,1.710000,1.599951,1442000
