Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,6.110000,6.120000,6.000000,6.000000,5.616185,2864620
2019-08-06,5.950000,5.960000,5.750000,5.850000,5.475780,3830182
2019-08-07,5.900000,6.030000,5.890000,6.000000,5.616185,1869274
2019-08-08,6.000000,6.100000,6.000000,6.090000,5.700428,1594000
2019-08-09,6.120000,6.140000,6.050000,6.050000,5.662987,1471588
2019-08-12,6.070000,6.110000,5.990000,6.010000,5.625546,720000
2019-08-13,5.940000,5.940000,5.860000,5.860000,5.485141,1382325
2019-08-14,5.900000,5.940000,5.820000,5.820000,5.447700,1628616
2019-08-15,5.800000,5.890000,5.750000,5.870000,5.494501,1624380
2019-08-16,5.900000,5.960000,5.880000,5.920000,5.541303,802583
2019-08-19,5.900000,6.030000,5.900000,6.030000,5.644266,1070865
2019-08-20,6.010000,6.010000,5.920000,6.000000,5.616185,990112
2019-08-21,6.020000,6.040000,5.960000,5.980000,5.597464,461932
2019-08-22,5.980000,5.980000,5.920000,5.940000,5.560023,537730
2019-08-23,5.930000,5.950000,5.900000,5.910000,5.531942,767450
2019-08-26,5.850000,5.850000,5.720000,5.800000,5.428979,2439500
2019-08-27,5.840000,5.920000,5.820000,5.870000,5.494501,1494516
2019-08-28,5.910000,6.010000,5.900000,5.930000,5.550663,1574616
2019-08-29,6.180000,6.180000,6.060000,6.180000,5.784671,2203430
2019-08-30,6.220000,6.220000,6.070000,6.090000,5.700428,1137107
2019-09-02,6.090000,6.090000,5.980000,6.050000,5.662987,2460000
2019-09-03,6.050000,6.300000,6.050000,6.290000,5.887634,3480802
2019-09-04,6.300000,6.400000,6.250000,6.320000,5.915715,3757717
2019-09-05,6.390000,6.390000,6.300000,6.360000,5.953156,1612797
2019-09-06,6.390000,6.400000,6.310000,6.380000,5.971877,2290443
2019-09-09,6.390000,6.390000,6.310000,6.360000,5.953156,1224180
2019-09-10,6.390000,6.450000,6.360000,6.450000,6.037399,2875003
2019-09-11,6.480000,6.480000,6.360000,6.390000,5.981237,922131
2019-09-12,6.440000,6.440000,6.350000,6.370000,5.962516,1141500
2019-09-13,6.380000,6.550000,6.360000,6.550000,6.131002,2430466
2019-09-16,6.550000,6.630000,6.520000,6.630000,6.205884,2956460
2019-09-17,6.580000,6.680000,6.560000,6.670000,6.243326,3543730
2019-09-18,6.670000,7.000000,6.670000,6.950000,6.505414,5869448
2019-09-19,6.950000,6.950000,6.820000,6.910000,6.467973,4526860
2019-09-20,6.900000,6.910000,6.720000,6.780000,6.346289,3807594
2019-09-23,6.770000,6.870000,6.770000,6.800000,6.365010,2670865
2019-09-24,6.800000,6.800000,6.520000,6.670000,6.243326,5816650
2019-09-25,6.590000,6.620000,6.520000,6.610000,6.187164,2871980
2019-09-26,6.560000,6.750000,6.560000,6.720000,6.290127,3778000
2019-09-27,6.670000,6.750000,6.610000,6.690000,6.262047,2840000
2019-09-30,6.730000,6.900000,6.720000,6.770000,6.336929,2511000
2019-10-02,6.820000,6.820000,6.730000,6.790000,6.355649,2410000
2019-10-03,6.800000,6.890000,6.720000,6.850000,6.411811,1985750
2019-10-04,6.850000,6.900000,6.710000,6.810000,6.374370,2878265
2019-10-08,6.830000,6.860000,6.750000,6.830000,6.393091,3166881
2019-10-09,6.830000,6.830000,6.770000,6.800000,6.365010,1911401
2019-10-10,6.740000,6.830000,6.740000,6.780000,6.346289,2080000
2019-10-11,6.790000,6.980000,6.790000,6.830000,6.393091,1939657
2019-10-14,6.830000,6.950000,6.830000,6.920000,6.477334,1761993
2019-10-15,6.920000,7.000000,6.860000,6.980000,6.533495,1569730
2019-10-16,6.980000,7.050000,6.950000,6.970000,6.524135,2223252
2019-10-17,6.940000,7.000000,6.940000,6.970000,6.524135,997735
2019-10-18,6.960000,7.250000,6.960000,7.170000,6.711341,8366710
2019-10-21,7.170000,7.370000,7.140000,7.320000,6.851746,4632580
2019-10-22,7.340000,7.360000,7.210000,7.210000,6.748783,3306477
2019-10-23,7.200000,7.260000,7.160000,7.240000,6.776863,2003403
2019-10-24,7.220000,7.270000,7.200000,7.260000,6.795584,1002731
2019-10-25,7.210000,7.300000,7.160000,7.260000,6.795584,2233355
2019-10-28,7.230000,7.370000,7.210000,7.290000,6.823665,4342000
2019-10-29,7.230000,7.280000,7.120000,7.250000,6.786224,2675497
2019-10-30,7.250000,7.480000,7.250000,7.330000,6.861106,3593513
2019-10-31,7.330000,7.330000,7.160000,7.240000,6.776863,3281000
2019-11-01,7.260000,7.370000,7.220000,7.350000,6.879827,6335000
2019-11-04,7.390000,7.530000,7.370000,7.500000,7.020232,3550000
2019-11-05,7.490000,7.520000,7.300000,7.350000,6.879827,14608212
2019-11-06,7.490000,7.520000,7.330000,7.400000,6.926629,6829225
2019-11-07,7.410000,7.450000,7.370000,7.420000,6.945349,4864826
2019-11-08,7.300000,7.320000,7.230000,7.270000,6.974128,2828221
2019-11-11,7.230000,7.250000,7.170000,7.190000,6.897384,2038000
2019-11-12,7.280000,7.300000,7.150000,7.170000,6.878198,1926000
2019-11-13,7.160000,7.160000,6.400000,7.060000,6.772674,6080000
2019-11-14,6.990000,7.050000,6.840000,6.890000,6.609593,3901000
2019-11-15,6.870000,7.020000,6.870000,6.920000,6.638372,2076000
2019-11-18,6.920000,7.080000,6.920000,7.070000,6.782268,1590132
2019-11-19,7.070000,7.120000,7.020000,7.060000,6.772674,1478122
2019-11-20,7.110000,7.110000,7.030000,7.050000,6.763082,1846389
2019-11-21,6.970000,7.010000,6.880000,7.000000,6.715116,1820082
2019-11-22,6.960000,7.050000,6.930000,6.980000,6.695930,1809981
2019-11-25,6.980000,7.050000,6.950000,6.990000,6.705523,1288000
2019-11-26,6.960000,7.040000,6.960000,7.030000,6.743896,2198000
2019-11-27,6.990000,7.030000,6.910000,6.990000,6.705523,1084000
2019-11-28,6.950000,7.020000,6.870000,6.870000,6.590407,2917105
2019-11-29,6.900000,6.900000,6.750000,6.840000,6.561628,1719086
2019-12-02,6.860000,6.900000,6.850000,6.880000,6.600000,687200
2019-12-03,6.850000,6.930000,6.820000,6.900000,6.619186,1068174
2019-12-04,6.910000,6.970000,6.840000,6.930000,6.647965,2820309
2019-12-05,6.900000,6.920000,6.780000,6.810000,6.532849,2527483
2019-12-06,6.810000,6.860000,6.810000,6.820000,6.542442,1170851
2019-12-09,6.820000,6.850000,6.770000,6.840000,6.561628,1364199
2019-12-10,6.850000,6.850000,6.710000,6.780000,6.504070,1767879
2019-12-11,6.850000,6.890000,6.780000,6.850000,6.571221,1184887
2019-12-12,6.880000,6.910000,6.810000,6.870000,6.590407,2510690
2019-12-13,6.910000,6.960000,6.880000,6.950000,6.667151,2430183
2019-12-16,6.910000,7.080000,6.910000,7.030000,6.743896,2396000
2019-12-17,7.050000,7.160000,7.040000,7.150000,6.859012,2452000
2019-12-18,7.120000,7.130000,6.970000,7.100000,6.811046,1578400
2019-12-19,7.100000,7.100000,7.000000,7.020000,6.734302,2182113
2019-12-20,7.050000,7.050000,6.950000,6.950000,6.667151,1967104
2019-12-23,7.020000,7.020000,6.900000,6.980000,6.695930,1628714
2019-12-24,6.970000,6.980000,6.940000,6.970000,6.686337,244006
2019-12-27,6.970000,6.970000,6.920000,6.920000,6.638372,1013877
2019-12-30,6.930000,6.990000,6.920000,6.970000,6.686337,793118
2019-12-31,6.960000,6.980000,6.880000,6.930000,6.647965,1148152
2020-01-02,6.920000,7.010000,6.880000,6.940000,6.657558,1011235
2020-01-03,6.960000,6.980000,6.930000,6.960000,6.676744,754000
2020-01-06,6.940000,6.990000,6.880000,6.900000,6.619186,1198563
2020-01-07,6.910000,6.950000,6.820000,6.840000,6.561628,2784805
2020-01-08,6.850000,6.870000,6.810000,6.860000,6.580814,742686
2020-01-09,6.920000,6.930000,6.880000,6.910000,6.628779,1310058
2020-01-10,6.870000,6.900000,6.840000,6.850000,6.571221,785996
2020-01-13,6.850000,6.870000,6.800000,6.860000,6.580814,1489793
2020-01-14,6.880000,7.050000,6.830000,7.050000,6.763082,4734000
2020-01-15,7.000000,7.370000,7.000000,7.210000,6.916570,10403543
2020-01-16,7.250000,7.420000,7.240000,7.360000,7.060465,8431393
2020-01-17,7.440000,7.490000,7.350000,7.390000,7.089244,4437923
2020-01-20,7.350000,7.390000,7.280000,7.390000,7.089244,2694777
2020-01-21,7.390000,7.390000,7.260000,7.280000,6.983721,2436000
2020-01-22,7.290000,7.360000,7.250000,7.350000,7.050872,2578000
2020-01-23,7.320000,7.350000,7.230000,7.290000,6.993314,3534020
2020-01-24,7.220000,7.300000,7.130000,7.260000,6.964535,1443272
2020-01-29,7.100000,7.100000,6.790000,6.870000,6.590407,7037402
2020-01-30,6.810000,6.930000,6.700000,6.820000,6.542442,3349092
2020-01-31,6.850000,6.870000,6.740000,6.790000,6.513663,2324000
2020-02-03,6.710000,6.750000,6.600000,6.730000,6.456105,3225969
2020-02-04,6.680000,6.860000,6.680000,6.790000,6.513663,3240154
2020-02-05,6.880000,6.940000,6.800000,6.920000,6.638372,3052700
2020-02-06,6.920000,6.930000,6.810000,6.930000,6.647965,2353008
2020-02-07,6.900000,6.910000,6.830000,6.840000,6.561628,1787342
2020-02-10,6.790000,6.790000,6.700000,6.730000,6.456105,2672729
2020-02-11,6.710000,6.780000,6.710000,6.760000,6.484884,2170457
2020-02-12,6.740000,6.890000,6.740000,6.830000,6.552035,2919375
2020-02-13,6.920000,6.980000,6.860000,6.880000,6.600000,2407669
2020-02-14,6.900000,6.950000,6.840000,6.890000,6.609593,2549250
2020-02-17,6.600000,6.770000,6.550000,6.610000,6.340988,10358120
2020-02-18,6.600000,6.620000,6.470000,6.600000,6.331395,6672330
2020-02-19,6.550000,6.640000,6.550000,6.580000,6.312209,2863000
2020-02-20,6.590000,6.680000,6.590000,6.630000,6.360174,2552000
2020-02-21,6.600000,6.630000,6.490000,6.520000,6.254651,3184913
2020-02-24,6.460000,6.460000,6.360000,6.380000,6.120349,3096552
2020-02-25,6.280000,6.370000,6.230000,6.270000,6.014825,3366000
2020-02-26,6.210000,6.340000,6.210000,6.290000,6.034011,3809452
2020-02-27,6.260000,6.310000,6.210000,6.260000,6.005233,3942893
2020-02-28,6.200000,6.200000,6.050000,6.050000,5.803779,6365000
2020-03-02,6.050000,6.130000,6.020000,6.090000,5.842151,2180067
2020-03-03,6.130000,6.170000,6.070000,6.070000,5.822965,3443777
2020-03-04,6.050000,6.150000,6.020000,6.040000,5.794186,2735000
2020-03-05,6.030000,6.120000,6.030000,6.080000,5.832558,3710757
2020-03-06,6.050000,6.080000,5.920000,5.920000,5.679070,3858481
2020-03-09,5.930000,5.930000,5.930000,5.930000,5.688663,0
2020-03-10,5.690000,5.690000,5.690000,5.690000,5.458430,0
