Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.360000,3.360000,3.210000,3.220000,3.032927,709000
2019-08-06,3.190000,3.220000,3.050000,3.120000,2.938736,2282417
2019-08-07,3.230000,3.230000,3.110000,3.180000,2.995251,1166000
2019-08-08,3.180000,3.240000,3.170000,3.190000,3.004670,1080000
2019-08-09,3.190000,3.300000,3.190000,3.250000,3.061184,949000
2019-08-12,3.200000,3.390000,3.200000,3.370000,3.174212,934670
2019-08-13,3.370000,3.370000,3.190000,3.200000,3.014089,966000
2019-08-14,3.330000,3.550000,3.270000,3.470000,3.268403,2266506
2019-08-15,3.340000,3.460000,3.340000,3.430000,3.230726,865000
2019-08-16,3.500000,3.500000,3.390000,3.430000,3.230726,736500
2019-08-19,3.500000,3.500000,3.400000,3.430000,3.230726,1233000
2019-08-20,3.440000,3.540000,3.410000,3.460000,3.258984,1622000
2019-08-21,3.410000,3.480000,3.370000,3.450000,3.249565,945266
2019-08-22,3.500000,3.600000,3.450000,3.580000,3.372012,1935000
2019-08-23,3.590000,3.630000,3.580000,3.580000,3.372012,976000
2019-08-26,3.540000,3.540000,3.360000,3.450000,3.249565,1856000
2019-08-27,3.500000,3.560000,3.470000,3.480000,3.277822,1518618
2019-08-28,3.610000,3.700000,3.390000,3.390000,3.193050,5699197
2019-08-29,3.460000,3.570000,3.420000,3.430000,3.230726,4363944
2019-08-30,3.510000,3.580000,3.440000,3.450000,3.249565,2304005
2019-09-02,3.460000,3.750000,3.450000,3.690000,3.475621,5156873
2019-09-03,3.720000,3.760000,3.690000,3.720000,3.503878,1613746
2019-09-04,3.740000,3.900000,3.740000,3.860000,3.635745,4548929
2019-09-05,3.860000,3.920000,3.840000,3.850000,3.626325,2417500
2019-09-06,3.910000,4.100000,3.890000,4.100000,3.861801,6627512
2019-09-09,4.130000,4.130000,3.910000,4.050000,3.814706,3595863
2019-09-10,4.070000,4.080000,3.920000,3.920000,3.692259,2245953
2019-09-11,3.910000,4.100000,3.910000,4.100000,3.861801,3429200
2019-09-12,4.130000,4.200000,4.110000,4.120000,3.880639,2693381
2019-09-13,4.150000,4.180000,4.080000,4.160000,3.918315,1809000
2019-09-16,4.180000,4.190000,4.050000,4.090000,3.852382,1632150
2019-09-17,4.100000,4.120000,4.030000,4.050000,3.814706,2519174
2019-09-18,4.120000,4.120000,3.980000,4.000000,3.767611,1638000
2019-09-19,4.020000,4.080000,4.000000,4.050000,3.814706,1944601
2019-09-20,4.060000,4.130000,4.020000,4.040000,3.805287,3008000
2019-09-23,4.070000,4.100000,3.960000,3.980000,3.748773,1194000
2019-09-24,4.040000,4.040000,3.880000,3.930000,3.701678,2614000
2019-09-25,3.960000,4.030000,3.900000,3.980000,3.748773,2075000
2019-09-26,4.010000,4.030000,3.950000,4.010000,3.777030,1315000
2019-09-27,4.040000,4.100000,3.970000,4.010000,3.777030,2787105
2019-09-30,3.880000,3.940000,3.780000,3.930000,3.701678,2214001
2019-10-02,3.920000,4.000000,3.910000,3.950000,3.720516,1543000
2019-10-03,3.950000,3.960000,3.840000,3.930000,3.701678,1418000
2019-10-04,3.920000,3.920000,3.750000,3.810000,3.588650,1424400
2019-10-08,3.760000,3.800000,3.720000,3.740000,3.522716,2372520
2019-10-09,3.800000,3.920000,3.740000,3.920000,3.692259,3457000
2019-10-10,3.950000,3.970000,3.880000,3.950000,3.720516,3996321
2019-10-11,3.940000,3.990000,3.940000,3.950000,3.720516,2228244
2019-10-14,3.950000,4.030000,3.870000,3.980000,3.748773,963000
2019-10-15,4.010000,4.010000,3.860000,3.910000,3.682840,821000
2019-10-16,3.860000,3.910000,3.860000,3.860000,3.635745,808000
2019-10-17,3.870000,3.920000,3.850000,3.870000,3.645164,636800
2019-10-18,3.880000,3.890000,3.820000,3.820000,3.598068,1987000
2019-10-21,3.820000,3.900000,3.750000,3.810000,3.588650,1595200
2019-10-22,3.780000,3.840000,3.750000,3.790000,3.569811,964001
2019-10-23,3.790000,3.810000,3.740000,3.760000,3.541554,417131
2019-10-24,3.780000,3.840000,3.760000,3.820000,3.598068,1080000
2019-10-25,3.830000,3.870000,3.780000,3.840000,3.616907,753000
2019-10-28,3.830000,3.840000,3.740000,3.810000,3.588650,461000
2019-10-29,3.800000,3.840000,3.780000,3.820000,3.598068,335000
2019-10-30,3.790000,3.790000,3.620000,3.680000,3.466202,1931345
2019-10-31,3.740000,3.740000,3.630000,3.720000,3.503878,1265827
2019-11-01,3.680000,3.850000,3.680000,3.800000,3.579230,1317000
2019-11-04,3.760000,3.870000,3.760000,3.850000,3.626325,1292333
2019-11-05,3.830000,3.890000,3.830000,3.850000,3.626325,839200
2019-11-06,3.870000,3.870000,3.760000,3.790000,3.569811,1667996
2019-11-07,3.790000,3.840000,3.750000,3.820000,3.598068,988453
2019-11-08,3.800000,3.840000,3.770000,3.790000,3.569811,1003000
2019-11-11,3.770000,3.770000,3.680000,3.690000,3.475621,932200
2019-11-12,3.710000,3.750000,3.690000,3.750000,3.532135,781000
2019-11-13,3.710000,3.760000,3.660000,3.690000,3.475621,1216600
2019-11-14,3.660000,3.710000,3.380000,3.400000,3.202470,4721000
2019-11-15,3.440000,3.480000,3.240000,3.310000,3.117698,7837000
2019-11-18,3.330000,3.430000,3.310000,3.430000,3.230726,1598703
2019-11-19,3.450000,3.730000,3.450000,3.650000,3.437945,3226000
2019-11-20,3.670000,3.740000,3.580000,3.680000,3.466202,2620800
2019-11-21,3.650000,3.670000,3.600000,3.620000,3.409688,687000
2019-11-22,3.750000,3.750000,3.620000,3.660000,3.447364,890000
2019-11-25,3.620000,3.720000,3.620000,3.710000,3.494459,1599090
2019-11-26,3.750000,3.760000,3.670000,3.760000,3.541554,3077723
2019-11-27,3.720000,3.720000,3.610000,3.660000,3.447364,3045013
2019-11-28,3.500000,3.580000,3.430000,3.500000,3.394602,2552504
2019-11-29,3.450000,3.490000,3.410000,3.440000,3.336409,1768766
2019-12-02,3.480000,3.480000,3.370000,3.390000,3.287915,2032992
2019-12-03,3.340000,3.460000,3.340000,3.380000,3.278216,1535800
2019-12-04,3.350000,3.380000,3.300000,3.350000,3.249119,2364241
2019-12-05,3.300000,3.340000,3.260000,3.260000,3.161829,3546684
2019-12-06,3.270000,3.320000,3.260000,3.270000,3.171528,4298201
2019-12-09,3.270000,3.400000,3.270000,3.330000,3.229722,2583567
2019-12-10,3.330000,3.390000,3.330000,3.360000,3.258818,1690087
2019-12-11,3.360000,3.430000,3.340000,3.420000,3.317011,1418452
2019-12-12,3.420000,3.430000,3.310000,3.380000,3.278216,10245085
2019-12-13,3.440000,3.530000,3.430000,3.480000,3.375205,6443171
2019-12-16,3.500000,3.600000,3.460000,3.550000,3.443097,4452300
2019-12-17,3.590000,3.660000,3.550000,3.580000,3.472193,4092990
2019-12-18,3.580000,3.590000,3.440000,3.540000,3.433398,4910266
2019-12-19,3.540000,3.560000,3.480000,3.530000,3.423699,1629529
2019-12-20,3.530000,3.570000,3.470000,3.470000,3.365506,1792340
2019-12-23,3.480000,3.520000,3.460000,3.510000,3.404301,1433200
2019-12-24,3.530000,3.590000,3.480000,3.550000,3.443097,1606333
2019-12-27,3.590000,3.680000,3.530000,3.680000,3.569182,4575948
2019-12-30,3.700000,3.730000,3.670000,3.710000,3.598279,2251000
2019-12-31,3.700000,3.720000,3.630000,3.660000,3.549784,596934
2020-01-02,3.690000,3.760000,3.660000,3.710000,3.598279,1914000
