Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.090000,0.090000,0.086000,0.087000,0.087000,1757310
2019-08-06,0.085000,0.085000,0.084000,0.085000,0.085000,3201868
2019-08-07,0.085000,0.085000,0.085000,0.085000,0.085000,0
2019-08-08,0.086000,0.091000,0.080000,0.088000,0.088000,2027364
2019-08-09,0.088000,0.093000,0.088000,0.089000,0.089000,1035788
2019-08-12,0.088000,0.090000,0.086000,0.089000,0.089000,932937
2019-08-13,0.085000,0.088000,0.084000,0.088000,0.088000,708627
2019-08-14,0.085000,0.092000,0.083000,0.085000,0.085000,2812470
2019-08-15,0.084000,0.084000,0.077000,0.081000,0.081000,6086174
2019-08-16,0.081000,0.084000,0.081000,0.084000,0.084000,1281757
2019-08-19,0.085000,0.086000,0.084000,0.085000,0.085000,1345675
2019-08-20,0.085000,0.085000,0.085000,0.085000,0.085000,205362
2019-08-21,0.081000,0.083000,0.079000,0.080000,0.080000,1890100
2019-08-22,0.080000,0.081000,0.080000,0.081000,0.081000,784776
2019-08-23,0.082000,0.086000,0.082000,0.084000,0.084000,3036727
2019-08-26,0.081000,0.086000,0.077000,0.079000,0.079000,4748660
2019-08-27,0.079000,0.081000,0.077000,0.077000,0.077000,5083367
2019-08-28,0.084000,0.085000,0.077000,0.077000,0.077000,4991593
2019-08-29,0.077000,0.078000,0.076000,0.076000,0.076000,4343688
2019-08-30,0.076000,0.077000,0.072000,0.073000,0.073000,4435406
2019-09-02,0.074000,0.074000,0.071000,0.072000,0.072000,2641893
2019-09-03,0.074000,0.074000,0.072000,0.072000,0.072000,1569000
2019-09-04,0.076000,0.076000,0.075000,0.075000,0.075000,2470254
2019-09-05,0.075000,0.076000,0.074000,0.074000,0.074000,1305093
2019-09-06,0.078000,0.082000,0.070000,0.074000,0.074000,5745223
2019-09-09,0.073000,0.074000,0.072000,0.073000,0.073000,2427767
2019-09-10,0.073000,0.073000,0.071000,0.072000,0.072000,1223516
2019-09-11,0.072000,0.076000,0.071000,0.073000,0.073000,5585929
2019-09-12,0.075000,0.077000,0.074000,0.076000,0.076000,812977
2019-09-13,0.074000,0.076000,0.074000,0.076000,0.076000,866452
2019-09-16,0.073000,0.076000,0.071000,0.075000,0.075000,1380000
2019-09-17,0.075000,0.075000,0.074000,0.075000,0.075000,673883
2019-09-18,0.075000,0.075000,0.072000,0.073000,0.073000,581428
2019-09-19,0.075000,0.075000,0.073000,0.073000,0.073000,1740627
2019-09-20,0.074000,0.083000,0.074000,0.078000,0.078000,8991979
2019-09-23,0.076000,0.078000,0.075000,0.077000,0.077000,3911215
2019-09-24,0.075000,0.075000,0.073000,0.075000,0.075000,3525020
2019-09-25,0.075000,0.077000,0.073000,0.075000,0.075000,3555313
2019-09-26,0.075000,0.077000,0.073000,0.075000,0.075000,2871314
2019-09-27,0.075000,0.076000,0.073000,0.076000,0.076000,302248
2019-09-30,0.073000,0.076000,0.073000,0.075000,0.075000,2224903
2019-10-02,0.073000,0.075000,0.073000,0.074000,0.074000,890587
2019-10-03,0.075000,0.077000,0.074000,0.075000,0.075000,1012270
2019-10-04,0.073000,0.075000,0.072000,0.075000,0.075000,5529814
2019-10-08,0.073000,0.073000,0.072000,0.072000,0.072000,4239602
2019-10-09,0.072000,0.074000,0.072000,0.074000,0.074000,417585
2019-10-10,0.071000,0.072000,0.070000,0.072000,0.072000,1268414
2019-10-11,0.071000,0.072000,0.071000,0.072000,0.072000,138306
2019-10-14,0.074000,0.075000,0.072000,0.072000,0.072000,587031
2019-10-15,0.072000,0.076000,0.072000,0.076000,0.076000,975178
2019-10-16,0.073000,0.076000,0.073000,0.075000,0.075000,528963
2019-10-17,0.073000,0.075000,0.072000,0.073000,0.073000,1397489
2019-10-18,0.075000,0.075000,0.073000,0.073000,0.073000,1230000
2019-10-21,0.072000,0.072000,0.072000,0.072000,0.072000,212603
2019-10-22,0.072000,0.075000,0.072000,0.075000,0.075000,1294537
2019-10-23,0.073000,0.073000,0.073000,0.073000,0.073000,425001
2019-10-24,0.070000,0.073000,0.070000,0.072000,0.072000,1836297
2019-10-25,0.072000,0.072000,0.072000,0.072000,0.072000,962843
2019-10-28,0.072000,0.072000,0.070000,0.072000,0.072000,5336744
2019-10-29,0.071000,0.071000,0.070000,0.071000,0.071000,3869962
2019-10-30,0.071000,0.072000,0.070000,0.070000,0.070000,1269468
2019-10-31,0.071000,0.071000,0.069000,0.070000,0.070000,6160206
2019-11-01,0.070000,0.072000,0.070000,0.070000,0.070000,2759740
2019-11-04,0.070000,0.071000,0.070000,0.071000,0.071000,3181255
2019-11-05,0.070000,0.071000,0.069000,0.070000,0.070000,3257663
2019-11-06,0.070000,0.072000,0.067000,0.072000,0.072000,3502295
2019-11-07,0.071000,0.072000,0.070000,0.071000,0.071000,1732273
2019-11-08,0.071000,0.071000,0.069000,0.069000,0.069000,2228535
2019-11-11,0.069000,0.069000,0.069000,0.069000,0.069000,432080
2019-11-12,0.069000,0.070000,0.066000,0.068000,0.068000,7480665
2019-11-13,0.065000,0.068000,0.065000,0.068000,0.068000,4100277
2019-11-14,0.065000,0.066000,0.064000,0.065000,0.065000,1523665
2019-11-15,0.064000,0.066000,0.064000,0.065000,0.065000,1951154
2019-11-18,0.066000,0.069000,0.066000,0.068000,0.068000,506056
2019-11-19,0.066000,0.068000,0.066000,0.066000,0.066000,386113
2019-11-20,0.066000,0.067000,0.065000,0.066000,0.066000,1451511
2019-11-21,0.065000,0.065000,0.061000,0.064000,0.064000,1171319
2019-11-22,0.066000,0.066000,0.063000,0.066000,0.066000,2780338
2019-11-25,0.065000,0.066000,0.064000,0.064000,0.064000,588217
2019-11-26,0.062000,0.063000,0.062000,0.063000,0.063000,1281597
2019-11-27,0.063000,0.063000,0.058000,0.060000,0.060000,6720158
2019-11-28,0.060000,0.061000,0.058000,0.059000,0.059000,2257074
2019-11-29,0.060000,0.063000,0.060000,0.061000,0.061000,3276654
2019-12-02,0.061000,0.061000,0.058000,0.061000,0.061000,1606129
2019-12-03,0.062000,0.062000,0.062000,0.061000,0.061000,83661
2019-12-04,0.060000,0.060000,0.058000,0.058000,0.058000,731719
2019-12-05,0.058000,0.062000,0.057000,0.058000,0.058000,330766
2019-12-06,0.058000,0.059000,0.056000,0.058000,0.058000,635354
2019-12-09,0.060000,0.060000,0.058000,0.058000,0.058000,2086079
2019-12-10,0.058000,0.060000,0.057000,0.058000,0.058000,916629
2019-12-11,0.058000,0.061000,0.056000,0.061000,0.061000,1410204
2019-12-12,0.070000,0.072000,0.060000,0.064000,0.064000,6751675
2019-12-13,0.065000,0.065000,0.064000,0.064000,0.064000,505547
2019-12-16,0.062000,0.064000,0.062000,0.063000,0.063000,775906
2019-12-17,0.063000,0.064000,0.061000,0.064000,0.064000,910580
2019-12-18,0.064000,0.064000,0.060000,0.060000,0.060000,993333
2019-12-19,0.061000,0.064000,0.061000,0.062000,0.062000,1474739
2019-12-20,0.061000,0.064000,0.061000,0.062000,0.062000,1213887
2019-12-23,0.061000,0.065000,0.061000,0.064000,0.064000,741334
2019-12-24,0.064000,0.064000,0.064000,0.064000,0.064000,0
2019-12-27,0.065000,0.066000,0.064000,0.066000,0.066000,1342562
