Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.790000,1.800000,1.790000,1.790000,1.770000,724000
2019-08-06,1.790000,1.800000,1.780000,1.790000,1.770000,1623000
2019-08-07,1.790000,1.800000,1.790000,1.790000,1.770000,272693
2019-08-08,1.790000,1.800000,1.790000,1.790000,1.770000,528000
2019-08-09,1.790000,1.810000,1.790000,1.810000,1.789776,172000
2019-08-12,1.790000,1.810000,1.790000,1.790000,1.770000,268000
2019-08-13,1.790000,1.810000,1.780000,1.790000,1.770000,346241
2019-08-14,1.800000,1.810000,1.790000,1.810000,1.789776,583500
2019-08-15,1.800000,1.810000,1.790000,1.800000,1.779888,553000
2019-08-16,1.800000,1.820000,1.800000,1.800000,1.779888,177000
2019-08-19,1.800000,1.810000,1.800000,1.800000,1.779888,146500
2019-08-20,1.800000,1.810000,1.800000,1.800000,1.779888,154500
2019-08-21,1.800000,1.810000,1.800000,1.800000,1.779888,184000
2019-08-22,1.800000,1.800000,1.770000,1.790000,1.770000,498000
2019-08-23,1.800000,1.810000,1.800000,1.800000,1.779888,290000
2019-08-26,1.790000,1.800000,1.780000,1.780000,1.760112,220000
2019-08-27,1.800000,1.800000,1.510000,1.790000,1.770000,554550
2019-08-28,1.790000,1.800000,1.780000,1.790000,1.770000,602000
2019-08-29,1.790000,1.800000,1.790000,1.800000,1.779888,16000
2019-08-30,1.800000,1.810000,1.790000,1.800000,1.779888,218906
2019-09-02,1.800000,1.800000,1.800000,1.800000,1.779888,0
2019-09-03,1.800000,1.800000,1.790000,1.790000,1.770000,551000
2019-09-04,1.790000,1.800000,1.790000,1.800000,1.779888,37000
2019-09-05,1.790000,1.850000,1.790000,1.800000,1.779888,156555
2019-09-06,1.800000,1.820000,1.790000,1.800000,1.779888,352466
2019-09-09,1.800000,1.800000,1.780000,1.780000,1.760112,1138000
2019-09-10,1.780000,1.790000,1.780000,1.790000,1.770000,80000
2019-09-11,1.790000,1.810000,1.790000,1.810000,1.789776,19000
2019-09-12,1.800000,1.810000,1.800000,1.800000,1.779888,252000
2019-09-13,1.800000,1.810000,1.800000,1.800000,1.779888,121500
2019-09-16,1.800000,1.810000,1.790000,1.790000,1.770000,358000
2019-09-17,1.790000,1.800000,1.790000,1.790000,1.770000,29000
2019-09-18,1.800000,1.810000,1.780000,1.790000,1.770000,1281000
2019-09-19,1.800000,1.800000,1.750000,1.750000,1.730447,1601000
2019-09-20,1.750000,1.820000,1.750000,1.810000,1.789776,560566
2019-09-23,1.790000,1.870000,1.790000,1.860000,1.839218,2197500
2019-09-24,1.870000,1.920000,1.870000,1.880000,1.858994,3028500
2019-09-25,1.850000,1.900000,1.830000,1.860000,1.839218,90000
2019-09-26,1.810000,1.850000,1.800000,1.830000,1.809553,274000
2019-09-27,1.830000,1.850000,1.820000,1.840000,1.819441,187000
2019-09-30,1.820000,1.850000,1.820000,1.840000,1.819441,143850
2019-10-02,1.840000,1.840000,1.840000,1.840000,1.819441,0
2019-10-03,1.820000,1.840000,1.820000,1.840000,1.819441,348000
2019-10-04,1.830000,1.850000,1.820000,1.830000,1.809553,296500
2019-10-08,1.820000,1.820000,1.800000,1.820000,1.799665,193000
2019-10-09,1.820000,1.820000,1.820000,1.820000,1.799665,5000
2019-10-10,1.820000,1.830000,1.780000,1.810000,1.789776,569000
2019-10-11,1.810000,1.820000,1.780000,1.810000,1.789776,3620210
2019-10-14,1.810000,1.830000,1.800000,1.820000,1.799665,1122996
2019-10-15,1.800000,1.820000,1.790000,1.820000,1.799665,581000
2019-10-16,1.810000,1.820000,1.800000,1.800000,1.779888,196000
2019-10-17,1.810000,1.820000,1.760000,1.790000,1.770000,406004
2019-10-18,1.790000,1.790000,1.790000,1.790000,1.770000,3000
2019-10-21,1.790000,1.790000,1.790000,1.790000,1.770000,5000
2019-10-22,1.790000,1.800000,1.780000,1.780000,1.760112,201000
2019-10-23,1.790000,1.800000,1.780000,1.800000,1.779888,248000
2019-10-24,1.800000,1.820000,1.790000,1.800000,1.779888,254145
2019-10-25,1.800000,1.800000,1.800000,1.800000,1.779888,0
2019-10-28,1.800000,1.820000,1.790000,1.800000,1.779888,532000
2019-10-29,1.790000,1.800000,1.750000,1.760000,1.740335,217000
2019-10-30,1.770000,1.780000,1.760000,1.780000,1.760112,63000
2019-10-31,1.780000,1.780000,1.780000,1.780000,1.760112,0
2019-11-01,1.760000,1.790000,1.760000,1.770000,1.750223,80000
2019-11-04,1.770000,1.780000,1.770000,1.770000,1.750223,62000
2019-11-05,1.780000,1.780000,1.730000,1.750000,1.730447,721000
2019-11-06,1.750000,1.760000,1.750000,1.750000,1.730447,29000
2019-11-07,1.750000,1.750000,1.730000,1.740000,1.720559,375000
2019-11-08,1.740000,1.770000,1.740000,1.770000,1.750223,2000
2019-11-11,1.750000,1.750000,1.720000,1.740000,1.720559,168000
2019-11-12,1.740000,1.780000,1.730000,1.750000,1.730447,136000
2019-11-13,1.740000,1.760000,1.740000,1.750000,1.730447,252000
2019-11-14,1.750000,1.770000,1.750000,1.750000,1.730447,35000
2019-11-15,1.750000,1.780000,1.750000,1.750000,1.730447,522000
2019-11-18,1.750000,1.770000,1.750000,1.750000,1.730447,326000
2019-11-19,1.750000,1.750000,1.750000,1.750000,1.730447,0
2019-11-20,1.750000,1.760000,1.740000,1.740000,1.720559,266000
2019-11-21,1.740000,1.750000,1.720000,1.730000,1.710670,375000
2019-11-22,1.740000,1.790000,1.680000,1.730000,1.710670,348000
2019-11-25,1.730000,1.730000,1.730000,1.730000,1.710670,0
2019-11-26,1.740000,1.790000,1.730000,1.780000,1.760112,27000
2019-11-27,1.750000,1.790000,1.740000,1.750000,1.730447,349000
2019-11-28,1.760000,1.800000,1.730000,1.760000,1.740335,8470000
2019-11-29,1.750000,1.800000,1.730000,1.730000,1.710670,2120000
2019-12-02,1.740000,1.780000,1.730000,1.730000,1.710670,81000
2019-12-03,1.730000,1.730000,1.730000,1.730000,1.710670,2000
2019-12-04,1.720000,1.740000,1.720000,1.730000,1.710670,48000
2019-12-05,1.730000,1.750000,1.740000,1.740000,1.720559,21500
2019-12-06,1.720000,1.750000,1.720000,1.730000,1.710670,12000
2019-12-09,1.720000,1.730000,1.720000,1.720000,1.700782,83000
2019-12-10,1.720000,1.730000,1.720000,1.720000,1.700782,168000
2019-12-11,1.720000,1.720000,1.710000,1.710000,1.690894,392000
2019-12-12,1.710000,1.730000,1.700000,1.710000,1.690894,400815
2019-12-13,1.730000,1.730000,1.710000,1.710000,1.690894,173000
2019-12-16,1.710000,1.720000,1.660000,1.700000,1.681006,519000
2019-12-17,1.770000,1.770000,1.710000,1.720000,1.700782,35097000
2019-12-18,1.720000,1.750000,1.680000,1.720000,1.700782,532848
2019-12-19,1.740000,1.770000,1.690000,1.710000,1.690894,20213954
2019-12-20,1.710000,1.720000,1.630000,1.630000,1.611788,524954
2019-12-23,1.630000,1.670000,1.630000,1.660000,1.641452,69605403
2019-12-24,1.660000,1.690000,1.630000,1.680000,1.661229,20674000
2019-12-27,1.660000,1.730000,1.660000,1.720000,1.700782,46000
2019-12-30,1.720000,1.800000,1.720000,1.790000,1.770000,16353000
2019-12-31,1.790000,1.800000,1.740000,1.790000,1.770000,57413
2020-01-02,1.750000,1.780000,1.750000,1.780000,1.760112,111000
2020-01-03,1.790000,1.790000,1.710000,1.780000,1.760112,236000
2020-01-06,1.780000,1.780000,1.730000,1.740000,1.720559,304000
2020-01-07,1.740000,1.760000,1.740000,1.760000,1.740335,179000
2020-01-08,1.730000,1.780000,1.730000,1.770000,1.750223,24000
2020-01-09,1.750000,1.770000,1.740000,1.770000,1.750223,123000
2020-01-10,1.750000,1.780000,1.750000,1.750000,1.730447,96641
2020-01-13,1.750000,1.780000,1.750000,1.770000,1.750223,18000
2020-01-14,1.780000,1.800000,1.760000,1.770000,1.750223,71000
2020-01-15,1.760000,1.780000,1.760000,1.780000,1.760112,4000
2020-01-16,1.780000,1.800000,1.700000,1.770000,1.750223,333000
2020-01-17,1.790000,1.790000,1.770000,1.780000,1.760112,72000
2020-01-20,1.780000,1.790000,1.780000,1.790000,1.770000,92000
2020-01-21,1.770000,1.780000,1.770000,1.770000,1.750223,88000
2020-01-22,1.770000,1.790000,1.770000,1.790000,1.770000,45000
