Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.620000,1.640000,1.560000,1.640000,1.600761,47000
2019-08-06,1.640000,1.640000,1.640000,1.640000,1.600761,0
2019-08-07,1.650000,1.650000,1.650000,1.650000,1.610521,0
2019-08-08,1.640000,1.640000,1.640000,1.640000,1.600761,6000
2019-08-09,1.690000,1.690000,1.670000,1.670000,1.630043,3000
2019-08-12,1.630000,1.630000,1.630000,1.630000,1.591000,0
2019-08-13,1.600000,1.600000,1.600000,1.600000,1.561718,0
2019-08-14,1.600000,1.600000,1.600000,1.600000,1.561718,0
2019-08-15,1.600000,1.600000,1.600000,1.600000,1.561718,0
2019-08-16,1.530000,1.600000,1.520000,1.600000,1.561718,9000
2019-08-19,1.600000,1.600000,1.520000,1.600000,1.561718,6000
2019-08-20,1.550000,1.550000,1.550000,1.550000,1.512914,3000
2019-08-21,1.550000,1.550000,1.550000,1.550000,1.512914,0
2019-08-22,1.540000,1.550000,1.530000,1.550000,1.512914,28000
2019-08-23,1.540000,1.540000,1.500000,1.540000,1.503153,46000
2019-08-26,1.600000,1.600000,1.400000,1.530000,1.493393,322000
2019-08-27,1.490000,1.600000,1.490000,1.550000,1.512914,49000
2019-08-28,1.600000,1.600000,1.460000,1.570000,1.532436,17000
2019-08-29,1.520000,1.570000,1.500000,1.560000,1.522675,35000
2019-08-30,1.560000,1.560000,1.560000,1.560000,1.522675,0
2019-09-02,1.550000,1.550000,1.550000,1.550000,1.512914,0
2019-09-03,1.580000,1.620000,1.580000,1.620000,1.581239,20000
2019-09-04,1.620000,1.620000,1.620000,1.620000,1.581239,0
2019-09-05,1.620000,1.620000,1.620000,1.620000,1.581239,0
2019-09-06,1.620000,1.650000,1.620000,1.640000,1.600761,3000
2019-09-09,1.640000,1.640000,1.640000,1.640000,1.600761,0
2019-09-10,1.630000,1.630000,1.630000,1.630000,1.591000,0
2019-09-11,1.550000,1.750000,1.550000,1.650000,1.650000,49000
2019-09-12,1.650000,1.650000,1.650000,1.650000,1.650000,0
2019-09-13,1.600000,1.620000,1.550000,1.620000,1.620000,9000
2019-09-16,1.640000,1.640000,1.640000,1.640000,1.640000,0
2019-09-17,1.630000,1.630000,1.630000,1.630000,1.630000,0
2019-09-18,1.560000,1.560000,1.500000,1.550000,1.550000,29000
2019-09-19,1.600000,1.600000,1.600000,1.600000,1.600000,0
2019-09-20,1.510000,1.620000,1.500000,1.500000,1.500000,17000
2019-09-23,1.530000,1.530000,1.500000,1.500000,1.500000,6000
2019-09-24,1.500000,1.500000,1.500000,1.500000,1.500000,20000
2019-09-25,1.500000,1.500000,1.500000,1.500000,1.500000,0
2019-09-26,1.500000,1.500000,1.500000,1.500000,1.500000,0
2019-09-27,1.500000,1.500000,1.500000,1.500000,1.500000,0
2019-09-30,1.460000,1.600000,1.420000,1.600000,1.600000,465000
2019-10-02,1.500000,1.600000,1.500000,1.600000,1.600000,20000
2019-10-03,1.590000,1.590000,1.590000,1.590000,1.590000,0
2019-10-04,1.540000,1.640000,1.540000,1.550000,1.550000,30000
2019-10-08,1.450000,1.680000,1.450000,1.600000,1.600000,32000
2019-10-09,1.640000,1.640000,1.630000,1.620000,1.620000,4000
2019-10-10,1.600000,1.600000,1.600000,1.600000,1.600000,0
2019-10-11,1.600000,1.600000,1.600000,1.600000,1.600000,0
2019-10-14,1.600000,1.600000,1.600000,1.600000,1.600000,0
2019-10-15,1.600000,1.600000,1.600000,1.600000,1.600000,0
2019-10-16,1.600000,1.600000,1.600000,1.600000,1.600000,0
2019-10-17,1.570000,1.570000,1.570000,1.570000,1.570000,0
2019-10-18,1.570000,1.570000,1.570000,1.570000,1.570000,0
2019-10-21,1.460000,1.580000,1.460000,1.580000,1.580000,11000
2019-10-22,1.560000,1.560000,1.560000,1.560000,1.560000,0
2019-10-23,1.560000,1.560000,1.560000,1.560000,1.560000,0
2019-10-24,1.560000,1.560000,1.560000,1.560000,1.560000,0
2019-10-25,1.560000,1.560000,1.560000,1.560000,1.560000,0
2019-10-28,1.620000,1.620000,1.620000,1.620000,1.620000,0
2019-10-29,1.620000,1.620000,1.620000,1.620000,1.620000,0
2019-10-30,1.620000,1.620000,1.620000,1.620000,1.620000,0
2019-10-31,1.590000,1.600000,1.590000,1.600000,1.600000,10000
2019-11-01,1.550000,1.650000,1.550000,1.650000,1.650000,51000
2019-11-04,1.600000,1.600000,1.600000,1.600000,1.600000,5000
2019-11-05,1.500000,1.500000,1.500000,1.500000,1.500000,5000
2019-11-06,1.550000,1.550000,1.500000,1.500000,1.500000,5000
2019-11-07,1.500000,1.500000,1.500000,1.510000,1.510000,10000
2019-11-08,1.510000,1.510000,1.510000,1.510000,1.510000,0
2019-11-11,1.510000,1.510000,1.510000,1.510000,1.510000,0
2019-11-12,1.530000,1.530000,1.530000,1.530000,1.530000,20000
2019-11-13,1.530000,1.530000,1.530000,1.530000,1.530000,0
2019-11-14,1.540000,1.540000,1.530000,1.530000,1.530000,537000
2019-11-15,1.530000,1.530000,1.530000,1.530000,1.530000,0
2019-11-18,1.530000,1.530000,1.530000,1.530000,1.530000,0
2019-11-19,1.530000,1.620000,1.530000,1.530000,1.530000,30000
2019-11-20,1.530000,1.530000,1.530000,1.530000,1.530000,0
2019-11-21,1.520000,1.530000,1.520000,1.530000,1.530000,12000
2019-11-22,1.600000,1.600000,1.600000,1.600000,1.600000,1000
2019-11-25,1.550000,1.550000,1.550000,1.550000,1.550000,0
2019-11-26,1.530000,1.530000,1.530000,1.530000,1.530000,2000
2019-11-27,1.530000,1.530000,1.530000,1.530000,1.530000,0
2019-11-28,1.580000,1.580000,1.580000,1.580000,1.580000,0
2019-11-29,1.600000,1.600000,1.600000,1.600000,1.600000,0
2019-12-02,1.580000,1.580000,1.580000,1.580000,1.580000,0
2019-12-03,1.580000,1.580000,1.580000,1.580000,1.580000,0
2019-12-04,1.500000,1.500000,1.500000,1.500000,1.500000,5000
2019-12-05,1.500000,1.500000,1.500000,1.500000,1.500000,0
2019-12-06,1.500000,1.500000,1.500000,1.500000,1.500000,0
2019-12-09,1.470000,1.470000,1.470000,1.470000,1.470000,0
2019-12-10,1.580000,1.580000,1.580000,1.580000,1.580000,1000
2019-12-11,1.580000,1.580000,1.580000,1.580000,1.580000,0
2019-12-12,1.570000,1.570000,1.570000,1.570000,1.570000,0
