Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.370000,3.400000,3.250000,3.260000,3.093106,1553250
2019-08-06,3.210000,3.250000,3.170000,3.220000,3.055154,1259250
2019-08-07,3.290000,3.290000,3.100000,3.130000,2.969761,985500
2019-08-08,3.150000,3.220000,3.120000,3.210000,3.045666,735000
2019-08-09,3.240000,3.280000,3.160000,3.230000,3.064642,585750
2019-08-12,3.230000,3.230000,3.180000,3.180000,3.017201,572501
2019-08-13,3.180000,3.180000,3.100000,3.110000,2.950785,794000
2019-08-14,3.180000,3.200000,3.160000,3.180000,3.017201,545496
2019-08-15,3.200000,3.200000,3.130000,3.170000,3.007713,536250
2019-08-16,3.130000,3.170000,3.080000,3.080000,2.922321,1147000
2019-08-19,3.120000,3.150000,3.080000,3.150000,2.988737,1704000
2019-08-20,3.150000,3.240000,3.130000,3.220000,3.055154,1086075
2019-08-21,3.210000,3.210000,3.170000,3.180000,3.017201,741750
2019-08-22,3.180000,3.180000,3.150000,3.170000,3.007713,549500
2019-08-23,3.120000,3.170000,3.060000,3.110000,2.950785,1752000
2019-08-26,3.060000,3.060000,3.000000,3.040000,2.884368,1080000
2019-08-27,3.060000,3.110000,3.030000,3.070000,2.912833,350656
2019-08-28,3.070000,3.090000,3.040000,3.050000,2.893857,305250
2019-08-29,3.030000,3.060000,3.010000,3.020000,2.865392,472000
2019-08-30,3.030000,3.070000,3.030000,3.050000,2.893857,711252
2019-09-02,3.040000,3.050000,3.020000,3.050000,2.893857,1190000
2019-09-03,3.010000,3.080000,3.030000,3.030000,2.874881,420750
2019-09-04,3.050000,3.080000,3.020000,3.040000,2.884368,985000
2019-09-05,3.050000,3.100000,3.040000,3.070000,2.912833,1005750
2019-09-06,3.080000,3.100000,3.060000,3.070000,2.912833,463500
2019-09-09,3.090000,3.120000,3.080000,3.100000,2.941297,750100
2019-09-10,3.080000,3.220000,3.080000,3.220000,3.055154,1487751
2019-09-11,3.220000,3.370000,3.220000,3.300000,3.131058,1328250
2019-09-12,3.320000,3.380000,3.270000,3.330000,3.159522,344750
2019-09-13,3.310000,3.390000,3.300000,3.390000,3.216451,356500
2019-09-16,3.300000,3.380000,3.300000,3.340000,3.169010,1118500
2019-09-17,3.320000,3.350000,3.210000,3.240000,3.074130,626500
2019-09-18,3.230000,3.260000,3.200000,3.210000,3.045666,413500
2019-09-19,3.230000,3.250000,3.180000,3.230000,3.064642,568500
2019-09-20,3.240000,3.320000,3.220000,3.290000,3.121570,812473
2019-09-23,3.340000,3.300000,3.240000,3.250000,3.083618,597750
2019-09-24,3.250000,3.280000,3.190000,3.190000,3.026690,448500
2019-09-25,3.160000,3.280000,3.160000,3.180000,3.017201,434500
2019-09-26,3.240000,3.240000,3.170000,3.190000,3.026690,212000
2019-09-27,3.200000,3.210000,3.100000,3.150000,2.988737,439050
2019-09-30,3.080000,3.180000,3.080000,3.140000,2.979249,261502
2019-10-02,3.090000,3.130000,3.080000,3.100000,2.941297,205000
2019-10-03,3.080000,3.100000,3.050000,3.060000,2.903345,205117
2019-10-04,3.060000,3.100000,3.040000,3.040000,2.884368,341001
2019-10-08,3.100000,3.160000,3.100000,3.120000,2.960273,533000
2019-10-09,3.130000,3.160000,3.110000,3.160000,2.998225,686750
2019-10-10,3.090000,3.190000,3.090000,3.170000,3.007713,828500
2019-10-11,3.190000,3.230000,3.180000,3.200000,3.036177,802315
2019-10-14,3.270000,3.310000,3.250000,3.300000,3.131058,1914000
2019-10-15,3.330000,3.330000,3.270000,3.300000,3.131058,372000
2019-10-16,3.300000,3.330000,3.280000,3.290000,3.121570,545500
2019-10-17,3.290000,3.320000,3.290000,3.300000,3.131058,160500
