Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,34.200001,34.299999,32.849998,33.000000,31.747118,28075500
2019-08-06,32.200001,32.349998,30.200001,32.099998,30.881287,53552017
2019-08-07,32.500000,33.150002,32.299999,32.599998,31.362303,15798638
2019-08-08,32.900002,33.200001,32.200001,32.799999,31.554710,10117476
2019-08-09,32.900002,33.200001,31.750000,31.900000,30.688881,11991336
2019-08-12,32.099998,32.599998,31.799999,32.200001,30.977491,8492570
2019-08-13,31.799999,31.900000,31.150000,31.250000,30.063559,10314100
2019-08-14,32.000000,32.400002,31.549999,31.650000,30.448372,12352864
2019-08-15,31.000000,32.900002,30.549999,32.750000,31.506609,15145010
2019-08-16,32.900002,33.349998,32.049999,32.750000,31.506609,15259529
2019-08-19,33.500000,35.099998,33.500000,34.450001,33.142067,27432451
2019-08-20,34.750000,35.200001,34.349998,34.500000,33.190170,16220098
2019-08-21,34.400002,35.650002,34.200001,35.450001,34.104103,14768146
2019-08-22,36.000000,36.150002,33.650002,33.900002,32.612949,26819183
2019-08-23,33.900002,34.549999,33.500000,34.000000,32.709152,11448449
2019-08-26,32.250000,33.200001,32.150002,33.200001,31.939526,22256514
2019-08-27,33.250000,34.599998,33.000000,33.200001,31.939526,20484203
2019-08-28,33.400002,34.150002,32.900002,33.000000,31.747118,10456166
2019-08-29,33.150002,33.299999,31.750000,32.150002,30.929390,18764320
2019-08-30,32.549999,32.549999,31.049999,31.400000,30.207863,21861533
2019-09-02,31.500000,31.700001,30.900000,31.049999,29.871151,13978857
2019-09-03,31.200001,31.549999,30.700001,30.950001,29.774948,10713000
2019-09-04,31.400000,32.650002,30.850000,32.549999,31.314201,25103553
2019-09-05,32.849998,34.000000,32.549999,33.299999,32.035728,25318239
2019-09-06,33.400002,33.849998,32.599998,32.900002,31.650915,50109819
2019-09-09,33.799999,33.799999,32.200001,32.849998,31.602812,24972961
2019-09-10,33.250000,33.250000,32.450001,32.750000,31.506609,9995483
2019-09-11,33.049999,33.349998,32.000000,32.950001,31.699017,11570888
2019-09-12,33.349998,34.500000,33.349998,33.799999,32.516743,14570321
2019-09-13,34.049999,34.900002,33.500000,34.849998,33.526878,8411243
2019-09-16,34.500000,34.750000,34.099998,34.549999,33.238270,13206740
2019-09-17,34.099998,34.349998,33.150002,33.599998,32.324337,9674279
2019-09-18,33.500000,34.200001,33.400002,33.599998,32.324337,6908300
2019-09-19,33.950001,34.049999,32.799999,33.000000,31.747118,9339081
2019-09-20,33.400002,33.549999,33.000000,33.200001,31.939526,7707704
2019-09-23,33.049999,33.150002,31.700001,31.799999,30.592676,13669826
2019-09-24,31.799999,32.349998,31.100000,31.250000,30.063559,19126700
2019-09-25,31.450001,31.750000,30.850000,31.500000,30.304068,8804017
2019-09-26,31.600000,31.650000,30.799999,31.200001,30.015457,26210282
2019-09-27,30.850000,31.299999,30.549999,31.250000,30.063559,11973296
2019-09-30,31.250000,31.900000,30.799999,31.500000,30.304068,8306475
2019-10-02,30.799999,31.700001,30.799999,31.350000,30.159761,6707895
2019-10-03,31.250000,31.850000,31.000000,31.700001,30.496475,5738537
2019-10-04,31.850000,32.849998,31.450001,32.250000,31.025593,11398196
2019-10-08,32.200001,32.849998,31.950001,32.099998,30.881287,13779400
2019-10-09,31.950001,33.700001,31.950001,32.799999,31.554710,21568376
2019-10-10,32.950001,33.349998,32.250000,32.500000,31.266100,13501965
2019-10-11,32.900002,34.400002,32.849998,34.299999,32.997761,20838647
2019-10-14,35.200001,35.349998,34.400002,34.799999,33.478779,23161600
2019-10-15,34.700001,34.900002,34.000000,34.349998,33.045860,7029463
2019-10-16,34.650002,36.200001,34.150002,35.500000,34.152203,19196482
2019-10-17,35.599998,36.299999,34.849998,35.250000,33.911694,17285000
2019-10-18,35.299999,36.200001,35.000000,35.599998,34.248405,18426734
2019-10-21,35.400002,36.200001,35.200001,36.000000,34.633221,9462971
2019-10-22,36.000000,36.200001,34.799999,35.150002,33.815491,19597251
2019-10-23,35.200001,35.349998,34.450001,34.900002,33.574982,12024138
2019-10-24,35.000000,35.849998,35.000000,35.650002,34.296509,10246168
2019-10-25,35.799999,36.250000,35.099998,35.900002,34.537018,9518000
2019-10-28,36.349998,36.349998,35.400002,35.900002,34.537018,8896000
2019-10-29,36.150002,36.500000,35.599998,36.200001,34.825626,10530563
2019-10-30,36.250000,36.299999,35.549999,35.549999,34.200302,11453622
2019-10-31,35.799999,36.099998,34.849998,35.700001,34.344608,21302300
2019-11-01,35.700001,37.700001,35.349998,37.099998,35.691456,25504445
2019-11-04,37.799999,39.000000,37.700001,38.900002,37.423119,27755100
2019-11-05,39.000000,39.150002,38.349998,38.799999,37.326912,10945266
2019-11-06,38.799999,39.549999,38.450001,39.099998,37.615524,12320438
2019-11-07,39.099998,39.299999,38.200001,38.799999,37.326912,12693547
2019-11-08,38.500000,39.000000,38.000000,38.299999,36.845898,10073800
