Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.500000,4.500000,4.380000,4.380000,4.102175,840000
2019-08-06,4.360000,4.350000,4.250000,4.280000,4.008518,800000
2019-08-07,4.320000,4.320000,4.270000,4.280000,4.008518,435500
2019-08-08,4.310000,4.320000,4.270000,4.310000,4.036614,614500
2019-08-09,4.320000,4.320000,4.270000,4.280000,4.008518,342000
2019-08-12,4.300000,4.360000,4.290000,4.330000,4.055346,496008
2019-08-13,4.300000,4.300000,4.240000,4.240000,3.971055,1171500
2019-08-14,4.300000,4.300000,4.250000,4.270000,3.999152,438000
2019-08-15,4.220000,4.280000,4.210000,4.230000,3.961689,516500
2019-08-16,4.250000,4.330000,4.240000,4.280000,4.008518,607500
2019-08-19,4.310000,4.390000,4.310000,4.370000,4.092809,504000
2019-08-20,4.370000,4.390000,4.350000,4.360000,4.083443,208001
2019-08-21,4.320000,4.360000,4.310000,4.330000,4.055346,412000
2019-08-22,4.360000,4.370000,4.340000,4.350000,4.074077,168000
2019-08-23,4.350000,4.370000,4.320000,4.340000,4.064712,229725
2019-08-26,4.290000,4.290000,4.230000,4.270000,3.999152,442500
2019-08-27,4.270000,4.330000,4.270000,4.290000,4.017883,330532
2019-08-28,4.290000,4.310000,4.260000,4.260000,3.989786,326000
2019-08-29,4.280000,4.280000,4.240000,4.240000,3.971055,787000
2019-08-30,4.260000,4.300000,4.220000,4.300000,4.027249,974004
2019-09-02,4.280000,4.330000,4.220000,4.290000,4.017883,1932500
2019-09-03,4.300000,4.330000,4.240000,4.250000,3.980420,1002510
2019-09-04,4.260000,4.390000,4.260000,4.370000,4.092809,1317000
2019-09-05,4.390000,4.450000,4.390000,4.430000,4.149003,972500
2019-09-06,4.430000,4.460000,4.420000,4.440000,4.158369,634500
2019-09-09,4.480000,4.500000,4.440000,4.450000,4.167734,565000
2019-09-10,4.490000,4.490000,4.440000,4.470000,4.186466,565500
2019-09-11,4.490000,4.540000,4.470000,4.530000,4.242660,296718
2019-09-12,4.570000,4.630000,4.510000,4.540000,4.252026,201000
2019-09-13,4.600000,4.630000,4.560000,4.610000,4.317585,81500
2019-09-16,4.550000,4.550000,4.500000,4.540000,4.252026,1273000
2019-09-17,4.540000,4.540000,4.490000,4.510000,4.223929,915500
2019-09-18,4.510000,4.520000,4.490000,4.490000,4.205197,322000
2019-09-19,4.480000,4.480000,4.430000,4.430000,4.149003,542000
2019-09-20,4.450000,4.470000,4.410000,4.410000,4.130271,1321500
2019-09-23,4.450000,4.450000,4.380000,4.410000,4.130271,614002
2019-09-24,4.410000,4.430000,4.380000,4.380000,4.102175,640000
2019-09-25,4.400000,4.460000,4.350000,4.390000,4.111540,1421500
2019-09-26,4.360000,4.400000,4.350000,4.380000,4.102175,883500
2019-09-27,4.370000,4.410000,4.360000,4.410000,4.130271,162000
2019-09-30,4.410000,4.430000,4.340000,4.350000,4.074077,358500
2019-10-02,4.340000,4.350000,4.300000,4.300000,4.027249,162500
2019-10-03,4.300000,4.320000,4.240000,4.300000,4.027249,130005
2019-10-04,4.260000,4.300000,4.220000,4.240000,3.971055,255000
2019-10-08,4.310000,4.380000,4.310000,4.330000,4.055346,633500
2019-10-09,4.320000,4.360000,4.300000,4.330000,4.055346,443000
2019-10-10,4.350000,4.360000,4.340000,4.340000,4.064712,277000
2019-10-11,4.360000,4.410000,4.360000,4.380000,4.102175,772125
2019-10-14,4.430000,4.500000,4.410000,4.460000,4.177100,843000
2019-10-15,4.470000,4.490000,4.440000,4.470000,4.186466,708000
2019-10-16,4.490000,4.490000,4.430000,4.440000,4.158369,485000
2019-10-17,4.440000,4.460000,4.410000,4.460000,4.177100,410500
2019-10-18,4.480000,4.480000,4.380000,4.380000,4.102175,1798500
2019-10-21,4.420000,4.460000,4.380000,4.440000,4.158369,652500
2019-10-22,4.430000,4.480000,4.420000,4.440000,4.158369,1036000
2019-10-23,4.480000,4.490000,4.440000,4.460000,4.177100,274000
2019-10-24,4.480000,4.510000,4.460000,4.510000,4.223929,508500
2019-10-25,4.510000,4.520000,4.470000,4.470000,4.186466,291000
2019-10-28,4.480000,4.510000,4.460000,4.500000,4.214563,540000
2019-10-29,4.500000,4.570000,4.500000,4.530000,4.242660,1420000
2019-10-30,4.550000,4.550000,4.500000,4.530000,4.242660,537500
2019-10-31,4.560000,4.640000,4.560000,4.610000,4.317585,1535506
2019-11-01,4.600000,4.640000,4.560000,4.630000,4.336317,535500
2019-11-04,4.650000,4.670000,4.620000,4.650000,4.355048,637500
2019-11-05,4.660000,4.690000,4.640000,4.670000,4.373780,834000
2019-11-06,4.670000,4.760000,4.670000,4.750000,4.448705,1356500
2019-11-07,4.800000,4.800000,4.700000,4.730000,4.429974,1483000
2019-11-08,4.720000,4.730000,4.690000,4.700000,4.401876,508000
2019-11-11,4.680000,4.680000,4.590000,4.590000,4.298854,835500
2019-11-12,4.620000,4.640000,4.590000,4.620000,4.326951,415500
2019-11-13,4.600000,4.640000,4.540000,4.560000,4.270757,1037000
2019-11-14,4.590000,4.600000,4.550000,4.560000,4.270757,403500
2019-11-15,4.580000,4.610000,4.560000,4.600000,4.308219,336500
2019-11-18,4.620000,4.650000,4.590000,4.620000,4.326951,653000
2019-11-19,4.630000,4.690000,4.630000,4.650000,4.355048,712500
2019-11-20,4.650000,4.660000,4.610000,4.640000,4.345683,845500
2019-11-21,4.630000,4.630000,4.580000,4.630000,4.336317,719000
2019-11-22,4.600000,4.630000,4.570000,4.620000,4.326951,472500
2019-11-25,4.630000,4.670000,4.630000,4.650000,4.355048,283500
2019-11-26,4.640000,4.660000,4.620000,4.640000,4.345683,312000
2019-11-27,4.650000,4.660000,4.610000,4.630000,4.336317,667000
2019-11-28,4.610000,4.630000,4.570000,4.600000,4.308219,569500
2019-11-29,4.590000,4.600000,4.530000,4.570000,4.280123,785500
2019-12-02,4.610000,4.610000,4.530000,4.560000,4.270757,922000
2019-12-03,4.550000,4.560000,4.530000,4.540000,4.252026,754500
2019-12-04,4.560000,4.550000,4.480000,4.520000,4.233294,271000
2019-12-05,4.550000,4.550000,4.510000,4.540000,4.252026,199000
2019-12-06,4.530000,4.550000,4.510000,4.520000,4.233294,265000
2019-12-09,4.520000,4.560000,4.520000,4.540000,4.252026,327000
2019-12-10,4.530000,4.540000,4.480000,4.530000,4.242660,456500
2019-12-11,4.530000,4.580000,4.510000,4.560000,4.270757,480382
2019-12-12,4.570000,4.580000,4.560000,4.560000,4.270757,537000
2019-12-13,4.590000,4.650000,4.580000,4.630000,4.336317,1443000
2019-12-16,4.630000,4.650000,4.610000,4.610000,4.317585,413000
2019-12-17,4.630000,4.700000,4.620000,4.650000,4.355048,1538000
2019-12-18,4.660000,4.700000,4.650000,4.660000,4.364414,698500
2019-12-19,4.660000,4.680000,4.650000,4.670000,4.373780,212000
2019-12-20,4.660000,4.690000,4.600000,4.610000,4.317585,2264000
2019-12-23,4.650000,4.660000,4.600000,4.620000,4.326951,243500
2019-12-24,4.610000,4.640000,4.610000,4.620000,4.326951,132000
2019-12-27,4.620000,4.670000,4.620000,4.640000,4.345683,395256
2019-12-30,4.650000,4.690000,4.650000,4.650000,4.355048,652500
2019-12-31,4.650000,4.670000,4.640000,4.670000,4.373780,896000
2020-01-02,4.710000,4.760000,4.720000,4.740000,4.439339,981000
2020-01-03,4.770000,4.770000,4.710000,4.720000,4.420608,604500
2020-01-06,4.720000,4.740000,4.670000,4.680000,4.383145,1135000
2020-01-07,4.720000,4.730000,4.690000,4.720000,4.420608,656500
2020-01-08,4.700000,4.700000,4.660000,4.670000,4.373780,806500
2020-01-09,4.720000,4.720000,4.670000,4.720000,4.420608,300500
2020-01-10,4.740000,4.730000,4.670000,4.700000,4.401876,839000
2020-01-13,4.690000,4.730000,4.690000,4.710000,4.411242,438000
2020-01-14,4.740000,4.750000,4.680000,4.710000,4.411242,568500
2020-01-15,4.710000,4.740000,4.680000,4.710000,4.411242,554172
2020-01-16,4.700000,4.710000,4.670000,4.690000,4.392511,599000
2020-01-17,4.640000,4.710000,4.640000,4.680000,4.383145,622000
2020-01-20,4.700000,4.710000,4.660000,4.660000,4.364414,602000
2020-01-21,4.650000,4.660000,4.520000,4.530000,4.242660,1805000
2020-01-22,4.580000,4.600000,4.510000,4.530000,4.242660,427000
2020-01-23,4.530000,4.530000,4.350000,4.410000,4.130271,1348500
2020-01-24,4.300000,4.450000,4.300000,4.430000,4.149003,365000
2020-01-29,4.360000,4.410000,4.270000,4.280000,4.008518,1208500
2020-01-30,4.300000,4.300000,4.080000,4.080000,3.821203,1061500
2020-01-31,4.120000,4.280000,4.070000,4.150000,3.886764,468509
2020-02-03,4.150000,4.190000,4.130000,4.160000,3.896129,2721778
2020-02-04,4.180000,4.270000,4.170000,4.240000,3.971055,968000
2020-02-05,4.250000,4.290000,4.180000,4.230000,3.961689,3023500
2020-02-06,4.260000,4.320000,4.260000,4.280000,4.008518,1168500
2020-02-07,4.280000,4.300000,4.240000,4.250000,3.980420,928500
2020-02-10,4.250000,4.300000,4.230000,4.250000,3.980420,866000
2020-02-11,4.250000,4.320000,4.250000,4.290000,4.017883,1322000
2020-02-12,4.290000,4.340000,4.290000,4.310000,4.036614,1646177
