Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.600000,3.750000,3.350000,3.600000,3.600000,103430
2019-08-06,3.500000,3.950000,3.400000,3.950000,3.950000,164960
2019-08-07,3.850000,4.300000,3.600000,4.000000,4.000000,176690
2019-08-08,4.000000,4.200000,3.950000,4.150000,4.150000,43780
2019-08-09,4.100000,4.100000,3.850000,3.850000,3.850000,5020
2019-08-12,3.850000,3.850000,3.650000,3.850000,3.850000,16720
2019-08-13,3.650000,3.800000,3.650000,3.750000,3.750000,1650
2019-08-14,3.700000,3.750000,3.500000,3.600000,3.600000,85300
2019-08-15,3.550000,3.650000,3.500000,3.600000,3.600000,5220
2019-08-16,3.500000,3.650000,3.000000,3.350000,3.350000,158190
2019-08-19,3.350000,3.450000,3.350000,3.450000,3.450000,18660
2019-08-20,3.400000,3.500000,3.350000,3.500000,3.500000,22907
2019-08-21,3.450000,5.400000,3.450000,4.600000,4.600000,2504330
2019-08-22,4.600000,5.250000,4.400000,4.600000,4.600000,517720
2019-08-23,4.350000,4.750000,4.150000,4.500000,4.500000,237740
2019-08-26,4.000000,4.500000,4.000000,4.200000,4.200000,48770
2019-08-27,3.900000,4.400000,3.900000,4.200000,4.200000,42260
2019-08-28,4.250000,4.250000,3.900000,4.050000,4.050000,22440
2019-08-29,3.800000,3.800000,3.500000,3.700000,3.700000,256040
2019-08-30,3.600000,3.850000,3.550000,3.700000,3.700000,417110
2019-09-02,3.650000,3.700000,3.550000,3.600000,3.600000,58740
2019-09-03,3.600000,3.650000,3.550000,3.650000,3.650000,7300
2019-09-04,3.600000,3.650000,3.600000,3.650000,3.650000,16820
2019-09-05,3.600000,3.700000,3.600000,3.700000,3.700000,63660
2019-09-06,3.650000,3.650000,3.550000,3.650000,3.650000,30600
2019-09-09,3.550000,3.650000,3.550000,3.600000,3.600000,10370
2019-09-10,3.550000,3.600000,3.550000,3.600000,3.600000,66240
2019-09-11,3.550000,3.600000,3.550000,3.600000,3.600000,444850
2019-09-12,3.600000,3.800000,3.500000,3.750000,3.750000,201190
2019-09-13,3.700000,3.700000,3.600000,3.650000,3.650000,8820
