Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.600000,4.680000,4.500000,4.600000,4.600000,232000
2019-08-06,4.470000,4.470000,4.390000,4.440000,4.440000,242000
2019-08-07,4.490000,4.500000,4.440000,4.500000,4.500000,138000
2019-08-08,4.500000,4.500000,4.380000,4.500000,4.500000,338000
2019-08-09,4.590000,4.600000,4.500000,4.600000,4.600000,58000
2019-08-12,4.500000,4.600000,4.440000,4.600000,4.600000,50000
2019-08-13,4.430000,4.590000,4.430000,4.590000,4.590000,6000
2019-08-14,4.570000,4.570000,4.570000,4.570000,4.570000,0
2019-08-15,4.500000,4.500000,4.500000,4.500000,4.500000,16000
2019-08-16,4.500000,4.500000,4.500000,4.500000,4.500000,50000
2019-08-19,4.520000,4.580000,4.520000,4.580000,4.580000,310000
2019-08-20,4.540000,4.560000,4.540000,4.560000,4.560000,30000
2019-08-21,4.540000,4.540000,4.540000,4.540000,4.540000,48000
2019-08-22,4.590000,4.590000,4.540000,4.590000,4.590000,62000
2019-08-23,4.590000,4.590000,4.590000,4.590000,4.590000,22000
2019-08-26,4.400000,4.400000,4.350000,4.400000,4.400000,4000
2019-08-27,4.400000,4.400000,4.400000,4.400000,4.400000,0
2019-08-28,4.410000,4.440000,4.400000,4.400000,4.400000,52000
2019-08-29,4.400000,4.400000,4.300000,4.350000,4.350000,82619
2019-08-30,4.360000,4.400000,4.350000,4.350000,4.350000,126000
2019-09-02,4.350000,4.480000,4.350000,4.480000,4.480000,6000
2019-09-03,4.350000,4.400000,4.350000,4.400000,4.400000,44000
2019-09-04,4.480000,4.490000,4.480000,4.490000,4.490000,28000
2019-09-05,4.440000,4.590000,4.410000,4.440000,4.440000,84000
2019-09-06,4.440000,4.500000,4.440000,4.500000,4.500000,60000
2019-09-09,4.500000,4.560000,4.500000,4.560000,4.560000,54000
2019-09-10,4.560000,4.570000,4.560000,4.550000,4.550000,108000
2019-09-11,4.510000,4.510000,4.510000,4.510000,4.510000,0
2019-09-12,4.520000,4.520000,4.430000,4.440000,4.440000,94000
2019-09-13,4.560000,4.600000,4.370000,4.400000,4.400000,22000
2019-09-16,4.430000,4.430000,4.420000,4.420000,4.420000,10000
2019-09-17,4.430000,4.550000,4.380000,4.380000,4.380000,166000
2019-09-18,4.380000,4.500000,4.300000,4.500000,4.500000,54000
2019-09-19,4.430000,4.430000,4.390000,4.390000,4.390000,22000
2019-09-20,4.420000,4.420000,4.390000,4.390000,4.390000,24000
2019-09-23,4.390000,4.390000,4.390000,4.390000,4.390000,2000
2019-09-24,4.400000,4.400000,4.390000,4.390000,4.390000,32000
2019-09-25,4.400000,4.400000,4.400000,4.400000,4.400000,10000
2019-09-26,4.400000,4.400000,4.400000,4.400000,4.400000,42000
2019-09-27,4.400000,4.400000,4.400000,4.400000,4.400000,40000
2019-09-30,4.400000,4.400000,4.400000,4.400000,4.400000,38000
2019-10-02,4.490000,4.540000,4.410000,4.410000,4.410000,248000
2019-10-03,4.410000,4.470000,4.340000,4.450000,4.450000,62000
2019-10-04,4.400000,4.510000,4.400000,4.480000,4.480000,58000
2019-10-08,4.430000,4.580000,4.430000,4.580000,4.580000,42000
2019-10-09,4.670000,4.800000,4.540000,4.720000,4.720000,174000
2019-10-10,4.620000,4.830000,4.620000,4.760000,4.760000,184000
2019-10-11,4.820000,5.090000,4.620000,4.940000,4.940000,32000
2019-10-14,4.900000,5.040000,4.810000,4.810000,4.810000,208000
2019-10-15,4.950000,5.020000,4.870000,4.860000,4.860000,40000
2019-10-16,4.800000,4.940000,4.760000,4.760000,4.760000,22000
2019-10-17,5.200000,5.200000,4.840000,4.880000,4.880000,1604000
2019-10-18,5.020000,5.020000,4.880000,4.880000,4.880000,172000
2019-10-21,4.880000,5.100000,4.880000,4.930000,4.930000,238000
2019-10-22,5.030000,5.180000,5.030000,4.970000,4.970000,312000
2019-10-23,4.880000,5.150000,4.880000,4.990000,4.990000,446000
2019-10-24,5.100000,5.150000,4.950000,4.950000,4.950000,744000
2019-10-25,5.090000,5.150000,5.000000,5.000000,5.000000,274000
2019-10-28,4.860000,5.160000,5.010000,5.010000,5.010000,298000
2019-10-29,5.060000,5.200000,5.030000,5.030000,5.030000,208000
2019-10-30,5.090000,5.210000,4.990000,5.210000,5.210000,298000
2019-10-31,5.060000,5.280000,5.060000,5.130000,5.130000,166000
2019-11-01,4.980000,5.400000,4.980000,5.250000,5.250000,998000
2019-11-04,5.260000,5.300000,5.260000,5.290000,5.290000,107309
2019-11-05,5.260000,5.280000,5.240000,5.280000,5.280000,112000
2019-11-06,5.270000,5.270000,5.270000,5.270000,5.270000,12000
2019-11-07,5.270000,5.270000,5.270000,5.270000,5.270000,0
2019-11-08,5.260000,5.270000,5.040000,5.240000,5.240000,152000
2019-11-11,5.060000,5.220000,5.050000,5.090000,5.090000,23000
2019-11-12,5.040000,5.280000,5.040000,5.190000,5.190000,74655
2019-11-13,5.150000,5.200000,5.080000,5.080000,5.080000,8000
2019-11-14,5.100000,5.190000,4.940000,5.180000,5.180000,128000
2019-11-15,4.960000,5.160000,4.940000,5.160000,5.160000,50000
2019-11-18,5.130000,5.130000,4.970000,5.100000,5.100000,78000
2019-11-19,5.120000,5.120000,5.120000,5.120000,5.120000,6000
2019-11-20,5.000000,5.130000,5.000000,5.120000,5.120000,50000
2019-11-21,5.120000,5.120000,5.120000,5.120000,5.120000,0
2019-11-22,5.120000,5.120000,5.120000,5.120000,5.120000,0
2019-11-25,4.930000,5.120000,4.930000,5.070000,5.070000,32000
2019-11-26,5.100000,5.100000,4.920000,4.920000,4.920000,1608920
2019-11-27,4.900000,5.070000,4.900000,4.940000,4.940000,158000
2019-11-28,5.040000,5.040000,4.930000,4.930000,4.930000,8000
2019-11-29,5.040000,5.040000,4.850000,4.960000,4.960000,334000
2019-12-02,4.920000,4.950000,4.850000,4.860000,4.860000,86000
2019-12-03,4.810000,4.900000,4.700000,4.730000,4.730000,86000
2019-12-04,4.830000,4.840000,4.720000,4.720000,4.720000,206000
2019-12-05,4.850000,5.040000,4.850000,4.950000,4.950000,211500
2019-12-06,5.030000,5.080000,4.770000,4.900000,4.900000,168000
2019-12-09,5.080000,5.130000,5.020000,5.020000,5.020000,500000
2019-12-10,5.020000,5.130000,4.920000,5.020000,5.020000,366000
2019-12-11,5.090000,5.120000,4.920000,4.930000,4.930000,400000
2019-12-12,5.000000,5.090000,4.960000,4.960000,4.960000,22000
2019-12-13,5.100000,5.130000,4.900000,5.020000,5.020000,574000
2019-12-16,5.050000,5.110000,4.900000,4.930000,4.930000,468000
2019-12-17,5.080000,5.090000,4.990000,5.060000,5.060000,82000
2019-12-18,5.050000,5.090000,4.960000,5.000000,5.000000,134000
2019-12-19,5.080000,5.080000,4.950000,5.000000,5.000000,22580
2019-12-20,4.900000,5.000000,4.880000,5.000000,5.000000,24000
2019-12-23,5.000000,5.090000,5.000000,5.090000,5.090000,16000
2019-12-24,5.090000,5.090000,5.090000,5.090000,5.090000,0
2019-12-27,5.020000,5.040000,4.870000,4.870000,4.870000,100000
2019-12-30,5.010000,5.020000,4.880000,4.880000,4.880000,50000
2019-12-31,4.880000,4.880000,4.880000,4.940000,4.940000,3904
2020-01-02,5.040000,5.080000,4.950000,5.000000,5.000000,159904
2020-01-03,5.090000,5.090000,4.950000,5.060000,5.060000,189904
2020-01-06,5.000000,5.080000,5.000000,5.000000,5.000000,65848
2020-01-07,5.040000,5.100000,5.010000,5.050000,5.050000,53848
2020-01-08,5.100000,5.100000,4.950000,5.040000,5.040000,73848
2020-01-09,5.050000,5.120000,4.930000,5.000000,5.000000,89848
2020-01-10,5.000000,5.130000,4.950000,4.990000,4.990000,160348
2020-01-13,5.000000,5.020000,4.950000,4.960000,4.960000,223345
2020-01-14,4.960000,5.080000,4.960000,4.970000,4.970000,53345
2020-01-15,4.970000,4.970000,4.970000,4.970000,4.970000,0
2020-01-16,4.950000,5.000000,4.910000,4.910000,4.910000,84000
2020-01-17,4.920000,5.010000,4.890000,4.900000,4.900000,104000
2020-01-20,4.900000,4.900000,4.900000,4.900000,4.900000,0
2020-01-21,4.900000,4.980000,4.810000,4.820000,4.820000,72000
2020-01-22,4.790000,4.950000,4.790000,4.860000,4.860000,36000
2020-01-23,4.860000,4.860000,4.860000,4.860000,4.860000,0
2020-01-24,4.860000,4.860000,4.860000,4.860000,4.860000,0
2020-01-29,4.650000,4.710000,4.530000,4.550000,4.550000,156000
2020-01-30,4.600000,4.760000,4.320000,4.320000,4.320000,148000
2020-01-31,4.330000,4.540000,4.100000,4.350000,4.350000,278000
2020-02-03,4.340000,4.490000,4.260000,4.490000,4.490000,22000
2020-02-04,4.350000,4.500000,4.350000,4.400000,4.400000,52974
2020-02-05,4.410000,4.530000,4.410000,4.460000,4.460000,28000
2020-02-06,4.580000,4.650000,4.570000,4.600000,4.600000,50000
2020-02-07,4.350000,4.640000,4.300000,4.410000,4.410000,152000
2020-02-10,4.410000,4.410000,4.410000,4.410000,4.410000,0
2020-02-11,4.500000,4.610000,4.370000,4.470000,4.470000,610000
2020-02-12,4.820000,4.590000,4.400000,4.510000,4.510000,86000
2020-02-13,4.410000,4.700000,4.410000,4.580000,4.580000,180000
2020-02-14,4.710000,4.710000,4.500000,4.560000,4.560000,56000
2020-02-17,4.640000,4.660000,4.530000,4.530000,4.530000,28000
2020-02-18,4.530000,4.530000,4.530000,4.530000,4.530000,0
2020-02-19,4.370000,4.530000,4.360000,4.490000,4.490000,122000
2020-02-20,4.490000,4.500000,4.430000,4.450000,4.450000,104000
2020-02-21,4.410000,4.540000,4.400000,4.540000,4.540000,54000
2020-02-24,4.520000,4.520000,4.330000,4.340000,4.340000,84000
2020-02-25,4.220000,4.250000,4.130000,4.200000,4.200000,52000
2020-02-26,4.350000,4.360000,4.270000,4.270000,4.270000,56000
2020-02-27,4.280000,4.280000,4.280000,4.280000,4.280000,0
2020-02-28,4.280000,4.400000,4.220000,4.320000,4.320000,18000
2020-03-02,4.310000,4.410000,4.310000,4.400000,4.400000,46000
2020-03-03,4.490000,4.550000,4.270000,4.270000,4.270000,130000
2020-03-04,4.310000,4.860000,4.310000,4.750000,4.750000,822000
2020-03-05,4.750000,5.000000,4.750000,4.930000,4.930000,717384
2020-03-06,4.600000,4.930000,4.600000,4.850000,4.850000,256000
2020-03-09,4.850000,4.850000,4.850000,4.850000,4.850000,0
2020-03-10,4.370000,4.370000,4.370000,4.370000,4.370000,0
2020-03-11,4.650000,4.820000,4.640000,4.760000,4.760000,178000
2020-03-12,4.850000,4.850000,4.700000,4.700000,4.700000,40000
2020-03-13,4.400000,4.400000,4.390000,4.400000,4.400000,62000
2020-03-16,4.210000,4.210000,4.200000,4.200000,4.200000,22000
2020-03-17,4.200000,4.280000,4.120000,4.200000,4.200000,86000
2020-03-18,4.300000,4.400000,3.800000,4.020000,4.020000,244000
2020-03-19,4.000000,4.100000,3.790000,3.810000,3.810000,386937
2020-03-20,4.000000,4.100000,4.000000,4.100000,4.100000,50000
2020-03-23,4.000000,4.240000,4.000000,4.170000,4.170000,14000
2020-03-24,4.240000,4.250000,3.930000,4.000000,4.000000,954000
2020-03-25,4.050000,4.050000,4.000000,4.020000,4.020000,440000
2020-03-26,4.010000,4.050000,3.910000,4.050000,4.050000,424000
2020-03-27,4.060000,4.100000,4.050000,4.100000,4.100000,262000
2020-03-30,4.030000,4.140000,3.130000,4.130000,4.130000,1468000
2020-03-31,4.060000,4.170000,4.060000,4.160000,4.160000,430000
2020-04-01,4.170000,4.250000,4.000000,4.240000,4.240000,654000
2020-04-02,4.190000,4.240000,4.190000,4.230000,4.230000,126000
2020-04-03,4.300000,4.400000,4.180000,4.250000,4.250000,200000
2020-04-06,4.250000,4.450000,4.150000,4.220000,4.220000,16000
2020-04-07,4.220000,4.460000,4.220000,4.450000,4.450000,470000
2020-04-08,4.470000,4.600000,4.420000,4.500000,4.500000,192000
2020-04-09,4.580000,4.630000,4.520000,4.580000,4.580000,208000
2020-04-14,4.500000,4.660000,4.480000,4.660000,4.660000,140000
2020-04-15,4.660000,4.660000,4.520000,4.560000,4.560000,100000
2020-04-16,4.520000,4.520000,4.480000,4.500000,4.500000,127361
2020-04-17,4.550000,4.640000,4.500000,4.610000,4.610000,122000
2020-04-20,4.610000,4.610000,4.500000,4.500000,4.500000,128000
2020-04-21,4.500000,4.620000,4.410000,4.610000,4.610000,61500
2020-04-22,4.450000,4.490000,4.450000,4.490000,4.490000,50000
2020-04-23,4.580000,4.580000,4.540000,4.580000,4.580000,36000
2020-04-24,4.580000,4.580000,4.580000,4.580000,4.580000,0
2020-04-27,4.580000,4.580000,4.580000,4.580000,4.580000,0
2020-04-28,4.600000,4.650000,4.600000,4.650000,4.650000,54056
2020-04-29,4.650000,4.650000,4.650000,4.650000,4.650000,14000
2020-05-04,4.600000,4.600000,4.600000,4.590000,4.590000,6000
2020-05-05,4.590000,5.000000,4.590000,4.800000,4.800000,246000
2020-05-06,5.000000,5.910000,4.880000,5.800000,5.800000,5140000
2020-05-07,5.800000,5.800000,5.800000,5.800000,5.800000,0
2020-05-08,5.800000,5.800000,5.800000,5.800000,5.800000,0
2020-05-11,6.000000,6.050000,5.650000,5.870000,5.870000,2614000
2020-05-12,5.900000,7.200000,5.890000,7.010000,7.010000,3174000
2020-05-13,7.010000,7.100000,6.480000,6.600000,6.600000,1292000
2020-05-14,6.600000,6.750000,6.500000,6.680000,6.680000,730000
2020-05-15,6.560000,7.150000,6.560000,6.790000,6.790000,310000
2020-05-18,6.600000,6.780000,6.450000,6.640000,6.640000,592000
2020-05-19,6.700000,6.800000,6.120000,6.200000,6.200000,1780000
2020-05-20,6.100000,6.430000,6.090000,6.340000,6.340000,196000
2020-05-21,6.150000,6.460000,6.150000,6.270000,6.270000,504000
2020-05-22,6.260000,6.270000,6.010000,6.120000,6.120000,590000
2020-05-25,6.150000,6.240000,6.100000,6.200000,6.200000,168000
2020-05-26,6.240000,6.320000,6.050000,6.190000,6.190000,224000
2020-05-27,6.130000,6.180000,6.030000,6.110000,6.110000,732000
2020-05-28,6.100000,6.170000,6.060000,6.090000,6.090000,184000
2020-05-29,6.040000,6.230000,6.040000,6.220000,6.220000,196000
2020-06-01,6.190000,6.200000,6.060000,6.150000,6.150000,266000
2020-06-02,6.250000,6.460000,6.250000,6.340000,6.340000,520000
2020-06-03,6.400000,6.400000,6.200000,6.210000,6.210000,302000
2020-06-04,6.200000,6.350000,6.190000,6.270000,6.270000,530000
2020-06-05,6.260000,6.590000,6.220000,6.460000,6.460000,612000
2020-06-08,6.380000,6.390000,6.200000,6.260000,6.260000,374000
