Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,83.099998,85.349998,81.900002,82.199997,81.582352,8255187
2019-08-06,78.000000,81.699997,77.599998,80.699997,80.093620,16006483
2019-08-07,83.500000,83.500000,79.599998,81.750000,81.135735,6608091
2019-08-08,82.250000,84.949997,81.900002,83.050003,82.425972,5271628
2019-08-09,84.300003,85.449997,82.949997,83.000000,82.376343,5598562
2019-08-12,84.400002,87.199997,83.849998,86.000000,85.353798,6941629
2019-08-13,85.699997,88.099998,85.000000,86.400002,85.750793,10122626
2019-08-14,95.000000,98.349998,92.849998,93.949997,93.244064,28766199
2019-08-15,93.300003,96.349998,91.599998,95.400002,94.683174,8834539
2019-08-16,94.800003,96.349998,94.349998,95.400002,94.683174,6730603
2019-08-19,98.750000,102.000000,98.199997,100.699997,99.943344,12455832
2019-08-20,103.300003,107.800003,101.199997,105.599998,104.806526,17070783
2019-08-21,105.900002,107.800003,103.000000,106.800003,105.997513,9662363
2019-08-22,107.500000,107.900002,104.900002,106.000000,105.203522,8106380
2019-08-23,104.800003,107.199997,103.900002,105.000000,104.211037,8389967
2019-08-26,97.449997,104.599998,97.000000,104.099998,103.317795,16630671
2019-08-27,104.099998,105.000000,101.300003,102.800003,102.027573,7206829
2019-08-28,102.800003,105.300003,100.500000,102.400002,101.630577,6572565
2019-08-29,103.000000,105.000000,101.300003,104.500000,103.714790,7728735
2019-08-30,106.099998,111.699997,105.199997,108.699997,107.883232,14577905
2019-09-02,107.599998,110.000000,106.099998,109.199997,108.379478,7675792
2019-09-03,108.699997,113.900002,107.900002,109.699997,108.875717,9189683
2019-09-04,109.400002,112.400002,108.000000,110.699997,109.868202,6782213
2019-09-05,110.000000,115.699997,110.000000,113.300003,112.448677,5906901
2019-09-06,115.500000,120.000000,114.900002,116.400002,115.525375,11805476
2019-09-09,117.800003,120.400002,116.300003,117.500000,116.617111,7570715
2019-09-10,120.000000,120.000000,112.599998,114.599998,113.738899,9971105
2019-09-11,116.000000,116.300003,113.500000,115.199997,114.334389,4600899
2019-09-12,115.900002,118.400002,113.300003,116.400002,115.525375,4272619
2019-09-13,117.400002,119.699997,116.000000,119.400002,118.502838,3067502
2019-09-16,117.599998,119.000000,116.699997,117.900002,117.014107,5206333
2019-09-17,116.500000,118.199997,115.400002,116.500000,115.624626,4708260
2019-09-18,117.199997,118.500000,116.300003,116.900002,116.021622,4867061
2019-09-19,116.699997,120.800003,116.699997,120.199997,119.296822,8094009
2019-09-20,121.800003,126.099998,119.000000,119.699997,118.800575,13624731
2019-09-23,120.900002,120.900002,111.599998,114.000000,113.143410,12065809
2019-09-24,115.900002,116.500000,112.800003,116.199997,115.326874,7334895
2019-09-25,116.000000,116.000000,111.300003,112.699997,111.853172,8253640
2019-09-26,114.300003,117.400002,111.800003,114.500000,113.639656,6264973
2019-09-27,113.099998,115.800003,112.199997,114.400002,113.540405,2905755
2019-09-30,112.699997,115.900002,112.500000,115.199997,114.334389,5333955
2019-10-02,113.300003,117.500000,113.000000,117.199997,116.319366,5102301
2019-10-03,115.500000,120.699997,115.500000,118.699997,117.808090,5575145
2019-10-04,119.000000,120.500000,116.800003,118.699997,117.808090,3384420
2019-10-08,119.000000,119.500000,116.199997,116.699997,115.823120,4189713
2019-10-09,115.400002,115.900002,112.099998,112.599998,111.753929,7149484
2019-10-10,112.800003,117.900002,112.000000,117.400002,116.517868,7783322
2019-10-11,119.500000,120.400002,116.099998,118.000000,117.113358,4096065
2019-10-14,120.000000,120.000000,113.099998,115.000000,114.135895,8021280
2019-10-15,115.000000,117.800003,115.000000,116.000000,115.128380,4161425
2019-10-16,115.000000,116.699997,114.000000,115.000000,114.135895,4040234
2019-10-17,116.000000,117.300003,115.199997,117.300003,116.418617,3550319
2019-10-18,117.800003,119.800003,116.199997,118.800003,117.907349,5273106
2019-10-21,119.800003,119.800003,115.099998,115.800003,114.929886,3957759
2019-10-22,116.000000,117.900002,115.000000,115.699997,114.830635,2867076
2019-10-23,116.199997,116.300003,113.199997,114.099998,113.242661,2960506
2019-10-24,114.900002,116.300003,114.000000,116.300003,115.426132,3044059
2019-10-25,116.000000,118.000000,115.500000,116.500000,115.624626,2011544
2019-10-28,116.000000,119.500000,115.599998,117.800003,116.914864,4066091
2019-10-29,118.400002,119.400002,117.199997,117.699997,116.815605,4966118
2019-10-30,117.300003,118.699997,114.900002,118.099998,117.212601,5239064
2019-10-31,118.699997,129.399994,118.000000,126.800003,125.847237,16386099
2019-11-01,126.800003,131.399994,124.800003,129.399994,128.427689,7707077
2019-11-04,131.000000,134.000000,130.000000,132.500000,131.504410,5226218
2019-11-05,133.199997,136.500000,132.500000,133.699997,132.695389,6662141
2019-11-06,133.500000,135.600006,130.899994,133.199997,132.199142,4004956
2019-11-07,134.500000,135.000000,130.100006,133.000000,132.000641,6308853
2019-11-08,132.399994,133.000000,129.600006,130.800003,129.817184,4817379
2019-11-11,128.199997,129.600006,121.500000,126.400002,125.450241,8038703
2019-11-12,127.000000,129.699997,123.400002,125.300003,124.358505,5818450
2019-11-13,123.099998,125.300003,122.199997,123.400002,122.472778,4738616
2019-11-14,123.199997,126.300003,122.900002,124.400002,123.465271,4210787
2019-11-15,126.000000,126.000000,123.199997,123.400002,122.472778,3157699
2019-11-18,125.000000,125.000000,122.199997,123.500000,122.572029,3149918
2019-11-19,124.099998,129.800003,123.699997,129.800003,128.824692,6407288
2019-11-20,128.000000,129.300003,125.900002,126.699997,125.747978,4591491
2019-11-21,123.800003,124.300003,121.000000,121.400002,120.487808,6778881
2019-11-22,122.000000,123.400002,119.300003,122.000000,121.083298,4362540
2019-11-25,123.000000,123.400002,119.599998,121.599998,120.686302,4880806
2019-11-26,122.699997,126.000000,122.599998,125.099998,124.160004,7938875
2019-11-27,125.199997,126.800003,124.000000,126.300003,125.350990,3608753
2019-11-28,125.099998,131.600006,125.099998,131.600006,130.611176,8252769
2019-11-29,132.100006,132.100006,127.199997,128.300003,127.335968,6127130
2019-12-02,129.000000,130.600006,126.300003,128.100006,127.137474,4364434
