Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.436560,2.473200,2.363280,2.363280,2.106111,3301309
2019-08-06,2.290000,2.372440,2.244200,2.363280,2.106111,4223934
2019-08-07,2.381600,2.390760,2.317480,2.354120,2.097948,777292
2019-08-08,2.381600,2.381600,2.317480,2.354120,2.097948,888646
2019-08-09,2.381600,2.381600,2.271680,2.308320,2.057132,1999999
2019-08-12,2.299160,2.317480,2.271680,2.280840,2.032642,2650421
2019-08-13,2.271680,2.271680,2.189240,2.244200,1.999989,4207423
2019-08-14,2.290000,2.299160,2.262520,2.271680,2.024479,1421397
2019-08-15,2.207560,2.317480,2.207560,2.290000,2.040805,1266375
2019-08-16,2.326640,2.381600,2.308320,2.354120,2.097948,2286026
2019-08-19,2.399920,2.519000,2.399920,2.509840,2.236722,4041484
2019-08-20,2.509840,2.546480,2.436560,2.436560,2.171417,2264192
2019-08-21,2.509840,2.509840,2.454880,2.491520,2.220396,1877729
2019-08-22,2.500680,2.500680,2.418240,2.473200,2.204070,2299126
2019-08-23,2.473200,2.473200,2.427400,2.436560,2.171417,921397
2019-08-26,2.363280,2.399920,2.335800,2.390760,2.130600,2187772
2019-08-27,2.418240,2.436560,2.372440,2.390760,2.130600,1055646
2019-08-28,2.427400,2.427400,2.372440,2.399920,2.138764,858078
2019-08-29,2.363280,2.409080,2.363280,2.381600,2.122437,825327
2019-08-30,2.409080,2.418240,2.372440,2.409080,2.146927,1102802
2019-09-02,2.372440,2.409080,2.354120,2.399920,2.138764,1307860
2019-09-03,2.399920,2.418240,2.354120,2.381600,2.122437,1106986
2019-09-04,2.399920,2.427400,2.381600,2.427400,2.163254,2545851
2019-09-05,2.436560,2.500680,2.427400,2.427400,2.163254,1834061
2019-09-06,2.445720,2.454880,2.418240,2.436560,2.171417,1349344
2019-09-09,2.436560,2.454880,2.399920,2.418240,2.155090,594130
2019-09-10,2.399920,2.436560,2.381600,2.427400,2.163254,895196
2019-09-11,2.418240,2.592280,2.399920,2.573960,2.293865,5476390
2019-09-12,2.601440,2.601440,2.528160,2.537320,2.261212,538611
2019-09-13,2.555640,2.564800,2.491520,2.555640,2.277539,1403930
2019-09-16,2.528160,2.546480,2.491520,2.519000,2.244886,1050218
2019-09-17,2.519000,2.519000,2.464040,2.482360,2.212233,1200873
2019-09-18,2.491520,2.491520,2.454880,2.464040,2.195906,973799
2019-09-19,2.464040,2.482360,2.436560,2.454880,2.187743,572052
2019-09-20,2.464040,2.491520,2.436560,2.454880,2.187743,1698819
2019-09-23,2.454880,2.528160,2.427400,2.436560,2.171417,2046943
2019-09-24,2.418240,2.445720,2.409080,2.418240,2.155090,1506550
2019-09-25,2.399920,2.454880,2.363280,2.372440,2.114274,3095063
2019-09-26,2.372440,2.390760,2.344960,2.372440,2.114274,1729257
2019-09-27,2.372440,2.372440,2.326640,2.326640,2.073458,3783842
2019-09-30,2.354120,2.399920,2.344960,2.372440,2.114274,4375545
2019-10-02,2.381600,2.381600,2.354120,2.363280,2.106111,2635371
2019-10-03,2.363280,2.381600,2.317480,2.363280,2.106111,1910480
2019-10-04,2.390760,2.418240,2.363280,2.372440,2.114274,1454148
2019-10-08,2.363280,2.418240,2.363280,2.381600,2.122437,1445414
2019-10-09,2.372440,2.418240,2.372440,2.381600,2.122437,2377729
2019-10-10,2.436560,2.436560,2.363280,2.390760,2.130600,1150654
2019-10-11,2.418240,2.436560,2.399920,2.427400,2.163254,4694322
2019-10-14,2.445720,2.464040,2.427400,2.427400,2.163254,2240174
2019-10-15,2.418240,2.436560,2.390760,2.409080,2.146927,2093886
2019-10-16,2.427400,2.464040,2.390760,2.409080,2.146927,5204044
2019-10-17,2.418240,2.445720,2.409080,2.436560,2.171417,1663755
2019-10-18,2.427400,2.427400,2.344960,2.344960,2.089784,7031410
2019-10-21,2.344960,2.418240,2.344960,2.399920,2.138764,4779475
2019-10-22,2.427400,2.436560,2.399920,2.436560,2.171417,3853711
2019-10-23,2.454880,2.454880,2.399920,2.418240,2.155090,2524017
2019-10-24,2.427400,2.436560,2.409080,2.436560,2.171417,1978165
2019-10-25,2.427400,2.454880,2.418240,2.427400,2.163254,2048034
2019-10-28,2.427400,2.445720,2.409080,2.427400,2.163254,1135371
2019-10-29,2.436560,2.436560,2.372440,2.399920,2.138764,3403929
2019-10-30,2.409080,2.418240,2.381600,2.399920,2.138764,5010916
2019-10-31,2.409080,2.418240,2.390760,2.418240,2.155090,1524017
2019-11-01,2.418240,2.445720,2.409080,2.445720,2.179580,3299126
2019-11-04,2.464040,2.500680,2.464040,2.482360,2.212233,3842794
2019-11-05,2.482360,2.509840,2.473200,2.491520,2.220396,3109170
2019-11-06,2.482360,2.509840,2.464040,2.491520,2.220396,3393012
2019-11-07,2.491520,2.509840,2.454880,2.491520,2.220396,8368995
2019-11-08,2.519000,2.519000,2.482360,2.500680,2.228559,4362445
2019-11-11,2.491520,2.491520,2.409080,2.418240,2.155090,5331877
2019-11-12,2.427400,2.436560,2.409080,2.409080,2.146927,1971615
2019-11-13,2.418240,2.418240,2.381600,2.381600,2.122437,2633187
2019-11-14,2.363280,2.390760,2.354120,2.363280,2.106111,2390829
2019-11-15,2.418240,2.445720,2.354120,2.372440,2.114274,1890829
2019-11-18,2.390760,2.409080,2.381600,2.399920,2.138764,921397
2019-11-19,2.390760,2.436560,2.372440,2.436560,2.171417,9336244
2019-11-20,2.445720,2.454880,2.409080,2.409080,2.146927,1722707
2019-11-21,2.390760,2.418240,2.381600,2.409080,2.146927,2316593
2019-11-22,2.409080,2.418240,2.381600,2.409080,2.146927,3628820
2019-11-25,2.427400,2.464040,2.418240,2.436560,2.171417,1471615
2019-11-26,2.454880,2.464040,2.418240,2.436560,2.171417,1864628
2019-11-27,2.418240,2.436560,2.409080,2.436560,2.171417,2650654
2019-11-28,2.445720,2.445720,2.418240,2.427400,2.163254,1161571
2019-11-29,2.436560,2.436560,2.390760,2.427400,2.163254,2829694
2019-12-02,2.445720,2.464040,2.427400,2.454880,2.187743,2716266
2019-12-03,2.427400,2.454880,2.427400,2.454880,2.187743,329694
2019-12-04,2.427400,2.454880,2.390760,2.427400,2.163254,1131004
2019-12-05,2.427400,2.427400,2.390760,2.427400,2.163254,1039301
2019-12-06,2.427400,2.436560,2.409080,2.418240,2.155090,764192
2019-12-09,2.427400,2.546480,2.427400,2.537320,2.261212,5043667
2019-12-10,2.418240,2.445720,2.207560,2.235040,1.991826,18353710
2019-12-11,2.262520,2.262520,2.207560,2.225880,1.983662,8048034
2019-12-12,2.225880,2.244200,2.207560,2.216720,1.975500,9013099
2019-12-13,2.225880,2.253360,2.216720,2.244200,1.999989,7013100
2019-12-16,2.244200,2.308320,2.235040,2.290000,2.040805,9179038
2019-12-17,2.290000,2.430000,2.290000,2.430000,2.165570,5985606
2019-12-18,2.420000,2.430000,2.370000,2.420000,2.156659,2316000
2019-12-19,2.420000,2.430000,2.350000,2.380000,2.121011,3136000
2019-12-20,2.360000,2.380000,2.310000,2.310000,2.058629,6910000
2019-12-23,2.330000,2.340000,2.300000,2.310000,2.058629,2066000
2019-12-24,2.330000,2.330000,2.280000,2.310000,2.058629,2744000
2019-12-27,2.310000,2.320000,2.280000,2.290000,2.040805,7749678
2019-12-30,2.250000,2.270000,2.190000,2.200000,1.960599,17364000
2019-12-31,2.210000,2.210000,2.160000,2.190000,1.951687,9632000
