Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.730000,2.790000,2.680000,2.720000,2.720000,290000
2019-08-06,2.650000,2.650000,2.610000,2.640000,2.640000,257000
2019-08-07,2.600000,2.670000,2.600000,2.630000,2.630000,36000
2019-08-08,2.610000,2.610000,2.600000,2.600000,2.600000,93000
2019-08-09,2.600000,2.600000,2.530000,2.530000,2.530000,732000
2019-08-12,2.520000,2.550000,2.520000,2.530000,2.530000,52000
2019-08-13,2.510000,2.510000,2.430000,2.450000,2.450000,128000
2019-08-14,2.500000,2.500000,2.430000,2.430000,2.430000,135000
2019-08-15,2.400000,2.440000,2.390000,2.420000,2.420000,136000
2019-08-16,2.410000,2.450000,2.400000,2.430000,2.430000,66000
2019-08-19,2.450000,2.550000,2.450000,2.480000,2.480000,77000
2019-08-20,2.480000,2.640000,2.470000,2.480000,2.480000,817000
2019-08-21,2.500000,2.580000,2.470000,2.480000,2.480000,124500
2019-08-22,2.550000,2.550000,2.480000,2.480000,2.480000,253000
2019-08-23,2.530000,2.550000,2.480000,2.490000,2.490000,172000
2019-08-26,2.500000,2.500000,2.400000,2.460000,2.460000,317000
2019-08-27,2.460000,2.460000,2.410000,2.440000,2.440000,53000
2019-08-28,2.490000,2.630000,2.490000,2.530000,2.530000,303000
2019-08-29,2.570000,2.580000,2.500000,2.500000,2.500000,291000
2019-08-30,2.470000,2.500000,2.470000,2.500000,2.500000,8000
2019-09-02,2.500000,2.500000,2.450000,2.450000,2.450000,75025
2019-09-03,2.400000,2.490000,2.400000,2.440000,2.440000,81000
2019-09-04,2.440000,2.520000,2.440000,2.470000,2.470000,96000
2019-09-05,2.550000,2.550000,2.460000,2.490000,2.490000,155500
2019-09-06,2.540000,2.550000,2.480000,2.500000,2.500000,244000
2019-09-09,2.570000,2.600000,2.520000,2.530000,2.530000,402500
2019-09-10,2.550000,2.570000,2.530000,2.550000,2.550000,206000
2019-09-11,2.550000,2.580000,2.540000,2.580000,2.580000,181000
2019-09-12,2.550000,2.580000,2.550000,2.570000,2.570000,200000
2019-09-13,2.570000,2.600000,2.570000,2.600000,2.600000,23000
2019-09-16,2.610000,2.620000,2.560000,2.620000,2.620000,352000
2019-09-17,2.620000,2.620000,2.560000,2.620000,2.620000,688000
2019-09-18,2.630000,2.700000,2.630000,2.680000,2.680000,325000
2019-09-19,2.700000,2.720000,2.660000,2.710000,2.710000,549000
2019-09-20,2.700000,2.720000,2.690000,2.720000,2.720000,476000
2019-09-23,2.720000,2.780000,2.720000,2.730000,2.730000,401000
2019-09-24,2.750000,2.780000,2.710000,2.730000,2.730000,285000
2019-09-25,2.720000,2.750000,2.700000,2.740000,2.740000,150000
2019-09-26,2.720000,2.750000,2.700000,2.720000,2.720000,118000
2019-09-27,2.720000,2.750000,2.700000,2.720000,2.720000,184000
2019-09-30,2.720000,2.750000,2.720000,2.730000,2.730000,44000
2019-10-02,2.720000,2.780000,2.720000,2.780000,2.780000,36000
2019-10-03,2.720000,2.770000,2.700000,2.720000,2.720000,191000
2019-10-04,2.780000,2.790000,2.720000,2.750000,2.750000,342000
2019-10-08,2.750000,2.750000,2.730000,2.740000,2.740000,51000
2019-10-09,2.720000,2.750000,2.720000,2.730000,2.730000,39000
2019-10-10,2.750000,2.750000,2.730000,2.730000,2.730000,59000
2019-10-11,2.750000,2.790000,2.750000,2.750000,2.750000,68000
2019-10-14,2.770000,2.840000,2.700000,2.780000,2.780000,104000
2019-10-15,2.800000,2.810000,2.780000,2.780000,2.780000,48000
2019-10-16,2.780000,2.860000,2.780000,2.850000,2.850000,84000
2019-10-17,2.860000,2.870000,2.850000,2.870000,2.870000,67000
2019-10-18,2.870000,2.870000,2.840000,2.850000,2.850000,231000
2019-10-21,2.870000,2.910000,2.820000,2.900000,2.900000,613000
2019-10-22,2.890000,2.910000,2.890000,2.900000,2.900000,112000
2019-10-23,2.860000,2.880000,2.850000,2.850000,2.850000,128000
2019-10-24,2.860000,2.880000,2.860000,2.880000,2.880000,57000
2019-10-25,2.930000,2.930000,2.880000,2.880000,2.880000,24000
2019-10-28,2.850000,2.960000,2.830000,2.930000,2.930000,391000
2019-10-29,2.930000,2.930000,2.890000,2.930000,2.930000,23000
2019-10-30,2.900000,2.900000,2.900000,2.900000,2.900000,79000
2019-10-31,2.940000,3.000000,2.940000,2.980000,2.980000,362000
2019-11-01,2.980000,2.990000,2.980000,2.990000,2.990000,141000
2019-11-04,3.030000,3.030000,2.940000,2.980000,2.980000,336000
2019-11-05,2.980000,2.990000,2.980000,2.980000,2.980000,41000
2019-11-06,2.990000,3.040000,2.950000,2.990000,2.990000,115000
2019-11-07,2.980000,3.030000,2.970000,3.000000,3.000000,177000
2019-11-08,3.000000,3.000000,2.950000,3.000000,3.000000,183000
2019-11-11,3.000000,3.000000,2.980000,2.980000,2.980000,21000
2019-11-12,3.000000,3.000000,2.980000,2.990000,2.990000,92000
2019-11-13,2.900000,2.920000,2.900000,2.910000,2.910000,48500
2019-11-14,2.900000,2.990000,2.900000,2.910000,2.910000,208000
2019-11-15,2.910000,2.940000,2.910000,2.940000,2.940000,12000
2019-11-18,2.930000,2.960000,2.930000,2.950000,2.950000,12000
2019-11-19,2.980000,3.000000,2.940000,2.940000,2.940000,245000
2019-11-20,2.900000,2.980000,2.900000,2.970000,2.970000,30500
2019-11-21,2.910000,2.970000,2.910000,2.960000,2.960000,14000
2019-11-22,2.910000,2.910000,2.910000,2.910000,2.910000,0
2019-11-25,2.910000,2.950000,2.900000,2.940000,2.940000,108000
2019-11-26,2.940000,2.940000,2.940000,2.940000,2.940000,10000
2019-11-27,2.910000,2.900000,2.900000,2.900000,2.900000,63000
2019-11-28,2.900000,2.900000,2.880000,2.890000,2.890000,13500
2019-11-29,2.850000,2.890000,2.800000,2.880000,2.880000,28000
2019-12-02,2.800000,2.800000,2.790000,2.790000,2.790000,25000
2019-12-03,2.790000,2.820000,2.710000,2.800000,2.800000,128000
2019-12-04,2.740000,2.780000,2.710000,2.720000,2.720000,14010
2019-12-05,2.720000,2.740000,2.690000,2.690000,2.690000,104000
2019-12-06,2.690000,2.700000,2.630000,2.680000,2.680000,97000
2019-12-09,2.680000,2.720000,2.630000,2.680000,2.680000,124000
2019-12-10,2.680000,2.720000,2.680000,2.680000,2.680000,16000
2019-12-11,2.680000,2.680000,2.630000,2.650000,2.650000,75000
2019-12-12,2.650000,2.680000,2.650000,2.660000,2.660000,109500
2019-12-13,2.690000,2.850000,2.690000,2.850000,2.850000,192000
2019-12-16,2.850000,2.850000,2.850000,2.850000,2.850000,31000
2019-12-17,2.840000,2.890000,2.840000,2.840000,2.840000,86500
2019-12-18,2.840000,2.840000,2.740000,2.810000,2.810000,29000
2019-12-19,2.800000,2.810000,2.800000,2.810000,2.810000,12000
2019-12-20,2.810000,2.830000,2.810000,2.820000,2.820000,27500
2019-12-23,2.820000,2.890000,2.820000,2.880000,2.880000,17000
2019-12-24,2.800000,2.800000,2.770000,2.780000,2.780000,54000
2019-12-27,2.770000,2.820000,2.770000,2.800000,2.800000,668000
2019-12-30,2.810000,2.820000,2.800000,2.820000,2.820000,334000
2019-12-31,2.800000,2.910000,2.770000,2.780000,2.780000,212000
2020-01-02,2.790000,2.850000,2.790000,2.800000,2.800000,218049
2020-01-03,2.850000,2.900000,2.820000,2.830000,2.830000,236500
2020-01-06,2.800000,2.820000,2.740000,2.790000,2.790000,320500
2020-01-07,2.810000,2.900000,2.790000,2.810000,2.810000,82000
2020-01-08,2.850000,2.930000,2.810000,2.890000,2.890000,151500
2020-01-09,2.890000,2.940000,2.840000,2.940000,2.940000,123000
