Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.360000,5.370000,5.110000,5.140000,4.841163,3254000
2019-08-06,5.060000,5.060000,4.630000,4.900000,4.615116,10804000
2019-08-07,5.040000,5.260000,5.000000,5.200000,4.897674,2992000
2019-08-08,5.210000,5.280000,5.080000,5.220000,4.916511,1684000
2019-08-09,5.250000,5.310000,5.100000,5.180000,4.878837,1770000
2019-08-12,5.190000,5.250000,5.130000,5.180000,4.878837,934000
2019-08-13,5.120000,5.190000,5.030000,5.060000,4.765814,1490000
2019-08-14,5.170000,5.210000,5.050000,5.100000,4.803488,1539414
2019-08-15,5.050000,5.050000,4.910000,5.000000,4.709302,1458000
2019-08-16,5.030000,5.080000,4.920000,5.030000,4.737558,1252000
2019-08-19,5.050000,5.180000,5.020000,5.100000,4.803488,2480000
2019-08-20,5.120000,5.140000,4.940000,5.000000,4.709302,1564000
2019-08-21,4.960000,4.970000,4.830000,4.930000,4.643372,1904000
2019-08-22,4.880000,4.970000,4.780000,4.830000,4.549186,4676000
2019-08-23,5.100000,5.340000,4.810000,4.860000,4.577442,9474000
2019-08-26,4.650000,4.690000,4.180000,4.460000,4.200697,12720500
2019-08-27,4.490000,4.620000,4.430000,4.470000,4.210116,3285672
2019-08-28,4.500000,4.630000,4.410000,4.450000,4.191279,2325414
2019-08-29,4.460000,4.460000,4.330000,4.420000,4.163023,2764052
2019-08-30,4.420000,4.720000,4.420000,4.530000,4.266628,4614000
2019-09-02,4.480000,4.580000,4.420000,4.550000,4.285465,1226421
2019-09-03,4.540000,4.650000,4.420000,4.440000,4.181860,1264000
2019-09-04,4.460000,4.690000,4.460000,4.620000,4.351395,3642182
2019-09-05,4.740000,5.060000,4.670000,4.750000,4.473837,6264000
2019-09-06,4.860000,4.880000,4.770000,4.820000,4.539767,1689000
2019-09-09,4.900000,4.920000,4.780000,4.860000,4.577442,2658000
2019-09-10,4.920000,5.080000,4.880000,4.990000,4.699883,3489434
2019-09-11,5.000000,5.050000,4.930000,4.980000,4.690465,1219000
2019-09-12,5.050000,5.080000,4.890000,4.940000,4.652791,1415790
2019-09-13,5.010000,5.040000,4.950000,5.000000,4.709302,1119000
2019-09-16,5.040000,5.110000,4.940000,5.040000,4.746976,1614000
2019-09-17,5.000000,5.000000,4.870000,4.890000,4.605698,1304000
2019-09-18,4.980000,4.980000,4.860000,4.940000,4.652791,1318000
2019-09-19,5.030000,5.030000,4.850000,4.890000,4.605698,1202000
2019-09-20,4.910000,4.940000,4.850000,4.880000,4.596279,1446890
2019-09-23,4.900000,4.930000,4.770000,4.840000,4.558605,789000
2019-09-24,4.820000,4.820000,4.630000,4.650000,4.379651,1774080
2019-09-25,4.600000,4.660000,4.500000,4.550000,4.285465,1950562
2019-09-26,4.590000,4.730000,4.480000,4.550000,4.285465,1630000
2019-09-27,4.540000,4.530000,4.430000,4.480000,4.219535,831564
2019-09-30,4.460000,4.540000,4.390000,4.510000,4.247791,1019579
2019-10-02,4.510000,4.670000,4.400000,4.470000,4.210116,628000
2019-10-03,4.360000,4.470000,4.340000,4.440000,4.181860,990000
2019-10-04,4.460000,4.480000,4.390000,4.390000,4.134767,804000
2019-10-08,4.440000,4.620000,4.380000,4.440000,4.181860,1898666
2019-10-09,4.460000,4.460000,4.280000,4.330000,4.078256,2016000
2019-10-10,4.340000,4.390000,4.280000,4.360000,4.106512,1742420
2019-10-11,4.450000,4.610000,4.450000,4.610000,4.341977,2688106
2019-10-14,4.610000,4.750000,4.550000,4.610000,4.341977,2716000
2019-10-15,4.580000,4.610000,4.440000,4.590000,4.323140,2052000
2019-10-16,4.550000,4.560000,4.470000,4.470000,4.210116,1626226
2019-10-17,4.520000,4.570000,4.430000,4.530000,4.266628,3306000
2019-10-18,4.530000,4.620000,4.480000,4.540000,4.276046,3578000
2019-10-21,4.510000,4.580000,4.410000,4.480000,4.219535,3008000
