Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.680000,4.720000,4.540000,4.560000,4.365743,2173200
2019-08-06,4.520000,4.580000,4.440000,4.530000,4.337021,2680000
2019-08-07,4.530000,4.550000,4.410000,4.550000,4.356169,1955600
2019-08-08,4.600000,4.670000,4.570000,4.630000,4.432761,1158400
2019-08-09,4.630000,4.680000,4.570000,4.570000,4.375317,1184400
2019-08-12,4.580000,4.700000,4.580000,4.660000,4.461483,945200
2019-08-13,4.580000,4.600000,4.540000,4.560000,4.365743,1576800
2019-08-14,4.630000,4.650000,4.560000,4.600000,4.404038,1539600
2019-08-15,4.480000,4.680000,4.480000,4.650000,4.451909,692522
2019-08-16,4.600000,4.720000,4.600000,4.690000,4.490205,1248800
2019-08-19,4.750000,4.910000,4.710000,4.880000,4.672111,2698800
2019-08-20,4.850000,4.910000,4.850000,4.870000,4.662537,3822282
2019-08-21,4.860000,4.920000,4.840000,4.910000,4.700832,3258400
2019-08-22,4.900000,4.930000,4.870000,4.880000,4.672111,2442400
2019-08-23,4.900000,4.910000,4.800000,4.880000,4.672111,3084800
2019-08-26,4.800000,4.800000,4.700000,4.790000,4.585945,1195600
2019-08-27,4.820000,4.900000,4.790000,4.860000,4.652963,1826496
2019-08-28,4.870000,4.900000,4.840000,4.860000,4.652963,1722800
2019-08-29,4.860000,4.860000,4.760000,4.800000,4.595519,1828400
2019-08-30,4.860000,4.920000,4.750000,4.820000,4.614667,2580000
2019-09-02,4.840000,4.930000,4.840000,4.890000,4.681684,2262000
2019-09-03,4.850000,4.900000,4.780000,4.780000,4.576371,1668000
2019-09-04,4.760000,4.970000,4.690000,4.910000,4.700832,4674800
2019-09-05,4.940000,5.090000,4.890000,4.960000,4.748703,8390400
2019-09-06,5.000000,5.080000,4.980000,5.050000,4.834869,5224800
2019-09-09,5.100000,5.130000,4.940000,5.020000,4.806147,6962800
2019-09-10,5.040000,5.100000,4.970000,5.070000,4.854017,2707200
2019-09-11,5.120000,5.230000,5.090000,5.210000,4.988053,2676400
2019-09-12,5.250000,5.250000,5.160000,5.200000,4.978478,761600
2019-09-13,5.240000,5.360000,5.220000,5.360000,5.131663,974400
2019-09-16,5.300000,5.330000,5.190000,5.290000,5.064644,2809600
2019-09-17,5.300000,5.300000,5.020000,5.030000,4.815721,3666800
2019-09-18,5.090000,5.090000,4.990000,5.010000,4.796573,1930000
2019-09-19,5.010000,5.020000,4.810000,4.890000,4.681684,4018000
2019-09-20,4.920000,4.970000,4.860000,4.970000,4.758276,4105600
2019-09-23,4.920000,4.920000,4.850000,4.850000,4.643389,954000
2019-09-24,4.870000,4.890000,4.820000,4.820000,4.614667,1461200
2019-09-25,4.810000,4.810000,4.690000,4.730000,4.528501,2400800
2019-09-26,4.740000,4.750000,4.670000,4.690000,4.490205,1323600
2019-09-27,4.640000,4.730000,4.640000,4.710000,4.509353,313004
2019-09-30,4.700000,4.720000,4.620000,4.660000,4.461483,448800
