Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.174000,0.174000,0.173000,0.174000,0.174000,40000
2019-08-06,0.173000,0.173000,0.170000,0.170000,0.170000,220000
2019-08-07,0.171000,0.171000,0.146000,0.170000,0.170000,855000
2019-08-08,0.178000,0.204000,0.172000,0.172000,0.172000,365000
2019-08-09,0.172000,0.180000,0.165000,0.180000,0.180000,775000
2019-08-12,0.181000,0.190000,0.179000,0.190000,0.190000,340000
2019-08-13,0.180000,0.180000,0.175000,0.180000,0.180000,230000
2019-08-14,0.185000,0.185000,0.182000,0.180000,0.180000,60000
2019-08-15,0.175000,0.197000,0.165000,0.195000,0.195000,920000
2019-08-16,0.194000,0.194000,0.190000,0.194000,0.194000,165000
2019-08-19,0.195000,0.197000,0.187000,0.195000,0.195000,1245000
2019-08-20,0.186000,0.193000,0.186000,0.193000,0.193000,55000
2019-08-21,0.195000,0.197000,0.190000,0.197000,0.197000,115000
2019-08-22,0.190000,0.195000,0.186000,0.188000,0.188000,480000
2019-08-23,0.185000,0.188000,0.185000,0.188000,0.188000,70000
2019-08-26,0.182000,0.182000,0.177000,0.182000,0.182000,95000
2019-08-27,0.182000,0.182000,0.180000,0.180000,0.180000,65000
2019-08-28,0.180000,0.180000,0.166000,0.177000,0.177000,305000
2019-08-29,0.175000,0.195000,0.166000,0.191000,0.191000,3710000
2019-08-30,0.188000,0.188000,0.185000,0.185000,0.185000,215000
2019-09-02,0.184000,0.184000,0.178000,0.181000,0.181000,125000
2019-09-03,0.183000,0.187000,0.181000,0.182000,0.182000,1850000
2019-09-04,0.186000,0.195000,0.179000,0.193000,0.193000,525000
2019-09-05,0.188000,0.190000,0.187000,0.190000,0.190000,150000
2019-09-06,0.195000,0.195000,0.185000,0.190000,0.190000,170000
2019-09-09,0.185000,0.195000,0.181000,0.190000,0.190000,65000
2019-09-10,0.185000,0.188000,0.181000,0.188000,0.188000,355000
2019-09-11,0.182000,0.188000,0.180000,0.188000,0.188000,440000
2019-09-12,0.185000,0.185000,0.180000,0.185000,0.185000,240000
2019-09-13,0.180000,0.184000,0.180000,0.184000,0.184000,25000
2019-09-16,0.181000,0.183000,0.175000,0.182000,0.182000,820000
2019-09-17,0.180000,0.182000,0.178000,0.182000,0.182000,60000
2019-09-18,0.181000,0.201000,0.180000,0.197000,0.197000,1400000
2019-09-19,0.190000,0.192000,0.182000,0.189000,0.189000,1320000
2019-09-20,0.185000,0.190000,0.177000,0.190000,0.190000,610000
2019-09-23,0.184000,0.184000,0.181000,0.181000,0.181000,145000
2019-09-24,0.181000,0.183000,0.179000,0.182000,0.182000,285000
2019-09-25,0.180000,0.180000,0.180000,0.180000,0.180000,0
2019-09-26,0.175000,0.180000,0.174000,0.179000,0.179000,215000
2019-09-27,0.179000,0.179000,0.179000,0.179000,0.179000,0
2019-09-30,0.176000,0.181000,0.174000,0.180000,0.180000,1075000
2019-10-02,0.175000,0.180000,0.175000,0.180000,0.180000,25000
2019-10-03,0.176000,0.180000,0.176000,0.180000,0.180000,45000
2019-10-04,0.180000,0.180000,0.180000,0.180000,0.180000,0
2019-10-08,0.180000,0.180000,0.180000,0.180000,0.180000,0
2019-10-09,0.175000,0.175000,0.172000,0.172000,0.172000,305000
2019-10-10,0.172000,0.172000,0.172000,0.172000,0.172000,10000
2019-10-11,0.172000,0.173000,0.171000,0.173000,0.173000,115000
2019-10-14,0.172000,0.173000,0.172000,0.172000,0.172000,220000
2019-10-15,0.173000,0.173000,0.173000,0.173000,0.173000,0
2019-10-16,0.179000,0.186000,0.179000,0.181000,0.181000,855000
2019-10-17,0.186000,0.186000,0.184000,0.184000,0.184000,315000
2019-10-18,0.178000,0.185000,0.174000,0.184000,0.184000,1280000
2019-10-21,0.175000,0.180000,0.174000,0.175000,0.175000,2055000
2019-10-22,0.171000,0.177000,0.170000,0.177000,0.177000,580000
2019-10-23,0.177000,0.177000,0.160000,0.170000,0.170000,70000
2019-10-24,0.163000,0.176000,0.162000,0.176000,0.176000,85000
2019-10-25,0.176000,0.176000,0.176000,0.176000,0.176000,0
2019-10-28,0.170000,0.170000,0.170000,0.170000,0.170000,80000
2019-10-29,0.170000,0.170000,0.164000,0.170000,0.170000,45000
2019-10-30,0.164000,0.170000,0.163000,0.170000,0.170000,210000
2019-10-31,0.170000,0.170000,0.170000,0.169000,0.169000,20000
2019-11-01,0.165000,0.165000,0.165000,0.166000,0.166000,10000
2019-11-04,0.173000,0.195000,0.168000,0.182000,0.182000,3285000
2019-11-05,0.185000,0.191000,0.166000,0.188000,0.188000,2925000
2019-11-06,0.180000,0.184000,0.171000,0.180000,0.180000,2765000
2019-11-07,0.173000,0.178000,0.172000,0.178000,0.178000,320000
2019-11-08,0.178000,0.190000,0.173000,0.190000,0.190000,1545000
2019-11-11,0.183000,0.200000,0.183000,0.195000,0.195000,1155000
2019-11-12,0.196000,0.211000,0.196000,0.208000,0.208000,1315000
2019-11-13,0.208000,0.210000,0.196000,0.202000,0.202000,565000
2019-11-14,0.205000,0.212000,0.197000,0.204000,0.204000,300000
2019-11-15,0.204000,0.204000,0.197000,0.203000,0.203000,80000
2019-11-18,0.205000,0.209000,0.199000,0.207000,0.207000,320000
2019-11-19,0.219000,0.219000,0.200000,0.207000,0.207000,155000
2019-11-20,0.210000,0.210000,0.196000,0.204000,0.204000,460000
2019-11-21,0.204000,0.204000,0.195000,0.202000,0.202000,675000
2019-11-22,0.205000,0.205000,0.192000,0.203000,0.203000,1080000
2019-11-25,0.203000,0.210000,0.198000,0.205000,0.205000,495000
2019-11-26,0.205000,0.205000,0.199000,0.203000,0.203000,155000
2019-11-27,0.215000,0.215000,0.199000,0.205000,0.205000,335000
2019-11-28,0.208000,0.208000,0.190000,0.201000,0.201000,755000
2019-11-29,0.208000,0.208000,0.196000,0.200000,0.200000,55000
2019-12-02,0.213000,0.213000,0.200000,0.200000,0.200000,205000
2019-12-03,0.203000,0.203000,0.194000,0.200000,0.200000,60000
2019-12-04,0.200000,0.208000,0.191000,0.198000,0.198000,215000
2019-12-05,0.197000,0.197000,0.197000,0.197000,0.197000,0
2019-12-06,0.202000,0.202000,0.200000,0.199000,0.199000,505000
2019-12-09,0.192000,0.202000,0.190000,0.202000,0.202000,895000
2019-12-10,0.198000,0.198000,0.185000,0.195000,0.195000,285000
2019-12-11,0.195000,0.197000,0.187000,0.194000,0.194000,560000
2019-12-12,0.197000,0.197000,0.187000,0.193000,0.193000,30000
2019-12-13,0.192000,0.193000,0.190000,0.193000,0.193000,65000
2019-12-16,0.192000,0.192000,0.192000,0.192000,0.192000,0
2019-12-17,0.192000,0.192000,0.192000,0.192000,0.192000,0
2019-12-18,0.190000,0.190000,0.190000,0.190000,0.190000,0
2019-12-19,0.195000,0.198000,0.172000,0.190000,0.190000,560000
2019-12-20,0.201000,0.201000,0.193000,0.193000,0.193000,15000
2019-12-23,0.203000,0.204000,0.186000,0.201000,0.201000,155000
2019-12-24,0.207000,0.207000,0.187000,0.198000,0.198000,240000
2019-12-27,0.198000,0.203000,0.188000,0.197000,0.197000,340000
2019-12-30,0.197000,0.197000,0.186000,0.192000,0.192000,755000
2019-12-31,0.197000,0.197000,0.190000,0.196000,0.196000,875000
2020-01-02,0.190000,0.190000,0.187000,0.189000,0.189000,1040000
2020-01-03,0.188000,0.188000,0.188000,0.188000,0.188000,0
2020-01-06,0.194000,0.194000,0.177000,0.185000,0.185000,155000
2020-01-07,0.187000,0.193000,0.178000,0.188000,0.188000,540000
2020-01-08,0.193000,0.193000,0.180000,0.185000,0.185000,105000
2020-01-09,0.186000,0.186000,0.180000,0.186000,0.186000,135000
2020-01-10,0.180000,0.180000,0.180000,0.180000,0.180000,5000
2020-01-13,0.184000,0.199000,0.178000,0.195000,0.195000,1875000
2020-01-14,0.200000,0.200000,0.184000,0.195000,0.195000,1245000
2020-01-15,0.194000,0.194000,0.194000,0.194000,0.194000,0
2020-01-16,0.186000,0.192000,0.185000,0.192000,0.192000,140000
2020-01-17,0.192000,0.192000,0.192000,0.192000,0.192000,0
2020-01-20,0.189000,0.189000,0.189000,0.189000,0.189000,500000
2020-01-21,0.192000,0.192000,0.189000,0.192000,0.192000,80000
2020-01-22,0.197000,0.199000,0.185000,0.192000,0.192000,760000
2020-01-23,0.186000,0.186000,0.184000,0.185000,0.185000,355000
2020-01-24,0.180000,0.200000,0.163000,0.187000,0.187000,985000
2020-01-29,0.181000,0.185000,0.166000,0.172000,0.172000,2370000
2020-01-30,0.180000,0.180000,0.135000,0.150000,0.150000,4940000
2020-01-31,0.150000,0.155000,0.143000,0.143000,0.143000,3630000
2020-02-03,0.141000,0.141000,0.135000,0.135000,0.135000,1580000
2020-02-04,0.138000,0.141000,0.136000,0.141000,0.141000,735000
2020-02-05,0.144000,0.148000,0.138000,0.147000,0.147000,5210000
2020-02-06,0.150000,0.154000,0.146000,0.146000,0.146000,175000
2020-02-07,0.141000,0.152000,0.140000,0.146000,0.146000,575000
2020-02-10,0.144000,0.144000,0.142000,0.143000,0.143000,210000
2020-02-11,0.144000,0.150000,0.138000,0.145000,0.145000,2060000
2020-02-12,0.145000,0.148000,0.143000,0.148000,0.148000,370000
2020-02-13,0.146000,0.165000,0.146000,0.158000,0.158000,60000
2020-02-14,0.152000,0.159000,0.152000,0.155000,0.155000,185000
2020-02-17,0.146000,0.146000,0.145000,0.145000,0.145000,30000
2020-02-18,0.149000,0.149000,0.138000,0.140000,0.140000,1240000
2020-02-19,0.139000,0.139000,0.139000,0.139000,0.139000,200000
2020-02-20,0.138000,0.138000,0.138000,0.140000,0.140000,200000
2020-02-21,0.140000,0.143000,0.140000,0.140000,0.140000,220000
2020-02-24,0.136000,0.139000,0.136000,0.137000,0.137000,335000
2020-02-25,0.135000,0.137000,0.135000,0.136000,0.136000,245000
2020-02-26,0.141000,0.141000,0.141000,0.141000,0.141000,35000
2020-02-27,0.140000,0.140000,0.135000,0.135000,0.135000,400000
2020-02-28,0.131000,0.142000,0.131000,0.135000,0.135000,2410000
2020-03-02,0.138000,0.145000,0.138000,0.141000,0.141000,205000
2020-03-03,0.138000,0.140000,0.138000,0.140000,0.140000,295000
2020-03-04,0.141000,0.141000,0.138000,0.138000,0.138000,170000
2020-03-05,0.136000,0.137000,0.129000,0.137000,0.137000,870000
2020-03-06,0.135000,0.136000,0.135000,0.135000,0.135000,140000
2020-03-09,0.135000,0.135000,0.135000,0.135000,0.135000,0
2020-03-10,0.135000,0.135000,0.135000,0.135000,0.135000,0
2020-03-11,0.134000,0.140000,0.134000,0.135000,0.135000,1155000
2020-03-12,0.131000,0.134000,0.131000,0.131000,0.131000,1435000
2020-03-13,0.130000,0.131000,0.129000,0.130000,0.130000,1130000
2020-03-16,0.130000,0.131000,0.129000,0.131000,0.131000,1205000
2020-03-17,0.129000,0.131000,0.129000,0.130000,0.130000,1270000
2020-03-18,0.129000,0.135000,0.128000,0.128000,0.128000,780000
2020-03-19,0.127000,0.130000,0.120000,0.133000,0.133000,1285000
2020-03-20,0.130000,0.133000,0.129000,0.133000,0.133000,900000
2020-03-23,0.130000,0.135000,0.129000,0.129000,0.129000,935000
2020-03-24,0.130000,0.131000,0.128000,0.129000,0.129000,1085000
2020-03-25,0.130000,0.137000,0.127000,0.131000,0.131000,900000
