Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.440000,3.440000,3.350000,3.360000,3.117351,8897000
2019-08-06,3.350000,3.350000,3.250000,3.290000,3.052406,8827500
2019-08-07,3.310000,3.320000,3.270000,3.290000,3.052406,3162000
2019-08-08,3.320000,3.330000,3.290000,3.300000,3.061684,5488592
2019-08-09,3.320000,3.330000,3.280000,3.290000,3.052406,2993000
2019-08-12,3.330000,3.330000,3.300000,3.310000,3.070961,1851000
2019-08-13,3.320000,3.320000,3.230000,3.240000,3.006017,5726314
2019-08-14,3.250000,3.310000,3.250000,3.270000,3.033850,4917542
2019-08-15,3.230000,3.280000,3.210000,3.250000,3.015295,3394941
2019-08-16,3.250000,3.310000,3.210000,3.230000,2.996739,6562711
2019-08-19,3.230000,3.290000,3.230000,3.280000,3.043128,2893000
2019-08-20,3.280000,3.290000,3.240000,3.250000,3.015295,2776548
2019-08-21,3.280000,3.280000,3.210000,3.230000,2.996739,3998970
2019-08-22,3.250000,3.250000,3.210000,3.210000,2.978183,2948127
2019-08-23,3.200000,3.220000,3.090000,3.190000,2.959628,4503333
2019-08-26,3.180000,3.180000,3.100000,3.120000,2.894683,5231552
2019-08-27,3.140000,3.210000,3.120000,3.190000,2.959628,11508192
2019-08-28,3.190000,3.210000,3.170000,3.190000,2.959628,2593869
2019-08-29,3.240000,3.320000,3.220000,3.300000,3.061684,6229000
2019-08-30,3.300000,3.310000,3.270000,3.270000,3.033850,3470536
2019-09-02,3.250000,3.300000,3.250000,3.300000,3.061684,2941000
2019-09-03,3.300000,3.310000,3.220000,3.230000,2.996739,4392615
2019-09-04,3.260000,3.350000,3.240000,3.340000,3.098795,5628208
2019-09-05,3.340000,3.400000,3.340000,3.380000,3.135906,5637225
2019-09-06,3.390000,3.420000,3.370000,3.400000,3.154462,3214885
2019-09-09,3.400000,3.460000,3.400000,3.450000,3.200851,5595000
2019-09-10,3.430000,3.450000,3.410000,3.420000,3.173018,1809625
2019-09-11,3.400000,3.540000,3.400000,3.530000,3.275074,4014500
2019-09-12,3.520000,3.570000,3.480000,3.530000,3.275074,4489500
2019-09-13,3.560000,3.620000,3.500000,3.570000,3.312185,2434677
2019-09-16,3.550000,3.550000,3.480000,3.550000,3.293629,5820304
2019-09-17,3.510000,3.530000,3.450000,3.470000,3.219407,3162061
2019-09-18,3.500000,3.500000,3.420000,3.460000,3.210129,7476759
2019-09-19,3.450000,3.460000,3.400000,3.430000,3.182296,2565849
2019-09-20,3.410000,3.420000,3.320000,3.340000,3.098795,17562500
2019-09-23,3.360000,3.360000,3.310000,3.340000,3.098795,4416892
2019-09-24,3.330000,3.350000,3.290000,3.310000,3.070961,5118235
2019-09-25,3.330000,3.370000,3.290000,3.340000,3.098795,6286240
2019-09-26,3.380000,3.420000,3.320000,3.370000,3.126628,12287837
2019-09-27,3.400000,3.400000,3.270000,3.360000,3.117351,9182760
2019-09-30,3.360000,3.400000,3.340000,3.340000,3.098795,5585000
2019-10-02,3.360000,3.450000,3.340000,3.390000,3.145184,2412503
2019-10-03,3.430000,3.430000,3.270000,3.290000,3.052406,3323003
2019-10-04,3.320000,3.320000,3.230000,3.270000,3.033850,3673000
2019-10-08,3.310000,3.420000,3.290000,3.350000,3.108073,12899000
2019-10-09,3.400000,3.470000,3.330000,3.410000,3.163740,13421820
2019-10-10,3.430000,3.450000,3.380000,3.400000,3.154462,7785000
2019-10-11,3.440000,3.510000,3.410000,3.480000,3.228685,12800000
2019-10-14,3.520000,3.740000,3.490000,3.660000,3.395686,33925954
2019-10-15,3.690000,3.700000,3.600000,3.640000,3.377130,9430752
2019-10-16,3.640000,3.710000,3.610000,3.640000,3.377130,7399417
2019-10-17,3.670000,3.700000,3.600000,3.690000,3.423519,6111404
2019-10-18,3.650000,3.700000,3.630000,3.640000,3.377130,8210401
2019-10-21,3.600000,3.720000,3.580000,3.690000,3.423519,8860000
