Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.350000,2.350000,2.250000,2.290000,2.290000,184000
2019-08-06,2.290000,2.370000,2.230000,2.270000,2.270000,1416000
2019-08-07,2.270000,2.290000,2.230000,2.250000,2.250000,172000
2019-08-08,2.250000,2.330000,2.250000,2.280000,2.280000,248000
2019-08-09,2.280000,2.340000,2.200000,2.240000,2.240000,324000
2019-08-12,2.240000,2.280000,2.220000,2.220000,2.220000,204000
2019-08-13,2.220000,2.290000,2.220000,2.220000,2.220000,240000
2019-08-14,2.220000,2.220000,2.160000,2.160000,2.160000,188000
2019-08-15,2.160000,2.250000,2.100000,2.240000,2.240000,364000
2019-08-16,2.240000,2.240000,2.200000,2.200000,2.200000,252000
2019-08-19,2.200000,2.240000,2.190000,2.210000,2.210000,288000
2019-08-20,2.210000,2.210000,2.180000,2.190000,2.190000,196000
2019-08-21,2.190000,2.300000,2.190000,2.260000,2.260000,444000
2019-08-22,2.260000,2.280000,2.190000,2.220000,2.220000,452000
2019-08-23,2.220000,2.240000,2.200000,2.220000,2.220000,472000
2019-08-26,2.220000,2.230000,2.150000,2.210000,2.210000,2948000
2019-08-27,2.210000,2.260000,2.190000,2.220000,2.220000,472000
2019-08-28,2.220000,2.250000,2.180000,2.210000,2.210000,1880000
2019-08-29,2.210000,2.220000,2.140000,2.190000,2.190000,524000
2019-08-30,2.190000,2.200000,2.100000,2.190000,2.190000,1688000
2019-09-02,2.190000,2.190000,2.150000,2.190000,2.190000,464000
2019-09-03,2.190000,2.200000,2.090000,2.200000,2.200000,472000
2019-09-04,2.200000,2.240000,2.120000,2.240000,2.240000,624000
2019-09-05,2.240000,2.270000,2.220000,2.270000,2.270000,852000
2019-09-06,2.270000,2.340000,2.160000,2.220000,2.220000,592000
2019-09-09,2.220000,2.290000,2.220000,2.270000,2.270000,404000
2019-09-10,2.270000,2.300000,2.250000,2.290000,2.290000,412000
2019-09-11,2.290000,2.290000,2.270000,2.270000,2.270000,384000
2019-09-12,2.270000,2.270000,2.230000,2.250000,2.250000,460000
2019-09-13,2.250000,2.320000,2.250000,2.270000,2.270000,488000
2019-09-16,2.270000,2.270000,2.230000,2.250000,2.250000,456000
2019-09-17,2.250000,2.280000,2.220000,2.270000,2.270000,648000
2019-09-18,2.270000,2.270000,2.230000,2.230000,2.230000,468000
2019-09-19,2.230000,2.270000,2.190000,2.220000,2.220000,456000
2019-09-20,2.220000,2.250000,2.190000,2.230000,2.230000,472000
2019-09-23,2.230000,2.270000,2.200000,2.270000,2.270000,460000
2019-09-24,2.270000,2.270000,2.240000,2.270000,2.270000,572000
2019-09-25,2.270000,2.300000,2.210000,2.210000,2.210000,460000
2019-09-26,2.210000,2.240000,2.200000,2.230000,2.230000,360000
2019-09-27,2.230000,2.250000,2.140000,2.160000,2.160000,464000
2019-09-30,2.160000,2.230000,2.160000,2.230000,2.230000,1956000
2019-10-02,2.230000,2.290000,2.230000,2.270000,2.270000,444000
2019-10-03,2.270000,2.290000,2.240000,2.290000,2.290000,460000
2019-10-04,2.290000,2.310000,2.260000,2.260000,2.260000,444000
2019-10-08,2.260000,2.300000,2.240000,2.270000,2.270000,464000
2019-10-09,2.270000,2.270000,2.250000,2.250000,2.250000,452000
2019-10-10,2.250000,2.250000,2.190000,2.240000,2.240000,460000
2019-10-11,2.240000,2.240000,2.160000,2.210000,2.210000,460000
2019-10-14,2.210000,2.210000,2.150000,2.150000,2.150000,380000
2019-10-15,2.150000,2.150000,2.110000,2.150000,2.150000,932000
2019-10-16,2.150000,2.200000,2.150000,2.180000,2.180000,472000
2019-10-17,2.180000,2.200000,2.140000,2.180000,2.180000,452000
2019-10-18,2.180000,2.190000,2.160000,2.190000,2.190000,476000
2019-10-21,2.190000,2.290000,2.080000,2.280000,2.280000,480000
2019-10-22,2.280000,2.290000,2.250000,2.270000,2.270000,452000
2019-10-23,2.270000,2.290000,2.250000,2.280000,2.280000,2052000
2019-10-24,2.280000,2.290000,2.230000,2.230000,2.230000,460000
2019-10-25,2.230000,2.240000,2.120000,2.210000,2.210000,540000
2019-10-28,2.210000,2.280000,2.180000,2.260000,2.260000,720000
2019-10-29,2.260000,2.260000,2.230000,2.230000,2.230000,476000
2019-10-30,2.230000,2.230000,2.190000,2.210000,2.210000,588000
2019-10-31,2.210000,2.240000,2.150000,2.240000,2.240000,504000
2019-11-01,2.240000,2.260000,2.210000,2.210000,2.210000,460000
2019-11-04,2.210000,2.230000,2.210000,2.230000,2.230000,456000
2019-11-05,2.230000,2.240000,2.190000,2.190000,2.190000,456000
2019-11-06,2.190000,2.200000,2.170000,2.170000,2.170000,464000
2019-11-07,2.170000,2.200000,2.130000,2.150000,2.150000,1140000
2019-11-08,2.150000,2.170000,2.110000,2.170000,2.170000,356000
2019-11-11,2.170000,2.190000,2.040000,2.060000,2.060000,208000
2019-11-12,2.060000,2.100000,2.010000,2.050000,2.050000,440000
2019-11-13,2.050000,2.060000,2.030000,2.030000,2.030000,196000
2019-11-14,2.030000,2.030000,1.450000,1.700000,1.700000,1288000
2019-11-15,1.700000,1.720000,1.620000,1.680000,1.680000,388000
2019-11-18,1.680000,1.700000,1.400000,1.640000,1.640000,956000
2019-11-19,1.640000,1.700000,1.570000,1.700000,1.700000,408000
2019-11-20,1.700000,1.700000,1.650000,1.650000,1.650000,20000
2019-11-21,1.650000,1.660000,1.620000,1.660000,1.660000,264000
2019-11-22,1.660000,1.660000,1.630000,1.630000,1.630000,72000
2019-11-25,1.630000,1.660000,1.610000,1.610000,1.610000,168000
2019-11-26,1.610000,1.610000,1.550000,1.550000,1.550000,108000
2019-11-27,1.550000,1.580000,1.550000,1.550000,1.550000,284000
2019-11-28,1.550000,1.550000,1.500000,1.500000,1.500000,140000
2019-11-29,1.500000,1.550000,1.390000,1.500000,1.500000,372000
2019-12-02,1.500000,1.500000,1.470000,1.500000,1.500000,128000
2019-12-03,1.500000,1.500000,1.490000,1.490000,1.490000,36000
2019-12-04,1.490000,1.490000,1.490000,1.490000,1.490000,0
