Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,1.810000,2.310000,1.780000,2.030000,2.030000,177677000
2020-03-10,2.020000,2.020000,2.020000,2.020000,2.020000,0
2020-03-11,1.890000,2.080000,1.850000,2.010000,2.010000,24598500
2020-03-12,1.990000,1.990000,1.860000,1.890000,1.890000,11008000
2020-03-13,1.760000,1.850000,1.740000,1.820000,1.820000,12776000
2020-03-16,1.780000,1.850000,1.530000,1.560000,1.560000,11294000
2020-03-17,1.560000,1.560000,1.360000,1.460000,1.460000,8416000
2020-03-18,1.460000,1.660000,1.360000,1.410000,1.410000,7554000
2020-03-19,1.410000,1.510000,1.360000,1.510000,1.510000,4010000
2020-03-20,1.550000,1.620000,1.530000,1.590000,1.590000,4022000
2020-03-23,1.500000,1.560000,1.470000,1.530000,1.530000,2540000
2020-03-24,1.610000,1.710000,1.560000,1.710000,1.710000,4978000
2020-03-25,1.720000,1.830000,1.720000,1.770000,1.770000,5068000
2020-03-26,1.770000,1.850000,1.740000,1.790000,1.790000,3180000
2020-03-27,1.790000,1.860000,1.690000,1.700000,1.700000,2626000
2020-03-30,1.660000,1.660000,1.530000,1.550000,1.550000,1864000
2020-03-31,1.550000,1.640000,1.460000,1.490000,1.490000,3510000
2020-04-01,1.540000,1.570000,1.480000,1.510000,1.510000,2376000
2020-04-02,1.490000,1.570000,1.400000,1.560000,1.560000,3540000
2020-04-03,1.510000,1.600000,1.510000,1.530000,1.530000,1380000
2020-04-06,1.530000,1.530000,1.450000,1.500000,1.500000,1310000
2020-04-07,1.500000,1.520000,1.450000,1.500000,1.500000,1864000
2020-04-08,1.470000,1.500000,1.470000,1.490000,1.490000,826000
2020-04-09,1.480000,1.570000,1.480000,1.550000,1.550000,2108000
2020-04-14,1.550000,1.550000,1.490000,1.500000,1.500000,1188000
2020-04-15,1.500000,1.540000,1.480000,1.480000,1.480000,1146000
2020-04-16,1.470000,1.510000,1.400000,1.510000,1.510000,3418000
2020-04-17,1.540000,1.570000,1.470000,1.470000,1.470000,1776000
2020-04-20,1.440000,1.470000,1.440000,1.460000,1.460000,758000
2020-04-21,1.420000,1.440000,1.380000,1.430000,1.430000,1676000
2020-04-22,1.390000,1.420000,1.380000,1.410000,1.410000,2544000
2020-04-23,1.420000,1.500000,1.400000,1.460000,1.460000,2960000
2020-04-24,1.430000,1.450000,1.410000,1.420000,1.420000,590000
2020-04-27,1.420000,1.440000,1.390000,1.400000,1.400000,1386000
2020-04-28,1.400000,1.430000,1.390000,1.420000,1.420000,904000
2020-04-29,1.420000,1.450000,1.410000,1.410000,1.410000,448000
2020-05-04,1.380000,1.380000,1.320000,1.330000,1.330000,826000
2020-05-05,1.320000,1.370000,1.320000,1.370000,1.370000,1128000
2020-05-06,1.340000,1.370000,1.330000,1.340000,1.340000,824000
2020-05-07,1.320000,1.340000,1.300000,1.330000,1.330000,734000
2020-05-08,1.320000,1.380000,1.310000,1.330000,1.330000,1472000
2020-05-11,1.340000,1.350000,1.310000,1.320000,1.320000,998000
2020-05-12,1.310000,1.330000,1.300000,1.320000,1.320000,580000
2020-05-13,1.300000,1.330000,1.300000,1.300000,1.300000,738000
2020-05-14,1.300000,1.400000,1.270000,1.380000,1.380000,3208000
2020-05-15,1.380000,1.470000,1.330000,1.370000,1.370000,1792000
2020-05-18,1.320000,1.390000,1.320000,1.350000,1.350000,872000
2020-05-19,1.350000,1.370000,1.310000,1.320000,1.320000,1004000
2020-05-20,1.320000,1.320000,1.300000,1.310000,1.310000,872000
2020-05-21,1.310000,1.310000,1.290000,1.300000,1.300000,928000
2020-05-22,1.270000,1.290000,1.190000,1.250000,1.250000,2540000
2020-05-25,1.250000,1.280000,1.200000,1.280000,1.280000,966000
2020-05-26,1.260000,1.300000,1.220000,1.290000,1.290000,660000
2020-05-27,1.250000,1.290000,1.230000,1.250000,1.250000,500000
2020-05-28,1.200000,1.270000,1.200000,1.250000,1.250000,552000
2020-05-29,1.220000,1.250000,1.200000,1.250000,1.250000,414000
2020-06-01,1.250000,1.250000,1.230000,1.250000,1.250000,470000
2020-06-02,1.250000,1.340000,1.220000,1.320000,1.320000,1612000
2020-06-03,1.340000,1.370000,1.260000,1.300000,1.300000,1918000
2020-06-04,1.300000,1.310000,1.240000,1.270000,1.270000,2006000
