Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,48.299999,48.299999,45.650002,46.000000,44.562500,1412280
2019-08-06,46.000000,46.000000,44.500000,45.650002,44.223438,2025284
2019-08-07,46.000000,46.049999,44.799999,45.349998,43.932812,1564423
2019-08-08,46.000000,47.200001,45.849998,46.700001,45.240623,1726694
2019-08-09,47.099998,47.400002,45.799999,46.200001,44.756252,1032731
2019-08-12,47.450001,47.450001,45.250000,45.500000,44.078125,541000
2019-08-13,46.250000,46.250000,44.099998,44.150002,42.770313,2175771
2019-08-14,44.349998,45.349998,44.200001,44.700001,43.303123,3149576
2019-08-15,44.700001,46.000000,44.099998,45.900002,44.465630,2260978
2019-08-16,46.000000,47.000000,45.299999,46.750000,45.289063,3213725
2019-08-19,47.200001,47.849998,47.099998,47.750000,46.257813,2378087
2019-08-20,48.000000,48.299999,47.500000,48.049999,46.548439,1807025
2019-08-21,48.000000,48.400002,47.650002,47.950001,46.451565,1025087
2019-08-22,48.450001,48.450001,47.400002,47.650002,46.160938,1316139
2019-08-23,47.500000,47.700001,46.799999,47.250000,45.773438,1047914
2019-08-26,47.000000,47.000000,44.750000,46.200001,44.756252,1167371
2019-08-27,45.799999,46.099998,45.299999,46.099998,45.172699,2116686
2019-08-28,46.799999,46.849998,46.250000,46.700001,45.760632,1278124
2019-08-29,47.000000,47.000000,45.500000,45.900002,44.976727,1541759
2019-08-30,46.500000,46.650002,44.849998,45.549999,44.633762,1558515
2019-09-02,44.250000,45.000000,44.250000,45.000000,44.094826,695660
2019-09-03,44.950001,45.200001,44.599998,44.849998,43.947842,518532
2019-09-04,44.549999,47.299999,44.549999,47.150002,46.201580,1867994
2019-09-05,47.500000,47.849998,46.450001,47.099998,46.152584,1454335
2019-09-06,47.500000,47.599998,47.200001,47.549999,46.593533,909992
2019-09-09,47.500000,47.549999,46.349998,46.799999,45.858620,824376
2019-09-10,47.000000,47.150002,46.099998,46.400002,45.466667,667691
2019-09-11,46.299999,47.700001,46.049999,47.349998,46.397556,1517397
2019-09-12,47.700001,47.700001,47.000000,47.549999,46.593533,887481
