Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.310000,2.310000,2.260000,2.260000,2.121261,1024000
2019-08-06,2.260000,2.280000,2.200000,2.240000,2.102489,1088000
2019-08-07,2.240000,2.250000,2.220000,2.240000,2.102489,170000
2019-08-08,2.250000,2.270000,2.230000,2.270000,2.130648,320000
2019-08-09,2.260000,2.290000,2.230000,2.240000,2.102489,478000
2019-08-12,2.240000,2.240000,2.220000,2.230000,2.093103,714000
2019-08-13,2.220000,2.220000,2.180000,2.180000,2.046173,912000
2019-08-14,2.230000,2.230000,2.180000,2.190000,2.055559,394000
2019-08-15,2.180000,2.200000,2.170000,2.190000,2.055559,292000
2019-08-16,2.200000,2.210000,2.170000,2.210000,2.074331,940000
2019-08-19,2.220000,2.230000,2.210000,2.220000,2.083717,832000
2019-08-20,2.230000,2.240000,2.220000,2.230000,2.093103,414000
2019-08-21,2.220000,2.230000,2.210000,2.230000,2.093103,520000
2019-08-22,2.240000,2.250000,2.220000,2.250000,2.111875,400000
2019-08-23,2.240000,2.250000,2.210000,2.230000,2.093103,382000
2019-08-26,2.200000,2.210000,2.190000,2.200000,2.064945,1050470
2019-08-27,2.200000,2.240000,2.200000,2.230000,2.093103,448606
2019-08-28,2.240000,2.240000,2.210000,2.230000,2.093103,106000
2019-08-29,2.230000,2.240000,2.210000,2.230000,2.093103,258000
2019-08-30,2.260000,2.270000,2.250000,2.270000,2.130648,454000
2019-09-02,2.260000,2.260000,2.240000,2.260000,2.121261,126000
2019-09-03,2.250000,2.270000,2.230000,2.260000,2.121261,536000
2019-09-04,2.250000,2.290000,2.250000,2.270000,2.130648,1116000
2019-09-05,2.250000,2.270000,2.200000,2.240000,2.102489,8436000
2019-09-06,2.250000,2.270000,2.240000,2.270000,2.130648,1620000
2019-09-09,2.290000,2.290000,2.270000,2.290000,2.149420,690000
2019-09-10,2.280000,2.300000,2.280000,2.300000,2.158806,1304000
2019-09-11,2.310000,2.340000,2.300000,2.340000,2.196350,86000
2019-09-12,2.350000,2.370000,2.320000,2.360000,2.215122,190000
2019-09-13,2.370000,2.390000,2.370000,2.380000,2.233895,148000
2019-09-16,2.360000,2.360000,2.320000,2.340000,2.196350,782000
2019-09-17,2.340000,2.370000,2.310000,2.320000,2.177578,1078000
2019-09-18,2.340000,2.340000,2.300000,2.320000,2.177578,868000
2019-09-19,2.310000,2.330000,2.310000,2.320000,2.177578,96000
2019-09-20,2.330000,2.380000,2.320000,2.380000,2.233895,3218800
2019-09-23,2.360000,2.380000,2.340000,2.370000,2.224509,572000
2019-09-24,2.350000,2.360000,2.330000,2.350000,2.205736,66000
2019-09-25,2.330000,2.350000,2.310000,2.340000,2.196350,622100
2019-09-26,2.330000,2.360000,2.330000,2.350000,2.205736,735106
2019-09-27,2.360000,2.360000,2.320000,2.350000,2.205736,205976
2019-09-30,2.310000,2.340000,2.310000,2.330000,2.186964,216000
2019-10-02,2.320000,2.340000,2.300000,2.300000,2.158806,90000
2019-10-03,2.290000,2.320000,2.290000,2.310000,2.168192,16000
2019-10-04,2.310000,2.310000,2.280000,2.280000,2.140034,68000
2019-10-08,2.280000,2.300000,2.270000,2.280000,2.140034,888000
2019-10-09,2.280000,2.350000,2.280000,2.350000,2.205736,1452000
2019-10-10,2.320000,2.350000,2.310000,2.350000,2.205736,294000
2019-10-11,2.360000,2.360000,2.330000,2.350000,2.205736,290000
2019-10-14,2.350000,2.360000,2.330000,2.350000,2.205736,642000
2019-10-15,2.360000,2.360000,2.340000,2.350000,2.205736,376000
2019-10-16,2.350000,2.350000,2.340000,2.340000,2.196350,172000
2019-10-17,2.350000,2.350000,2.330000,2.330000,2.186964,418000
2019-10-18,2.330000,2.350000,2.310000,2.310000,2.168192,350000
2019-10-21,2.310000,2.340000,2.280000,2.310000,2.168192,438000
2019-10-22,2.310000,2.320000,2.270000,2.280000,2.140034,1706600
2019-10-23,2.280000,2.280000,2.250000,2.280000,2.140034,860000
2019-10-24,2.270000,2.280000,2.260000,2.280000,2.140034,1308608
2019-10-25,2.280000,2.280000,2.260000,2.270000,2.130648,616000
2019-10-28,2.280000,2.300000,2.280000,2.290000,2.149420,130000
2019-10-29,2.290000,2.300000,2.270000,2.290000,2.149420,601936
2019-10-30,2.280000,2.300000,2.250000,2.290000,2.149420,558000
2019-10-31,2.300000,2.300000,2.270000,2.290000,2.149420,816000
2019-11-01,2.300000,2.310000,2.280000,2.300000,2.158806,1624000
2019-11-04,2.310000,2.310000,2.290000,2.300000,2.158806,1618000
2019-11-05,2.310000,2.410000,2.310000,2.360000,2.215122,4143678
2019-11-06,2.340000,2.350000,2.310000,2.330000,2.186964,1942000
2019-11-07,2.330000,2.350000,2.320000,2.350000,2.205736,938640
2019-11-08,2.360000,2.360000,2.330000,2.340000,2.196350,470000
2019-11-11,2.340000,2.340000,2.290000,2.300000,2.158806,2178000
2019-11-12,2.310000,2.320000,2.290000,2.300000,2.158806,378000
2019-11-13,2.300000,2.310000,2.280000,2.280000,2.140034,918000
