Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.300000,4.330000,4.150000,4.180000,4.094256,521500
2019-08-06,4.180000,4.320000,4.130000,4.220000,4.133436,134500
2019-08-07,4.210000,4.270000,4.140000,4.150000,4.064872,111484
2019-08-08,4.150000,4.330000,4.150000,4.240000,4.153026,65500
2019-08-09,4.250000,4.340000,4.240000,4.240000,4.153026,16500
2019-08-12,4.270000,4.270000,4.240000,4.230000,4.143231,16500
2019-08-13,4.200000,4.310000,4.180000,4.290000,4.202000,326500
2019-08-14,4.260000,4.500000,4.240000,4.490000,4.397897,152500
2019-08-15,4.400000,4.470000,4.240000,4.280000,4.192205,103000
2019-08-16,4.300000,4.480000,4.290000,4.400000,4.309744,92500
2019-08-19,4.300000,4.370000,4.300000,4.370000,4.280359,4674
2019-08-20,4.400000,4.400000,4.290000,4.290000,4.202000,44500
2019-08-21,4.300000,4.390000,4.250000,4.300000,4.211795,86000
2019-08-22,4.300000,4.300000,4.250000,4.290000,4.202000,49402
2019-08-23,4.300000,4.400000,4.240000,4.390000,4.299949,238500
2019-08-26,4.250000,4.340000,4.250000,4.270000,4.182410,168000
2019-08-27,4.280000,4.280000,4.280000,4.280000,4.192205,0
2019-08-28,4.280000,4.330000,4.220000,4.270000,4.182410,60500
2019-08-29,4.300000,4.300000,4.270000,4.270000,4.182410,5500
2019-08-30,4.280000,4.280000,4.100000,4.230000,4.143231,114000
2019-09-02,4.270000,4.340000,4.210000,4.320000,4.231385,64000
2019-09-03,4.320000,4.390000,4.300000,4.300000,4.211795,58500
2019-09-04,4.300000,4.300000,4.130000,4.200000,4.113846,264500
2019-09-05,4.300000,4.350000,4.300000,4.320000,4.231385,102000
2019-09-06,4.340000,4.400000,4.300000,4.350000,4.260769,60000
2019-09-09,4.340000,4.350000,4.280000,4.340000,4.250975,27500
2019-09-10,4.360000,4.400000,4.310000,4.340000,4.250975,13500
2019-09-11,4.380000,4.380000,4.300000,4.330000,4.241179,40000
2019-09-12,4.330000,4.330000,4.290000,4.300000,4.211795,564500
2019-09-13,4.300000,4.310000,4.210000,4.300000,4.211795,769000
2019-09-16,4.300000,4.340000,4.270000,4.330000,4.241179,200000
2019-09-17,4.380000,4.380000,4.300000,4.330000,4.241179,24500
2019-09-18,4.300000,4.330000,4.270000,4.330000,4.241179,28550
2019-09-19,4.300000,4.330000,4.300000,4.320000,4.231385,35000
2019-09-20,4.300000,4.320000,4.300000,4.300000,4.211795,10100
2019-09-23,4.290000,4.300000,4.290000,4.290000,4.202000,50500
2019-09-24,4.280000,4.320000,4.280000,4.320000,4.231385,139000
2019-09-25,4.300000,4.350000,4.250000,4.330000,4.241179,45521
2019-09-26,4.300000,4.300000,4.250000,4.300000,4.211795,351000
2019-09-27,4.300000,4.310000,4.280000,4.290000,4.202000,58500
2019-09-30,4.280000,4.310000,4.250000,4.310000,4.221590,41000
2019-10-02,4.280000,4.300000,4.260000,4.290000,4.202000,16000
2019-10-03,4.280000,4.280000,4.220000,4.250000,4.162820,60000
2019-10-04,4.280000,4.280000,4.180000,4.180000,4.094256,688773
2019-10-08,4.200000,4.200000,4.100000,4.100000,4.015897,37000
2019-10-09,4.050000,4.140000,4.010000,4.050000,3.966923,60001
2019-10-10,4.050000,4.050000,4.050000,4.050000,3.966923,0
2019-10-11,4.010000,4.010000,3.830000,3.900000,3.820000,37000
2019-10-14,3.920000,3.920000,3.830000,3.840000,3.761231,163000
2019-10-15,3.460000,3.800000,3.460000,3.800000,3.722051,152000
2019-10-16,3.790000,3.790000,3.600000,3.740000,3.663282,13000
2019-10-17,3.700000,3.720000,3.600000,3.600000,3.526154,96000
2019-10-18,3.680000,3.680000,3.630000,3.670000,3.594718,66500
2019-10-21,3.730000,3.800000,3.730000,3.730000,3.653487,67500
2019-10-22,3.760000,3.810000,3.750000,3.770000,3.692667,248000
2019-10-23,3.770000,3.820000,3.750000,3.750000,3.673077,62500
2019-10-24,3.950000,3.950000,3.790000,3.850000,3.771026,94500
2019-10-25,3.900000,3.900000,3.750000,3.750000,3.673077,21500
2019-10-28,3.800000,3.800000,3.650000,3.740000,3.663282,200500
2019-10-29,3.740000,3.840000,3.740000,3.840000,3.761231,25000
2019-10-30,3.840000,3.940000,3.730000,3.730000,3.653487,55500
2019-10-31,3.900000,3.820000,3.820000,3.820000,3.741641,3000
2019-11-01,3.820000,3.820000,3.820000,3.820000,3.741641,0
2019-11-04,3.850000,4.020000,3.850000,3.850000,3.771026,38000
2019-11-05,3.990000,3.990000,3.750000,3.860000,3.780820,66500
2019-11-06,3.700000,3.840000,3.700000,3.710000,3.633898,81000
2019-11-07,3.720000,3.800000,3.720000,3.750000,3.673077,66000
2019-11-08,3.750000,3.750000,3.720000,3.730000,3.653487,82000
2019-11-11,3.730000,3.750000,3.700000,3.680000,3.604513,60000
2019-11-12,3.660000,3.660000,3.600000,3.600000,3.526154,161500
2019-11-13,3.500000,3.500000,3.470000,3.480000,3.408615,15500
2019-11-14,3.470000,3.470000,3.400000,3.410000,3.340051,91000
2019-11-15,3.400000,3.410000,3.400000,3.400000,3.330256,86000
2019-11-18,3.400000,3.400000,3.390000,3.390000,3.320462,373300
2019-11-19,3.400000,3.400000,3.380000,3.400000,3.330256,447385
2019-11-20,3.400000,3.400000,3.380000,3.390000,3.320462,255000
2019-11-21,3.400000,3.400000,3.350000,3.400000,3.330256,739961
2019-11-22,3.400000,3.400000,3.390000,3.400000,3.330256,373000
2019-11-25,3.400000,3.480000,3.390000,3.390000,3.320462,1526500
2019-11-26,3.400000,3.520000,3.390000,3.490000,3.418410,316500
2019-11-27,3.540000,3.590000,3.490000,3.550000,3.477180,233023
