Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.062000,0.064000,0.060000,0.060000,0.060000,2200500
2019-08-06,0.062000,0.068000,0.059000,0.064000,0.064000,810500
2019-08-07,0.063000,0.063000,0.057000,0.061000,0.061000,852000
2019-08-08,0.060000,0.061000,0.055000,0.060000,0.060000,216750
2019-08-09,0.059000,0.067000,0.056000,0.065000,0.065000,298000
2019-08-12,0.060000,0.060000,0.057000,0.057000,0.057000,844220
2019-08-13,0.057000,0.064000,0.057000,0.058000,0.058000,620500
2019-08-14,0.059000,0.069000,0.059000,0.059000,0.059000,1747375
2019-08-15,0.059000,0.063000,0.059000,0.060000,0.060000,80000
2019-08-16,0.061000,0.062000,0.059000,0.060000,0.060000,2550000
2019-08-19,0.062000,0.062000,0.058000,0.060000,0.060000,888500
2019-08-20,0.058000,0.061000,0.057000,0.061000,0.061000,668000
2019-08-21,0.058000,0.063000,0.058000,0.060000,0.060000,685750
2019-08-22,0.058000,0.060000,0.057000,0.058000,0.058000,2908000
2019-08-23,0.058000,0.060000,0.058000,0.060000,0.060000,104000
2019-08-26,0.060000,0.060000,0.060000,0.060000,0.060000,0
2019-08-27,0.060000,0.061000,0.060000,0.060000,0.060000,210000
2019-08-28,0.063000,0.065000,0.063000,0.065000,0.065000,2110000
2019-08-29,0.062000,0.062000,0.057000,0.060000,0.060000,2774000
2019-08-30,0.058000,0.061000,0.053000,0.057000,0.057000,2260000
2019-09-02,0.059000,0.064000,0.057000,0.057000,0.057000,1641000
2019-09-03,0.059000,0.061000,0.055000,0.057000,0.057000,779000
2019-09-04,0.054000,0.058000,0.054000,0.054000,0.054000,966000
2019-09-05,0.055000,0.058000,0.052000,0.053000,0.053000,4601000
2019-09-06,0.054000,0.058000,0.053000,0.056000,0.056000,1767000
2019-09-09,0.053000,0.058000,0.052000,0.055000,0.055000,2517000
2019-09-10,0.055000,0.058000,0.055000,0.055000,0.055000,1714000
2019-09-11,0.055000,0.056000,0.055000,0.056000,0.056000,132000
2019-09-12,0.052000,0.055000,0.052000,0.055000,0.055000,1854000
2019-09-13,0.055000,0.055000,0.054000,0.055000,0.055000,318000
2019-09-16,0.055000,0.055000,0.055000,0.055000,0.055000,982000
2019-09-17,0.053000,0.055000,0.053000,0.054000,0.054000,1993000
2019-09-18,0.054000,0.055000,0.054000,0.054000,0.054000,762000
2019-09-19,0.053000,0.055000,0.053000,0.054000,0.054000,372000
2019-09-20,0.054000,0.055000,0.054000,0.054000,0.054000,1562000
2019-09-23,0.052000,0.054000,0.050000,0.053000,0.053000,3687000
2019-09-24,0.052000,0.054000,0.052000,0.054000,0.054000,224000
2019-09-25,0.050000,0.053000,0.050000,0.053000,0.053000,381000
2019-09-26,0.052000,0.053000,0.052000,0.053000,0.053000,2330000
2019-09-27,0.049000,0.053000,0.048000,0.050000,0.050000,4711000
2019-09-30,0.050000,0.055000,0.049000,0.050000,0.050000,752000
2019-10-02,0.049000,0.051000,0.049000,0.049000,0.049000,324200
2019-10-03,0.051000,0.051000,0.048000,0.050000,0.050000,287250
2019-10-04,0.048000,0.050000,0.048000,0.048000,0.048000,2178000
2019-10-08,0.046000,0.046000,0.045000,0.045000,0.045000,1079900
2019-10-09,0.045000,0.048000,0.045000,0.045000,0.045000,374000
2019-10-10,0.043000,0.043000,0.043000,0.045000,0.045000,6000
2019-10-11,0.043000,0.048000,0.036000,0.048000,0.048000,5459500
2019-10-14,0.040000,0.042000,0.039000,0.040000,0.040000,10553400
2019-10-15,0.040000,0.041000,0.040000,0.041000,0.041000,1272100
2019-10-16,0.045000,0.045000,0.039000,0.041000,0.041000,1189000
2019-10-17,0.039000,0.041000,0.038000,0.039000,0.039000,5714000
2019-10-18,0.040000,0.044000,0.039000,0.044000,0.044000,1395000
2019-10-21,0.042000,0.050000,0.041000,0.049000,0.049000,8228000
2019-10-22,0.047000,0.072000,0.047000,0.065000,0.065000,87932550
2019-10-23,0.063000,0.070000,0.060000,0.066000,0.066000,33183000
2019-10-24,0.065000,0.066000,0.063000,0.063000,0.063000,6858000
2019-10-25,0.065000,0.128000,0.065000,0.082000,0.082000,281910000
2019-10-28,0.086000,0.100000,0.084000,0.094000,0.094000,71617000
2019-10-29,0.099000,0.124000,0.085000,0.110000,0.110000,194047875
2019-10-30,0.110000,0.118000,0.103000,0.110000,0.110000,59661500
2019-10-31,0.110000,0.114000,0.099000,0.109000,0.109000,42200500
2019-11-01,0.106000,0.113000,0.102000,0.108000,0.108000,35684500
2019-11-04,0.107000,0.111000,0.102000,0.104000,0.104000,19401500
2019-11-05,0.102000,0.103000,0.096000,0.098000,0.098000,19917500
2019-11-06,0.097000,0.115000,0.096000,0.101000,0.101000,25776500
2019-11-07,0.100000,0.105000,0.100000,0.103000,0.103000,6899000
2019-11-08,0.104000,0.105000,0.099000,0.102000,0.102000,7553000
2019-11-11,0.100000,0.103000,0.085000,0.091000,0.091000,16552000
2019-11-12,0.091000,0.105000,0.091000,0.092000,0.092000,9823000
2019-11-13,0.089000,0.090000,0.086000,0.088000,0.088000,7848250
2019-11-14,0.088000,0.091000,0.085000,0.086000,0.086000,5029000
2019-11-15,0.087000,0.091000,0.087000,0.088000,0.088000,6157600
2019-11-18,0.088000,0.092000,0.088000,0.091000,0.091000,6696500
2019-11-19,0.092000,0.105000,0.092000,0.102000,0.102000,18216500
2019-11-20,0.100000,0.105000,0.097000,0.100000,0.100000,2557625
2019-11-21,0.096000,0.096000,0.090000,0.095000,0.095000,6178300
2019-11-22,0.092000,0.095000,0.090000,0.095000,0.095000,1396000
2019-11-25,0.092000,0.095000,0.090000,0.091000,0.091000,3600000
2019-11-26,0.091000,0.091000,0.087000,0.089000,0.089000,6270375
2019-11-27,0.088000,0.093000,0.085000,0.086000,0.086000,5518050
2019-11-28,0.082000,0.084000,0.072000,0.079000,0.079000,8710500
2019-11-29,0.077000,0.081000,0.074000,0.076000,0.076000,2162000
2019-12-02,0.076000,0.081000,0.076000,0.079000,0.079000,1597500
2019-12-03,0.079000,0.081000,0.078000,0.079000,0.079000,852500
2019-12-04,0.078000,0.079000,0.073000,0.073000,0.073000,1192000
2019-12-05,0.077000,0.081000,0.076000,0.077000,0.077000,403500
2019-12-06,0.077000,0.081000,0.076000,0.080000,0.080000,796000
2019-12-09,0.076000,0.077000,0.073000,0.076000,0.076000,2130350
2019-12-10,0.074000,0.077000,0.073000,0.073000,0.073000,2944000
2019-12-11,0.074000,0.079000,0.074000,0.078000,0.078000,1613500
2019-12-12,0.078000,0.078000,0.075000,0.076000,0.076000,2074500
2019-12-13,0.076000,0.091000,0.073000,0.078000,0.078000,5333100
2019-12-16,0.080000,0.084000,0.077000,0.082000,0.082000,2830000
2019-12-17,0.077000,0.081000,0.076000,0.079000,0.079000,772500
2019-12-18,0.079000,0.085000,0.079000,0.079000,0.079000,1350500
2019-12-19,0.083000,0.083000,0.078000,0.079000,0.079000,887000
2019-12-20,0.081000,0.083000,0.078000,0.080000,0.080000,1151000
2019-12-23,0.079000,0.082000,0.078000,0.080000,0.080000,1180500
2019-12-24,0.080000,0.080000,0.080000,0.080000,0.080000,5648000
2019-12-27,0.079000,0.082000,0.078000,0.082000,0.082000,590250
2019-12-30,0.080000,0.081000,0.078000,0.081000,0.081000,2120000
2019-12-31,0.078000,0.081000,0.078000,0.081000,0.081000,200000
2020-01-02,0.077000,0.082000,0.077000,0.081000,0.081000,20000
2020-01-03,0.081000,0.082000,0.076000,0.077000,0.077000,404000
2020-01-06,0.076000,0.090000,0.073000,0.083000,0.083000,9248000
2020-01-07,0.083000,0.083000,0.080000,0.080000,0.080000,1192500
2020-01-08,0.077000,0.081000,0.077000,0.081000,0.081000,246000
2020-01-09,0.080000,0.085000,0.076000,0.080000,0.080000,920500
2020-01-10,0.080000,0.081000,0.075000,0.079000,0.079000,684500
2020-01-13,0.074000,0.080000,0.074000,0.079000,0.079000,1656000
2020-01-14,0.079000,0.080000,0.078000,0.078000,0.078000,279000
2020-01-15,0.076000,0.079000,0.076000,0.079000,0.079000,1226000
2020-01-16,0.078000,0.078000,0.078000,0.078000,0.078000,0
2020-01-17,0.078000,0.095000,0.078000,0.084000,0.084000,11392000
2020-01-20,0.083000,0.088000,0.083000,0.083000,0.083000,1140500
2020-01-21,0.084000,0.085000,0.078000,0.084000,0.084000,1285700
2020-01-22,0.083000,0.086000,0.082000,0.085000,0.085000,978000
