Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.205000,0.205000,0.185000,0.189000,0.189000,50122000
2019-08-06,0.186000,0.203000,0.185000,0.198000,0.198000,24588000
2019-08-07,0.211000,0.220000,0.203000,0.210000,0.210000,14158000
2019-08-08,0.210000,0.226000,0.210000,0.219000,0.219000,23728000
2019-08-09,0.220000,0.226000,0.216000,0.221000,0.221000,12742000
2019-08-12,0.217000,0.223000,0.213000,0.219000,0.219000,11710000
2019-08-13,0.214000,0.221000,0.213000,0.214000,0.214000,7278000
2019-08-14,0.222000,0.222000,0.215000,0.218000,0.218000,4108000
2019-08-15,0.210000,0.213000,0.209000,0.209000,0.209000,4868000
2019-08-16,0.217000,0.217000,0.207000,0.210000,0.210000,6548000
2019-08-19,0.216000,0.216000,0.210000,0.211000,0.211000,1660000
2019-08-20,0.211000,0.218000,0.189000,0.204000,0.204000,24414000
2019-08-21,0.200000,0.209000,0.198000,0.200000,0.200000,4024000
2019-08-22,0.200000,0.210000,0.200000,0.204000,0.204000,12166000
2019-08-23,0.207000,0.214000,0.206000,0.211000,0.211000,16168000
2019-08-26,0.210000,0.214000,0.204000,0.205000,0.205000,9494000
2019-08-27,0.207000,0.218000,0.206000,0.218000,0.218000,17554000
2019-08-28,0.218000,0.222000,0.213000,0.214000,0.214000,6056000
2019-08-29,0.215000,0.215000,0.209000,0.209000,0.209000,11332000
2019-08-30,0.208000,0.227000,0.208000,0.218000,0.218000,9226000
2019-09-02,0.219000,0.225000,0.215000,0.217000,0.217000,9232000
2019-09-03,0.220000,0.222000,0.216000,0.217000,0.217000,4174000
2019-09-04,0.218000,0.220000,0.217000,0.217000,0.217000,12780000
2019-09-05,0.220000,0.219000,0.215000,0.217000,0.217000,4644000
2019-09-06,0.216000,0.220000,0.212000,0.214000,0.214000,5718000
2019-09-09,0.214000,0.218000,0.209000,0.210000,0.210000,6902000
2019-09-10,0.207000,0.217000,0.206000,0.208000,0.208000,7266000
2019-09-11,0.205000,0.209000,0.200000,0.209000,0.209000,6400000
2019-09-12,0.209000,0.209000,0.203000,0.208000,0.208000,7048000
2019-09-13,0.203000,0.208000,0.203000,0.204000,0.204000,1972000
2019-09-16,0.206000,0.210000,0.203000,0.205000,0.205000,5653000
2019-09-17,0.205000,0.214000,0.198000,0.208000,0.208000,6226000
2019-09-18,0.202000,0.206000,0.201000,0.203000,0.203000,3194000
2019-09-19,0.200000,0.204000,0.198000,0.200000,0.200000,5298000
2019-09-20,0.203000,0.203000,0.196000,0.197000,0.197000,7102000
2019-09-23,0.195000,0.203000,0.191000,0.195000,0.195000,2250000
2019-09-24,0.197000,0.197000,0.189000,0.189000,0.189000,6516000
2019-09-25,0.189000,0.189000,0.181000,0.183000,0.183000,6016000
2019-09-26,0.183000,0.184000,0.176000,0.178000,0.178000,16518000
2019-09-27,0.177000,0.182000,0.174000,0.180000,0.180000,2216000
2019-09-30,0.180000,0.186000,0.174000,0.177000,0.177000,5438000
2019-10-02,0.199000,0.199000,0.177000,0.187000,0.187000,1770000
2019-10-03,0.176000,0.190000,0.176000,0.184000,0.184000,2814000
2019-10-04,0.178000,0.188000,0.171000,0.180000,0.180000,37206000
2019-10-08,0.181000,0.204000,0.180000,0.200000,0.200000,16502000
2019-10-09,0.202000,0.215000,0.198000,0.203000,0.203000,8768000
2019-10-10,0.203000,0.210000,0.201000,0.204000,0.204000,7570000
2019-10-11,0.198000,0.210000,0.198000,0.202000,0.202000,3608000
2019-10-14,0.203000,0.208000,0.201000,0.203000,0.203000,2104000
2019-10-15,0.200000,0.200000,0.197000,0.199000,0.199000,2432000
2019-10-16,0.188000,0.200000,0.182000,0.190000,0.190000,5212000
2019-10-17,0.181000,0.193000,0.181000,0.189000,0.189000,3192000
2019-10-18,0.200000,0.200000,0.189000,0.194000,0.194000,2692000
2019-10-21,0.200000,0.200000,0.194000,0.194000,0.194000,1474000
2019-10-22,0.196000,0.196000,0.188000,0.188000,0.188000,2908000
2019-10-23,0.190000,0.194000,0.188000,0.189000,0.189000,1466000
2019-10-24,0.208000,0.208000,0.186000,0.190000,0.190000,1378000
2019-10-25,0.190000,0.194000,0.188000,0.192000,0.192000,1606000
2019-10-28,0.188000,0.192000,0.187000,0.188000,0.188000,2914000
2019-10-29,0.189000,0.194000,0.187000,0.188000,0.188000,4938000
2019-10-30,0.189000,0.194000,0.188000,0.188000,0.188000,4504000
2019-10-31,0.187000,0.190000,0.187000,0.189000,0.189000,2096000
2019-11-01,0.188000,0.193000,0.188000,0.188000,0.188000,2486000
2019-11-04,0.185000,0.195000,0.183000,0.189000,0.189000,5684000
2019-11-05,0.190000,0.191000,0.188000,0.191000,0.191000,1048000
2019-11-06,0.190000,0.190000,0.188000,0.188000,0.188000,1516000
2019-11-07,0.192000,0.192000,0.188000,0.188000,0.188000,4136000
2019-11-08,0.186000,0.190000,0.184000,0.185000,0.185000,3354000
2019-11-11,0.184000,0.188000,0.183000,0.184000,0.184000,2468000
2019-11-12,0.185000,0.189000,0.183000,0.183000,0.183000,3030000
2019-11-13,0.184000,0.184000,0.179000,0.179000,0.179000,5272000
2019-11-14,0.179000,0.179000,0.177000,0.177000,0.177000,3076000
2019-11-15,0.176000,0.177000,0.175000,0.175000,0.175000,2262000
2019-11-18,0.175000,0.180000,0.168000,0.173000,0.173000,10332000
2019-11-19,0.178000,0.178000,0.170000,0.176000,0.176000,2798000
2019-11-20,0.174000,0.181000,0.174000,0.179000,0.179000,116000
2019-11-21,0.181000,0.181000,0.174000,0.179000,0.179000,358000
2019-11-22,0.173000,0.185000,0.173000,0.173000,0.173000,176000
2019-11-25,0.173000,0.173000,0.166000,0.170000,0.170000,6776000
2019-11-26,0.169000,0.169000,0.161000,0.164000,0.164000,9376000
2019-11-27,0.162000,0.180000,0.160000,0.164000,0.164000,4430000
2019-11-28,0.170000,0.174000,0.164000,0.169000,0.169000,1606000
