Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,6.710000,6.770000,6.620000,6.650000,6.312410,11104888
2019-08-06,6.550000,6.630000,6.400000,6.560000,6.226979,13029156
2019-08-07,6.570000,6.670000,6.550000,6.550000,6.217487,6616556
2019-08-08,6.530000,6.720000,6.530000,6.690000,6.350379,5548888
2019-08-09,6.740000,6.960000,6.690000,6.710000,6.369364,7418307
2019-08-12,6.750000,6.840000,6.630000,6.780000,6.435811,3215800
2019-08-13,6.800000,6.920000,6.660000,6.670000,6.331395,5615314
2019-08-14,6.730000,6.850000,6.580000,6.580000,6.245964,8144108
2019-08-15,6.450000,6.530000,6.360000,6.380000,6.056117,17736975
2019-08-16,6.420000,6.510000,6.380000,6.450000,6.122563,10034907
2019-08-19,6.530000,6.630000,6.500000,6.530000,6.198502,8945380
2019-08-20,6.490000,6.510000,6.380000,6.400000,6.075101,15923178
2019-08-21,6.430000,6.430000,6.290000,6.360000,6.037132,13304652
2019-08-22,6.420000,6.420000,6.270000,6.350000,6.027639,11040340
2019-08-23,6.280000,6.330000,6.140000,6.240000,5.923223,18451122
2019-08-26,6.100000,6.160000,5.910000,6.020000,5.714392,27381705
2019-08-27,6.080000,6.250000,6.080000,6.200000,5.885254,11769141
2019-08-28,6.200000,6.280000,6.140000,6.150000,5.837792,10321627
2019-08-29,6.210000,6.210000,6.070000,6.160000,5.847285,4634355
2019-08-30,6.230000,6.260000,6.120000,6.150000,5.837792,13937741
2019-09-02,6.090000,6.250000,6.090000,6.190000,5.875762,8093800
2019-09-03,6.220000,6.220000,6.030000,6.050000,5.742869,11203158
2019-09-04,6.050000,6.210000,6.030000,6.210000,5.894747,18158627
2019-09-05,6.220000,6.350000,6.170000,6.270000,5.951701,16714136
2019-09-06,6.320000,6.340000,6.250000,6.290000,5.970685,7075589
2019-09-09,6.200000,6.230000,6.160000,6.190000,5.999763,7433000
2019-09-10,6.220000,6.230000,6.040000,6.100000,5.912529,11819926
2019-09-11,6.120000,6.130000,6.050000,6.120000,5.931915,11890312
2019-09-12,6.180000,6.270000,6.170000,6.240000,6.048227,12698741
2019-09-13,6.240000,6.280000,6.180000,6.230000,6.038534,6389729
2019-09-16,6.240000,6.300000,6.090000,6.170000,5.980378,12935174
2019-09-17,6.160000,6.160000,6.020000,6.070000,5.883451,11221825
2019-09-18,6.120000,6.200000,6.110000,6.180000,5.990071,7405051
2019-09-19,6.180000,6.230000,6.090000,6.140000,5.951300,10783201
2019-09-20,6.180000,6.190000,6.120000,6.190000,5.999763,14346863
