Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,7.090000,7.130000,6.900000,7.000000,6.676319,38958169
2019-08-06,6.720000,6.900000,6.600000,6.880000,6.561868,48642592
2019-08-07,6.890000,6.920000,6.700000,6.880000,6.561868,25672298
2019-08-08,6.920000,7.060000,6.850000,6.960000,6.638169,26997519
2019-08-09,7.180000,7.180000,6.960000,6.960000,6.638169,29545738
2019-08-12,7.000000,7.040000,6.840000,6.860000,6.542793,18371209
2019-08-13,6.780000,6.790000,6.570000,6.720000,6.409266,34796830
2019-08-14,6.830000,6.960000,6.260000,6.360000,6.065913,98218453
2019-08-15,6.170000,6.250000,6.000000,6.200000,5.913311,90791235
2019-08-16,6.150000,6.380000,6.100000,6.370000,6.075450,107040141
2019-08-19,6.360000,6.500000,6.330000,6.490000,6.189901,79884962
2019-08-20,6.490000,6.690000,6.340000,6.680000,6.371116,53854373
2019-08-21,6.700000,6.800000,6.550000,6.670000,6.361578,30003660
2019-08-22,6.670000,6.670000,6.460000,6.600000,6.294815,26411036
2019-08-23,6.400000,6.620000,6.340000,6.610000,6.304353,51575031
2019-08-26,6.070000,6.210000,6.040000,6.140000,5.900721,118101341
2019-08-27,6.220000,6.420000,6.210000,6.420000,6.169809,60017742
2019-08-28,6.460000,6.530000,6.270000,6.320000,6.073706,46854551
2019-08-29,6.310000,6.420000,6.260000,6.380000,6.131368,39098111
2019-08-30,6.430000,6.570000,6.280000,6.310000,6.064095,52714153
2019-09-02,6.270000,6.340000,6.190000,6.270000,6.025654,37572322
2019-09-03,6.210000,6.420000,6.210000,6.320000,6.073706,17023504
2019-09-04,6.400000,6.860000,6.400000,6.820000,6.554221,73923508
2019-09-05,6.690000,6.930000,6.690000,6.810000,6.544610,48071596
2019-09-06,6.900000,7.070000,6.830000,6.970000,6.698375,38541352
2019-09-09,6.960000,7.000000,6.800000,6.870000,6.602272,22091823
2019-09-10,6.800000,6.860000,6.730000,6.790000,6.525390,40657999
2019-09-11,6.790000,6.990000,6.660000,6.950000,6.679154,34907192
2019-09-12,7.100000,7.270000,6.970000,7.220000,6.938632,52501226
2019-09-13,7.220000,7.450000,7.160000,7.440000,7.150059,47023746
2019-09-16,7.790000,7.790000,7.480000,7.480000,7.188500,77955830
2019-09-17,7.430000,7.450000,7.190000,7.290000,7.005904,26852640
2019-09-18,7.260000,7.290000,7.180000,7.190000,6.909801,46145642
2019-09-19,7.150000,7.320000,7.110000,7.190000,6.909801,37923810
2019-09-20,7.250000,7.310000,7.090000,7.110000,6.832919,36989888
2019-09-23,7.080000,7.130000,6.940000,7.040000,6.765647,23674395
2019-09-24,7.040000,7.130000,6.990000,7.020000,6.746427,27937275
2019-09-25,6.720000,7.030000,6.720000,6.860000,6.592662,41450088
2019-09-26,6.870000,7.040000,6.870000,6.950000,6.679154,37789891
2019-09-27,6.950000,7.040000,6.900000,6.950000,6.679154,26645077
2019-09-30,7.020000,7.070000,6.770000,7.020000,6.746427,41722700
2019-10-02,7.010000,7.100000,6.860000,7.030000,6.756037,34132657
2019-10-03,6.930000,7.150000,6.880000,7.110000,6.832919,27100524
2019-10-04,7.250000,7.250000,6.940000,7.010000,6.736816,39566186
2019-10-08,7.030000,7.190000,6.970000,7.030000,6.756037,42972497
2019-10-09,7.000000,7.100000,6.850000,7.050000,6.775258,29581526
2019-10-10,7.060000,7.450000,7.010000,7.330000,7.044345,80026788
2019-10-11,7.400000,7.510000,7.270000,7.400000,7.111618,62351732
2019-10-14,7.700000,7.750000,7.580000,7.720000,7.419147,155391506
2019-10-15,7.650000,7.730000,7.500000,7.560000,7.265382,43481634
2019-10-16,7.610000,7.650000,7.500000,7.570000,7.274993,30009126
2019-10-17,7.530000,7.620000,7.430000,7.590000,7.294213,34411185
