Date,Open,High,Low,Close,Adj Close,Volume
2020-01-16,1.300000,1.300000,0.990000,1.030000,0.987937,47154000
2020-01-17,1.030000,1.340000,1.030000,1.280000,1.227727,9796000
2020-01-20,1.280000,1.330000,1.200000,1.290000,1.237319,2384000
2020-01-21,1.290000,1.300000,1.230000,1.260000,1.208544,5682000
2020-01-22,1.260000,1.310000,1.200000,1.260000,1.208544,6958000
2020-01-23,1.230000,1.260000,1.130000,1.190000,1.141402,1300000
2020-01-24,1.180000,1.250000,1.150000,1.190000,1.141402,664000
2020-01-29,1.190000,1.190000,1.100000,1.120000,1.074261,206000
2020-01-30,1.100000,1.150000,1.050000,1.050000,1.007120,244000
2020-01-31,1.050000,1.090000,1.020000,1.060000,1.016711,328000
2020-02-03,1.050000,1.070000,1.050000,1.050000,1.007120,156000
2020-02-04,1.050000,1.100000,1.020000,1.090000,1.045486,124000
2020-02-05,1.100000,1.100000,1.050000,1.060000,1.016711,54000
2020-02-06,1.070000,1.120000,1.070000,1.110000,1.064669,136000
2020-02-07,1.110000,1.150000,1.100000,1.110000,1.064669,60000
2020-02-10,1.110000,1.150000,1.090000,1.130000,1.083853,64000
2020-02-11,1.130000,1.130000,1.100000,1.100000,1.055078,258000
2020-02-12,1.100000,1.130000,1.080000,1.100000,1.055078,134000
2020-02-13,1.100000,1.130000,1.100000,1.100000,1.055078,126000
2020-02-14,1.100000,1.130000,1.090000,1.110000,1.064669,82000
2020-02-17,1.100000,1.140000,1.100000,1.110000,1.064669,60000
2020-02-18,1.110000,1.250000,1.110000,1.240000,1.189361,782000
2020-02-19,1.180000,1.300000,1.180000,1.240000,1.189361,1590000
2020-02-20,1.220000,1.230000,1.200000,1.210000,1.160586,88000
2020-02-21,1.190000,1.240000,1.180000,1.210000,1.160586,142000
2020-02-24,1.190000,1.200000,1.150000,1.200000,1.150994,210000
2020-02-25,1.180000,1.180000,1.150000,1.170000,1.122219,914000
2020-02-26,1.160000,1.170000,1.130000,1.150000,1.103036,616000
2020-02-27,1.180000,1.180000,1.150000,1.150000,1.103036,38000
2020-02-28,1.140000,1.150000,1.110000,1.110000,1.064669,782000
2020-03-02,1.110000,1.190000,1.110000,1.140000,1.093444,530000
2020-03-03,1.140000,1.140000,1.130000,1.140000,1.093444,118000
2020-03-04,1.160000,1.160000,1.140000,1.160000,1.112628,128000
2020-03-05,1.140000,1.170000,1.140000,1.170000,1.122219,66000
2020-03-06,1.180000,1.200000,1.170000,1.190000,1.141402,46000
2020-03-09,1.190000,1.190000,1.190000,1.190000,1.141402,0
2020-03-10,1.060000,1.060000,1.060000,1.060000,1.016711,0
2020-03-11,1.090000,1.120000,1.070000,1.120000,1.074261,162000
2020-03-12,1.080000,1.100000,0.880000,1.060000,1.016711,194000
2020-03-13,1.050000,1.050000,0.950000,1.030000,0.987937,174000
2020-03-16,1.010000,1.170000,1.010000,1.040000,0.997528,7628000
2020-03-17,1.050000,1.080000,1.030000,1.070000,1.026303,82000
2020-03-18,1.090000,1.090000,1.050000,1.050000,1.007120,120000
2020-03-19,1.050000,1.080000,1.020000,1.070000,1.026303,1344000
2020-03-20,1.080000,1.110000,1.080000,1.100000,1.055078,228000
2020-03-23,1.070000,1.070000,1.060000,1.070000,1.026303,38000
2020-03-24,1.100000,1.140000,1.050000,1.110000,1.064669,876000
2020-03-25,1.110000,1.110000,1.080000,1.080000,1.035895,458000
2020-03-26,1.080000,1.080000,1.070000,1.080000,1.035895,14000
2020-03-27,1.120000,1.140000,1.080000,1.110000,1.064669,742000
2020-03-30,1.110000,1.180000,1.110000,1.180000,1.131811,402000
2020-03-31,1.200000,1.290000,1.200000,1.280000,1.227727,1222000
2020-04-01,1.030000,1.290000,1.030000,1.190000,1.141402,1464000
2020-04-02,1.190000,1.190000,1.180000,1.190000,1.141402,74000
2020-04-03,1.180000,1.180000,1.180000,1.180000,1.131811,0
2020-04-06,1.110000,1.110000,1.090000,1.100000,1.055078,76000
2020-04-07,1.100000,1.290000,1.100000,1.210000,1.160586,3622000
2020-04-08,1.130000,1.130000,1.120000,1.150000,1.103036,28000
2020-04-09,1.150000,1.210000,1.150000,1.170000,1.122219,106000
