Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.640000,2.650000,2.580000,2.600000,2.450718,11135250
2019-08-06,2.540000,2.590000,2.520000,2.560000,2.413014,12871883
2019-08-07,2.550000,2.610000,2.540000,2.600000,2.450718,32556000
2019-08-08,2.610000,2.610000,2.530000,2.550000,2.403589,21387120
2019-08-09,2.580000,2.580000,2.530000,2.530000,2.384737,10546286
2019-08-12,2.530000,2.540000,2.480000,2.490000,2.347034,8357388
2019-08-13,2.500000,2.500000,2.410000,2.440000,2.299904,13538983
2019-08-14,2.480000,2.490000,2.440000,2.440000,2.299904,13591857
2019-08-15,2.420000,2.420000,2.370000,2.390000,2.252775,25726981
2019-08-16,2.360000,2.370000,2.330000,2.330000,2.196220,28305216
2019-08-19,2.340000,2.400000,2.290000,2.400000,2.262201,53746386
2019-08-20,2.420000,2.550000,2.410000,2.530000,2.384737,20263666
2019-08-21,2.470000,2.470000,2.340000,2.440000,2.299904,31217240
2019-08-22,2.450000,2.450000,2.360000,2.380000,2.243349,13987000
2019-08-23,2.350000,2.360000,2.280000,2.320000,2.186794,18682819
2019-08-26,2.240000,2.270000,2.210000,2.220000,2.092536,19753620
2019-08-27,2.220000,2.280000,2.220000,2.260000,2.130239,31182121
2019-08-28,2.250000,2.280000,2.210000,2.210000,2.083110,13755488
2019-08-29,2.210000,2.220000,2.170000,2.190000,2.064258,19751614
2019-08-30,2.220000,2.260000,2.200000,2.260000,2.130239,35813249
2019-09-02,2.220000,2.270000,2.220000,2.260000,2.130239,7297044
2019-09-03,2.250000,2.310000,2.230000,2.240000,2.111387,9567000
2019-09-04,2.250000,2.310000,2.250000,2.280000,2.149091,16247304
2019-09-05,2.280000,2.350000,2.250000,2.350000,2.215072,39462620
2019-09-06,2.350000,2.370000,2.320000,2.350000,2.215072,21803100
2019-09-09,2.360000,2.380000,2.340000,2.340000,2.205646,8258763
2019-09-10,2.360000,2.360000,2.300000,2.330000,2.196220,10906892
2019-09-11,2.340000,2.390000,2.340000,2.390000,2.252775,13234743
2019-09-12,2.410000,2.460000,2.410000,2.430000,2.290478,22909668
2019-09-13,2.410000,2.460000,2.410000,2.450000,2.309330,10444912
2019-09-16,2.500000,2.530000,2.430000,2.480000,2.337608,20811380
2019-09-17,2.460000,2.460000,2.350000,2.370000,2.233923,15324857
2019-09-18,2.390000,2.390000,2.350000,2.380000,2.243349,9481702
2019-09-19,2.360000,2.380000,2.320000,2.340000,2.205646,4390711
2019-09-20,2.350000,2.370000,2.340000,2.360000,2.224498,12268533
2019-09-23,2.350000,2.360000,2.270000,2.300000,2.167943,9276338
2019-09-24,2.300000,2.310000,2.270000,2.300000,2.167943,8432000
2019-09-25,2.270000,2.290000,2.260000,2.260000,2.130239,7720880
2019-09-26,2.280000,2.290000,2.260000,2.280000,2.149091,8640856
2019-09-27,2.260000,2.270000,2.220000,2.230000,2.101962,7027455
2019-09-30,2.220000,2.290000,2.220000,2.280000,2.149091,10770000
2019-10-02,2.260000,2.370000,2.260000,2.330000,2.196220,12443542
