Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.810000,4.830000,4.760000,4.790000,4.385120,115528208
2019-08-06,4.700000,4.740000,4.640000,4.720000,4.321037,180937103
2019-08-07,4.720000,4.730000,4.640000,4.720000,4.321037,85411534
2019-08-08,4.680000,4.730000,4.680000,4.720000,4.321037,87423489
2019-08-09,4.710000,4.750000,4.650000,4.700000,4.302728,64194250
2019-08-12,4.710000,4.740000,4.670000,4.670000,4.275263,38672232
2019-08-13,4.620000,4.650000,4.570000,4.590000,4.202026,85722303
2019-08-14,4.750000,4.750000,4.610000,4.640000,4.247799,94789088
2019-08-15,4.550000,4.650000,4.550000,4.630000,4.238645,84961057
2019-08-16,4.580000,4.640000,4.570000,4.620000,4.229490,84600037
2019-08-19,4.640000,4.710000,4.630000,4.670000,4.275263,78374166
2019-08-20,4.640000,4.740000,4.630000,4.720000,4.321037,104065013
2019-08-21,4.670000,4.720000,4.660000,4.710000,4.311882,43878646
2019-08-22,4.670000,4.700000,4.610000,4.650000,4.256954,121773062
2019-08-23,4.660000,4.730000,4.640000,4.680000,4.284418,83892733
2019-08-26,4.540000,4.580000,4.490000,4.560000,4.174562,124973317
2019-08-27,4.530000,4.570000,4.500000,4.510000,4.128788,119777529
2019-08-28,4.520000,4.550000,4.490000,4.510000,4.128788,80721386
2019-08-29,4.480000,4.540000,4.480000,4.530000,4.147098,93813951
2019-08-30,4.570000,4.670000,4.550000,4.590000,4.202026,98916376
2019-09-02,4.630000,4.660000,4.580000,4.650000,4.256954,78720925
2019-09-03,4.660000,4.660000,4.570000,4.580000,4.192871,60419778
2019-09-04,4.580000,4.680000,4.560000,4.660000,4.266109,136955312
2019-09-05,4.680000,4.760000,4.680000,4.730000,4.330192,109282616
2019-09-06,4.670000,4.670000,4.620000,4.640000,4.371552,80152432
2019-09-09,4.680000,4.740000,4.650000,4.680000,4.409238,100717284
2019-09-10,4.720000,4.820000,4.720000,4.780000,4.503453,132743009
2019-09-11,4.920000,4.940000,4.860000,4.910000,4.625931,202930978
2019-09-12,4.920000,4.960000,4.890000,4.890000,4.607088,101253678
2019-09-13,4.880000,4.970000,4.880000,4.950000,4.663617,97947136
2019-09-16,5.120000,5.150000,4.970000,5.040000,4.748410,158881089
2019-09-17,4.990000,5.000000,4.830000,4.860000,4.578824,186561935
2019-09-18,4.880000,4.890000,4.730000,4.760000,4.484610,151682031
2019-09-19,4.760000,4.770000,4.710000,4.740000,4.465766,68246602
2019-09-20,4.780000,4.780000,4.730000,4.780000,4.503453,101892353
2019-09-23,4.720000,4.760000,4.710000,4.740000,4.465766,70329517
2019-09-24,4.720000,4.750000,4.700000,4.700000,4.428081,68603311
2019-09-25,4.630000,4.740000,4.630000,4.670000,4.399817,73033843
2019-09-26,4.640000,4.680000,4.600000,4.620000,4.352709,90925632
2019-09-27,4.600000,4.620000,4.580000,4.600000,4.333866,47451643
2019-09-30,4.580000,4.710000,4.580000,4.660000,4.390395,78510072
2019-10-02,4.650000,4.730000,4.630000,4.670000,4.399817,54831622
2019-10-03,4.620000,4.700000,4.620000,4.670000,4.399817,45096014
2019-10-04,4.640000,4.660000,4.590000,4.600000,4.333866,65159029
2019-10-08,4.550000,4.630000,4.550000,4.580000,4.315023,82431248
2019-10-09,4.560000,4.580000,4.540000,4.550000,4.286759,75235318
2019-10-10,4.540000,4.570000,4.520000,4.550000,4.286759,69252326
2019-10-11,4.600000,4.720000,4.590000,4.690000,4.418660,103563837
2019-10-14,4.720000,4.740000,4.630000,4.700000,4.428081,76763423
2019-10-15,4.660000,4.710000,4.650000,4.660000,4.390395,58196024
2019-10-16,4.660000,4.660000,4.580000,4.640000,4.371552,75943761
2019-10-17,4.610000,4.660000,4.600000,4.650000,4.380974,65497824
2019-10-18,4.620000,4.650000,4.580000,4.610000,4.343288,76439186
2019-10-21,4.600000,4.620000,4.590000,4.600000,4.333866,41682176
2019-10-22,4.580000,4.620000,4.580000,4.600000,4.333866,44338977
2019-10-23,4.550000,4.660000,4.550000,4.590000,4.324445,60029387
2019-10-24,4.600000,4.640000,4.560000,4.620000,4.352709,62621003
2019-10-25,4.600000,4.670000,4.600000,4.640000,4.371552,55014517
2019-10-28,4.650000,4.720000,4.640000,4.690000,4.418660,55684027
2019-10-29,4.700000,4.730000,4.630000,4.670000,4.399817,67124215
2019-10-30,4.610000,4.630000,4.560000,4.600000,4.333866,93889309
2019-10-31,4.550000,4.580000,4.480000,4.500000,4.239652,152396242
2019-11-01,4.450000,4.540000,4.450000,4.510000,4.249074,87973482
2019-11-04,4.540000,4.610000,4.520000,4.570000,4.305602,126279786
2019-11-05,4.590000,4.670000,4.570000,4.650000,4.380974,124364661
2019-11-06,4.640000,4.720000,4.630000,4.700000,4.428081,84785251
2019-11-07,4.650000,4.720000,4.650000,4.690000,4.418660,85660173
2019-11-08,4.730000,4.730000,4.680000,4.700000,4.428081,81336053
2019-11-11,4.690000,4.700000,4.530000,4.580000,4.315023,113001237
2019-11-12,4.560000,4.590000,4.520000,4.570000,4.305602,66267669
2019-11-13,4.550000,4.560000,4.450000,4.490000,4.230230,109755225
2019-11-14,4.500000,4.500000,4.430000,4.440000,4.183123,108439758
2019-11-15,4.480000,4.480000,4.430000,4.430000,4.173702,43678654
2019-11-18,4.450000,4.470000,4.410000,4.430000,4.173702,89948971
2019-11-19,4.400000,4.470000,4.390000,4.450000,4.192544,124013381
2019-11-20,4.400000,4.480000,4.400000,4.460000,4.201966,100421858
2019-11-21,4.400000,4.440000,4.380000,4.420000,4.164280,110679150
2019-11-22,4.400000,4.450000,4.400000,4.420000,4.164280,115981408
2019-11-25,4.450000,4.530000,4.440000,4.510000,4.249074,91642990
2019-11-26,4.530000,4.550000,4.500000,4.500000,4.239652,164732768
2019-11-27,4.510000,4.530000,4.490000,4.510000,4.249074,63910983
2019-11-28,4.470000,4.520000,4.470000,4.500000,4.239652,48768361
2019-11-29,4.470000,4.490000,4.380000,4.390000,4.136016,97841292
2019-12-02,4.410000,4.420000,4.380000,4.410000,4.154859,37651398
2019-12-03,4.380000,4.400000,4.330000,4.370000,4.117173,72855838
2019-12-04,4.340000,4.360000,4.320000,4.330000,4.079487,79944192
2019-12-05,4.340000,4.370000,4.320000,4.360000,4.107752,84177188
2019-12-06,4.380000,4.400000,4.340000,4.350000,4.098330,158448936
2019-12-09,4.350000,4.440000,4.350000,4.400000,4.145438,85024664
