Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.380000,5.460000,5.340000,5.380000,5.136808,18978835
2019-08-06,5.350000,5.380000,5.210000,5.280000,5.041329,18504985
2019-08-07,5.250000,5.280000,5.190000,5.220000,4.984041,18440018
2019-08-08,5.300000,5.370000,5.260000,5.320000,5.079521,13890171
2019-08-09,5.280000,5.340000,5.240000,5.270000,5.031781,14493000
2019-08-12,5.210000,5.330000,5.210000,5.260000,5.022233,6943162
2019-08-13,5.190000,5.260000,5.170000,5.230000,4.993589,7628303
2019-08-14,5.190000,5.280000,5.140000,5.160000,4.926753,12389594
2019-08-15,5.100000,5.190000,5.060000,5.140000,4.907657,12352282
2019-08-16,5.090000,5.120000,5.060000,5.090000,4.859917,17445574
2019-08-19,5.150000,5.220000,5.110000,5.150000,4.917205,9458224
2019-08-20,5.100000,5.300000,5.100000,5.260000,5.022233,17983551
2019-08-21,5.220000,5.260000,5.180000,5.220000,4.984041,8901050
2019-08-22,5.200000,5.220000,5.110000,5.180000,4.945849,11905609
2019-08-23,5.150000,5.180000,5.130000,5.140000,4.907657,6988103
2019-08-26,5.060000,5.100000,4.820000,4.910000,4.688054,29992112
2019-08-27,4.950000,5.090000,4.940000,5.050000,4.821725,25667335
2019-08-28,5.080000,5.120000,5.040000,5.060000,4.831273,10250139
2019-08-29,5.060000,5.100000,5.020000,5.070000,4.840821,10578232
2019-08-30,5.100000,5.150000,5.010000,5.130000,4.898109,12871072
2019-09-02,5.110000,5.240000,5.090000,5.140000,4.907657,13990712
2019-09-03,5.100000,5.110000,4.950000,5.000000,4.773985,22251563
2019-09-04,5.000000,5.140000,4.950000,5.100000,4.869465,25168482
2019-09-05,5.140000,5.240000,5.110000,5.150000,4.917205,21249937
2019-09-06,5.230000,5.270000,5.180000,5.250000,5.012685,20840705
2019-09-09,5.230000,5.340000,5.210000,5.210000,4.974493,14490287
2019-09-10,5.250000,5.290000,5.160000,5.210000,4.974493,18003569
2019-09-11,5.210000,5.290000,5.180000,5.230000,4.993589,18863897
2019-09-12,5.240000,5.290000,5.210000,5.280000,5.041329,13209916
2019-09-13,5.300000,5.340000,5.230000,5.320000,5.079521,13107981
2019-09-16,5.260000,5.300000,5.230000,5.260000,5.022233,13476899
2019-09-17,5.230000,5.260000,5.110000,5.160000,4.926753,12655549
2019-09-18,5.130000,5.200000,5.110000,5.120000,4.888561,13627977
2019-09-19,5.150000,5.150000,5.020000,5.040000,4.812177,16679000
2019-09-20,5.120000,5.260000,5.100000,5.210000,4.974493,37966826
2019-09-23,5.250000,5.250000,5.050000,5.050000,4.821725,18252204
2019-09-24,5.100000,5.100000,4.970000,4.990000,4.764437,19215400
2019-09-25,5.000000,5.000000,4.860000,4.890000,4.668958,24055873
2019-09-26,4.930000,4.930000,4.820000,4.830000,4.611670,14485972
2019-09-27,4.830000,4.840000,4.760000,4.770000,4.554382,11782987
2019-09-30,4.750000,4.800000,4.690000,4.760000,4.544834,15248456
2019-10-02,4.750000,4.800000,4.680000,4.740000,4.525738,14047000
2019-10-03,4.700000,4.840000,4.680000,4.820000,4.602122,11392458
2019-10-04,4.860000,4.860000,4.710000,4.730000,4.516190,12826005
2019-10-08,4.790000,4.840000,4.730000,4.740000,4.525738,8618524
2019-10-09,4.720000,4.760000,4.660000,4.670000,4.458902,16073639
2019-10-10,4.680000,4.720000,4.650000,4.680000,4.468450,10209062
2019-10-11,4.730000,4.820000,4.730000,4.810000,4.592574,15030572
2019-10-14,4.800000,4.880000,4.780000,4.800000,4.583026,12827339
2019-10-15,4.840000,4.840000,4.730000,4.760000,4.544834,8676837
2019-10-16,4.810000,4.810000,4.720000,4.740000,4.525738,9212500
2019-10-17,4.780000,4.790000,4.710000,4.780000,4.563931,9879000
2019-10-18,4.780000,4.850000,4.760000,4.780000,4.563931,8641286
2019-10-21,4.780000,4.780000,4.720000,4.750000,4.535286,6497000
2019-10-22,4.800000,4.800000,4.730000,4.750000,4.535286,5783056
2019-10-23,4.770000,4.770000,4.710000,4.720000,4.506642,6310300
2019-10-24,4.750000,4.840000,4.720000,4.830000,4.611670,14473745
2019-10-25,4.850000,4.860000,4.770000,4.800000,4.583026,11182064
2019-10-28,4.850000,4.850000,4.760000,4.800000,4.583026,9374558
2019-10-29,4.840000,4.870000,4.800000,4.810000,4.592574,15400067
2019-10-30,4.810000,4.830000,4.730000,4.760000,4.544834,11591986
2019-10-31,4.830000,4.860000,4.710000,4.730000,4.516190,19352426
2019-11-01,4.740000,4.820000,4.680000,4.820000,4.602122,11483015
2019-11-04,4.860000,4.980000,4.840000,4.970000,4.745341,22300850
2019-11-05,5.020000,5.030000,4.900000,5.030000,4.802629,19533171
2019-11-06,5.000000,5.030000,4.940000,4.950000,4.726245,13022916
2019-11-07,4.920000,5.010000,4.900000,5.000000,4.773985,12686931
2019-11-08,5.010000,5.010000,4.910000,4.940000,4.716698,14809005
2019-11-11,4.890000,4.890000,4.710000,4.740000,4.525738,22674890
2019-11-12,4.780000,4.810000,4.730000,4.790000,4.573478,10452562
2019-11-13,4.710000,4.780000,4.620000,4.650000,4.439806,18443126
2019-11-14,4.650000,4.720000,4.610000,4.630000,4.420711,15513941
2019-11-15,4.640000,4.670000,4.600000,4.650000,4.439806,10095701
2019-11-18,4.680000,4.680000,4.600000,4.680000,4.468450,9887028
2019-11-19,4.640000,4.740000,4.620000,4.710000,4.497094,11524060
2019-11-20,4.690000,4.700000,4.610000,4.640000,4.430258,10193481
2019-11-21,4.610000,4.630000,4.550000,4.580000,4.372971,10532824
2019-11-22,4.580000,4.650000,4.560000,4.600000,4.392066,9536340
2019-11-25,4.640000,4.850000,4.640000,4.840000,4.621218,25699354
2019-11-26,4.820000,4.990000,4.760000,4.760000,4.544834,23902982
2019-11-27,4.760000,4.770000,4.670000,4.730000,4.516190,13439730
2019-11-28,4.670000,4.730000,4.670000,4.670000,4.458902,11004040
2019-11-29,4.670000,4.690000,4.570000,4.580000,4.372971,20747004
2019-12-02,4.570000,4.640000,4.550000,4.580000,4.372971,12493849
2019-12-03,4.680000,4.680000,4.510000,4.580000,4.372971,16913573
2019-12-04,4.570000,4.570000,4.480000,4.480000,4.277491,20763646
2019-12-05,4.520000,4.560000,4.450000,4.470000,4.267943,22463000
2019-12-06,4.490000,4.560000,4.450000,4.560000,4.353875,68462588
2019-12-09,4.550000,4.610000,4.520000,4.570000,4.363423,24910491
2019-12-10,4.530000,4.560000,4.500000,4.540000,4.334779,12970273
2019-12-11,4.520000,4.590000,4.500000,4.580000,4.372971,10151049
2019-12-12,4.580000,4.660000,4.570000,4.650000,4.439806,19081383
2019-12-13,4.710000,4.760000,4.660000,4.740000,4.525738,30897959
2019-12-16,4.720000,4.750000,4.690000,4.700000,4.487546,11964000
2019-12-17,4.780000,4.900000,4.760000,4.890000,4.668958,35308426
2019-12-18,4.910000,4.930000,4.820000,4.870000,4.649862,19214990
2019-12-19,4.850000,4.860000,4.770000,4.820000,4.602122,13418088
2019-12-20,4.830000,4.840000,4.740000,4.750000,4.535286,22317643
2019-12-23,4.780000,4.790000,4.720000,4.750000,4.535286,12121628
2019-12-24,4.760000,4.790000,4.750000,4.760000,4.544834,5641647
2019-12-27,4.780000,4.820000,4.770000,4.790000,4.573478,15147807
2019-12-30,4.790000,4.910000,4.790000,4.860000,4.640314,21571910
2019-12-31,4.870000,4.870000,4.800000,4.810000,4.592574,4605000
2020-01-02,4.820000,5.000000,4.820000,4.960000,4.735794,30353000
2020-01-03,5.020000,5.030000,4.960000,5.020000,4.793081,24493345
2020-01-06,5.030000,5.050000,4.920000,4.950000,4.726245,22030782
2020-01-07,5.000000,5.010000,4.910000,4.930000,4.707150,15952604
2020-01-08,4.910000,4.930000,4.810000,4.810000,4.592574,17908879
