Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.290000,5.290000,5.210000,5.240000,4.940498,7927870
2019-08-06,5.210000,5.210000,5.120000,5.170000,4.874500,9464993
2019-08-07,5.190000,5.240000,5.170000,5.220000,4.921642,3586586
2019-08-08,5.210000,5.280000,5.210000,5.270000,4.968784,3696000
2019-08-09,5.280000,5.280000,5.230000,5.230000,4.931070,1868878
2019-08-12,5.230000,5.260000,5.200000,5.210000,4.912213,2135000
2019-08-13,5.200000,5.210000,5.100000,5.100000,4.808501,8174231
2019-08-14,5.100000,5.150000,5.100000,5.130000,4.836786,3781002
2019-08-15,5.100000,5.180000,5.050000,5.160000,4.865071,4825034
2019-08-16,5.180000,5.280000,5.150000,5.240000,4.940498,3807203
2019-08-19,5.270000,5.360000,5.250000,5.320000,5.015926,3161499
2019-08-20,5.340000,5.340000,5.260000,5.260000,4.959356,1345000
2019-08-21,5.260000,5.310000,5.260000,5.310000,5.006498,1001000
2019-08-22,5.310000,5.310000,5.230000,5.240000,4.940498,1908000
2019-08-23,5.230000,5.260000,5.210000,5.240000,4.940498,1587232
2019-08-26,5.210000,5.210000,5.090000,5.180000,4.883928,4507497
2019-08-27,5.200000,5.200000,5.140000,5.140000,4.846214,2867000
2019-08-28,5.140000,5.170000,5.120000,5.150000,4.855643,1900813
2019-08-29,5.150000,5.180000,5.140000,5.180000,4.883928,2035742
2019-08-30,5.200000,5.200000,5.130000,5.160000,4.865071,3584000
2019-09-02,5.160000,5.160000,5.120000,5.150000,4.855643,2091075
2019-09-03,5.150000,5.230000,5.140000,5.170000,4.874500,2228000
2019-09-04,5.170000,5.290000,5.160000,5.270000,4.968784,3555204
2019-09-05,5.240000,5.270000,5.210000,5.230000,4.931070,2931503
2019-09-06,5.250000,5.310000,5.250000,5.290000,4.987641,3153398
2019-09-09,5.300000,5.320000,5.280000,5.290000,4.987641,2588219
2019-09-10,5.290000,5.320000,5.280000,5.290000,4.987641,4637003
2019-09-11,5.160000,5.180000,5.110000,5.170000,5.020659,5295879
2019-09-12,5.170000,5.190000,5.140000,5.140000,4.991525,3391381
2019-09-13,5.150000,5.190000,5.140000,5.170000,5.020659,1749765
2019-09-16,5.170000,5.210000,5.160000,5.180000,5.030370,1898932
2019-09-17,5.170000,5.190000,5.150000,5.150000,5.001236,1962075
2019-09-18,5.150000,5.190000,5.150000,5.190000,5.040081,1290757
2019-09-19,5.190000,5.190000,5.140000,5.150000,5.001236,1131000
2019-09-20,5.150000,5.180000,5.140000,5.170000,5.020659,3745500
2019-09-23,5.200000,5.200000,5.130000,5.130000,4.981814,2108125
2019-09-24,5.140000,5.140000,5.120000,5.130000,4.981814,1837000
2019-09-25,5.130000,5.130000,5.110000,5.110000,4.962392,2086242
2019-09-26,5.100000,5.130000,5.080000,5.080000,4.933259,2975500
2019-09-27,5.080000,5.080000,5.020000,5.020000,4.874991,4784965
2019-09-30,5.020000,5.090000,5.020000,5.020000,4.874991,2078121
2019-10-02,5.030000,5.040000,5.010000,5.030000,4.884703,2034000
2019-10-03,5.030000,5.100000,5.030000,5.090000,4.942970,2199500
2019-10-04,5.090000,5.100000,5.020000,5.040000,4.894414,2683219
2019-10-08,5.030000,5.040000,5.000000,5.010000,4.865281,4600487
2019-10-09,5.010000,5.080000,5.010000,5.070000,4.923547,3575038
2019-10-10,5.070000,5.070000,5.020000,5.040000,4.894414,1656000
2019-10-11,5.040000,5.130000,5.040000,5.100000,4.952681,2525599
2019-10-14,5.110000,5.180000,5.110000,5.180000,5.030370,3381757
2019-10-15,5.160000,5.160000,5.110000,5.120000,4.972103,1790787
2019-10-16,5.130000,5.170000,5.130000,5.150000,5.001236,1670500
2019-10-17,5.150000,5.180000,5.140000,5.160000,5.010947,1329825
2019-10-18,5.150000,5.190000,5.130000,5.160000,5.010947,2173966
2019-10-21,5.180000,5.200000,5.180000,5.200000,5.049792,2404292
2019-10-22,5.200000,5.200000,5.190000,5.200000,5.049792,1095000
2019-10-23,5.200000,5.210000,5.160000,5.160000,5.010947,1659240
2019-10-24,5.160000,5.200000,5.160000,5.190000,5.040081,893303
2019-10-25,5.200000,5.210000,5.190000,5.200000,5.049792,995000
2019-10-28,5.200000,5.220000,5.190000,5.200000,5.049792,1314748
2019-10-29,5.210000,5.210000,5.160000,5.170000,5.020659,2571070
2019-10-30,5.160000,5.210000,5.160000,5.180000,5.030370,1205025
2019-10-31,5.200000,5.240000,5.170000,5.210000,5.059503,3072000
2019-11-01,5.210000,5.230000,5.200000,5.220000,5.069214,1310958
2019-11-04,5.220000,5.260000,5.210000,5.260000,5.108059,2947116
2019-11-05,5.240000,5.270000,5.220000,5.270000,5.117770,1714188
2019-11-06,5.270000,5.300000,5.260000,5.260000,5.108059,1990890
2019-11-07,5.250000,5.280000,5.250000,5.270000,5.117770,1278871
2019-11-08,5.280000,5.310000,5.260000,5.300000,5.146904,2759065
2019-11-11,5.310000,5.310000,5.230000,5.250000,5.098348,1898747
2019-11-12,5.300000,5.300000,5.220000,5.240000,5.088636,1456691
2019-11-13,5.240000,5.240000,5.180000,5.180000,5.030370,2210000
2019-11-14,5.190000,5.240000,5.160000,5.170000,5.020659,1557987
2019-11-15,5.230000,5.240000,5.200000,5.220000,5.069214,1599000
2019-11-18,5.300000,5.300000,5.210000,5.230000,5.078926,1191000
2019-11-19,5.250000,5.260000,5.210000,5.220000,5.069214,1360020
2019-11-20,5.240000,5.240000,5.160000,5.180000,5.030370,4211050
2019-11-21,5.190000,5.190000,5.130000,5.130000,4.981814,3352000
2019-11-22,5.130000,5.170000,5.130000,5.170000,5.020659,2680000
2019-11-25,5.150000,5.190000,5.150000,5.170000,5.020659,2153343
2019-11-26,5.190000,5.190000,5.130000,5.160000,5.010947,4014497
2019-11-27,5.190000,5.270000,5.180000,5.200000,5.049792,2305000
2019-11-28,5.180000,5.220000,5.170000,5.190000,5.040081,3184383
2019-11-29,5.190000,5.190000,5.130000,5.180000,5.030370,3698573
2019-12-02,5.190000,5.190000,5.130000,5.160000,5.010947,2711000
2019-12-03,5.150000,5.170000,5.110000,5.130000,4.981814,3431505
2019-12-04,5.110000,5.140000,5.110000,5.140000,4.991525,1999000
2019-12-05,5.150000,5.180000,5.120000,5.170000,5.020659,1003525
2019-12-06,5.140000,5.180000,5.140000,5.180000,5.030370,1058241
2019-12-09,5.170000,5.190000,5.150000,5.170000,5.020659,821977
2019-12-10,5.190000,5.200000,5.160000,5.190000,5.040081,1335730
2019-12-11,5.190000,5.220000,5.180000,5.210000,5.059503,3661104
2019-12-12,5.200000,5.230000,5.180000,5.230000,5.078926,3196505
2019-12-13,5.230000,5.250000,5.160000,5.240000,5.088636,5465990
2019-12-16,5.270000,5.290000,5.230000,5.250000,5.098348,3773616
2019-12-17,5.250000,5.270000,5.230000,5.260000,5.108059,2365779
2019-12-18,5.250000,5.290000,5.240000,5.290000,5.137192,1868673
2019-12-19,5.300000,5.300000,5.260000,5.290000,5.137192,1405231
2019-12-20,5.300000,5.300000,5.250000,5.270000,5.117770,1327000
2019-12-23,5.310000,5.310000,5.270000,5.290000,5.137192,1020591
2019-12-24,5.290000,5.300000,5.270000,5.280000,5.127481,409000
2019-12-27,5.280000,5.300000,5.270000,5.300000,5.146904,1577359
2019-12-30,5.300000,5.300000,5.280000,5.280000,5.127481,682725
