Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.210000,3.280000,3.120000,3.150000,3.010212,834000
2019-08-06,3.020000,3.140000,2.840000,3.130000,2.991100,1906000
2019-08-07,3.140000,3.170000,3.010000,3.090000,2.952874,794000
2019-08-08,3.110000,3.110000,2.980000,2.990000,2.857312,825000
2019-08-09,3.000000,3.060000,2.950000,3.050000,2.914649,900000
2019-08-12,3.050000,3.080000,2.820000,2.860000,2.733081,1707000
2019-08-13,2.960000,2.960000,2.730000,2.760000,2.637519,711000
2019-08-14,2.860000,2.930000,2.750000,2.890000,2.761750,920000
2019-08-15,2.890000,2.890000,2.770000,2.880000,2.752194,612000
2019-08-16,2.900000,3.050000,2.850000,3.040000,2.905093,1127000
2019-08-19,3.050000,3.110000,3.040000,3.090000,2.952874,1091000
2019-08-20,3.090000,3.160000,3.050000,3.120000,2.981543,965000
2019-08-21,3.110000,3.170000,3.090000,3.100000,2.962431,540000
2019-08-22,3.100000,3.120000,3.020000,3.060000,2.924206,1220000
2019-08-23,3.060000,3.110000,2.950000,2.960000,2.828644,1776000
2019-08-26,2.990000,2.990000,2.850000,2.860000,2.733081,527000
2019-08-27,2.940000,2.940000,2.540000,2.600000,2.484619,1514768
2019-08-28,2.620000,2.620000,2.420000,2.420000,2.312607,1523000
2019-08-29,2.460000,2.510000,2.410000,2.490000,2.379501,1507300
2019-08-30,2.490000,2.490000,2.300000,2.410000,2.303051,1758632
2019-09-02,2.420000,2.450000,2.280000,2.340000,2.236157,1314000
2019-09-03,2.360000,2.360000,2.250000,2.300000,2.197932,2172500
2019-09-04,2.330000,2.340000,2.200000,2.300000,2.197932,2152000
2019-09-05,2.340000,2.610000,2.310000,2.550000,2.436838,3398000
2019-09-06,2.550000,2.630000,2.530000,2.600000,2.484619,1414000
2019-09-09,2.680000,2.690000,2.420000,2.450000,2.364007,1252000
2019-09-10,2.450000,2.480000,2.400000,2.450000,2.364007,868000
2019-09-11,2.450000,2.460000,2.350000,2.400000,2.315762,1158000
2019-09-12,2.410000,2.410000,2.310000,2.380000,2.296464,838000
2019-09-13,2.410000,2.540000,2.400000,2.500000,2.412252,908000
2019-09-16,2.470000,2.510000,2.390000,2.400000,2.315762,819000
2019-09-17,2.440000,2.450000,2.360000,2.390000,2.306113,891000
2019-09-18,2.400000,2.440000,2.370000,2.410000,2.325411,192000
2019-09-19,2.420000,2.480000,2.370000,2.400000,2.315762,232000
2019-09-20,2.410000,2.440000,2.360000,2.380000,2.296464,474000
2019-09-23,2.400000,2.400000,2.290000,2.300000,2.219271,948542
2019-09-24,2.330000,2.340000,2.260000,2.280000,2.199974,1030000
2019-09-25,2.270000,2.330000,2.200000,2.240000,2.161377,789690
2019-09-26,2.300000,2.310000,2.200000,2.230000,2.151729,1024000
2019-09-27,2.290000,2.290000,2.230000,2.250000,2.171026,584000
2019-09-30,2.380000,2.380000,2.150000,2.200000,2.122782,1107000
2019-10-02,2.160000,2.240000,2.150000,2.190000,2.113132,495000
