Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.100000,4.100000,3.830000,3.860000,3.788034,32936000
2019-08-06,3.750000,3.800000,3.690000,3.770000,3.699712,13796214
2019-08-07,3.810000,3.810000,3.680000,3.740000,3.670271,13210000
2019-08-08,3.760000,3.840000,3.710000,3.740000,3.670271,10669700
2019-08-09,3.790000,3.820000,3.720000,3.720000,3.650644,5962000
2019-08-12,3.690000,3.750000,3.680000,3.700000,3.631017,7374000
2019-08-13,3.690000,3.710000,3.560000,3.670000,3.601576,8623500
2019-08-14,3.810000,3.870000,3.750000,3.780000,3.709525,8653000
2019-08-15,3.720000,3.790000,3.670000,3.760000,3.689898,6019906
2019-08-16,3.760000,3.860000,3.720000,3.740000,3.670271,9059381
2019-08-19,3.780000,3.920000,3.770000,3.860000,3.788034,10568000
2019-08-20,3.810000,3.860000,3.750000,3.800000,3.729152,11872006
2019-08-21,3.770000,3.810000,3.720000,3.770000,3.699712,5044955
2019-08-22,3.770000,3.820000,3.760000,3.790000,3.719339,5824000
2019-08-23,3.770000,3.850000,3.760000,3.800000,3.729152,5487023
2019-08-26,3.660000,3.710000,3.610000,3.700000,3.631017,5717000
2019-08-27,3.710000,3.750000,3.660000,3.720000,3.650644,7320206
2019-08-28,3.670000,3.760000,3.650000,3.680000,3.611390,3772693
2019-08-29,3.700000,3.760000,3.650000,3.690000,3.621203,3588000
2019-08-30,3.690000,3.760000,3.640000,3.690000,3.621203,7878000
2019-09-02,3.650000,3.730000,3.620000,3.680000,3.611390,5568000
2019-09-03,3.710000,3.900000,3.710000,3.780000,3.709525,19260000
2019-09-04,3.850000,3.880000,3.780000,3.820000,3.748780,25696000
2019-09-05,3.810000,3.990000,3.810000,3.970000,3.895983,18648000
2019-09-06,4.000000,4.060000,3.960000,4.030000,3.954865,11802000
2019-09-09,4.080000,4.120000,4.010000,4.050000,3.974492,7068000
2019-09-10,4.040000,4.040000,3.920000,3.980000,3.905797,8614002
2019-09-11,3.980000,4.050000,3.960000,4.040000,3.964678,7390000
2019-09-12,4.090000,4.190000,4.060000,4.130000,4.053000,10958300
2019-09-13,4.160000,4.250000,4.100000,4.240000,4.160949,6030000
2019-09-16,4.140000,4.140000,3.960000,4.020000,3.945051,18176566
2019-09-17,4.010000,4.010000,3.870000,3.910000,3.837102,6546000
2019-09-18,3.980000,4.040000,3.940000,3.970000,3.895983,13614300
2019-09-19,4.010000,4.010000,3.910000,3.940000,3.866542,4758588
2019-09-20,3.960000,3.970000,3.870000,3.960000,3.886169,5994100
2019-09-23,3.980000,3.980000,3.850000,3.890000,3.817475,6483105
2019-09-24,3.910000,3.910000,3.830000,3.860000,3.788034,7234000
2019-09-25,3.880000,3.880000,3.780000,3.800000,3.729152,6187207
2019-09-26,3.820000,3.860000,3.760000,3.760000,3.689898,11002000
2019-09-27,3.800000,3.800000,3.700000,3.750000,3.680085,4556919
2019-09-30,3.750000,3.850000,3.690000,3.810000,3.738966,8694000
2019-10-02,3.780000,3.820000,3.690000,3.800000,3.729152,5170000
2019-10-03,3.730000,3.850000,3.730000,3.810000,3.738966,3044003
2019-10-04,3.850000,3.910000,3.830000,3.860000,3.788034,4658000
2019-10-08,3.890000,3.890000,3.650000,3.670000,3.601576,18164866
2019-10-09,3.630000,3.710000,3.630000,3.650000,3.581949,7293090
2019-10-10,3.660000,3.830000,3.630000,3.800000,3.729152,16116000
2019-10-11,3.820000,3.950000,3.820000,3.910000,3.837102,13189000
2019-10-14,3.950000,3.980000,3.850000,3.870000,3.797847,8802000
2019-10-15,3.940000,3.940000,3.840000,3.900000,3.827288,6156000
2019-10-16,3.930000,3.970000,3.900000,3.950000,3.876356,3304000
2019-10-17,3.970000,3.970000,3.900000,3.940000,3.866542,3328000
2019-10-18,3.970000,3.970000,3.850000,3.900000,3.827288,4150000
2019-10-21,3.900000,3.900000,3.820000,3.860000,3.788034,2705000
2019-10-22,3.880000,3.890000,3.800000,3.860000,3.788034,5664700
2019-10-23,3.880000,3.880000,3.790000,3.860000,3.788034,3574000
2019-10-24,3.870000,3.870000,3.790000,3.830000,3.758593,3671256
2019-10-25,3.830000,3.860000,3.790000,3.830000,3.758593,3378000
2019-10-28,3.830000,3.940000,3.820000,3.910000,3.837102,7498000
2019-10-29,3.910000,3.950000,3.890000,3.920000,3.846915,7387552
2019-10-30,3.920000,3.990000,3.880000,3.960000,3.886169,10864000
2019-10-31,3.960000,3.970000,3.870000,3.920000,3.846915,18060360
2019-11-01,3.920000,3.950000,3.830000,3.930000,3.856729,5882000
2019-11-04,3.970000,4.130000,3.910000,4.120000,4.043186,20693059
2019-11-05,4.150000,4.280000,4.100000,4.240000,4.160949,31522220
2019-11-06,4.240000,4.330000,4.210000,4.270000,4.190390,12441000
2019-11-07,4.300000,4.300000,4.150000,4.300000,4.219831,7602760
2019-11-08,4.340000,4.390000,4.240000,4.270000,4.190390,11521679
2019-11-11,4.270000,4.270000,4.020000,4.090000,4.013746,8448000
2019-11-12,4.130000,4.130000,4.000000,4.090000,4.013746,4270118
2019-11-13,4.020000,4.060000,3.980000,4.030000,3.954865,5450000
2019-11-14,4.000000,4.000000,3.960000,3.990000,3.915610,3736005
2019-11-15,4.010000,4.070000,3.950000,4.040000,3.964678,5330407
2019-11-18,4.020000,4.050000,3.980000,4.010000,3.935237,4398000
2019-11-19,3.970000,4.020000,3.920000,4.010000,3.935237,6970000
2019-11-20,4.010000,4.020000,3.890000,3.900000,3.827288,8615900
2019-11-21,3.870000,3.890000,3.800000,3.860000,3.788034,8440000
2019-11-22,3.880000,3.890000,3.780000,3.820000,3.748780,6098300
2019-11-25,3.840000,3.910000,3.830000,3.910000,3.837102,15262206
2019-11-26,3.920000,3.990000,3.880000,3.960000,3.886169,15431358
2019-11-27,3.980000,4.050000,3.970000,4.000000,3.925424,10968811
