Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.380000,1.400000,1.300000,1.360000,0.370603,352000
2019-08-06,1.310000,1.390000,1.300000,1.370000,0.373328,826000
2019-08-07,1.340000,1.370000,1.320000,1.350000,0.367878,170000
2019-08-08,1.350000,1.400000,1.350000,1.400000,0.381503,14000
2019-08-09,1.340000,1.400000,1.340000,1.360000,0.370603,124000
2019-08-12,1.360000,1.360000,1.340000,1.340000,0.365153,280000
2019-08-13,1.350000,1.400000,1.320000,1.400000,0.381503,482000
2019-08-14,1.380000,1.380000,1.330000,1.340000,0.365153,168000
2019-08-15,1.320000,1.420000,1.320000,1.320000,0.359703,172000
2019-08-16,1.320000,1.410000,1.320000,1.400000,0.381503,196000
2019-08-19,1.390000,1.390000,1.390000,1.380000,0.376053,2000
2019-08-20,1.340000,1.350000,1.300000,1.310000,0.356978,218000
2019-08-21,1.340000,1.340000,1.300000,1.310000,0.356978,84000
2019-08-22,1.360000,1.380000,1.360000,1.380000,0.376053,56000
2019-08-23,1.310000,1.340000,1.310000,1.310000,0.356978,166000
2019-08-26,1.420000,1.420000,1.220000,1.310000,0.356978,328000
2019-08-27,1.310000,1.380000,1.300000,1.330000,0.362428,110000
2019-08-28,1.320000,1.370000,1.320000,1.320000,0.359703,46000
2019-08-29,1.320000,1.360000,1.320000,1.340000,0.365153,64050
2019-08-30,1.340000,1.360000,1.320000,1.330000,0.362428,90000
2019-09-02,1.320000,1.360000,1.320000,1.320000,0.359703,464000
2019-09-03,1.340000,1.400000,1.340000,1.400000,0.381503,272000
2019-09-04,1.370000,1.400000,1.360000,1.390000,0.378778,400200
2019-09-05,1.200000,1.250000,1.160000,1.160000,0.372358,738000
2019-09-06,1.160000,1.170000,1.110000,1.170000,0.375568,56000
2019-09-09,1.170000,1.170000,1.130000,1.150000,0.369148,28000
2019-09-10,1.140000,1.160000,1.120000,1.130000,0.362728,190000
2019-09-11,1.140000,1.160000,1.140000,1.160000,0.372358,14000
2019-09-12,1.180000,1.200000,1.160000,1.200000,0.385198,32000
2019-09-13,1.190000,1.190000,1.150000,1.160000,0.372358,12000
2019-09-16,1.130000,1.200000,1.130000,1.160000,0.372358,452000
2019-09-17,1.180000,1.180000,1.150000,1.150000,0.369148,320000
2019-09-18,1.170000,1.180000,1.160000,1.180000,0.378778,158294
2019-09-19,1.180000,1.180000,1.180000,1.180000,0.378778,30000
2019-09-20,1.170000,1.180000,1.160000,1.170000,0.375568,748000
2019-09-23,1.130000,1.150000,1.130000,1.150000,0.369148,18000
2019-09-24,1.150000,1.150000,1.150000,1.150000,0.369148,144000
2019-09-25,1.150000,1.150000,1.140000,1.140000,0.365938,20000
2019-09-26,1.150000,1.170000,1.130000,1.140000,0.365938,88000
2019-09-27,1.150000,1.150000,1.140000,1.140000,0.365938,68000
2019-09-30,1.120000,1.120000,1.110000,1.120000,0.359518,216000
2019-10-02,1.110000,1.130000,1.110000,1.130000,0.362728,112000
2019-10-03,1.190000,1.200000,1.140000,1.180000,0.378778,158000
2019-10-04,1.130000,1.170000,1.120000,1.130000,0.362728,64000
2019-10-08,1.090000,1.200000,1.090000,1.140000,0.365938,242000
2019-10-09,1.150000,1.170000,1.150000,1.150000,0.369148,76000
2019-10-10,1.160000,1.160000,1.160000,1.160000,0.372358,0
2019-10-11,1.160000,1.160000,1.160000,1.160000,0.372358,20000
2019-10-14,1.150000,1.170000,1.140000,1.170000,0.375568,272000
2019-10-15,1.160000,1.160000,1.130000,1.160000,0.372358,68000
