Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.000000,4.320000,4.000000,4.130000,3.749662,681700
2019-08-06,4.050000,4.120000,4.000000,4.060000,3.686108,464250
2019-08-07,4.030000,4.120000,4.020000,4.050000,3.677029,72125
2019-08-08,4.070000,4.180000,4.050000,4.090000,3.713346,405200
2019-08-09,4.130000,4.130000,4.020000,4.060000,3.686108,609500
2019-08-12,4.060000,4.060000,3.920000,3.950000,3.586238,473500
2019-08-13,3.930000,3.930000,3.780000,3.850000,3.495447,768500
2019-08-14,3.850000,3.980000,3.850000,3.900000,3.540843,397000
2019-08-15,3.840000,3.880000,3.820000,3.870000,3.513605,309500
2019-08-16,3.880000,3.930000,3.860000,3.910000,3.549922,206000
2019-08-19,3.930000,4.020000,3.900000,4.000000,3.631634,910400
2019-08-20,4.000000,4.050000,3.970000,4.000000,3.631634,374650
2019-08-21,3.970000,4.030000,3.900000,4.020000,3.649792,550175
2019-08-22,4.020000,4.060000,3.980000,4.050000,3.677029,356500
2019-08-23,3.960000,4.060000,3.960000,4.050000,3.677029,394400
2019-08-26,4.020000,4.020000,3.920000,3.980000,3.613475,624060
2019-08-27,3.970000,3.980000,3.930000,3.950000,3.586238,170000
2019-08-28,3.930000,3.970000,3.930000,3.940000,3.577159,94800
2019-08-29,3.940000,3.970000,3.920000,3.920000,3.559001,236500
2019-08-30,3.940000,3.950000,3.900000,3.900000,3.540843,288375
2019-09-02,3.900000,3.910000,3.860000,3.870000,3.513605,155500
2019-09-03,3.870000,3.940000,3.850000,3.900000,3.540843,220050
2019-09-04,3.880000,3.950000,3.880000,3.950000,3.586238,283090
2019-09-05,3.910000,3.960000,3.910000,3.930000,3.568080,163475
2019-09-06,3.930000,3.980000,3.930000,3.970000,3.604396,112050
2019-09-09,3.940000,3.980000,3.920000,3.940000,3.577159,281050
2019-09-10,3.920000,4.000000,3.920000,3.950000,3.586238,354278
2019-09-11,3.990000,4.000000,3.960000,3.960000,3.595318,148714
2019-09-12,3.940000,3.990000,3.920000,3.950000,3.586238,309500
2019-09-13,3.980000,3.990000,3.950000,3.990000,3.622555,86500
2019-09-16,3.950000,4.010000,3.860000,3.960000,3.595318,779100
2019-09-17,3.960000,3.960000,3.940000,3.950000,3.586238,172500
2019-09-18,3.950000,3.970000,3.950000,3.960000,3.595318,40800
2019-09-19,3.940000,3.960000,3.940000,3.950000,3.586238,63500
2019-09-20,3.940000,3.960000,3.920000,3.950000,3.586238,211500
2019-09-23,3.940000,3.970000,3.870000,3.930000,3.568080,319600
2019-09-24,3.930000,3.940000,3.870000,3.910000,3.549922,497000
2019-09-25,3.910000,3.910000,3.870000,3.890000,3.633725,347000
2019-09-26,3.850000,3.860000,3.740000,3.810000,3.662286,290000
2019-09-27,3.830000,3.830000,3.740000,3.830000,3.681510,223600
2019-09-30,3.850000,3.880000,3.810000,3.850000,3.700735,300860
2019-10-02,3.850000,3.900000,3.840000,3.870000,3.719959,125150
2019-10-03,3.850000,3.870000,3.850000,3.870000,3.719959,183500
2019-10-04,3.870000,3.880000,3.800000,3.800000,3.652673,161000
2019-10-08,3.800000,3.800000,3.730000,3.740000,3.595000,308500
2019-10-09,3.740000,3.770000,3.700000,3.720000,3.575775,337700
2019-10-10,3.720000,3.770000,3.720000,3.750000,3.604612,64800
2019-10-11,3.790000,3.820000,3.770000,3.770000,3.623836,173500
2019-10-14,3.810000,3.830000,3.750000,3.790000,3.643061,110200
2019-10-15,3.780000,3.780000,3.750000,3.760000,3.614224,122560
2019-10-16,3.760000,3.840000,3.760000,3.780000,3.633449,1126200
2019-10-17,3.790000,3.800000,3.780000,3.780000,3.633449,78975
2019-10-18,3.780000,3.810000,3.780000,3.780000,3.633449,79000
2019-10-21,3.780000,3.800000,3.770000,3.780000,3.633449,141000
2019-10-22,3.800000,3.810000,3.770000,3.770000,3.623836,175041
2019-10-23,3.800000,3.800000,3.760000,3.760000,3.614224,108500
2019-10-24,3.750000,3.800000,3.750000,3.760000,3.614224,133700
2019-10-25,3.750000,3.780000,3.750000,3.760000,3.614224,206380
2019-10-28,3.760000,3.800000,3.760000,3.770000,3.623836,179000
2019-10-29,3.800000,3.820000,3.790000,3.810000,3.662286,435500
2019-10-30,3.820000,3.900000,3.810000,3.850000,3.700735,606200
2019-10-31,3.890000,3.980000,3.840000,3.900000,3.748796,616500
2019-11-01,3.900000,4.050000,3.840000,3.970000,3.816082,884000
2019-11-04,3.970000,3.980000,3.900000,3.920000,3.768021,510200
2019-11-05,3.920000,3.990000,3.900000,3.900000,3.748796,661976
2019-11-06,3.950000,3.950000,3.890000,3.900000,3.748796,422210
2019-11-07,3.900000,3.940000,3.900000,3.910000,3.758409,114540
