Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,7.790000,7.790000,7.510000,7.540000,7.188650,1378000
2019-08-06,7.400000,7.520000,7.220000,7.300000,6.959834,1950000
2019-08-07,7.380000,7.520000,7.250000,7.520000,7.169582,1518000
2019-08-08,7.500000,7.670000,7.430000,7.460000,7.112378,1172000
2019-08-09,7.410000,7.460000,7.320000,7.330000,6.988436,494864
2019-08-12,7.470000,7.470000,7.240000,7.300000,6.959834,958000
2019-08-13,7.240000,7.260000,7.000000,7.000000,6.673814,1756000
2019-08-14,7.130000,7.180000,7.040000,7.100000,6.769154,878000
2019-08-15,7.000000,7.150000,7.000000,7.100000,6.769154,928000
2019-08-16,7.120000,7.190000,7.010000,7.190000,6.854960,858000
2019-08-19,7.300000,7.560000,7.230000,7.500000,7.150515,768000
2019-08-20,7.540000,7.660000,7.410000,7.410000,7.064708,766000
2019-08-21,7.300000,7.770000,7.300000,7.610000,7.255389,374000
2019-08-22,7.710000,7.860000,7.500000,7.790000,7.427001,1340000
2019-08-23,7.810000,7.930000,7.700000,7.850000,7.484205,948000
2019-08-26,7.650000,7.900000,7.450000,7.900000,7.531876,1470000
2019-08-27,8.010000,8.090000,7.840000,7.910000,7.541409,876566
2019-08-28,8.010000,8.010000,7.750000,7.830000,7.465137,750000
2019-08-29,7.720000,7.900000,7.520000,7.630000,7.274457,864000
2019-08-30,7.630000,7.750000,7.540000,7.710000,7.350729,763060
2019-09-02,7.560000,7.630000,7.520000,7.550000,7.198185,644000
2019-09-03,7.530000,7.670000,7.530000,7.580000,7.226787,296000
2019-09-04,7.590000,7.970000,7.590000,7.950000,7.579545,1832000
2019-09-05,7.850000,7.950000,7.780000,7.860000,7.493739,470000
2019-09-06,7.850000,8.030000,7.830000,7.980000,7.608148,920000
2019-09-09,8.030000,8.030000,7.770000,7.870000,7.503273,430000
2019-09-10,7.870000,7.930000,7.720000,7.830000,7.465137,780000
